permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2016 GC22,000000IOw3y1,22.265,,Li,150.3838615,1.715226,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2016 GC22,000000IOw3y1,22.309,,Li,150.3835136,1.7154066,2026-02-19 04:25:29.139000+00:00,61090.18436503457
,2016 GC22,000000IOw3y1,22.334,,Li,150.3834038,1.7154463,2026-02-19 04:26:09.935000+00:00,61090.18483721046
,2016 GC22,000000IOw3y1,22.243,,Li,150.3833227,1.7154973,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2016 GC22,000000IOw3y1,22.281,,Li,150.3831269,1.7155777,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2016 GC22,000000IOw3y1,22.924,,Lg,150.3827599,1.7157412,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2016 GC22,000000IOw3y1,22.908,,Lg,150.3822012,1.7160143,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2016 GC22,000000IOw3y1,22.953,,Lg,150.3820244,1.7160775,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2016 GC22,000000IOw3y1,22.867,,Lg,150.3818191,1.7161827,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2016 GC22,000000IOw3y1,22.953,,Lg,150.3815366,1.7163074,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2016 GC22,000000IOw3y1,22.935,,Lg,150.3814601,1.7163411,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2016 GC22,000000IOw3y1,22.338,,Lz,150.3810688,1.716505,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2016 GC22,000000IOw3y1,22.463,,Lz,150.3808859,1.7165973,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2016 GC22,000000IOw3y1,22.461,,Lz,150.3807976,1.7167042,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2016 GC22,000000IOw3y1,22.39,,Lz,150.380707,1.7167089,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2016 GC22,000000IOw3y1,22.744,,Lz,150.3805916,1.7167706,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2016 GC22,000000IOw3y1,22.185,,Lz,150.3803399,1.7168596,2026-02-19 04:48:47.587000+00:00,61090.20055077551
,2016 GC22,000000IOw3y1,21.872,,Lz,150.3799739,1.7171295,2026-02-19 04:51:28.132000+00:00,61090.20240893541
,2016 GC22,000000IOw3y1,22.407,,Lz,150.3799094,1.7170951,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2016 GC22,000000IOw3y1,22.455,,Lz,150.3797861,1.7171217,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2016 GC22,000000IOw3y1,22.476,,Lr,150.3794061,1.7172742,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2016 GC22,000000IOw3y1,22.418,,Lr,150.3792787,1.7173499,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2016 GC22,000000IOw3y1,22.401,,Lr,150.3791998,1.7173698,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2016 GC22,000000IOw3y1,22.472,,Lr,150.3791086,1.7174105,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2016 GC22,000000IOw3y1,22.516,,Lr,150.3788195,1.7175564,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2016 GC22,000000IOw3y1,22.512,,Lr,150.3787156,1.717593,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2016 GC22,000000IOw3y1,22.486,,Lr,150.3785542,1.717676,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2016 GC22,000000IOw3y1,22.409,,Lr,150.3784526,1.7177242,2026-02-19 05:02:19.715000+00:00,61090.20995040517
,2016 GC22,000000IOw3y1,22.519,,Lr,150.3782853,1.7178215,2026-02-19 05:03:40.023000+00:00,61090.210879895836
,2016 GC22,000000IOw3y1,22.43,,Lr,150.3781921,1.7178591,2026-02-19 05:04:20.278000+00:00,61090.21134580998
,2016 GC22,000000IOw3y1,22.358,,Li,150.377727,1.7180549,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2016 GC22,000000IOw3y1,22.258,,Li,150.3775248,1.718153,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2016 GC22,000000IOw3y1,22.432,,Li,150.3772373,1.7182781,2026-02-19 05:11:12.786000+00:00,61090.21612020815
,2016 GC22,000000IOw3y1,22.372,,Li,150.3771532,1.7183369,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2016 GC22,000000IOw3y1,22.25,,Li,150.3768707,1.718437,2026-02-19 05:13:53.580000+00:00,61090.217981250025
,2016 GC22,000000IOw3y1,22.305,,Li,150.3764814,1.7186081,2026-02-19 05:16:34.736000+00:00,61090.21984648146
,2016 GC22,000000IOw3y1,23.045,,Lg,150.3760279,1.7188198,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2016 GC22,000000IOw3y1,23.088,,Lg,150.3759508,1.7188638,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2016 GC22,000000IOw3y1,23.056,,Lg,150.3758349,1.7189144,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2016 GC22,000000IOw3y1,23.093,,Lg,150.3757359,1.7189271,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2016 GC22,000000IOw3y1,23.016,,Lg,150.3755841,1.7190421,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2016 GC22,000000IOw3y1,22.95,,Lg,150.3754925,1.7190787,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2016 GC22,000000IOw3y1,23.163,,Lg,150.3754107,1.719123,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2016 GC22,000000IOw3y1,23.147,,Lg,150.3753158,1.719191,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2016 GC22,000000IOw3y1,23.08,,Lg,150.375199,1.7192153,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2016 GC22,000000IOw3y1,23.015,,Lg,150.3751024,1.7192334,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2016 GC22,000000IOw3y1,23.179,,Lg,150.3750591,1.7192768,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2016 GC22,000000IOw3y1,23.026,,Lg,150.374939,1.7193575,2026-02-19 05:27:58.637000+00:00,61090.2277620025
,2016 GC22,000000IOw3y1,22.99,,Lg,150.3748558,1.7193607,2026-02-19 05:28:38.854000+00:00,61090.228227477055
,2016 GC22,000000IOw3y1,22.34,,Lz,150.3743943,1.7195677,2026-02-19 05:31:59.965000+00:00,61090.23055515066
,2016 GC22,000000IOw3y1,22.516,,Lz,150.3743145,1.7195939,2026-02-19 05:32:37.606000+00:00,61090.23099081032
,2016 GC22,000000IOw3y1,22.347,,Lz,150.3741793,1.719715,2026-02-19 05:33:17.878000+00:00,61090.231456921436
,2016 GC22,000000IOw3y1,22.563,,Lz,150.3740453,1.7197352,2026-02-19 05:34:38.382000+00:00,61090.232388680335
,2016 GC22,000000IOw3y1,22.48,,Lz,150.3739147,1.7197957,2026-02-19 05:35:18.735000+00:00,61090.23285572929
,2016 GC22,000000IOw3y1,22.72,,Lz,150.3738018,1.719915,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2016 GC22,000000IOw3y1,22.387,,Lr,150.3726518,1.7204062,2026-02-19 05:44:45.221000+00:00,61090.239412280265
,2016 GC22,000000IOw3y1,22.405,,Lr,150.3722792,1.7205647,2026-02-19 05:47:26.636000+00:00,61090.24128050916
,2016 GC22,000000IOw3y1,22.342,,Lr,150.3720204,1.7207118,2026-02-19 05:49:27.424000+00:00,61090.24267851841
,2016 GC22,000000IOw3y1,22.366,,Lr,150.3716497,1.7208661,2026-02-19 05:52:08.529000+00:00,61090.244543159846
,2016 GC22,000000IOw3y1,22.45,,Lr,150.3715363,1.7208968,2026-02-19 05:52:48.729000+00:00,61090.24500843743
,2016 GC22,000000IOw3y1,22.336,,Lr,150.3714439,1.7209518,2026-02-19 05:53:29.326000+00:00,61090.24547831016
,2016 GC22,000000IOw3y2,22.129,,Li,150.1963894,1.8049657,2026-02-20 03:56:59.657000+00:00,61091.16457936354
,2016 GC22,000000IOw3y2,22.242,,Li,150.1962914,1.8050166,2026-02-20 03:57:39.671000+00:00,61091.16504248837
,2016 GC22,000000IOw3y2,22.204,,Li,150.1962017,1.805056,2026-02-20 03:58:19.854000+00:00,61091.16550756944
,2016 GC22,000000IOw3y2,22.2,,Li,150.1960209,1.8051403,2026-02-20 03:59:40.297000+00:00,61091.166438622866
,2016 GC22,000000IOw3y2,22.241,,Li,150.1959324,1.8051685,2026-02-20 04:00:20.777000+00:00,61091.166907140985
,2016 GC22,000000IOw3y2,22.193,,Li,150.1956376,1.8053174,2026-02-20 04:02:21.356000+00:00,61091.16830273159
,2016 GC22,000000IOw3y2,22.983,,Lg,150.1950811,1.8055734,2026-02-20 04:06:31.940000+00:00,61091.17120300932
,2016 GC22,000000IOw3y2,22.949,,Lg,150.1945101,1.8058333,2026-02-20 04:10:39.462000+00:00,61091.17406784743
,2016 GC22,000000IOw3y2,22.881,,Lg,150.1942351,1.80597,2026-02-20 04:12:40.669000+00:00,61091.175470706075
,2016 GC22,000000IOw3y2,22.844,,Lg,150.1940434,1.8060596,2026-02-20 04:14:01.007000+00:00,61091.17640054412
,2016 GC22,000000IOw3y2,22.25,,Lz,150.1925751,1.8067364,2026-02-20 04:24:49.014000+00:00,61091.18390062498
,2016 GC22,000000IOw3y2,22.389,,Lr,150.1918345,1.8070984,2026-02-20 04:30:16.256000+00:00,61091.187688148115
,2016 GC22,000000IOw3y2,22.382,,Lr,150.1915584,1.8072271,2026-02-20 04:32:16.938000+00:00,61091.189084930345
,2016 GC22,000000IOw3y2,22.383,,Lr,150.1910808,1.8074482,2026-02-20 04:35:46.905000+00:00,61091.19151510438
,2016 GC22,000000IOw3y2,22.325,,Lr,150.1910003,1.8074897,2026-02-20 04:36:27.207000+00:00,61091.19198156241
,2016 GC22,000000IOw3y2,22.368,,Lr,150.1908905,1.8075295,2026-02-20 04:37:07.847000+00:00,61091.19245193293
,2016 GC22,000000IOw3y2,22.15,,Li,150.190178,1.8078724,2026-02-20 04:42:25.487000+00:00,61091.19612832181
,2016 GC22,000000IOw3y2,22.144,,Li,150.1898898,1.8080044,2026-02-20 04:44:26.377000+00:00,61091.19752751151
,2016 GC22,000000IOw3y2,22.163,,Li,150.1895232,1.8081752,2026-02-20 04:47:09.764000+00:00,61091.19941856479
,2016 GC22,000000IOw3y2,22.166,,Li,150.1892455,1.8083088,2026-02-20 04:49:10.640000+00:00,61091.20081759244
,2016 GC22,000000IOw3y2,22.174,,Li,150.1891631,1.8083369,2026-02-20 04:49:50.795000+00:00,61091.201282349415
,2016 GC22,000000IOw3y2,22.118,,Li,150.1889778,1.8084328,2026-02-20 04:51:11.348000+00:00,61091.202214675955
,2016 GC22,000000IOw3y2,22.886,,Lg,150.1885165,1.8086529,2026-02-20 04:54:29.989000+00:00,61091.20451376168
,2016 GC22,000000IOw3y2,22.885,,Lg,150.1884233,1.8086798,2026-02-20 04:55:10.135000+00:00,61091.204978414346
,2016 GC22,000000IOw3y2,22.903,,Lg,150.1882559,1.8087678,2026-02-20 04:56:30.261000+00:00,61091.20590579882
,2016 GC22,000000IOw3y2,22.816,,Lg,150.1881557,1.808803,2026-02-20 04:57:10.377000+00:00,61091.206370104104
,2016 GC22,000000IOw3y2,23.074,,Lg,150.1879975,1.808932,2026-02-20 04:58:42.167000+00:00,61091.207432488445
,2016 GC22,000000IOw3y2,23.001,,Lg,150.1875482,1.8090728,2026-02-20 05:01:23.467000+00:00,61091.20929938648
,2016 GC22,000000IOw3y2,22.895,,Lg,150.1874022,1.8091625,2026-02-20 05:02:43.919000+00:00,61091.21023054421
,2016 GC22,000000IOw3y2,22.831,,Lg,150.1872775,1.8091791,2026-02-20 05:03:24.299000+00:00,61091.21069790516
,2016 GC22,000000IOw3y2,21.958,,Lz,150.1863911,1.8096822,2026-02-20 05:10:07.517000+00:00,61091.21536478028
,2016 GC22,000000IOw3y2,22.337,,Lr,150.1851735,1.8101983,2026-02-20 05:18:50.787000+00:00,61091.221421145834
,2016 GC22,000000IOw3y2,22.31,,Lr,150.1850976,1.8102511,2026-02-20 05:19:30.932000+00:00,61091.22188578686
,2016 GC22,000000IOw3y2,22.366,,Lr,150.1850016,1.8102803,2026-02-20 05:20:11.281000+00:00,61091.22235278925
,2016 GC22,000000IOw3y2,22.476,,Lr,150.1848127,1.8103756,2026-02-20 05:21:31.600000+00:00,61091.2232824075
,2016 GC22,000000IOw3y2,22.328,,Lr,150.1847054,1.8104293,2026-02-20 05:22:22.511000+00:00,61091.2238716553
,2016 GC22,000000IOw3y2,22.492,,Lr,150.1846174,1.8104783,2026-02-20 05:23:02.593000+00:00,61091.224335567094
,2016 GC22,000000IOw3y2,22.364,,Lr,150.1845215,1.8105263,2026-02-20 05:23:42.823000+00:00,61091.22480119206
,2016 GC22,000000IOw3y2,22.513,,Lr,150.1843405,1.8105995,2026-02-20 05:25:03.343000+00:00,61091.22573313676
,2016 GC22,000000IOw3y2,22.332,,Lr,150.1841442,1.8106856,2026-02-20 05:26:24.081000+00:00,61091.22666760394
,2016 GC22,000000IOw3y2,22.366,,Lr,150.1840511,1.8107421,2026-02-20 05:27:04.137000+00:00,61091.22713121539
,2016 GC22,000000IOw3y2,22.232,,Lr,150.1839663,1.810773,2026-02-20 05:27:44.383000+00:00,61091.22759702569
,2016 GC22,000000IOw3y3,22.147,,Li,149.6339289,2.0823293,2026-02-23 02:54:09.099000+00:00,61094.120938645676
,2016 GC22,000000IOw3y3,22.14,,Li,149.6338551,2.0823701,2026-02-23 02:54:49.350000+00:00,61094.12140451372
,2016 GC22,000000IOw3y3,22.221,,Li,149.6332839,2.0826377,2026-02-23 02:58:51.102000+00:00,61094.12420256948
,2016 GC22,000000IOw3y3,22.88,,Lg,149.6322648,2.0831571,2026-02-23 03:06:28.947000+00:00,61094.12950170133
,2016 GC22,000000IOw3y3,22.958,,Lg,149.6312405,2.0836393,2026-02-23 03:14:01.241000+00:00,61094.13473658543
,2016 GC22,000000IOw3y3,22.902,,Lg,149.6311467,2.0836581,2026-02-23 03:14:41.651000+00:00,61094.135204293765
,2016 GC22,000000IOw3y3,22.747,,Lg,149.6310686,2.0837053,2026-02-23 03:15:21.897000+00:00,61094.135670104064
,2016 GC22,000000IOw3y3,22.903,,Lg,149.6306637,2.0839252,2026-02-23 03:18:19.868000+00:00,61094.13772995351
,2016 GC22,000000IOw3y3,22.862,,Lg,149.6248404,2.0867816,2026-02-23 04:01:13.058000+00:00,61094.167512245476
,2016 GC22,000000IOw3y3,22.904,,Lg,149.6247465,2.0868109,2026-02-23 04:01:53.124000+00:00,61094.16797597241
,2016 GC22,000000IOw3y3,22.802,,Lg,149.6246468,2.0868674,2026-02-23 04:02:33.644000+00:00,61094.16844495386
,2016 GC22,000000IOw3y3,22.895,,Lg,149.6244763,2.0869378,2026-02-23 04:03:56.079000+00:00,61094.16939906264
,2016 GC22,000000IOw3y3,22.98,,Lg,149.6242968,2.0870377,2026-02-23 04:05:17.256000+00:00,61094.17033861112
,2016 GC22,000000IOw3y3,22.957,,Lg,149.6240118,2.0871781,2026-02-23 04:07:21.428000+00:00,61094.17177578714
,2016 GC22,000000IOw3y3,22.882,,Lg,149.6236564,2.0873478,2026-02-23 04:09:52.140000+00:00,61094.17352013895
,2016 GC22,000000IOw3y3,22.908,,Lg,149.6234968,2.0874282,2026-02-23 04:11:12.310000+00:00,61094.1744480324
,2016 GC22,000000IOw3y3,22.14,,Lz,149.6231031,2.0876315,2026-02-23 04:14:01.702000+00:00,61094.176408587955
,2016 GC22,000000IOw3y3,22.185,,Lz,149.6228202,2.0877398,2026-02-23 04:16:02.777000+00:00,61094.177809918765
,2016 GC22,000000IOw3y3,22.234,,Lz,149.6227221,2.0878206,2026-02-23 04:16:47.106000+00:00,61094.178322986234
,2016 GC22,000000IOw3y3,22.269,,Lz,149.6226506,2.08782,2026-02-23 04:17:27.563000+00:00,61094.17879123846
,2016 GC22,000000IOw3y3,22.233,,Lz,149.6223653,2.0879871,2026-02-23 04:19:31.060000+00:00,61094.18022060208
,2016 GC22,000000IOw3y3,22.075,,Lz,149.6222607,2.0880302,2026-02-23 04:20:11.268000+00:00,61094.18068597233
,2016 GC22,000000IOw3y3,22.254,,Lz,149.6221573,2.0880766,2026-02-23 04:20:54.925000+00:00,61094.18119126139
,2016 GC22,000000IOw3y3,22.284,,Lz,149.6220719,2.0881224,2026-02-23 04:21:35.087000+00:00,61094.18165609939
,2016 GC22,000000IOw3y3,22.378,,Lr,149.6213255,2.0884884,2026-02-23 04:27:08.932000+00:00,61094.18552004639
,2016 GC22,000000IOw3y3,22.432,,Lr,149.6201712,2.0890409,2026-02-23 04:35:32.225000+00:00,61094.19134519668
,2016 GC22,000000IOw3y4,22.214,,Li,149.4494784,2.176042,2026-02-24 02:20:29.574000+00:00,61095.097564513795
,2016 GC22,000000IOw3y4,22.428,,Li,149.4492932,2.176125,2026-02-24 02:21:50.125000+00:00,61095.09849681705
,2016 GC22,000000IOw3y4,22.373,,Li,149.4491171,2.1762287,2026-02-24 02:23:10.865000+00:00,61095.09943130799
,2016 GC22,000000IOw3y4,22.505,,Li,149.4489171,2.1763125,2026-02-24 02:24:31.670000+00:00,61095.10036655096
,2016 GC22,000000IOw3y4,22.324,,Li,149.4488343,2.1763551,2026-02-24 02:25:12.130000+00:00,61095.100834838115
,2016 GC22,000000IOw3y4,22.346,,Li,149.4487749,2.1764091,2026-02-24 02:25:53.066000+00:00,61095.10130863404
,2016 GC22,000000IOw3y4,22.341,,Li,149.4486642,2.1764319,2026-02-24 02:26:33.282000+00:00,61095.10177409742
,2016 GC22,000000IOw3y4,22.281,,Li,149.4485734,2.1764851,2026-02-24 02:27:13.830000+00:00,61095.10224340297
,2016 GC22,000000IOw3y4,22.282,,Li,149.4484763,2.1765388,2026-02-24 02:27:54.281000+00:00,61095.102711585816
,2016 GC22,000000IOw3y4,22.368,,Li,149.4484172,2.1765565,2026-02-24 02:28:34.719000+00:00,61095.10317961825
,2016 GC22,000000IOw3y4,23.138,,Lg,149.4477169,2.1769195,2026-02-24 02:33:29.574000+00:00,61095.1065922915
,2016 GC22,000000IOw3y4,22.979,,Lg,149.4476563,2.1769565,2026-02-24 02:34:10.106000+00:00,61095.107061412185
