permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DA30,000000IOw3v1,22.324,,Li,151.579721,2.9027563,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 DA30,000000IOw3v1,22.308,,Li,151.5789974,2.902902,2026-02-19 04:26:09.935000+00:00,61090.18483721046
,2026 DA30,000000IOw3v1,23.004,,Lg,151.5781653,2.903021,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DA30,000000IOw3v1,23.056,,Lg,151.5779381,2.9030517,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DA30,000000IOw3v1,23.064,,Lg,151.577537,2.9031007,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2026 DA30,000000IOw3v1,23.518,,Lg,151.5772244,2.9031788,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DA30,000000IOw3v1,23.147,,Lg,151.5772145,2.9031403,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DA30,000000IOw3v1,23.172,,Lg,151.5769826,2.9032649,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DA30,000000IOw3v1,23.233,,Lg,151.5768977,2.9032255,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DA30,000000IOw3v1,22.315,,Lz,151.5764,2.9033112,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DA30,000000IOw3v1,22.379,,Lz,151.5761652,2.9033433,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DA30,000000IOw3v1,22.26,,Lz,151.5756715,2.9034054,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DA30,000000IOw3v1,22.392,,Lz,151.5753814,2.903515,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2026 DA30,000000IOw3v1,22.149,,Lz,151.5752122,2.9034932,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2026 DA30,000000IOw3v1,22.383,,Lz,151.5748927,2.9035317,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DA30,000000IOw3v1,23.069,,Lr,151.5743594,2.9035791,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DA30,000000IOw3v1,22.549,,Lr,151.5742237,2.903673,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DA30,000000IOw3v1,22.471,,Lr,151.5739531,2.903666,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DA30,000000IOw3v1,22.448,,Lr,151.5738241,2.9036856,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DA30,000000IOw3v1,22.694,,Lr,151.573718,2.9037319,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DA30,000000IOw3v1,22.646,,Lr,151.5734145,2.9037498,2026-02-19 05:02:19.715000+00:00,61090.20995040517
,2026 DA30,000000IOw3v1,22.233,,Li,151.5724634,2.9039139,2026-02-19 05:08:32.093000+00:00,61090.214260335546
,2026 DA30,000000IOw3v1,22.248,,Li,151.5723507,2.9039143,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DA30,000000IOw3v1,22.358,,Li,151.5721458,2.9039475,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 DA30,000000IOw3v1,22.471,,Li,151.5720191,2.9039779,2026-02-19 05:11:12.786000+00:00,61090.21612020815
,2026 DA30,000000IOw3v1,22.602,,Li,151.5715142,2.90407,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2026 DA30,000000IOw3v1,22.17,,Li,151.5714253,2.9040758,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2026 DA30,000000IOw3v1,22.492,,Li,151.5710914,2.9041187,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DA30,000000IOw3v1,23.111,,Lg,151.570563,2.9041905,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DA30,000000IOw3v1,23.046,,Lg,151.5704739,2.9041969,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DA30,000000IOw3v1,23.247,,Lg,151.5703834,2.9042674,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DA30,000000IOw3v1,23.097,,Lg,151.5702435,2.9042447,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2026 DA30,000000IOw3v1,23.274,,Lg,151.5701441,2.9042588,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2026 DA30,000000IOw3v1,23.236,,Lg,151.5700296,2.9042581,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DA30,000000IOw3v1,23.068,,Lg,151.5699343,2.9042802,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DA30,000000IOw3v1,23.016,,Lg,151.5697726,2.9043299,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DA30,000000IOw3v1,23.251,,Lg,151.5696768,2.9043519,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2026 DA30,000000IOw3v1,22.38,,Lz,151.5688053,2.9044596,2026-02-19 05:31:59.965000+00:00,61090.23055515066
,2026 DA30,000000IOw3v1,21.89,,Lz,151.5687514,2.9044902,2026-02-19 05:32:37.606000+00:00,61090.23099081032
,2026 DA30,000000IOw3v1,22.17,,Lz,151.5686326,2.904489,2026-02-19 05:33:17.878000+00:00,61090.231456921436
,2026 DA30,000000IOw3v1,22.025,,Lz,151.5685181,2.9044972,2026-02-19 05:33:58.133000+00:00,61090.23192283558
,2026 DA30,000000IOw3v1,22.24,,Lz,151.5680976,2.904553,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2026 DA30,000000IOw3v1,22.271,,Lz,151.5673716,2.9046993,2026-02-19 05:41:21.268000+00:00,61090.237051712815
,2026 DA30,000000IOw3v1,22.52,,Lr,151.5669436,2.9047437,2026-02-19 05:44:01.312000+00:00,61090.2389040743
,2026 DA30,000000IOw3v1,22.38,,Lr,151.5668295,2.9048011,2026-02-19 05:44:45.221000+00:00,61090.239412280265
,2026 DA30,000000IOw3v1,22.377,,Lr,151.5665148,2.9048071,2026-02-19 05:46:46.204000+00:00,61090.24081254611
,2026 DA30,000000IOw3v1,22.554,,Lr,151.5662183,2.9048575,2026-02-19 05:48:47.249000+00:00,61090.24221353
,2026 DA30,000000IOw3v1,22.366,,Lr,151.5660031,2.9049036,2026-02-19 05:50:07.849000+00:00,61090.24314640043
,2026 DA30,000000IOw3v1,22.485,,Lr,151.5659114,2.9049354,2026-02-19 05:50:48.141000+00:00,61090.24361274298
,2026 DA30,000000IOw3v1,22.351,,Lr,151.5658207,2.9049279,2026-02-19 05:51:28.309000+00:00,61090.244077650364
,2026 DA30,000000IOw3v2,22.281,,Li,151.3679552,2.9370948,2026-02-20 03:53:33.166000+00:00,61091.162189421244
,2026 DA30,000000IOw3v2,22.359,,Li,151.3675371,2.9371691,2026-02-20 03:56:13.964000+00:00,61091.16405050922
,2026 DA30,000000IOw3v2,22.321,,Li,151.3672337,2.9371978,2026-02-20 03:58:19.854000+00:00,61091.16550756944
,2026 DA30,000000IOw3v2,22.265,,Li,151.3666094,2.9373012,2026-02-20 04:02:21.356000+00:00,61091.16830273159
,2026 DA30,000000IOw3v2,22.969,,Lg,151.3657313,2.9374497,2026-02-20 04:07:52.288000+00:00,61091.17213296285
,2026 DA30,000000IOw3v2,22.987,,Lg,151.3655301,2.9374948,2026-02-20 04:09:19.249000+00:00,61091.173139456194
,2026 DA30,000000IOw3v2,22.889,,Lg,151.3654365,2.9375382,2026-02-20 04:09:59.136000+00:00,61091.17360111093
,2026 DA30,000000IOw3v2,22.301,,Lz,151.3641136,2.9377505,2026-02-20 04:18:08.118000+00:00,61091.17926062504
,2026 DA30,000000IOw3v2,22.521,,Lz,151.3639223,2.9376999,2026-02-20 04:19:29.213000+00:00,61091.1801992245
,2026 DA30,000000IOw3v2,22.12,,Lz,151.3635241,2.9377927,2026-02-20 04:22:07.010000+00:00,61091.182025578804
,2026 DA30,000000IOw3v2,22.141,,Lz,151.3631155,2.9378661,2026-02-20 04:24:49.014000+00:00,61091.18390062498
,2026 DA30,000000IOw3v2,22.122,,Lz,151.36289,2.9378938,2026-02-20 04:26:09.659000+00:00,61091.18483401602
,2026 DA30,000000IOw3v2,22.463,,Lr,151.3618594,2.9380649,2026-02-20 04:32:57.181000+00:00,61091.189550706185
,2026 DA30,000000IOw3v2,22.413,,Lr,151.361735,2.9380903,2026-02-20 04:33:46.526000+00:00,61091.19012182858
