permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DB30,000000IOw3q1,21.679,,Lz,151.0776238,1.1675411,2026-02-17 05:10:16.373000+00:00,61088.21546728024
,2026 DB30,000000IOw3q1,21.741,,Lz,151.0772569,1.1675847,2026-02-17 05:12:25.821000+00:00,61088.216965520754
,2026 DB30,000000IOw3q2,21.824,,Li,150.637976,1.2208756,2026-02-19 04:20:07.066000+00:00,61090.18063733773
,2026 DB30,000000IOw3q2,21.788,,Li,150.6375391,1.2209243,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2026 DB30,000000IOw3q2,21.775,,Li,150.6371156,1.2209771,2026-02-19 04:25:29.139000+00:00,61090.18436503457
,2026 DB30,000000IOw3q2,21.711,,Li,150.636789,1.2210263,2026-02-19 04:27:30.290000+00:00,61090.18576724548
,2026 DB30,000000IOw3q2,22.308,,Lg,150.6359982,1.221114,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DB30,000000IOw3q2,22.345,,Lg,150.6358862,1.2211388,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DB30,000000IOw3q2,22.332,,Lg,150.6357823,1.2211488,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DB30,000000IOw3q2,22.377,,Lg,150.6356777,1.2211679,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DB30,000000IOw3q2,22.326,,Lg,150.6354506,1.2211847,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2026 DB30,000000IOw3q2,22.392,,Lg,150.6352568,1.2212234,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DB30,000000IOw3q2,22.364,,Lg,150.6349142,1.2212542,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DB30,000000IOw3q2,22.293,,Lg,150.6348099,1.2212578,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DB30,000000IOw3q2,22.304,,Lg,150.6347051,1.2212947,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2026 DB30,000000IOw3q2,21.649,,Lz,150.6342778,1.2213509,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DB30,000000IOw3q2,21.723,,Lz,150.633897,1.2213868,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DB30,000000IOw3q2,21.787,,Lz,150.6338028,1.2213831,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 DB30,000000IOw3q2,21.746,,Lz,150.6336813,1.2214196,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DB30,000000IOw3q2,21.778,,Lz,150.6335763,1.221421,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DB30,000000IOw3q2,21.941,,Lz,150.6332524,1.2214811,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2026 DB30,000000IOw3q2,21.695,,Lz,150.6331398,1.2214844,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DB30,000000IOw3q2,21.869,,Lz,150.6327827,1.2215044,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2026 DB30,000000IOw3q2,21.946,,Lr,150.6317314,1.2216529,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DB30,000000IOw3q2,21.939,,Lr,150.6314995,1.2216829,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DB30,000000IOw3q2,21.789,,Li,150.6301875,1.2218529,2026-02-19 05:08:32.093000+00:00,61090.214260335546
,2026 DB30,000000IOw3q2,21.853,,Li,150.630079,1.2218651,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DB30,000000IOw3q2,21.766,,Li,150.6299585,1.221879,2026-02-19 05:09:52.364000+00:00,61090.21518939827
,2026 DB30,000000IOw3q2,21.842,,Li,150.6293207,1.2219552,2026-02-19 05:13:53.580000+00:00,61090.217981250025
