permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DD30,000000IOw4F1,21.592,,Li,151.6567523,2.6076685,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DD30,000000IOw4F1,21.534,,Li,151.6565908,2.6077882,2026-02-19 04:20:47.241000+00:00,61090.181102326605
,2026 DD30,000000IOw4F1,21.629,,Li,151.6558784,2.608155,2026-02-19 04:26:09.935000+00:00,61090.18483721046
,2026 DD30,000000IOw4F1,21.636,,Li,151.6556224,2.6082956,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2026 DD30,000000IOw4F1,22.192,,Lg,151.6552808,2.6084742,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DD30,000000IOw4F1,22.173,,Lg,151.6549866,2.6086269,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DD30,000000IOw4F1,22.205,,Lg,151.6548983,2.6086736,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DD30,000000IOw4F1,22.252,,Lg,151.6547169,2.6087733,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DD30,000000IOw4F1,22.246,,Lg,151.6544673,2.608915,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DD30,000000IOw4F1,22.334,,Lg,151.6543694,2.6089586,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DD30,000000IOw4F1,22.274,,Lg,151.6542841,2.609016,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DD30,000000IOw4F1,22.294,,Lg,151.6541193,2.6090981,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DD30,000000IOw4F1,22.266,,Lg,151.6540171,2.6091475,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2026 DD30,000000IOw4F1,21.937,,Lr,151.6520733,2.6101945,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2026 DD30,000000IOw4F1,21.949,,Lr,151.6518871,2.6103219,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DD30,000000IOw4F1,21.924,,Lr,151.6517892,2.6103462,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2026 DD30,000000IOw4F1,21.875,,Lr,151.6516947,2.6103915,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DD30,000000IOw4F1,21.963,,Lr,151.6516065,2.6104465,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DD30,000000IOw4F1,22.023,,Lr,151.6511732,2.6106733,2026-02-19 05:02:19.715000+00:00,61090.20995040517
,2026 DD30,000000IOw4F1,22.008,,Lr,151.6510798,2.6107366,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DD30,000000IOw4F1,21.92,,Li,151.650471,2.6110537,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2026 DD30,000000IOw4F1,21.935,,Li,151.6502641,2.6111567,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DD30,000000IOw4F1,21.868,,Li,151.6501829,2.611211,2026-02-19 05:09:52.364000+00:00,61090.21518939827
,2026 DD30,000000IOw4F1,21.927,,Li,151.6500964,2.6112476,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 DD30,000000IOw4F1,21.876,,Li,151.6500215,2.6113071,2026-02-19 05:11:12.786000+00:00,61090.21612020815
,2026 DD30,000000IOw4F1,21.825,,Li,151.6499164,2.6113495,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2026 DD30,000000IOw4F1,21.927,,Li,151.6498547,2.6113866,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DD30,000000IOw4F1,21.884,,Li,151.649667,2.6114867,2026-02-19 05:13:53.580000+00:00,61090.217981250025
,2026 DD30,000000IOw4F1,21.79,,Li,151.649577,2.6115384,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2026 DD30,000000IOw4F1,21.844,,Li,151.6494707,2.6115793,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2026 DD30,000000IOw4F1,21.846,,Li,151.649373,2.6116314,2026-02-19 05:15:54.536000+00:00,61090.219381203875
,2026 DD30,000000IOw4F1,21.754,,Li,151.6492241,2.6117202,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DD30,000000IOw4F1,22.282,,Lg,151.6488804,2.6118805,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DD30,000000IOw4F1,22.361,,Lg,151.6487831,2.6119482,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DD30,000000IOw4F1,22.343,,Lg,151.6486003,2.6120627,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DD30,000000IOw4F1,22.345,,Lg,151.6485085,2.6121104,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2026 DD30,000000IOw4F1,22.328,,Lg,151.6484359,2.6121623,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2026 DD30,000000IOw4F1,22.197,,Lg,151.6482682,2.6122553,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DD30,000000IOw4F1,22.304,,Lg,151.6480613,2.6123451,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DD30,000000IOw4F1,22.316,,Lg,151.6479918,2.6123672,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2026 DD30,000000IOw4F1,22.256,,Lg,151.6479019,2.612441,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2026 DD30,000000IOw4F1,21.489,,Lz,151.6473046,2.6127368,2026-02-19 05:31:59.965000+00:00,61090.23055515066
,2026 DD30,000000IOw4F1,21.634,,Lz,151.6471152,2.6128321,2026-02-19 05:33:17.878000+00:00,61090.231456921436
,2026 DD30,000000IOw4F1,21.628,,Lz,151.6467818,2.6130216,2026-02-19 05:35:59.080000+00:00,61090.23332268512
,2026 DD30,000000IOw4F1,21.702,,Lz,151.6466906,2.6130831,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2026 DD30,000000IOw4F1,21.591,,Lz,151.6466068,2.6131364,2026-02-19 05:37:19.580000+00:00,61090.23425439792
