permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DG29,000000IOw3t1,21.429,,Li,149.9000419,1.0342902,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DG29,000000IOw3t1,21.412,,Li,149.8998537,1.0344502,2026-02-19 04:20:47.241000+00:00,61090.181102326605
,2026 DG29,000000IOw3t1,21.47,,Li,149.8995201,1.03482,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DG29,000000IOw3t1,21.427,,Li,149.8993432,1.0349946,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DG29,000000IOw3t1,21.904,,Lg,149.8982063,1.036178,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DG29,000000IOw3t1,21.984,,Lg,149.8977616,1.0366225,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DG29,000000IOw3t1,21.938,,Lg,149.8975206,1.0368768,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DG29,000000IOw3t1,21.974,,Lg,149.8974135,1.0369812,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DG29,000000IOw3t1,21.409,,Lz,149.8970006,1.0374044,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DG29,000000IOw3t1,21.438,,Lz,149.8968797,1.0375613,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DG29,000000IOw3t1,21.307,,Lz,149.8967804,1.0376332,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DG29,000000IOw3t1,21.424,,Lz,149.8966143,1.0378211,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 DG29,000000IOw3t1,21.406,,Lz,149.8964444,1.0379927,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DG29,000000IOw3t1,21.338,,Lz,149.8958421,1.0386151,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2026 DG29,000000IOw3t1,21.426,,Lz,149.895753,1.0387091,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DG29,000000IOw3t1,21.549,,Lr,149.895313,1.0391677,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DG29,000000IOw3t1,21.585,,Lr,149.8952194,1.0392602,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DG29,000000IOw3t1,21.565,,Lr,149.8951372,1.0393168,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2026 DG29,000000IOw3t1,21.567,,Lr,149.8949632,1.0395166,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DG29,000000IOw3t1,21.613,,Lr,149.8943547,1.0401297,2026-02-19 05:03:40.023000+00:00,61090.210879895836
,2026 DG29,000000IOw3t1,21.504,,Li,149.8936541,1.04087,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DG29,000000IOw3t1,21.475,,Li,149.8935676,1.0409568,2026-02-19 05:09:52.364000+00:00,61090.21518939827
,2026 DG29,000000IOw3t1,21.561,,Li,149.8934054,1.0411461,2026-02-19 05:11:12.786000+00:00,61090.21612020815
,2026 DG29,000000IOw3t1,21.456,,Li,149.8933099,1.0412215,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2026 DG29,000000IOw3t1,21.54,,Li,149.8932196,1.0413196,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DG29,000000IOw3t1,21.586,,Li,149.8929626,1.0416026,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2026 DG29,000000IOw3t1,22.006,,Lg,149.8921197,1.0424516,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DG29,000000IOw3t1,22.154,,Lg,149.8919326,1.0426442,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2026 DG29,000000IOw3t1,22.076,,Lg,149.8918515,1.0427073,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2026 DG29,000000IOw3t1,22.108,,Lg,149.8915968,1.0429899,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DG29,000000IOw3t1,22.144,,Lg,149.8913342,1.0432755,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2026 DG29,000000IOw3t1,21.638,,Lz,149.8906626,1.0439854,2026-02-19 05:32:37.606000+00:00,61090.23099081032
,2026 DG29,000000IOw3t1,21.847,,Lz,149.8902437,1.0444147,2026-02-19 05:35:59.080000+00:00,61090.23332268512
,2026 DG29,000000IOw3t1,21.717,,Lz,149.8900806,1.0446045,2026-02-19 05:37:19.580000+00:00,61090.23425439792
,2026 DG29,000000IOw3t1,21.87,,Lz,149.8899793,1.0446799,2026-02-19 05:37:59.889000+00:00,61090.23472093744
,2026 DG29,000000IOw3t1,21.827,,Lz,149.8898577,1.0447802,2026-02-19 05:38:40.559000+00:00,61090.23519165488
,2026 DG29,000000IOw3t1,21.828,,Lz,149.8897823,1.0448606,2026-02-19 05:39:20.779000+00:00,61090.23565716436
,2026 DG29,000000IOw3t1,21.844,,Lz,149.889708,1.0449516,2026-02-19 05:40:00.612000+00:00,61090.23611819465
,2026 DG29,000000IOw3t1,21.788,,Lz,149.8895262,1.0451396,2026-02-19 05:41:21.268000+00:00,61090.237051712815
,2026 DG29,000000IOw3t1,22.009,,Lr,149.8890862,1.0455782,2026-02-19 05:44:45.221000+00:00,61090.239412280265
,2026 DG29,000000IOw3t1,22.037,,Lr,149.8885901,1.0461114,2026-02-19 05:48:47.249000+00:00,61090.24221353
,2026 DG29,000000IOw3t1,22.134,,Lr,149.8883164,1.0463727,2026-02-19 05:50:48.141000+00:00,61090.24361274298
,2026 DG29,000000IOw3t1,22.116,,Lr,149.888141,1.046542,2026-02-19 05:52:08.529000+00:00,61090.244543159846
,2026 DG29,000000IOw3t1,21.592,,Lr,149.8707697,1.064617,2026-02-19 08:08:35.288000+00:00,61090.33929731464
,2026 DG29,000000IOw3t1,21.556,,Lz,149.8703362,1.0650604,2026-02-19 08:12:01.968000+00:00,61090.34168944461
,2026 DG29,000000IOw3t2,21.557,,Li,149.7257107,1.2221076,2026-02-20 03:54:13.158000+00:00,61091.16265229182
,2026 DG29,000000IOw3t2,21.576,,Li,149.7255276,1.22229,2026-02-20 03:55:33.842000+00:00,61091.16358613409
,2026 DG29,000000IOw3t2,21.567,,Li,149.7253514,1.2224742,2026-02-20 03:56:59.657000+00:00,61091.16457936354
,2026 DG29,000000IOw3t2,21.601,,Li,149.7252651,1.2225719,2026-02-20 03:57:39.671000+00:00,61091.16504248837
,2026 DG29,000000IOw3t2,21.579,,Li,149.7246665,1.2231949,2026-02-20 04:02:21.356000+00:00,61091.16830273159
,2026 DG29,000000IOw3t2,21.966,,Lg,149.7238787,1.2240099,2026-02-20 04:08:32.488000+00:00,61091.1725982409
,2026 DG29,000000IOw3t2,22.038,,Lg,149.7237759,1.2241131,2026-02-20 04:09:19.249000+00:00,61091.173139456194
,2026 DG29,000000IOw3t2,22.012,,Lg,149.7234366,1.2244771,2026-02-20 04:12:00.057000+00:00,61091.175000659656
,2026 DG29,000000IOw3t2,21.992,,Lg,149.7230149,1.2249258,2026-02-20 04:15:21.395000+00:00,61091.17733096052
,2026 DG29,000000IOw3t2,21.515,,Lz,149.7226536,1.2253033,2026-02-20 04:18:08.118000+00:00,61091.17926062504
,2026 DG29,000000IOw3t2,21.452,,Lz,149.7224788,1.2254769,2026-02-20 04:19:29.213000+00:00,61091.1801992245
,2026 DG29,000000IOw3t2,21.374,,Lz,149.7224054,1.2255589,2026-02-20 04:20:09.359000+00:00,61091.18066387717
,2026 DG29,000000IOw3t2,21.515,,Lz,149.7221365,1.2258193,2026-02-20 04:22:07.010000+00:00,61091.182025578804
,2026 DG29,000000IOw3t2,21.457,,Lz,149.7217972,1.2261889,2026-02-20 04:24:49.014000+00:00,61091.18390062498
,2026 DG29,000000IOw3t2,21.467,,Lz,149.7217069,1.2262778,2026-02-20 04:25:29.224000+00:00,61091.18436601851
,2026 DG29,000000IOw3t2,21.451,,Lz,149.7214525,1.2265497,2026-02-20 04:27:30.206000+00:00,61091.18576627318
,2026 DG29,000000IOw3t2,21.513,,Lr,149.7210157,1.2270018,2026-02-20 04:30:56.501000+00:00,61091.18815394677
,2026 DG29,000000IOw3t2,21.541,,Lr,149.7207562,1.2272658,2026-02-20 04:32:57.181000+00:00,61091.189550706185
,2026 DG29,000000IOw3t2,21.542,,Lr,149.7206544,1.2273783,2026-02-20 04:33:46.526000+00:00,61091.19012182858
,2026 DG29,000000IOw3t2,21.508,,Lr,149.7203121,1.2277367,2026-02-20 04:36:27.207000+00:00,61091.19198156241
,2026 DG29,000000IOw3t2,21.523,,Lr,149.7202286,1.2278209,2026-02-20 04:37:07.847000+00:00,61091.19245193293
,2026 DG29,000000IOw3t2,21.53,,Lr,149.720052,1.2280023,2026-02-20 04:38:27.887000+00:00,61091.19337832183
,2026 DG29,000000IOw3t2,21.413,,Li,149.719462,1.2286246,2026-02-20 04:43:05.779000+00:00,61091.19659466436
,2026 DG29,000000IOw3t2,21.415,,Li,149.7188548,1.2292519,2026-02-20 04:47:50.018000+00:00,61091.19988446776
,2026 DG29,000000IOw3t2,21.919,,Lg,149.7180014,1.2301426,2026-02-20 04:54:29.989000+00:00,61091.20451376168
,2026 DG29,000000IOw3t2,21.964,,Lg,149.7176546,1.2304947,2026-02-20 04:57:10.377000+00:00,61091.206370104104
,2026 DG29,000000IOw3t2,21.747,,Lg,149.717548,1.230626,2026-02-20 04:58:01.865000+00:00,61091.206966029946
,2026 DG29,000000IOw3t2,22.022,,Lg,149.7173789,1.230833,2026-02-20 04:59:22.298000+00:00,61091.20789696742
,2026 DG29,000000IOw3t2,22.086,,Lg,149.7172967,1.2308646,2026-02-20 05:00:02.501000+00:00,61091.208362279925
,2026 DG29,000000IOw3t2,21.963,,Lg,149.7171284,1.2310504,2026-02-20 05:01:23.467000+00:00,61091.20929938648
,2026 DG29,000000IOw3t2,21.567,,Lz,149.7164514,1.2317574,2026-02-20 05:06:37.143000+00:00,61091.21292989561
,2026 DG29,000000IOw3t2,21.567,,Lz,149.7163547,1.2318485,2026-02-20 05:07:17.535000+00:00,61091.2133973958
,2026 DG29,000000IOw3t2,21.645,,Lz,149.71611,1.2321455,2026-02-20 05:09:18.129000+00:00,61091.21479315963
,2026 DG29,000000IOw3t2,21.525,,Lz,149.7158951,1.2323109,2026-02-20 05:10:47.662000+00:00,61091.2158294213
,2026 DG29,000000IOw3t2,21.578,,Lz,149.7158507,1.232385,2026-02-20 05:11:28.199000+00:00,61091.21629859973
,2026 DG29,000000IOw3t2,21.38,,Lz,149.7157681,1.232498,2026-02-20 05:12:08.363000+00:00,61091.21676346054
,2026 DG29,000000IOw3t2,21.365,,Lz,149.7153122,1.2329407,2026-02-20 05:15:30.227000+00:00,61091.21909984946
,2026 DG29,000000IOw3t2,21.615,,Lr,149.714715,1.2335578,2026-02-20 05:20:11.281000+00:00,61091.22235278925
,2026 DG29,000000IOw3t2,21.751,,Lr,149.7145274,1.2337374,2026-02-20 05:21:31.600000+00:00,61091.2232824075
,2026 DG29,000000IOw3t2,21.703,,Lr,149.7140977,1.2342,2026-02-20 05:25:03.343000+00:00,61091.22573313676
,2026 DG29,000000IOw3t2,21.77,,Lr,149.71384,1.2344986,2026-02-20 05:27:04.137000+00:00,61091.22713121539
,2026 DG29,000000IOw3t2,21.684,,Li,149.7033731,1.245423,2026-02-20 06:49:10.786000+00:00,61091.284152615815
