permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DH30,000000IOw4K1,22.608,,Li,149.8315845,1.4644591,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2026 DH30,000000IOw4K1,22.548,,Li,149.8314128,1.4645634,2026-02-19 04:24:08.380000+00:00,61090.18343032431
,2026 DH30,000000IOw4K1,22.56,,Li,149.8313024,1.4645914,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DH30,000000IOw4K1,22.392,,Li,149.831229,1.4646324,2026-02-19 04:25:29.139000+00:00,61090.18436503457
,2026 DH30,000000IOw4K1,22.51,,Li,149.8311506,1.4646883,2026-02-19 04:26:09.935000+00:00,61090.18483721046
,2026 DH30,000000IOw4K1,23.119,,Lg,149.8296958,1.4653784,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DH30,000000IOw4K1,23.112,,Lg,149.8295994,1.4654296,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DH30,000000IOw4K1,23.156,,Lg,149.8294844,1.465461,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DH30,000000IOw4K1,23.26,,Lg,149.8294211,1.4655147,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DH30,000000IOw4K1,22.338,,Lz,149.8289069,1.4657469,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DH30,000000IOw4K1,22.636,,Lz,149.8287203,1.4658267,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DH30,000000IOw4K1,22.454,,Lz,149.828721,1.4658939,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DH30,000000IOw4K1,22.51,,Lz,149.8285807,1.4659741,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DH30,000000IOw4K1,22.375,,Lz,149.8285192,1.4659952,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 DH30,000000IOw4K1,22.571,,Lz,149.8284255,1.4659889,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DH30,000000IOw4K1,22.435,,Lz,149.8282773,1.4660905,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DH30,000000IOw4K1,22.61,,Lr,149.8271548,1.4665914,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DH30,000000IOw4K1,22.491,,Lr,149.8271213,1.4666672,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DH30,000000IOw4K1,22.605,,Lr,149.8269835,1.4666937,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2026 DH30,000000IOw4K1,22.722,,Lr,149.8267881,1.4667893,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DH30,000000IOw4K1,22.569,,Lr,149.8266167,1.4668796,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DH30,000000IOw4K1,22.736,,Lr,149.8265438,1.4669287,2026-02-19 05:00:58.918000+00:00,61090.20901525486
,2026 DH30,000000IOw4K1,22.734,,Lr,149.826347,1.4670092,2026-02-19 05:02:19.715000+00:00,61090.20995040517
,2026 DH30,000000IOw4K1,22.667,,Lr,149.8262588,1.4670286,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DH30,000000IOw4K1,22.618,,Li,149.8251662,1.4675786,2026-02-19 05:11:12.786000+00:00,61090.21612020815
