permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DJ31,000000IOw4X1,22.883,,Li,151.3366133,2.0170245,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2026 DJ31,000000IOw4X1,23.172,,Li,151.3363875,2.0171477,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DJ31,000000IOw4X1,23.085,,Li,151.3361818,2.0171907,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DJ31,000000IOw4X1,22.845,,Li,151.3355819,2.0173955,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2026 DJ31,000000IOw4X1,23.534,,Lg,151.3351562,2.017515,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DJ31,000000IOw4X1,23.481,,Lg,151.3350437,2.0175853,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DJ31,000000IOw4X1,23.283,,Lg,151.3345861,2.0177201,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DJ31,000000IOw4X1,23.311,,Lg,151.3342499,2.017816,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DJ31,000000IOw4X1,23.275,,Lg,151.3341354,2.0178834,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DJ31,000000IOw4X1,23.382,,Lg,151.3339225,2.0179176,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DJ31,000000IOw4X1,23.377,,Lg,151.3338227,2.0179685,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DJ31,000000IOw4X1,22.831,,Lz,151.3329807,2.0182593,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DJ31,000000IOw4X1,22.414,,Lz,151.3327417,2.0183134,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DJ31,000000IOw4X1,22.511,,Lz,151.3327257,2.018315,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 DJ31,000000IOw4X1,22.414,,Lz,151.3325788,2.0184272,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DJ31,000000IOw4X1,22.653,,Lz,151.3321036,2.0185747,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2026 DJ31,000000IOw4X1,22.748,,Lz,151.3319863,2.0185471,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DJ31,000000IOw4X1,22.734,,Lz,151.3318516,2.0186523,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2026 DJ31,000000IOw4X1,23.066,,Lr,151.3307612,2.0189324,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2026 DJ31,000000IOw4X1,23.083,,Lr,151.330694,2.0189866,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DJ31,000000IOw4X1,23.054,,Lr,151.3304556,2.0190608,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DJ31,000000IOw4X1,23.01,,Lr,151.3296797,2.0193217,2026-02-19 05:04:20.278000+00:00,61090.21134580998
,2026 DJ31,000000IOw4X1,22.744,,Li,151.3290054,2.0195424,2026-02-19 05:08:32.093000+00:00,61090.214260335546
,2026 DJ31,000000IOw4X1,22.899,,Li,151.328763,2.0196305,2026-02-19 05:09:52.364000+00:00,61090.21518939827
,2026 DJ31,000000IOw4X1,22.601,,Li,151.3283488,2.0197387,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DJ31,000000IOw4X1,22.684,,Li,151.3282423,2.0198147,2026-02-19 05:13:13.238000+00:00,61090.21751432866
,2026 DJ31,000000IOw4X1,22.433,,Li,151.3281159,2.0198373,2026-02-19 05:13:53.580000+00:00,61090.217981250025
,2026 DJ31,000000IOw4X1,22.452,,Li,151.3280258,2.0198776,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2026 DJ31,000000IOw4X1,22.354,,Li,151.327901,2.0199207,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2026 DJ31,000000IOw4X1,22.405,,Li,151.3277713,2.0199254,2026-02-19 05:15:54.536000+00:00,61090.219381203875
,2026 DJ31,000000IOw4X1,22.261,,Li,151.3276465,2.0199709,2026-02-19 05:16:34.736000+00:00,61090.21984648146
,2026 DJ31,000000IOw4X1,22.331,,Li,151.3275465,2.020008,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DJ31,000000IOw4X1,23.051,,Lg,151.3271487,2.0201323,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DJ31,000000IOw4X1,23.177,,Lg,151.3270108,2.0201831,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DJ31,000000IOw4X1,23.312,,Lg,151.3268213,2.0202549,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DJ31,000000IOw4X1,23.18,,Lg,151.3265877,2.0203249,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2026 DJ31,000000IOw4X1,23.207,,Lg,151.3264697,2.0203778,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DJ31,000000IOw4X1,23.253,,Lg,151.3262394,2.0204492,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DJ31,000000IOw4X1,23.357,,Lg,151.3257766,2.0206089,2026-02-19 05:27:58.637000+00:00,61090.2277620025
,2026 DJ31,000000IOw4X1,22.776,,Lz,151.3239421,2.0211561,2026-02-19 05:39:20.779000+00:00,61090.23565716436
,2026 DJ31,000000IOw4X1,22.833,,Lz,151.3237458,2.0212781,2026-02-19 05:40:40.888000+00:00,61090.236584351864
,2026 DJ31,000000IOw4X1,23.043,,Lr,151.3227256,2.0215807,2026-02-19 05:46:46.204000+00:00,61090.24081254611
,2026 DJ31,000000IOw4X1,23.13,,Lr,151.3223883,2.0217174,2026-02-19 05:48:47.249000+00:00,61090.24221353
,2026 DJ31,000000IOw4X1,22.937,,Lr,151.3223006,2.0217045,2026-02-19 05:49:27.424000+00:00,61090.24267851841
,2026 DJ31,000000IOw4X1,23.0,,Lr,151.3220719,2.0218047,2026-02-19 05:50:48.141000+00:00,61090.24361274298
,2026 DJ31,000000IOw4X1,22.89,,Lr,151.321605,2.0219361,2026-02-19 05:53:29.326000+00:00,61090.24547831016
,2026 DJ31,000000IOw4X2,22.477,,Li,151.115091,2.0933031,2026-02-20 03:54:13.158000+00:00,61091.16265229182
,2026 DJ31,000000IOw4X2,22.718,,Li,151.114765,2.0934427,2026-02-20 03:56:13.964000+00:00,61091.16405050922
,2026 DJ31,000000IOw4X2,22.805,,Li,151.114345,2.0935861,2026-02-20 03:59:00.216000+00:00,61091.165974722244
,2026 DJ31,000000IOw4X2,22.915,,Li,151.1142141,2.0935928,2026-02-20 03:59:40.297000+00:00,61091.166438622866
,2026 DJ31,000000IOw4X2,22.776,,Li,151.1139952,2.0936702,2026-02-20 04:01:00.920000+00:00,61091.16737175919
,2026 DJ31,000000IOw4X2,22.902,,Li,151.113881,2.0937359,2026-02-20 04:01:41.052000+00:00,61091.167836249806
,2026 DJ31,000000IOw4X2,23.713,,Lg,151.1132367,2.0939698,2026-02-20 04:05:51.604000+00:00,61091.170736157335
,2026 DJ31,000000IOw4X2,23.752,,Lg,151.1128477,2.0940465,2026-02-20 04:07:52.288000+00:00,61091.17213296285
,2026 DJ31,000000IOw4X2,23.469,,Lg,151.1125162,2.0941345,2026-02-20 04:09:59.136000+00:00,61091.17360111093
,2026 DJ31,000000IOw4X2,23.649,,Lg,151.1122913,2.0942574,2026-02-20 04:11:19.885000+00:00,61091.17453570617
,2026 DJ31,000000IOw4X2,23.575,,Lg,151.1120611,2.0943277,2026-02-20 04:12:40.669000+00:00,61091.175470706075
,2026 DJ31,000000IOw4X2,23.395,,Lg,151.1119826,2.0943961,2026-02-20 04:13:20.930000+00:00,61091.1759366896
,2026 DJ31,000000IOw4X2,22.301,,Lz,151.1101882,2.094971,2026-02-20 04:24:08.656000+00:00,61091.183433518745
,2026 DJ31,000000IOw4X2,22.688,,Lz,151.1099432,2.0950087,2026-02-20 04:25:29.224000+00:00,61091.18436601851
,2026 DJ31,000000IOw4X2,22.584,,Lz,151.1098684,2.0950719,2026-02-20 04:26:09.659000+00:00,61091.18483401602
,2026 DJ31,000000IOw4X2,22.75,,Lr,151.1088665,2.0953999,2026-02-20 04:32:16.938000+00:00,61091.189084930345
,2026 DJ31,000000IOw4X2,22.81,,Lr,151.1085186,2.0955235,2026-02-20 04:34:26.440000+00:00,61091.19058379624
,2026 DJ31,000000IOw4X2,22.989,,Lr,151.1082973,2.0955922,2026-02-20 04:35:46.905000+00:00,61091.19151510438
,2026 DJ31,000000IOw4X2,22.975,,Lr,151.1080785,2.0956616,2026-02-20 04:37:07.847000+00:00,61091.19245193293
,2026 DJ31,000000IOw4X2,22.928,,Lr,151.1078505,2.0957325,2026-02-20 04:38:27.887000+00:00,61091.19337832183
,2026 DJ31,000000IOw4X2,23.125,,Lr,151.1076323,2.0957894,2026-02-20 04:39:48.135000+00:00,61091.19430711819
,2026 DJ31,000000IOw4X2,22.944,,Li,151.1072018,2.0959596,2026-02-20 04:42:25.487000+00:00,61091.19612832181
,2026 DJ31,000000IOw4X2,22.909,,Li,151.1069817,2.0960365,2026-02-20 04:43:46.151000+00:00,61091.197061932646
,2026 DJ31,000000IOw4X2,23.087,,Li,151.1068671,2.0960551,2026-02-20 04:44:26.377000+00:00,61091.19752751151
,2026 DJ31,000000IOw4X2,22.982,,Li,151.1063289,2.0962409,2026-02-20 04:47:50.018000+00:00,61091.19988446776
,2026 DJ31,000000IOw4X2,22.885,,Li,151.10588,2.0963862,2026-02-20 04:50:30.971000+00:00,61091.20174734946
,2026 DJ31,000000IOw4X2,22.909,,Li,151.1057486,2.0964376,2026-02-20 04:51:11.348000+00:00,61091.202214675955
,2026 DJ31,000000IOw4X2,23.513,,Lg,151.1052152,2.096601,2026-02-20 04:54:29.989000+00:00,61091.20451376168
,2026 DJ31,000000IOw4X2,23.538,,Lg,151.1048842,2.0967293,2026-02-20 04:56:30.261000+00:00,61091.20590579882
,2026 DJ31,000000IOw4X2,24.011,,Lg,151.1047911,2.0967498,2026-02-20 04:57:10.377000+00:00,61091.206370104104
,2026 DJ31,000000IOw4X2,23.352,,Lr,151.1012284,2.0979459,2026-02-20 05:18:50.787000+00:00,61091.221421145834
,2026 DJ31,000000IOw4X2,23.308,,Lr,151.1011217,2.0979478,2026-02-20 05:19:30.932000+00:00,61091.22188578686
