permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DK40,000000IOw981,21.827,,Li,149.8349305,1.4648381,2026-02-19 04:20:07.066000+00:00,61090.18063733773
,2026 DK40,000000IOw981,21.772,,Li,149.8345803,1.4649096,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2026 DK40,000000IOw981,22.567,,Lg,149.8330798,1.4652309,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DK40,000000IOw981,22.546,,Lg,149.8328004,1.4652943,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DK40,000000IOw981,22.519,,Lg,149.8327052,1.4653256,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DK40,000000IOw981,22.577,,Lg,149.8325792,1.4653341,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DK40,000000IOw981,22.59,,Lg,149.8324728,1.4653685,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DK40,000000IOw981,22.519,,Lg,149.8323542,1.4654082,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DK40,000000IOw981,22.521,,Lg,149.8321282,1.4654451,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DK40,000000IOw981,22.502,,Lg,149.8318907,1.4654898,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DK40,000000IOw981,22.543,,Lg,149.8317589,1.4655085,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DK40,000000IOw981,22.582,,Lg,149.8315381,1.46557,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DK40,000000IOw981,22.552,,Lg,149.8314192,1.4655836,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2026 DK40,000000IOw981,21.787,,Lz,149.8305431,1.4658304,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DK40,000000IOw981,21.711,,Lz,149.8304365,1.4658098,2026-02-19 04:46:06.716000+00:00,61090.19868884282
