permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DL37,000000IOw7w1,22.204,,Lr,150.0196954,1.7341916,2026-02-17 05:04:38.017000+00:00,61088.21155112283
,2026 DL37,000000IOw7w1,21.997,,Lz,150.0189058,1.7345848,2026-02-17 05:10:16.373000+00:00,61088.21546728024
,2026 DL37,000000IOw7w1,21.903,,Lz,150.0188629,1.7346326,2026-02-17 05:10:50.763000+00:00,61088.21586531261
,2026 DL37,000000IOw7w2,22.284,,Li,149.6462211,1.9402095,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DL37,000000IOw7w2,22.976,,Lg,149.6454142,1.9406642,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DL37,000000IOw7w2,22.878,,Lg,149.6452762,1.9407382,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DL37,000000IOw7w2,22.978,,Lg,149.6452124,1.9407806,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DL37,000000IOw7w2,22.878,,Lg,149.6450373,1.940871,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DL37,000000IOw7w2,23.049,,Lg,149.6449218,1.9409266,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DL37,000000IOw7w2,22.826,,Lg,149.6448547,1.9409788,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DL37,000000IOw7w2,22.881,,Lg,149.6447399,1.9410148,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2026 DL37,000000IOw7w2,22.975,,Lg,149.6445707,1.9411088,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DL37,000000IOw7w2,22.962,,Lg,149.6443667,1.9412152,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DL37,000000IOw7w2,22.887,,Lg,149.6442164,1.9413227,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DL37,000000IOw7w2,22.37,,Lz,149.6437329,1.9415778,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DL37,000000IOw7w2,22.296,,Lz,149.6436085,1.9416102,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DL37,000000IOw7w2,22.334,,Lz,149.6435243,1.94165,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DL37,000000IOw7w2,22.393,,Lz,149.6432428,1.9418266,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DL37,000000IOw7w2,22.197,,Lz,149.6430466,1.9419516,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2026 DL37,000000IOw7w2,22.594,,Lz,149.6426764,1.9421166,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2026 DL37,000000IOw7w2,22.4,,Lz,149.6425401,1.9421438,2026-02-19 04:51:28.132000+00:00,61090.20240893541
,2026 DL37,000000IOw7w2,22.246,,Lz,149.6426075,1.9421937,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2026 DL37,000000IOw7w2,22.488,,Lr,149.6420732,1.9424726,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2026 DL37,000000IOw7w2,22.335,,Lr,149.641936,1.9425587,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DL37,000000IOw7w2,22.456,,Lr,149.6418683,1.9425935,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DL37,000000IOw7w2,22.353,,Lr,149.6417665,1.942628,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2026 DL37,000000IOw7w2,22.475,,Lr,149.6416634,1.9426646,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DL37,000000IOw7w2,22.37,,Lr,149.641589,1.9427184,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DL37,000000IOw7w2,22.502,,Lr,149.6414896,1.9427705,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DL37,000000IOw7w2,22.473,,Lr,149.6414149,1.9428346,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DL37,000000IOw7w2,22.42,,Lr,149.6410383,1.9430329,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DL37,000000IOw7w2,22.453,,Lr,149.6409358,1.9430779,2026-02-19 05:03:40.023000+00:00,61090.210879895836
,2026 DL37,000000IOw7w2,22.376,,Lr,149.6407579,1.9431733,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2026 DL37,000000IOw7w2,22.175,,Li,149.6401875,1.9434692,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DL37,000000IOw7w2,22.355,,Li,149.6400152,1.9435716,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 DL37,000000IOw7w2,22.273,,Li,149.6397281,1.9437342,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DL37,000000IOw7w2,22.263,,Li,149.6392858,1.9439803,2026-02-19 05:15:54.536000+00:00,61090.219381203875
,2026 DL37,000000IOw7w2,22.326,,Li,149.6391997,1.9440225,2026-02-19 05:16:34.736000+00:00,61090.21984648146
,2026 DL37,000000IOw7w2,22.206,,Li,149.6390953,1.9440883,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DL37,000000IOw7w2,22.8,,Lg,149.638739,1.9443196,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DL37,000000IOw7w2,22.939,,Lg,149.6386442,1.9443374,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DL37,000000IOw7w2,22.936,,Lg,149.6385677,1.944379,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DL37,000000IOw7w2,22.806,,Lg,149.6384541,1.9444276,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DL37,000000IOw7w2,22.889,,Lg,149.6382726,1.9445161,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2026 DL37,000000IOw7w2,23.039,,Lg,149.6381691,1.9445736,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DL37,000000IOw7w2,22.786,,Lg,149.6379752,1.9446524,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DL37,000000IOw7w2,22.877,,Lg,149.6379165,1.9447385,2026-02-19 05:25:57.880000+00:00,61090.22636435181
