permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DM39,000000IOw8r1,22.416,,Lr,149.7525402,1.4954634,2026-02-17 05:04:38.017000+00:00,61088.21155112283
,2026 DM39,000000IOw8r1,22.459,,Lr,149.7524496,1.4954998,2026-02-17 05:05:18.134000+00:00,61088.212015439756
,2026 DM39,000000IOw8r1,22.44,,Lz,149.7513801,1.4960606,2026-02-17 05:13:06.058000+00:00,61088.217431226745
,2026 DM39,000000IOw8r2,22.509,,Li,149.3827,1.6908465,2026-02-19 04:20:47.241000+00:00,61090.181102326605
,2026 DM39,000000IOw8r2,22.485,,Li,149.3826093,1.6908918,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 DM39,000000IOw8r2,22.522,,Li,149.3824443,1.6909755,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2026 DM39,000000IOw8r2,22.454,,Li,149.3822711,1.6910706,2026-02-19 04:24:08.380000+00:00,61090.18343032431
,2026 DM39,000000IOw8r2,22.342,,Li,149.3818941,1.6912872,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2026 DM39,000000IOw8r2,23.04,,Lg,149.3813531,1.6915542,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DM39,000000IOw8r2,22.972,,Lg,149.3810771,1.6917032,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DM39,000000IOw8r2,23.004,,Lg,149.3808782,1.6917767,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DM39,000000IOw8r2,23.054,,Lg,149.3806929,1.6918913,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2026 DM39,000000IOw8r2,23.038,,Lg,149.380594,1.6919478,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DM39,000000IOw8r2,23.002,,Lg,149.3804232,1.692026,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DM39,000000IOw8r2,22.92,,Lg,149.3803427,1.6921004,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DM39,000000IOw8r2,22.911,,Lg,149.3802231,1.6921061,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DM39,000000IOw8r2,21.984,,Lz,149.3797184,1.6924093,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DM39,000000IOw8r2,22.089,,Lz,149.3793544,1.6925674,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DM39,000000IOw8r2,22.498,,Lz,149.3790035,1.6927676,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2026 DM39,000000IOw8r2,22.104,,Lz,149.3789183,1.6928018,2026-02-19 04:48:47.587000+00:00,61090.20055077551
,2026 DM39,000000IOw8r2,22.475,,Lz,149.3788401,1.6928417,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2026 DM39,000000IOw8r2,22.169,,Lz,149.3787566,1.6929213,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DM39,000000IOw8r2,22.431,,Lz,149.3785961,1.693019,2026-02-19 04:51:28.132000+00:00,61090.20240893541
