permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DN30,000000IOw4m1,22.962,,Lr,151.5915395,1.4777151,2026-02-17 05:04:38.017000+00:00,61088.21155112283
,2026 DN30,000000IOw4m1,22.856,,Lz,151.5909708,1.4777399,2026-02-17 05:08:01.225000+00:00,61088.21390306717
,2026 DN30,000000IOw4m1,22.762,,Lz,151.5905936,1.477812,2026-02-17 05:10:16.373000+00:00,61088.21546728024
,2026 DN30,000000IOw4m1,22.6,,Lz,151.5904811,1.4777854,2026-02-17 05:10:50.763000+00:00,61088.21586531261
,2026 DN30,000000IOw4m1,22.552,,Lz,151.5902859,1.477792,2026-02-17 05:12:25.821000+00:00,61088.216965520754
,2026 DN30,000000IOw4m1,22.679,,Lz,151.5901934,1.4777996,2026-02-17 05:13:06.058000+00:00,61088.217431226745
,2026 DN30,000000IOw4m2,22.648,,Li,151.1483321,1.5071486,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DN30,000000IOw4m2,22.797,,Li,151.1482269,1.5071463,2026-02-19 04:20:07.066000+00:00,61090.18063733773
,2026 DN30,000000IOw4m2,22.883,,Li,151.1480944,1.5071442,2026-02-19 04:20:47.241000+00:00,61090.181102326605
,2026 DN30,000000IOw4m2,22.634,,Li,151.1469327,1.5072515,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2026 DN30,000000IOw4m2,23.208,,Lg,151.1464684,1.5072651,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DN30,000000IOw4m2,23.138,,Lg,151.1462237,1.5073048,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DN30,000000IOw4m2,23.271,,Lg,151.1461226,1.5073424,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DN30,000000IOw4m2,23.189,,Lg,151.1456121,1.507345,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DN30,000000IOw4m2,23.121,,Lg,151.1451706,1.5073587,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DN30,000000IOw4m2,23.211,,Lg,151.1450729,1.5073559,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DN30,000000IOw4m2,22.624,,Lz,151.1442537,1.5073748,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DN30,000000IOw4m2,22.829,,Lz,151.1441603,1.5074641,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DN30,000000IOw4m2,22.511,,Lz,151.144004,1.507469,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 DN30,000000IOw4m2,22.688,,Lz,151.1439129,1.5074241,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DN30,000000IOw4m2,22.439,,Lz,151.1438354,1.5074701,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DN30,000000IOw4m2,22.555,,Lz,151.1433644,1.5074416,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DN30,000000IOw4m2,22.275,,Lz,151.1430306,1.5073805,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2026 DN30,000000IOw4m2,22.598,,Lr,151.142565,1.5075716,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2026 DN30,000000IOw4m2,22.71,,Lr,151.1422706,1.5075611,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DN30,000000IOw4m2,22.785,,Lr,151.1419735,1.5075802,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DN30,000000IOw4m2,22.663,,Lr,151.1418721,1.507621,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DN30,000000IOw4m2,22.698,,Lr,151.1414301,1.5076349,2026-02-19 05:02:19.715000+00:00,61090.20995040517
,2026 DN30,000000IOw4m2,22.686,,Lr,151.1413263,1.5076379,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DN30,000000IOw4m2,22.547,,Li,151.1405807,1.5076971,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2026 DN30,000000IOw4m2,22.57,,Li,151.1403516,1.5076983,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DN30,000000IOw4m2,22.59,,Li,151.1394762,1.5077648,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2026 DN30,000000IOw4m2,22.783,,Li,151.1390399,1.5077914,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DN30,000000IOw4m2,23.137,,Lg,151.138457,1.5078546,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DN30,000000IOw4m2,23.088,,Lg,151.1384366,1.5078656,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DN30,000000IOw4m2,23.014,,Lg,151.138297,1.50783,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DN30,000000IOw4m2,23.203,,Lg,151.1380953,1.5078564,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2026 DN30,000000IOw4m2,23.085,,Lg,151.1379595,1.5078465,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DN30,000000IOw4m2,23.052,,Lg,151.1374204,1.507899,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2026 DN30,000000IOw4m2,23.033,,Lg,151.137279,1.5079314,2026-02-19 05:27:58.637000+00:00,61090.2277620025
,2026 DN30,000000IOw4m2,23.117,,Lg,151.1371018,1.5079152,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2026 DN30,000000IOw4m2,22.415,,Lz,151.136654,1.5079903,2026-02-19 05:31:59.965000+00:00,61090.23055515066
,2026 DN30,000000IOw4m2,22.531,,Lz,151.1364444,1.5079673,2026-02-19 05:33:17.878000+00:00,61090.231456921436
