permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DO31,000000IOw561,23.259,,Li,150.9731778,1.5537985,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DO31,000000IOw561,23.165,,Li,150.9730957,1.5537774,2026-02-19 04:20:07.066000+00:00,61090.18063733773
,2026 DO31,000000IOw561,23.362,,Li,150.9728432,1.5537884,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 DO31,000000IOw561,23.172,,Li,150.9727585,1.5538509,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2026 DO31,000000IOw561,23.516,,Li,150.9726004,1.553821,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2026 DO31,000000IOw561,23.311,,Li,150.9725332,1.5538175,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DO31,000000IOw561,23.272,,Li,150.9719669,1.5538752,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2026 DO31,000000IOw561,23.307,,Li,150.9718231,1.5538927,2026-02-19 04:27:30.290000+00:00,61090.18576724548
,2026 DO31,000000IOw561,23.952,,Lg,150.9711935,1.5539432,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DO31,000000IOw561,23.618,,Lg,150.9710008,1.5539272,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DO31,000000IOw561,23.963,,Lg,150.9708388,1.5539843,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DO31,000000IOw561,22.888,,Lz,150.968983,1.5540999,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DO31,000000IOw561,22.816,,Lz,150.9687389,1.5541861,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 DO31,000000IOw561,23.189,,Lr,150.9670873,1.5542718,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2026 DO31,000000IOw561,22.98,,Lr,150.9669416,1.5543099,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DO31,000000IOw561,23.54,,Lr,150.9668276,1.5542724,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DO31,000000IOw561,23.553,,Lr,150.966695,1.5543289,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2026 DO31,000000IOw561,23.3,,Lr,150.9664247,1.5543116,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DO31,000000IOw561,23.969,,Lr,150.9662116,1.5544022,2026-02-19 05:00:58.918000+00:00,61090.20901525486
,2026 DO31,000000IOw561,23.344,,Lr,150.9660146,1.554351,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2026 DO31,000000IOw561,23.283,,Lr,150.9657731,1.554349,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DO31,000000IOw561,23.25,,Lr,150.9655636,1.5543771,2026-02-19 05:04:20.278000+00:00,61090.21134580998
,2026 DO31,000000IOw561,23.023,,Li,150.9645908,1.5544668,2026-02-19 05:09:52.364000+00:00,61090.21518939827
,2026 DO31,000000IOw561,23.018,,Li,150.9641989,1.5544426,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2026 DO31,000000IOw561,23.271,,Lg,150.9628606,1.554616,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DO31,000000IOw561,23.125,,Lg,150.9628336,1.5545206,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DO31,000000IOw561,23.423,,Lg,150.9627365,1.5545772,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DO31,000000IOw561,23.511,,Lg,150.9624324,1.5546689,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2026 DO31,000000IOw561,23.604,,Lg,150.9621621,1.5546373,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DO31,000000IOw561,23.708,,Lg,150.9621306,1.5546213,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DO31,000000IOw561,23.832,,Lg,150.9619931,1.5546599,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DO31,000000IOw561,22.834,,Lz,150.9606721,1.5547851,2026-02-19 05:32:37.606000+00:00,61090.23099081032
,2026 DO31,000000IOw561,22.938,,Lz,150.9598783,1.5548487,2026-02-19 05:37:59.889000+00:00,61090.23472093744
,2026 DO31,000000IOw561,23.169,,Lr,150.9585576,1.5549559,2026-02-19 05:45:25.639000+00:00,61090.2398800808
,2026 DO31,000000IOw561,22.989,,Lr,150.9584203,1.5549657,2026-02-19 05:46:05.912000+00:00,61090.24034620356
,2026 DO31,000000IOw561,23.062,,Lr,150.958074,1.5549858,2026-02-19 05:48:06.925000+00:00,61090.24174681725
,2026 DO31,000000IOw561,22.985,,Lr,150.9580007,1.5549504,2026-02-19 05:48:47.249000+00:00,61090.24221353
,2026 DO31,000000IOw561,23.01,,Lr,150.9578583,1.5550061,2026-02-19 05:49:27.424000+00:00,61090.24267851841
,2026 DO31,000000IOw561,23.092,,Lr,150.9577449,1.5550268,2026-02-19 05:50:07.849000+00:00,61090.24314640043
,2026 DO31,000000IOw561,23.159,,Lr,150.9575308,1.5550104,2026-02-19 05:51:28.309000+00:00,61090.244077650364
,2026 DO31,000000IOw562,22.722,,Lr,150.7249246,1.5751264,2026-02-20 05:22:22.511000+00:00,61091.2238716553
,2026 DO31,000000IOw562,22.797,,Lr,150.724223,1.5752167,2026-02-20 05:26:24.081000+00:00,61091.22666760394
,2026 DO31,000000IOw562,22.807,,Lr,150.7238992,1.5752118,2026-02-20 05:28:24.341000+00:00,61091.22805950232
,2026 DO31,000000IOw562,22.642,,Li,150.7102023,1.5764302,2026-02-20 06:49:10.786000+00:00,61091.284152615815
,2026 DO31,000000IOw562,22.405,,Li,150.7101078,1.5764114,2026-02-20 06:49:51.129000+00:00,61091.284619548824
,2026 DO31,000000IOw563,22.694,,Li,150.0430054,1.6425698,2026-02-23 02:54:09.099000+00:00,61094.120938645676
,2026 DO31,000000IOw563,22.723,,Li,150.0428809,1.6426243,2026-02-23 02:54:49.350000+00:00,61094.12140451372
,2026 DO31,000000IOw563,22.747,,Li,150.0425349,1.6426426,2026-02-23 02:56:50.064000+00:00,61094.122801666614
,2026 DO31,000000IOw563,22.867,,Li,150.0424328,1.6426624,2026-02-23 02:57:30.168000+00:00,61094.12326583313
,2026 DO31,000000IOw563,22.711,,Li,150.0418885,1.6426978,2026-02-23 03:00:52.154000+00:00,61094.1256036344
,2026 DO31,000000IOw563,22.635,,Li,150.0416266,1.6427374,2026-02-23 03:02:12.794000+00:00,61094.1265369677
,2026 DO31,000000IOw563,23.27,,Lg,150.0396667,1.6429311,2026-02-23 03:14:01.241000+00:00,61094.13473658543
,2026 DO31,000000IOw563,23.303,,Lg,150.0394735,1.6429654,2026-02-23 03:15:21.897000+00:00,61094.135670104064
,2026 DO31,000000IOw563,23.311,,Lg,150.0390009,1.6430182,2026-02-23 03:18:19.868000+00:00,61094.13772995351
,2026 DO31,000000IOw563,23.363,,Lg,150.03871,1.6430265,2026-02-23 03:19:40.236000+00:00,61094.13866013894
,2026 DO31,000000IOw563,22.606,,Lz,150.0377985,1.6431226,2026-02-23 03:25:06.069000+00:00,61094.14243135415
,2026 DO31,000000IOw563,22.637,,Lz,150.037463,1.6431477,2026-02-23 03:27:09.806000+00:00,61094.14386349544
,2026 DO31,000000IOw563,22.479,,Lz,150.0373432,1.6431822,2026-02-23 03:27:50.242000+00:00,61094.14433150459
,2026 DO31,000000IOw563,23.286,,Lg,150.0313001,1.6438006,2026-02-23 04:03:56.079000+00:00,61094.16939906264
,2026 DO31,000000IOw563,23.303,,Lg,150.0312042,1.6438247,2026-02-23 04:04:36.388000+00:00,61094.169865601696
,2026 DO31,000000IOw563,23.211,,Lg,150.0310846,1.6438216,2026-02-23 04:05:17.256000+00:00,61094.17033861112
,2026 DO31,000000IOw563,23.346,,Lg,150.0308735,1.6438363,2026-02-23 04:06:41.209000+00:00,61094.1713102893
,2026 DO31,000000IOw563,23.255,,Lg,150.0304858,1.6439008,2026-02-23 04:08:44.599000+00:00,61094.17273841426
,2026 DO31,000000IOw563,23.222,,Lg,150.0303,1.643912,2026-02-23 04:09:52.140000+00:00,61094.17352013895
,2026 DO31,000000IOw563,23.236,,Lg,150.030096,1.6439532,2026-02-23 04:11:12.310000+00:00,61094.1744480324
,2026 DO31,000000IOw563,22.669,,Lz,150.0295636,1.6439767,2026-02-23 04:14:01.702000+00:00,61094.176408587955
,2026 DO31,000000IOw563,22.644,,Lz,150.029481,1.6440261,2026-02-23 04:14:41.671000+00:00,61094.176871192176
,2026 DO31,000000IOw563,22.563,,Lz,150.0292858,1.6440319,2026-02-23 04:16:02.777000+00:00,61094.177809918765
,2026 DO31,000000IOw563,22.734,,Lz,150.0289005,1.6440453,2026-02-23 04:18:08.473000+00:00,61094.17926473357
,2026 DO31,000000IOw563,22.673,,Lz,150.0285867,1.6441207,2026-02-23 04:20:11.268000+00:00,61094.18068597233
,2026 DO31,000000IOw563,22.834,,Lz,150.0282116,1.6441345,2026-02-23 04:22:27.010000+00:00,61094.18225705996
,2026 DO31,000000IOw563,22.525,,Lz,150.0280816,1.6441481,2026-02-23 04:23:07.135000+00:00,61094.18272147002
,2026 DO31,000000IOw563,22.818,,Lr,150.027517,1.6441965,2026-02-23 04:26:28.599000+00:00,61094.18505322933
,2026 DO31,000000IOw563,22.917,,Lr,150.0274261,1.6442201,2026-02-23 04:27:08.932000+00:00,61094.18552004639
,2026 DO31,000000IOw563,22.918,,Lr,150.027313,1.6442207,2026-02-23 04:27:49.487000+00:00,61094.18598943297
,2026 DO31,000000IOw563,22.904,,Lr,150.0268537,1.6442808,2026-02-23 04:30:33.293000+00:00,61094.18788533565
,2026 DO31,000000IOw563,22.896,,Lr,150.0262877,1.6443301,2026-02-23 04:33:58.273000+00:00,61094.19025778957
,2026 DO31,000000IOw564,22.751,,Li,149.8150976,1.667857,2026-02-24 02:23:51.213000+00:00,61095.09989829874
,2026 DO31,000000IOw564,22.782,,Li,149.814775,1.667893,2026-02-24 02:25:53.066000+00:00,61095.10130863404
,2026 DO31,000000IOw564,22.514,,Li,149.8146679,1.6679191,2026-02-24 02:26:33.282000+00:00,61095.10177409742
,2026 DO31,000000IOw564,23.336,,Lg,149.8136461,1.6680499,2026-02-24 02:32:49.105000+00:00,61095.10612390051
,2026 DO31,000000IOw564,23.245,,Lg,149.8134241,1.6680591,2026-02-24 02:34:10.106000+00:00,61095.107061412185
,2026 DO31,000000IOw564,23.169,,Lg,149.8132895,1.6680614,2026-02-24 02:34:50.587000+00:00,61095.107529941946
