permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DQ29,000000IOw4d1,21.73,,Li,150.6268643,1.1840665,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DQ29,000000IOw4d1,22.208,,Lg,150.624854,1.184703,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DQ29,000000IOw4d1,22.234,,Lg,150.6245164,1.1848009,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DQ29,000000IOw4d1,22.204,,Lg,150.6243044,1.1848785,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DQ29,000000IOw4d1,22.182,,Lg,150.6241911,1.1849075,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2026 DQ29,000000IOw4d1,22.22,,Lg,150.6240791,1.18495,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DQ29,000000IOw4d1,22.171,,Lg,150.6239735,1.1849706,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DQ29,000000IOw4d1,22.292,,Lg,150.6238634,1.1850165,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DQ29,000000IOw4d1,22.222,,Lg,150.6237575,1.1850432,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DQ29,000000IOw4d1,22.198,,Lg,150.6236423,1.1850695,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DQ29,000000IOw4d1,22.218,,Lg,150.623536,1.1851142,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DQ29,000000IOw4d1,22.225,,Lg,150.6234267,1.1851451,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2026 DQ29,000000IOw4d1,21.533,,Lz,150.622588,1.1854058,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DQ29,000000IOw4d1,21.63,,Lz,150.6225007,1.1854434,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 DQ29,000000IOw4d1,21.548,,Lz,150.6222797,1.1855086,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DQ29,000000IOw4d1,21.535,,Lz,150.6221782,1.1855416,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2026 DQ29,000000IOw4d1,21.658,,Lz,150.6219633,1.1856136,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2026 DQ29,000000IOw4d1,21.68,,Lz,150.6218364,1.1856745,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DQ29,000000IOw4d1,21.795,,Lz,150.621579,1.1857263,2026-02-19 04:51:28.132000+00:00,61090.20240893541
,2026 DQ29,000000IOw4d1,21.566,,Lz,150.6214928,1.1857548,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2026 DQ29,000000IOw4d1,21.743,,Lr,150.6208232,1.1859705,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DQ29,000000IOw4d1,21.8,,Lr,150.620595,1.1860435,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2026 DQ29,000000IOw4d1,21.762,,Lr,150.6204981,1.1860773,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DQ29,000000IOw4d1,21.786,,Lr,150.620374,1.1861192,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DQ29,000000IOw4d1,21.762,,Lr,150.6202519,1.1861524,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DQ29,000000IOw4d1,21.802,,Lr,150.6201679,1.1861836,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DQ29,000000IOw4d1,21.819,,Lr,150.6200308,1.1862301,2026-02-19 05:00:58.918000+00:00,61090.20901525486
,2026 DQ29,000000IOw4d1,21.781,,Lr,150.6198155,1.1862809,2026-02-19 05:02:19.715000+00:00,61090.20995040517
,2026 DQ29,000000IOw4d1,21.735,,Lr,150.6197018,1.1863273,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DQ29,000000IOw4d1,21.773,,Lr,150.619591,1.1863565,2026-02-19 05:03:40.023000+00:00,61090.210879895836
,2026 DQ29,000000IOw4d1,21.756,,Lr,150.6194896,1.1863903,2026-02-19 05:04:20.278000+00:00,61090.21134580998
,2026 DQ29,000000IOw4d1,21.755,,Lr,150.6193817,1.1864348,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2026 DQ29,000000IOw4d1,21.693,,Li,150.6181419,1.1868107,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DQ29,000000IOw4d1,21.674,,Li,150.6179152,1.1868823,2026-02-19 05:13:53.580000+00:00,61090.217981250025
,2026 DQ29,000000IOw4d1,21.77,,Li,150.6174736,1.1870382,2026-02-19 05:16:34.736000+00:00,61090.21984648146
,2026 DQ29,000000IOw4d1,22.261,,Lg,150.6165859,1.1873041,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DQ29,000000IOw4d1,22.24,,Lg,150.6164753,1.1873457,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2026 DQ29,000000IOw4d1,22.137,,Lg,150.6163793,1.1873791,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2026 DQ29,000000IOw4d1,22.156,,Lg,150.6162647,1.1874023,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DQ29,000000IOw4d1,22.215,,Lg,150.6161333,1.1874427,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DQ29,000000IOw4d1,22.205,,Lg,150.6159404,1.1875243,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DQ29,000000IOw4d1,22.168,,Lg,150.6156998,1.1875788,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2026 DQ29,000000IOw4d1,22.215,,Lg,150.6154951,1.1876578,2026-02-19 05:28:38.854000+00:00,61090.228227477055
,2026 DQ29,000000IOw4d1,21.656,,Lz,150.6148439,1.1878841,2026-02-19 05:32:37.606000+00:00,61090.23099081032
,2026 DQ29,000000IOw4d1,21.646,,Lz,150.614744,1.1878917,2026-02-19 05:33:17.878000+00:00,61090.231456921436
,2026 DQ29,000000IOw4d1,21.608,,Lz,150.6146104,1.1879583,2026-02-19 05:33:58.133000+00:00,61090.23192283558
,2026 DQ29,000000IOw4d1,21.629,,Lz,150.6145071,1.1879814,2026-02-19 05:34:38.382000+00:00,61090.232388680335
,2026 DQ29,000000IOw4d1,21.667,,Lz,150.6144115,1.1880226,2026-02-19 05:35:18.735000+00:00,61090.23285572929
,2026 DQ29,000000IOw4d1,21.655,,Lz,150.6142785,1.1880357,2026-02-19 05:35:59.080000+00:00,61090.23332268512
,2026 DQ29,000000IOw4d1,21.636,,Lz,150.6140799,1.1881,2026-02-19 05:37:19.580000+00:00,61090.23425439792
,2026 DQ29,000000IOw4d1,21.588,,Lz,150.6138084,1.1881722,2026-02-19 05:38:40.559000+00:00,61090.23519165488
,2026 DQ29,000000IOw4d1,21.733,,Lr,150.612971,1.1884425,2026-02-19 05:44:01.312000+00:00,61090.2389040743
,2026 DQ29,000000IOw4d1,21.809,,Lr,150.6127296,1.1885212,2026-02-19 05:45:25.639000+00:00,61090.2398800808
,2026 DQ29,000000IOw4d1,21.806,,Lr,150.6122918,1.1886703,2026-02-19 05:48:06.925000+00:00,61090.24174681725
,2026 DQ29,000000IOw4d1,21.762,,Lr,150.6120775,1.1887305,2026-02-19 05:49:27.424000+00:00,61090.24267851841
,2026 DQ29,000000IOw4d1,21.787,,Lr,150.6119653,1.1887647,2026-02-19 05:50:07.849000+00:00,61090.24314640043
,2026 DQ29,000000IOw4d1,21.81,,Lr,150.6117383,1.1888362,2026-02-19 05:51:28.309000+00:00,61090.244077650364
,2026 DQ29,000000IOw4d1,21.749,,Lr,150.6115175,1.1889179,2026-02-19 05:52:48.729000+00:00,61090.24500843743
,2026 DQ29,000000IOw4d1,21.766,,Lr,150.5892325,1.1959935,2026-02-19 08:09:15.886000+00:00,61090.33976719901
,2026 DQ29,000000IOw4d1,21.869,,Lz,150.58876,1.1961856,2026-02-19 08:12:01.968000+00:00,61090.34168944461
,2026 DQ29,000000IOw4d1,21.547,,Lz,150.5886847,1.1961902,2026-02-19 08:12:42.458000+00:00,61090.34215807868
,2026 DQ29,000000IOw4d2,21.726,,Li,150.4042929,1.2586932,2026-02-20 03:56:59.657000+00:00,61091.16457936354
,2026 DQ29,000000IOw4d2,21.735,,Li,150.4038559,1.2588364,2026-02-20 03:59:40.297000+00:00,61091.166438622866
,2026 DQ29,000000IOw4d2,21.744,,Li,150.4036401,1.2589116,2026-02-20 04:01:00.920000+00:00,61091.16737175919
,2026 DQ29,000000IOw4d2,21.727,,Li,150.4034197,1.2589773,2026-02-20 04:02:21.356000+00:00,61091.16830273159
,2026 DQ29,000000IOw4d2,21.762,,Li,150.4033021,1.2590091,2026-02-20 04:03:01.275000+00:00,61091.16876475699
,2026 DQ29,000000IOw4d2,22.206,,Lg,150.4028456,1.2591532,2026-02-20 04:05:51.604000+00:00,61091.170736157335
,2026 DQ29,000000IOw4d2,22.226,,Lg,150.402615,1.2592314,2026-02-20 04:07:12.208000+00:00,61091.17166907387
,2026 DQ29,000000IOw4d2,22.19,,Lg,150.4022738,1.2593442,2026-02-20 04:09:19.249000+00:00,61091.173139456194
,2026 DQ29,000000IOw4d2,22.222,,Lg,150.4020471,1.2594184,2026-02-20 04:10:39.462000+00:00,61091.17406784743
,2026 DQ29,000000IOw4d2,22.224,,Lg,150.4017204,1.2595179,2026-02-20 04:12:40.669000+00:00,61091.175470706075
,2026 DQ29,000000IOw4d2,22.231,,Lg,150.4016032,1.2595678,2026-02-20 04:13:20.930000+00:00,61091.1759366896
,2026 DQ29,000000IOw4d2,21.657,,Lz,150.4008135,1.2598198,2026-02-20 04:18:08.118000+00:00,61091.17926062504
,2026 DQ29,000000IOw4d2,21.768,,Lz,150.4007234,1.2598518,2026-02-20 04:18:48.471000+00:00,61091.17972767353
,2026 DQ29,000000IOw4d2,21.761,,Lz,150.4004924,1.2599369,2026-02-20 04:20:09.359000+00:00,61091.18066387717
