permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DR33,000000IOw631,21.969,,Lr,150.8912779,1.1837191,2026-02-17 05:04:38.017000+00:00,61088.21155112283
,2026 DR33,000000IOw631,21.981,,Lz,150.890583,1.1836792,2026-02-17 05:08:35.589000+00:00,61088.21430079872
,2026 DR33,000000IOw631,21.897,,Lz,150.8901907,1.1836721,2026-02-17 05:10:50.763000+00:00,61088.21586531261
,2026 DR33,000000IOw631,21.859,,Lz,150.8897806,1.1836499,2026-02-17 05:13:06.058000+00:00,61088.217431226745
,2026 DR33,000000IOw632,21.981,,Li,150.4050974,1.1637193,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2026 DR33,000000IOw632,22.037,,Li,150.4047641,1.1637211,2026-02-19 04:24:08.380000+00:00,61090.18343032431
,2026 DR33,000000IOw632,22.837,,Lg,150.4032795,1.1636728,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DR33,000000IOw632,22.733,,Lg,150.40318,1.1636538,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DR33,000000IOw632,22.798,,Lg,150.4028079,1.1636634,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DR33,000000IOw632,22.712,,Lg,150.4027145,1.1636528,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2026 DR33,000000IOw632,22.767,,Lg,150.4025755,1.1636492,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DR33,000000IOw632,22.692,,Lg,150.4018789,1.1636185,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2026 DR33,000000IOw632,22.043,,Lz,150.4010994,1.163634,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DR33,000000IOw632,21.885,,Lz,150.401,1.1635801,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DR33,000000IOw632,21.96,,Lz,150.4007409,1.163584,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DR33,000000IOw632,21.999,,Lz,150.4006542,1.1635701,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DR33,000000IOw632,22.03,,Lz,150.4004997,1.1635816,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2026 DR33,000000IOw632,22.28,,Lz,150.4004495,1.1635689,2026-02-19 04:48:47.587000+00:00,61090.20055077551
,2026 DR33,000000IOw632,21.747,,Lz,150.4001389,1.1635759,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DR33,000000IOw632,21.944,,Lz,150.4001085,1.1636198,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2026 DR33,000000IOw632,22.022,,Lz,150.3996675,1.1635585,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DR33,000000IOw632,22.059,,Lr,150.3990826,1.1635272,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DR33,000000IOw632,21.971,,Lr,150.3988487,1.1635263,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2026 DR33,000000IOw632,22.103,,Lr,150.398484,1.1635083,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DR33,000000IOw632,21.985,,Lr,150.3983532,1.1635029,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DR33,000000IOw632,22.017,,Lr,150.3981252,1.1635089,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2026 DR33,000000IOw632,21.967,,Lr,150.3978794,1.163496,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DR33,000000IOw632,21.967,,Lr,150.3976522,1.1634811,2026-02-19 05:04:20.278000+00:00,61090.21134580998
,2026 DR33,000000IOw632,21.758,,Li,150.3968166,1.16346,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DR33,000000IOw632,21.861,,Li,150.396438,1.1634456,2026-02-19 05:11:12.786000+00:00,61090.21612020815
,2026 DR33,000000IOw632,21.903,,Li,150.3962067,1.1634283,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DR33,000000IOw632,21.862,,Li,150.3960842,1.1634315,2026-02-19 05:13:13.238000+00:00,61090.21751432866
,2026 DR33,000000IOw632,22.559,,Lg,150.3949235,1.163405,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DR33,000000IOw632,22.613,,Lg,150.3948187,1.1634002,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DR33,000000IOw632,22.635,,Lg,150.3945836,1.1633823,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DR33,000000IOw632,22.613,,Lg,150.394056,1.1633408,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DR33,000000IOw632,22.544,,Lg,150.3939576,1.1633782,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DR33,000000IOw632,22.545,,Lg,150.3938293,1.1633604,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DR33,000000IOw632,22.613,,Lg,150.3933751,1.1633468,2026-02-19 05:28:38.854000+00:00,61090.228227477055
,2026 DR33,000000IOw632,21.849,,Lz,150.3927441,1.1633346,2026-02-19 05:31:59.965000+00:00,61090.23055515066
,2026 DR33,000000IOw632,21.909,,Lz,150.3926511,1.1633248,2026-02-19 05:32:37.606000+00:00,61090.23099081032
,2026 DR33,000000IOw632,21.924,,Lz,150.3920669,1.1633153,2026-02-19 05:35:59.080000+00:00,61090.23332268512
,2026 DR33,000000IOw632,22.006,,Lz,150.3919757,1.1633396,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2026 DR33,000000IOw632,21.886,,Lz,150.3918418,1.1632573,2026-02-19 05:37:19.580000+00:00,61090.23425439792
,2026 DR33,000000IOw632,21.964,,Lz,150.3917009,1.163312,2026-02-19 05:37:59.889000+00:00,61090.23472093744
,2026 DR33,000000IOw632,21.915,,Lz,150.39128,1.1632619,2026-02-19 05:40:40.888000+00:00,61090.236584351864
,2026 DR33,000000IOw632,21.888,,Lz,150.3911466,1.1632978,2026-02-19 05:41:21.268000+00:00,61090.237051712815
,2026 DR33,000000IOw632,22.057,,Lr,150.3906581,1.1632585,2026-02-19 05:44:01.312000+00:00,61090.2389040743
,2026 DR33,000000IOw632,22.048,,Lr,150.3905248,1.1632417,2026-02-19 05:44:45.221000+00:00,61090.239412280265
,2026 DR33,000000IOw632,21.965,,Lr,150.390399,1.163234,2026-02-19 05:45:25.639000+00:00,61090.2398800808
,2026 DR33,000000IOw632,21.96,,Lr,150.390157,1.1632208,2026-02-19 05:46:46.204000+00:00,61090.24081254611
,2026 DR33,000000IOw632,21.936,,Lr,150.3898227,1.1631917,2026-02-19 05:48:47.249000+00:00,61090.24221353
,2026 DR33,000000IOw632,21.867,,Lr,150.3896995,1.1631885,2026-02-19 05:49:27.424000+00:00,61090.24267851841
,2026 DR33,000000IOw632,21.897,,Lr,150.3896019,1.1631964,2026-02-19 05:50:07.849000+00:00,61090.24314640043
,2026 DR33,000000IOw632,22.065,,Lr,150.3892314,1.1632013,2026-02-19 05:52:08.529000+00:00,61090.244543159846
,2026 DR33,000000IOw632,22.066,,Lr,150.3891103,1.1631957,2026-02-19 05:52:48.729000+00:00,61090.24500843743
,2026 DR33,000000IOw632,22.079,,Lr,150.3889938,1.1632062,2026-02-19 05:53:29.326000+00:00,61090.24547831016
