permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DS30,000000IOw4h1,22.078,,Lr,150.5443011,1.763347,2026-02-17 05:04:38.017000+00:00,61088.21155112283
,2026 DS30,000000IOw4h1,21.9,,Lz,150.5437647,1.7635369,2026-02-17 05:08:35.589000+00:00,61088.21430079872
,2026 DS30,000000IOw4h2,21.82,,Li,150.172535,1.9025244,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DS30,000000IOw4h2,21.923,,Li,150.1719917,1.9027202,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DS30,000000IOw4h2,21.898,,Li,150.1718833,1.9027455,2026-02-19 04:24:08.380000+00:00,61090.18343032431
,2026 DS30,000000IOw4h2,21.846,,Li,150.1716163,1.9028471,2026-02-19 04:26:09.935000+00:00,61090.18483721046
,2026 DS30,000000IOw4h2,21.918,,Li,150.171341,1.9029521,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2026 DS30,000000IOw4h2,22.352,,Lg,150.1709821,1.9030774,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DS30,000000IOw4h2,22.431,,Lg,150.1705878,1.9032217,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DS30,000000IOw4h2,22.473,,Lg,150.1704159,1.9032906,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DS30,000000IOw4h2,22.477,,Lg,150.1702108,1.9033571,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DS30,000000IOw4h2,22.422,,Lg,150.1700385,1.9034423,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DS30,000000IOw4h2,22.462,,Lg,150.169859,1.9034944,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DS30,000000IOw4h2,22.485,,Lg,150.1697681,1.9035208,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DS30,000000IOw4h2,21.908,,Lz,150.1693016,1.9037142,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DS30,000000IOw4h2,21.966,,Lz,150.1691868,1.903752,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DS30,000000IOw4h2,21.84,,Lz,150.1691061,1.9037728,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DS30,000000IOw4h2,21.938,,Lz,150.1688253,1.9038939,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DS30,000000IOw4h2,22.084,,Lz,150.1685591,1.9039369,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2026 DS30,000000IOw4h2,21.985,,Lz,150.168468,1.9040079,2026-02-19 04:48:47.587000+00:00,61090.20055077551
,2026 DS30,000000IOw4h2,21.92,,Lz,150.1683894,1.9040757,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DS30,000000IOw4h2,21.84,,Lz,150.1682526,1.9040715,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2026 DS30,000000IOw4h2,21.836,,Lz,150.1680502,1.9041313,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2026 DS30,000000IOw4h2,22.014,,Lr,150.1676513,1.9043195,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2026 DS30,000000IOw4h2,22.13,,Lr,150.1675346,1.9043544,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DS30,000000IOw4h2,22.017,,Lr,150.1674316,1.9044124,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DS30,000000IOw4h2,21.989,,Lr,150.1671616,1.9044988,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DS30,000000IOw4h2,22.067,,Lr,150.1669816,1.9045603,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DS30,000000IOw4h2,21.923,,Li,150.1659607,1.9049409,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2026 DS30,000000IOw4h2,21.901,,Li,150.1655936,1.9050679,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 DS30,000000IOw4h2,21.936,,Li,150.1650332,1.9052637,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2026 DS30,000000IOw4h2,21.988,,Li,150.1647757,1.9053885,2026-02-19 05:16:34.736000+00:00,61090.21984648146
,2026 DS30,000000IOw4h2,22.405,,Lg,150.1643122,1.9055168,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DS30,000000IOw4h2,22.379,,Lg,150.1635886,1.9058147,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DS30,000000IOw4h2,22.511,,Lg,150.1635159,1.9058525,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DS30,000000IOw4h2,22.44,,Lg,150.1634175,1.9058957,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2026 DS30,000000IOw4h2,22.464,,Lg,150.1631396,1.9059971,2026-02-19 05:28:38.854000+00:00,61090.228227477055
,2026 DS30,000000IOw4h2,22.363,,Lg,150.163052,1.9060182,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2026 DS30,000000IOw4h2,21.971,,Lz,150.1626395,1.9061423,2026-02-19 05:31:59.965000+00:00,61090.23055515066
,2026 DS30,000000IOw4h2,21.961,,Lz,150.1625099,1.9062222,2026-02-19 05:33:17.878000+00:00,61090.231456921436
,2026 DS30,000000IOw4h2,21.889,,Lz,150.1623313,1.9062946,2026-02-19 05:34:38.382000+00:00,61090.232388680335
,2026 DS30,000000IOw4h2,21.928,,Lz,150.1621611,1.9063361,2026-02-19 05:35:59.080000+00:00,61090.23332268512
,2026 DS30,000000IOw4h2,22.051,,Lz,150.16207,1.9063712,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2026 DS30,000000IOw4h2,21.892,,Lz,150.1619784,1.9063982,2026-02-19 05:37:19.580000+00:00,61090.23425439792
,2026 DS30,000000IOw4h2,21.894,,Lz,150.161874,1.906446,2026-02-19 05:37:59.889000+00:00,61090.23472093744
,2026 DS30,000000IOw4h2,22.086,,Lz,150.1617995,1.9064825,2026-02-19 05:38:40.559000+00:00,61090.23519165488
,2026 DS30,000000IOw4h2,22.053,,Lr,150.1610483,1.9067498,2026-02-19 05:44:01.312000+00:00,61090.2389040743
,2026 DS30,000000IOw4h2,22.059,,Lr,150.1609623,1.9067911,2026-02-19 05:44:45.221000+00:00,61090.239412280265
,2026 DS30,000000IOw4h2,22.014,,Lr,150.1608583,1.9068148,2026-02-19 05:45:25.639000+00:00,61090.2398800808
,2026 DS30,000000IOw4h2,22.119,,Lr,150.16068,1.9068828,2026-02-19 05:46:46.204000+00:00,61090.24081254611
,2026 DS30,000000IOw4h2,22.09,,Lr,150.1604904,1.9069493,2026-02-19 05:48:06.925000+00:00,61090.24174681725
,2026 DS30,000000IOw4h2,21.992,,Lr,150.1604089,1.9069796,2026-02-19 05:48:47.249000+00:00,61090.24221353
,2026 DS30,000000IOw4h2,22.107,,Lr,150.160299,1.90702,2026-02-19 05:49:27.424000+00:00,61090.24267851841
,2026 DS30,000000IOw4h2,22.066,,Lr,150.1602255,1.907052,2026-02-19 05:50:07.849000+00:00,61090.24314640043
,2026 DS30,000000IOw4h2,22.011,,Lr,150.1601368,1.9070913,2026-02-19 05:50:48.141000+00:00,61090.24361274298
,2026 DS30,000000IOw4h2,22.055,,Lr,150.1599492,1.907152,2026-02-19 05:52:08.529000+00:00,61090.244543159846
,2026 DS30,000000IOw4h2,22.17,,Lr,150.159766,1.9072173,2026-02-19 05:53:29.326000+00:00,61090.24547831016
,2026 DS30,000000IOw4h3,21.976,,Li,149.9873354,1.9739452,2026-02-20 03:53:33.166000+00:00,61091.162189421244
,2026 DS30,000000IOw4h3,21.917,,Li,149.9872424,1.9739805,2026-02-20 03:54:13.158000+00:00,61091.16265229182
,2026 DS30,000000IOw4h3,22.015,,Li,149.9871629,1.9740213,2026-02-20 03:54:53.611000+00:00,61091.163120497484
,2026 DS30,000000IOw4h3,21.965,,Li,149.9868675,1.9741217,2026-02-20 03:56:59.657000+00:00,61091.16457936354
,2026 DS30,000000IOw4h3,21.983,,Li,149.9864114,1.9742882,2026-02-20 04:00:20.777000+00:00,61091.166907140985
,2026 DS30,000000IOw4h3,21.978,,Li,149.9863372,1.9743417,2026-02-20 04:01:00.920000+00:00,61091.16737175919
,2026 DS30,000000IOw4h3,21.923,,Li,149.986048,1.9744367,2026-02-20 04:03:01.275000+00:00,61091.16876475699
,2026 DS30,000000IOw4h3,22.445,,Lg,149.9854868,1.974659,2026-02-20 04:07:12.208000+00:00,61091.17166907387
,2026 DS30,000000IOw4h3,22.466,,Lg,149.9851013,1.9747769,2026-02-20 04:09:59.136000+00:00,61091.17360111093
,2026 DS30,000000IOw4h3,22.533,,Lg,149.985018,1.9748135,2026-02-20 04:10:39.462000+00:00,61091.17406784743
,2026 DS30,000000IOw4h3,22.461,,Lg,149.9848424,1.974887,2026-02-20 04:12:00.057000+00:00,61091.175000659656
,2026 DS30,000000IOw4h3,22.509,,Lg,149.9846493,1.9749581,2026-02-20 04:13:20.930000+00:00,61091.1759366896
,2026 DS30,000000IOw4h3,22.572,,Lg,149.9845712,1.9749838,2026-02-20 04:14:01.007000+00:00,61091.17640054412
,2026 DS30,000000IOw4h3,22.474,,Lg,149.9844707,1.9750289,2026-02-20 04:14:41.293000+00:00,61091.17686681729
,2026 DS30,000000IOw4h3,22.508,,Lg,149.9843916,1.9750586,2026-02-20 04:15:21.395000+00:00,61091.17733096052
,2026 DS30,000000IOw4h3,21.972,,Lz,149.9836416,1.9753304,2026-02-20 04:20:49.658000+00:00,61091.18113030074
,2026 DS30,000000IOw4h3,21.912,,Lz,149.9835668,1.9753739,2026-02-20 04:21:26.973000+00:00,61091.181562187616
,2026 DS30,000000IOw4h3,21.856,,Lz,149.9834821,1.9754037,2026-02-20 04:22:07.010000+00:00,61091.182025578804
,2026 DS30,000000IOw4h3,22.026,,Lz,149.9830201,1.9755786,2026-02-20 04:25:29.224000+00:00,61091.18436601851
,2026 DS30,000000IOw4h3,22.064,,Lr,149.9821825,1.975885,2026-02-20 04:31:36.791000+00:00,61091.18862026604
,2026 DS30,000000IOw4h3,22.052,,Lr,149.9817952,1.9760306,2026-02-20 04:34:26.440000+00:00,61091.19058379624
,2026 DS30,000000IOw4h3,22.068,,Lr,149.9816138,1.9760998,2026-02-20 04:35:46.905000+00:00,61091.19151510438
,2026 DS30,000000IOw4h3,22.071,,Lr,149.9815254,1.9761323,2026-02-20 04:36:27.207000+00:00,61091.19198156241
,2026 DS30,000000IOw4h3,22.046,,Lr,149.9813463,1.9762073,2026-02-20 04:37:47.850000+00:00,61091.19291493064
,2026 DS30,000000IOw4h3,21.971,,Li,149.9806211,1.9764762,2026-02-20 04:43:05.779000+00:00,61091.19659466436
,2026 DS30,000000IOw4h3,21.887,,Li,149.9804443,1.9765435,2026-02-20 04:44:26.377000+00:00,61091.19752751151
,2026 DS30,000000IOw4h3,21.955,,Li,149.9800721,1.9766755,2026-02-20 04:47:09.764000+00:00,61091.19941856479
,2026 DS30,000000IOw4h3,22.457,,Lg,149.97908,1.9770527,2026-02-20 04:54:29.989000+00:00,61091.20451376168
,2026 DS30,000000IOw4h3,22.479,,Lg,149.9789867,1.9770869,2026-02-20 04:55:10.135000+00:00,61091.204978414346
,2026 DS30,000000IOw4h3,22.393,,Lg,149.978534,1.977267,2026-02-20 04:58:42.167000+00:00,61091.207432488445
,2026 DS30,000000IOw4h3,22.099,,Lg,149.978339,1.9773456,2026-02-20 05:00:02.501000+00:00,61091.208362279925
,2026 DS30,000000IOw4h3,22.53,,Lg,149.9780663,1.9774461,2026-02-20 05:02:03.689000+00:00,61091.20976491878
,2026 DS30,000000IOw4h3,22.443,,Lg,149.9779689,1.9774695,2026-02-20 05:02:43.919000+00:00,61091.21023054421
,2026 DS30,000000IOw4h3,21.722,,Lz,149.977451,1.9776709,2026-02-20 05:06:37.143000+00:00,61091.21292989561
,2026 DS30,000000IOw4h3,21.771,,Lz,149.9773306,1.9777569,2026-02-20 05:07:17.535000+00:00,61091.2133973958
,2026 DS30,000000IOw4h3,21.825,,Lz,149.9770657,1.9778417,2026-02-20 05:09:18.129000+00:00,61091.21479315963
,2026 DS30,000000IOw4h3,22.106,,Lz,149.9769793,1.9778248,2026-02-20 05:10:07.517000+00:00,61091.21536478028
,2026 DS30,000000IOw4h3,21.759,,Lz,149.9766575,1.9779551,2026-02-20 05:12:08.363000+00:00,61091.21676346054
,2026 DS30,000000IOw4h3,21.998,,Lz,149.976335,1.9780855,2026-02-20 05:14:49.499000+00:00,61091.21862846054
,2026 DS30,000000IOw4h3,22.024,,Lz,149.9762758,1.9781057,2026-02-20 05:15:30.227000+00:00,61091.21909984946
,2026 DS30,000000IOw4h3,21.963,,Lr,149.9757885,1.9782993,2026-02-20 05:18:50.787000+00:00,61091.221421145834
,2026 DS30,000000IOw4h3,22.024,,Lr,149.975699,1.9783297,2026-02-20 05:19:30.932000+00:00,61091.22188578686
,2026 DS30,000000IOw4h3,22.073,,Lr,149.9754307,1.9784254,2026-02-20 05:21:31.600000+00:00,61091.2232824075
,2026 DS30,000000IOw4h3,22.055,,Lr,149.975313,1.9784705,2026-02-20 05:22:22.511000+00:00,61091.2238716553
,2026 DS30,000000IOw4h3,22.188,,Lr,149.9752248,1.9784867,2026-02-20 05:23:02.593000+00:00,61091.224335567094
,2026 DS30,000000IOw4h3,22.045,,Lr,149.9751231,1.9785381,2026-02-20 05:23:42.823000+00:00,61091.22480119206
,2026 DS30,000000IOw4h3,22.086,,Lr,149.9750319,1.9785814,2026-02-20 05:24:23.068000+00:00,61091.22526699072
,2026 DS30,000000IOw4h3,21.957,,Lr,149.9748479,1.9786618,2026-02-20 05:25:43.662000+00:00,61091.22619979177
,2026 DS30,000000IOw4h3,22.015,,Lr,149.974756,1.9786928,2026-02-20 05:26:24.081000+00:00,61091.22666760394
,2026 DS30,000000IOw4h3,22.076,,Lr,149.974573,1.9787501,2026-02-20 05:27:44.383000+00:00,61091.22759702569
,2026 DS30,000000IOw4h3,21.736,,Li,149.9635042,1.9829309,2026-02-20 06:49:51.129000+00:00,61091.284619548824
,2026 DS30,000000IOw4h4,21.943,,Li,149.4326631,2.1963017,2026-02-23 02:55:29.705000+00:00,61094.12187158549
,2026 DS30,000000IOw4h4,21.886,,Li,149.4325759,2.1963556,2026-02-23 02:56:09.796000+00:00,61094.122335602064
,2026 DS30,000000IOw4h4,21.909,,Li,149.4324098,2.1964284,2026-02-23 02:57:30.168000+00:00,61094.12326583313
,2026 DS30,000000IOw4h4,21.965,,Li,149.4323032,2.1964624,2026-02-23 02:58:10.721000+00:00,61094.12373519689
,2026 DS30,000000IOw4h4,21.912,,Li,149.43212,2.1965373,2026-02-23 02:59:31.220000+00:00,61094.124666898046
,2026 DS30,000000IOw4h4,21.937,,Li,149.431958,2.1966135,2026-02-23 03:00:52.154000+00:00,61094.1256036344
,2026 DS30,000000IOw4h4,22.487,,Lg,149.4300425,2.1973897,2026-02-23 03:15:21.897000+00:00,61094.135670104064
