permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DU31,000000IOw571,22.357,,Li,151.3894702,1.3335119,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2026 DU31,000000IOw571,22.453,,Li,151.3892729,1.333552,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DU31,000000IOw571,22.362,,Li,151.3888736,1.3336228,2026-02-19 04:26:09.935000+00:00,61090.18483721046
,2026 DU31,000000IOw571,22.307,,Li,151.388576,1.3337183,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2026 DU31,000000IOw571,22.912,,Lg,151.3880651,1.3337935,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DU31,000000IOw571,23.078,,Lg,151.3874681,1.3339444,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2026 DU31,000000IOw571,22.982,,Lg,151.3872647,1.3339808,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DU31,000000IOw571,23.137,,Lg,151.3870653,1.3340404,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DU31,000000IOw571,23.039,,Lg,151.3868812,1.3340741,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DU31,000000IOw571,22.454,,Lz,151.3863627,1.3342062,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DU31,000000IOw571,22.541,,Lz,151.3862191,1.334197,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DU31,000000IOw571,22.429,,Lz,151.3860484,1.3342604,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DU31,000000IOw571,22.396,,Lz,151.3857339,1.3343436,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DU31,000000IOw571,22.364,,Lz,151.3856638,1.3343861,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2026 DU31,000000IOw571,22.411,,Lz,151.385431,1.3344063,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2026 DU31,000000IOw571,22.486,,Lz,151.3853188,1.3343851,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DU31,000000IOw571,22.24,,Lz,151.3852531,1.3344128,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2026 DU31,000000IOw571,22.142,,Lz,151.3851716,1.3344082,2026-02-19 04:51:28.132000+00:00,61090.20240893541
,2026 DU31,000000IOw571,22.137,,Lz,151.3851386,1.3343755,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2026 DU31,000000IOw571,22.394,,Lz,151.3849469,1.3344779,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DU31,000000IOw571,22.514,,Lr,151.3843172,1.3346501,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DU31,000000IOw571,22.596,,Lr,151.3839566,1.3347064,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DU31,000000IOw571,22.363,,Li,151.3821407,1.335101,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2026 DU31,000000IOw571,22.375,,Li,151.3820212,1.3351306,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DU31,000000IOw571,22.457,,Li,151.3818653,1.3351775,2026-02-19 05:13:53.580000+00:00,61090.217981250025
,2026 DU31,000000IOw571,22.421,,Li,151.3817552,1.3351896,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2026 DU31,000000IOw571,22.49,,Li,151.3816733,1.3351971,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2026 DU31,000000IOw571,22.733,,Li,151.381541,1.3352268,2026-02-19 05:15:54.536000+00:00,61090.219381203875
,2026 DU31,000000IOw571,22.531,,Li,151.3814678,1.335251,2026-02-19 05:16:34.736000+00:00,61090.21984648146
,2026 DU31,000000IOw571,22.418,,Li,151.3813429,1.3352763,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DU31,000000IOw571,23.181,,Lg,151.3809934,1.3353043,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DU31,000000IOw571,23.101,,Lg,151.3808871,1.3354241,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DU31,000000IOw571,22.948,,Lg,151.380776,1.3353958,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DU31,000000IOw571,23.135,,Lg,151.3804845,1.3354342,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2026 DU31,000000IOw571,23.028,,Lg,151.3802605,1.3354799,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DU31,000000IOw571,23.086,,Lg,151.3801312,1.3355617,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DU31,000000IOw571,23.006,,Lg,151.3798913,1.3356014,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2026 DU31,000000IOw571,23.023,,Lg,151.3797914,1.3356094,2026-02-19 05:27:58.637000+00:00,61090.2277620025
,2026 DU31,000000IOw571,23.013,,Lg,151.379687,1.3356323,2026-02-19 05:28:38.854000+00:00,61090.228227477055
,2026 DU31,000000IOw571,22.464,,Lz,151.3791559,1.335763,2026-02-19 05:31:59.965000+00:00,61090.23055515066
,2026 DU31,000000IOw571,22.443,,Lz,151.3790681,1.3358018,2026-02-19 05:32:37.606000+00:00,61090.23099081032
,2026 DU31,000000IOw571,22.005,,Lz,151.3787171,1.3358679,2026-02-19 05:35:18.735000+00:00,61090.23285572929
,2026 DU31,000000IOw571,22.464,,Lz,151.3785098,1.3359134,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2026 DU31,000000IOw571,22.59,,Lz,151.3783218,1.3359277,2026-02-19 05:37:59.889000+00:00,61090.23472093744
,2026 DU31,000000IOw571,22.276,,Lz,151.3780031,1.3360248,2026-02-19 05:40:00.612000+00:00,61090.23611819465
,2026 DU31,000000IOw571,22.309,,Lz,151.3779403,1.3360411,2026-02-19 05:40:40.888000+00:00,61090.236584351864
,2026 DU31,000000IOw571,22.509,,Lr,151.3773306,1.3361477,2026-02-19 05:44:45.221000+00:00,61090.239412280265
,2026 DU31,000000IOw571,22.489,,Lr,151.3765332,1.3363322,2026-02-19 05:50:07.849000+00:00,61090.24314640043
,2026 DU31,000000IOw571,22.652,,Lr,151.3763489,1.3363598,2026-02-19 05:51:28.309000+00:00,61090.244077650364
,2026 DU31,000000IOw571,22.546,,Lr,151.3761335,1.336412,2026-02-19 05:52:48.729000+00:00,61090.24500843743
,2026 DU31,000000IOw572,22.469,,Li,151.1878509,1.379291,2026-02-20 03:54:13.158000+00:00,61091.16265229182
,2026 DU31,000000IOw572,22.452,,Li,151.1875353,1.3793735,2026-02-20 03:56:13.964000+00:00,61091.16405050922
,2026 DU31,000000IOw572,22.475,,Li,151.1865649,1.3795986,2026-02-20 04:03:01.275000+00:00,61091.16876475699
,2026 DU31,000000IOw572,23.046,,Lg,151.1860359,1.3797084,2026-02-20 04:06:31.940000+00:00,61091.17120300932
,2026 DU31,000000IOw572,23.175,,Lg,151.1856205,1.3798042,2026-02-20 04:09:19.249000+00:00,61091.173139456194
,2026 DU31,000000IOw572,23.072,,Lg,151.1852395,1.3798954,2026-02-20 04:12:00.057000+00:00,61091.175000659656
,2026 DU31,000000IOw572,23.001,,Lg,151.184843,1.3799748,2026-02-20 04:14:41.293000+00:00,61091.17686681729
,2026 DU31,000000IOw572,22.185,,Lz,151.1841294,1.3801457,2026-02-20 04:19:29.213000+00:00,61091.1801992245
,2026 DU31,000000IOw572,22.245,,Lz,151.1838289,1.3801633,2026-02-20 04:21:26.973000+00:00,61091.181562187616
,2026 DU31,000000IOw572,22.14,,Lz,151.18365,1.3802407,2026-02-20 04:22:47.711000+00:00,61091.18249665527
,2026 DU31,000000IOw572,22.211,,Lz,151.183284,1.3803556,2026-02-20 04:25:29.224000+00:00,61091.18436601851
,2026 DU31,000000IOw572,22.438,,Lz,151.1829665,1.38041,2026-02-20 04:27:30.206000+00:00,61091.18576627318
,2026 DU31,000000IOw572,22.542,,Lr,151.1820297,1.3806088,2026-02-20 04:33:46.526000+00:00,61091.19012182858
,2026 DU31,000000IOw572,22.557,,Lr,151.1818331,1.3806524,2026-02-20 04:35:06.661000+00:00,61091.1910493169
,2026 DU31,000000IOw572,22.511,,Lr,151.1817455,1.380681,2026-02-20 04:35:46.905000+00:00,61091.19151510438
,2026 DU31,000000IOw572,22.556,,Lr,151.1816338,1.3806823,2026-02-20 04:36:27.207000+00:00,61091.19198156241
,2026 DU31,000000IOw572,22.572,,Lr,151.1814495,1.3807301,2026-02-20 04:37:47.850000+00:00,61091.19291493064
,2026 DU31,000000IOw572,22.4,,Li,151.1807503,1.3808842,2026-02-20 04:42:25.487000+00:00,61091.19612832181
,2026 DU31,000000IOw572,22.327,,Li,151.1806633,1.3809154,2026-02-20 04:43:05.779000+00:00,61091.19659466436
,2026 DU31,000000IOw572,22.251,,Li,151.180361,1.3809911,2026-02-20 04:45:06.740000+00:00,61091.19799467595
,2026 DU31,000000IOw572,22.352,,Li,151.1801594,1.3810249,2026-02-20 04:46:29.548000+00:00,61091.19895310188
,2026 DU31,000000IOw572,22.332,,Li,151.1799645,1.3810605,2026-02-20 04:47:50.018000+00:00,61091.19988446776
,2026 DU31,000000IOw572,22.372,,Li,151.1796764,1.381126,2026-02-20 04:49:50.795000+00:00,61091.201282349415
,2026 DU31,000000IOw572,23.033,,Lg,151.1787976,1.3813265,2026-02-20 04:55:50.200000+00:00,61091.205442129634
,2026 DU31,000000IOw572,23.015,,Lg,151.178691,1.3813503,2026-02-20 04:56:30.261000+00:00,61091.20590579882
,2026 DU31,000000IOw572,23.117,,Lg,151.1785833,1.3813648,2026-02-20 04:57:10.377000+00:00,61091.206370104104
,2026 DU31,000000IOw572,22.949,,Lg,151.1778821,1.3815292,2026-02-20 05:02:03.689000+00:00,61091.20976491878
,2026 DU31,000000IOw572,22.926,,Lg,151.1777952,1.3815743,2026-02-20 05:02:43.919000+00:00,61091.21023054421
,2026 DU31,000000IOw572,22.982,,Lg,151.177673,1.3815751,2026-02-20 05:03:24.299000+00:00,61091.21069790516
,2026 DU31,000000IOw572,22.144,,Lz,151.1763053,1.3818565,2026-02-20 05:12:48.664000+00:00,61091.2172299074
,2026 DU31,000000IOw572,22.483,,Lr,151.1754019,1.3820782,2026-02-20 05:18:50.787000+00:00,61091.221421145834
,2026 DU31,000000IOw572,22.746,,Lr,151.1748758,1.3822228,2026-02-20 05:22:22.511000+00:00,61091.2238716553
,2026 DU31,000000IOw572,22.595,,Lr,151.1747137,1.3822363,2026-02-20 05:23:42.823000+00:00,61091.22480119206
,2026 DU31,000000IOw572,22.571,,Lr,151.1745771,1.382288,2026-02-20 05:24:23.068000+00:00,61091.22526699072
,2026 DU31,000000IOw572,22.497,,Lr,151.1742778,1.3823592,2026-02-20 05:26:24.081000+00:00,61091.22666760394
,2026 DU31,000000IOw572,22.616,,Lr,151.1742119,1.3823238,2026-02-20 05:27:04.137000+00:00,61091.22713121539
,2026 DU31,000000IOw572,22.618,,Lr,151.1739915,1.382397,2026-02-20 05:28:24.341000+00:00,61091.22805950232
,2026 DU31,000000IOw573,22.563,,Li,150.5815254,1.5246437,2026-02-23 02:55:29.705000+00:00,61094.12187158549
,2026 DU31,000000IOw573,22.478,,Li,150.5814071,1.5246784,2026-02-23 02:56:09.796000+00:00,61094.122335602064
,2026 DU31,000000IOw573,22.501,,Li,150.5813296,1.5246988,2026-02-23 02:56:50.064000+00:00,61094.122801666614
,2026 DU31,000000IOw573,22.469,,Li,150.5807372,1.5248482,2026-02-23 03:00:52.154000+00:00,61094.1256036344
