permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DX29,000000IOw3r1,22.032,,Lr,150.5547718,1.5661722,2026-02-17 05:04:38.017000+00:00,61088.21155112283
,2026 DX29,000000IOw3r1,22.06,,Lr,150.5546716,1.5662223,2026-02-17 05:05:18.134000+00:00,61088.212015439756
,2026 DX29,000000IOw3r1,22.01,,Lz,150.5542918,1.5664217,2026-02-17 05:08:01.225000+00:00,61088.21390306717
,2026 DX29,000000IOw3r1,21.888,,Lz,150.55385,1.5666073,2026-02-17 05:10:50.763000+00:00,61088.21586531261
,2026 DX29,000000IOw3r1,21.838,,Lz,150.553515,1.5667916,2026-02-17 05:13:06.058000+00:00,61088.217431226745
,2026 DX29,000000IOw3r2,21.915,,Li,150.155965,1.7732025,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DX29,000000IOw3r2,21.87,,Li,150.1557565,1.773306,2026-02-19 04:20:47.241000+00:00,61090.181102326605
,2026 DX29,000000IOw3r2,21.928,,Li,150.1556674,1.7733498,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 DX29,000000IOw3r2,21.965,,Li,150.1553774,1.7735013,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DX29,000000IOw3r2,21.811,,Li,150.155177,1.7736043,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DX29,000000IOw3r2,21.857,,Li,150.1548685,1.7737577,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2026 DX29,000000IOw3r2,22.396,,Lg,150.1540775,1.7741744,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DX29,000000IOw3r2,22.349,,Lg,150.1538573,1.7742744,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DX29,000000IOw3r2,22.396,,Lg,150.1537648,1.774321,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DX29,000000IOw3r2,22.299,,Lg,150.1536509,1.7743723,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DX29,000000IOw3r2,22.3,,Lg,150.1535429,1.7744167,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2026 DX29,000000IOw3r2,22.443,,Lg,150.1529717,1.7747202,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DX29,000000IOw3r2,21.767,,Lz,150.1524936,1.77496,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DX29,000000IOw3r2,21.861,,Lz,150.1523233,1.7750476,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DX29,000000IOw3r2,21.829,,Lz,150.1522309,1.7750642,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DX29,000000IOw3r2,21.895,,Lz,150.1519427,1.7752473,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DX29,000000IOw3r2,21.874,,Lz,150.1518285,1.7753229,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DX29,000000IOw3r2,21.97,,Lz,150.1516806,1.7753915,2026-02-19 04:48:47.587000+00:00,61090.20055077551
,2026 DX29,000000IOw3r2,22.112,,Lz,150.151421,1.775452,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DX29,000000IOw3r2,21.9,,Lz,150.1511481,1.7756322,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2026 DX29,000000IOw3r2,21.803,,Lz,150.1510486,1.7756927,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DX29,000000IOw3r2,22.004,,Lr,150.1506705,1.7758803,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2026 DX29,000000IOw3r2,22.046,,Lr,150.1505276,1.7759408,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DX29,000000IOw3r2,22.108,,Lr,150.150443,1.776023,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DX29,000000IOw3r2,21.953,,Lr,150.1500306,1.7762081,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DX29,000000IOw3r2,21.962,,Lr,150.1499309,1.7762499,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DX29,000000IOw3r2,21.999,,Lr,150.1498386,1.776314,2026-02-19 05:00:58.918000+00:00,61090.20901525486
,2026 DX29,000000IOw3r2,21.898,,Li,150.1484309,1.7770161,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 DX29,000000IOw3r2,21.853,,Li,150.1483517,1.7770648,2026-02-19 05:11:12.786000+00:00,61090.21612020815
,2026 DX29,000000IOw3r2,21.895,,Li,150.1482349,1.7771147,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2026 DX29,000000IOw3r2,21.905,,Li,150.1481387,1.777146,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DX29,000000IOw3r2,21.928,,Li,150.1479269,1.7772713,2026-02-19 05:13:53.580000+00:00,61090.217981250025
,2026 DX29,000000IOw3r2,21.94,,Li,150.1476568,1.7773959,2026-02-19 05:15:54.536000+00:00,61090.219381203875
,2026 DX29,000000IOw3r2,21.96,,Li,150.1475452,1.777457,2026-02-19 05:16:34.736000+00:00,61090.21984648146
,2026 DX29,000000IOw3r2,22.404,,Lg,150.1470573,1.7777115,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DX29,000000IOw3r2,22.395,,Lg,150.1469511,1.7777438,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DX29,000000IOw3r2,22.391,,Lg,150.1468683,1.7778205,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DX29,000000IOw3r2,22.448,,Lg,150.1467615,1.7778672,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DX29,000000IOw3r2,22.516,,Lg,150.1466544,1.7779237,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2026 DX29,000000IOw3r2,22.476,,Lg,150.1464297,1.7780141,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DX29,000000IOw3r2,22.395,,Lg,150.1463963,1.7780601,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DX29,000000IOw3r2,22.458,,Lg,150.1461508,1.7781674,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DX29,000000IOw3r2,22.394,,Lg,150.1460584,1.7782084,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2026 DX29,000000IOw3r2,22.353,,Lg,150.1456528,1.7784283,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2026 DX29,000000IOw3r2,21.741,,Lz,150.1452629,1.7786327,2026-02-19 05:31:59.965000+00:00,61090.23055515066
,2026 DX29,000000IOw3r2,21.844,,Lz,150.1448745,1.7788027,2026-02-19 05:34:38.382000+00:00,61090.232388680335
,2026 DX29,000000IOw3r2,21.752,,Lz,150.144781,1.7788685,2026-02-19 05:35:18.735000+00:00,61090.23285572929
,2026 DX29,000000IOw3r2,21.696,,Lz,150.1445743,1.7789772,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2026 DX29,000000IOw3r2,21.772,,Lz,150.1444996,1.7790387,2026-02-19 05:37:19.580000+00:00,61090.23425439792
,2026 DX29,000000IOw3r2,21.855,,Lz,150.1443846,1.7790718,2026-02-19 05:37:59.889000+00:00,61090.23472093744
,2026 DX29,000000IOw3r2,21.698,,Lz,150.1442764,1.7791084,2026-02-19 05:38:40.559000+00:00,61090.23519165488
,2026 DX29,000000IOw3r2,21.819,,Lz,150.1441966,1.7791898,2026-02-19 05:39:20.779000+00:00,61090.23565716436
,2026 DX29,000000IOw3r2,21.927,,Lz,150.1439776,1.7792433,2026-02-19 05:40:40.888000+00:00,61090.236584351864
,2026 DX29,000000IOw3r2,22.0,,Lr,150.1430944,1.779707,2026-02-19 05:46:46.204000+00:00,61090.24081254611
