permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DY30,000000IOw4R1,22.341,,Li,150.9999045,1.4221469,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DY30,000000IOw4R1,22.402,,Li,150.9994235,1.4223469,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2026 DY30,000000IOw4R1,22.303,,Li,150.9991759,1.4224307,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DY30,000000IOw4R1,22.376,,Li,150.9989478,1.4225458,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DY30,000000IOw4R1,22.349,,Li,150.9985803,1.422683,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2026 DY30,000000IOw4R1,23.077,,Lg,150.9978816,1.422973,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DY30,000000IOw4R1,23.123,,Lg,150.9974662,1.42313,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DY30,000000IOw4R1,23.071,,Lg,150.997346,1.4231782,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DY30,000000IOw4R1,23.109,,Lg,150.9969824,1.4233413,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2026 DY30,000000IOw4R1,23.158,,Lg,150.9968545,1.423365,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DY30,000000IOw4R1,22.231,,Lz,150.9956624,1.4238379,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DY30,000000IOw4R1,22.476,,Lz,150.995441,1.4239385,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DY30,000000IOw4R1,22.603,,Lz,150.9952471,1.4240297,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DY30,000000IOw4R1,22.158,,Lz,150.9951101,1.4240928,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 DY30,000000IOw4R1,22.241,,Lz,150.9949723,1.4241184,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DY30,000000IOw4R1,22.312,,Lz,150.9947428,1.4242709,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2026 DY30,000000IOw4R1,22.08,,Lz,150.99451,1.4242679,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2026 DY30,000000IOw4R1,22.324,,Lz,150.9944678,1.4243159,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DY30,000000IOw4R1,22.472,,Lr,150.9934485,1.424774,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2026 DY30,000000IOw4R1,22.383,,Lr,150.9931614,1.4248655,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DY30,000000IOw4R1,22.483,,Lr,150.992446,1.4251553,2026-02-19 05:00:58.918000+00:00,61090.20901525486
,2026 DY30,000000IOw4R1,22.619,,Lr,150.9920983,1.4253054,2026-02-19 05:03:00.019000+00:00,61090.21041688649
