permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DZ29,000000IOw3w1,22.147,,Lz,151.122488,1.3489963,2026-02-17 05:10:16.373000+00:00,61088.21546728024
,2026 DZ29,000000IOw3w1,22.115,,Lz,151.1220701,1.3490945,2026-02-17 05:13:06.058000+00:00,61088.217431226745
,2026 DZ29,000000IOw3w2,22.11,,Li,150.7340979,1.447259,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DZ29,000000IOw3w2,22.141,,Li,150.7338986,1.4472997,2026-02-19 04:20:47.241000+00:00,61090.181102326605
,2026 DZ29,000000IOw3w2,22.228,,Li,150.7334393,1.4474348,2026-02-19 04:24:08.380000+00:00,61090.18343032431
,2026 DZ29,000000IOw3w2,22.195,,Li,150.7333298,1.4474528,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DZ29,000000IOw3w2,22.138,,Li,150.7329509,1.4475523,2026-02-19 04:27:30.290000+00:00,61090.18576724548
,2026 DZ29,000000IOw3w2,22.722,,Lg,150.7320906,1.4477674,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DZ29,000000IOw3w2,22.844,,Lg,150.7319795,1.4477957,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DZ29,000000IOw3w2,22.804,,Lg,150.7318946,1.4478159,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DZ29,000000IOw3w2,22.823,,Lg,150.7316958,1.4478739,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DZ29,000000IOw3w2,22.82,,Lg,150.7313918,1.447957,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DZ29,000000IOw3w2,22.969,,Lg,150.7312153,1.4479918,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DZ29,000000IOw3w2,22.376,,Lz,150.7307227,1.4481201,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DZ29,000000IOw3w2,22.269,,Lz,150.7305973,1.4481455,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DZ29,000000IOw3w2,22.332,,Lz,150.7305585,1.4481804,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DZ29,000000IOw3w2,22.212,,Lz,150.7302939,1.4482183,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 DZ29,000000IOw3w2,22.492,,Lz,150.7302081,1.4482497,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DZ29,000000IOw3w2,22.406,,Lz,150.7298709,1.4483133,2026-02-19 04:48:47.587000+00:00,61090.20055077551
,2026 DZ29,000000IOw3w2,22.349,,Lz,150.7297191,1.448364,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DZ29,000000IOw3w2,22.532,,Lz,150.7296454,1.4484147,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2026 DZ29,000000IOw3w2,22.465,,Lz,150.7295083,1.4483276,2026-02-19 04:51:28.132000+00:00,61090.20240893541
,2026 DZ29,000000IOw3w2,22.229,,Lz,150.7294363,1.4483022,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2026 DZ29,000000IOw3w2,22.269,,Lz,150.7293319,1.4484467,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DZ29,000000IOw3w2,22.697,,Lr,150.7288739,1.448583,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DZ29,000000IOw3w2,22.514,,Lr,150.7287745,1.4485987,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DZ29,000000IOw3w2,22.604,,Lr,150.7284048,1.4487144,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DZ29,000000IOw3w2,22.633,,Lr,150.7282955,1.4487394,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DZ29,000000IOw3w2,22.489,,Lr,150.7281027,1.4487718,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2026 DZ29,000000IOw3w2,22.596,,Lr,150.7279215,1.4488332,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DZ29,000000IOw3w2,22.638,,Lr,150.7278388,1.4488475,2026-02-19 05:03:40.023000+00:00,61090.210879895836
,2026 DZ29,000000IOw3w2,22.645,,Lr,150.7276245,1.4489109,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2026 DZ29,000000IOw3w2,22.548,,Li,150.7272483,1.4489882,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2026 DZ29,000000IOw3w2,22.484,,Li,150.7270437,1.4490526,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DZ29,000000IOw3w2,22.604,,Li,150.7269328,1.4490548,2026-02-19 05:09:52.364000+00:00,61090.21518939827
,2026 DZ29,000000IOw3w2,22.521,,Li,150.7268548,1.4490965,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 DZ29,000000IOw3w2,22.597,,Li,150.726736,1.449121,2026-02-19 05:11:12.786000+00:00,61090.21612020815
,2026 DZ29,000000IOw3w2,22.488,,Li,150.726661,1.4491538,2026-02-19 05:11:53.093000+00:00,61090.21658672439
