permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2018 UL44,000000IPCUD1,21.944,,Li,225.4910212,-38.5292097,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2018 UL44,000000IPCUD1,21.983,,Li,225.490851,-38.5291748,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2018 UL44,000000IPCUD1,21.978,,Li,225.4906566,-38.5291395,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2018 UL44,000000IPCUD1,22.064,,Li,225.4905071,-38.5290974,2025-05-21 06:36:12.031000+00:00,60816.27513924753
,2018 UL44,000000IPCUD1,22.018,,Li,225.490342,-38.5290851,2025-05-21 06:36:54.211000+00:00,60816.27562744217
,2018 UL44,000000IPCUD1,21.867,,Li,225.4900203,-38.5290223,2025-05-21 06:38:18.502000+00:00,60816.27660303237
,2018 UL44,000000IPCUD1,21.962,,Li,225.4899274,-38.5290155,2025-05-21 06:39:01.549000+00:00,60816.27710126154
,2018 UL44,000000IPCUD1,22.005,,Li,225.4897643,-38.5289785,2025-05-21 06:39:44.659000+00:00,60816.27760021994
,2018 UL44,000000IPCUD1,22.01,,Li,225.4895734,-38.5289338,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2018 UL44,000000IPCUD1,22.084,,Li,225.4874748,-38.5285518,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2018 UL44,000000IPCUD1,22.024,,Li,225.4873007,-38.5285233,2025-05-21 06:51:34.477000+00:00,60816.28581570601
,2018 UL44,000000IPCUD1,22.533,,Lr,225.4853532,-38.52818,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2018 UL44,000000IPCUD1,22.474,,Lr,225.4852049,-38.5281749,2025-05-21 07:01:47.826000+00:00,60816.29291465273
,2018 UL44,000000IPCUD1,22.434,,Lr,225.4849871,-38.528126,2025-05-21 07:02:29.901000+00:00,60816.29340163199
,2018 UL44,000000IPCUD1,22.382,,Lr,225.484763,-38.528078,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2018 UL44,000000IPCUD1,22.739,,Lr,225.4843277,-38.5279882,2025-05-21 07:06:11.674000+00:00,60816.29596844921
,2018 UL44,000000IPCUD1,22.413,,Lr,225.4841576,-38.5279711,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2018 UL44,000000IPCUD1,22.449,,Lr,225.4838329,-38.5279038,2025-05-21 07:08:21.047000+00:00,60816.29746582173
,2018 UL44,000000IPCUD1,22.477,,Lr,225.4835759,-38.5278616,2025-05-21 07:09:43.658000+00:00,60816.298421967775
,2018 UL44,000000IPCUD1,22.437,,Lr,225.4834417,-38.5278575,2025-05-21 07:10:25.781000+00:00,60816.298909502104
,2018 UL44,000000IPCUD1,22.287,,Lr,225.482552,-38.527692,2025-05-21 07:14:42.330000+00:00,60816.30187881924
,2018 UL44,000000IPCUD1,22.086,,Lz,225.4783445,-38.5269244,2025-05-21 07:35:23.879000+00:00,60816.31624859944
,2018 UL44,000000IPCUD1,22.145,,Lz,225.4781258,-38.5268734,2025-05-21 07:36:06.562000+00:00,60816.316742615774
,2018 UL44,000000IPCUD2,22.649,,Lg,225.2169028,-38.4806768,2025-05-22 05:20:25.337000+00:00,60817.22251547454
,2018 UL44,000000IPCUD2,22.601,,Lg,225.2166611,-38.4806239,2025-05-22 05:21:42.085000+00:00,60817.22340376163
,2018 UL44,000000IPCUD2,22.676,,Lg,225.2165098,-38.4805914,2025-05-22 05:22:23.784000+00:00,60817.22388638882
,2018 UL44,000000IPCUD2,22.609,,Lg,225.2161087,-38.4805456,2025-05-22 05:24:17.666000+00:00,60817.22520446777
,2018 UL44,000000IPCUD2,22.541,,Lg,225.2157466,-38.4804623,2025-05-22 05:26:11.343000+00:00,60817.22652017372
,2018 UL44,000000IPCUD2,22.508,,Lg,225.2154505,-38.4804219,2025-05-22 05:27:23.382000+00:00,60817.22735395841
,2018 UL44,000000IPCUD2,22.658,,Lg,225.2151519,-38.4803688,2025-05-22 05:28:56.420000+00:00,60817.2284307871
,2018 UL44,000000IPCUD2,22.67,,Lg,225.2149785,-38.4803186,2025-05-22 05:29:43.402000+00:00,60817.228974560276
,2018 UL44,000000IPCUD2,22.685,,Lg,225.2145009,-38.4802213,2025-05-22 05:32:04.564000+00:00,60817.23060837947
,2018 UL44,000000IPCUD2,22.627,,Lg,225.2141457,-38.4801649,2025-05-22 05:33:54.608000+00:00,60817.23188203713
,2018 UL44,000000IPCUD2,22.702,,Lg,225.2139982,-38.4801226,2025-05-22 05:34:35.647000+00:00,60817.23235702561
,2018 UL44,000000IPCUD2,22.659,,Lg,225.2136238,-38.4800856,2025-05-22 05:36:18.448000+00:00,60817.23354685167
,2018 UL44,000000IPCUD2,22.703,,Lg,225.2134614,-38.4800535,2025-05-22 05:37:10.069000+00:00,60817.234144316986
,2018 UL44,000000IPCUD2,22.748,,Lg,225.2132456,-38.4799798,2025-05-22 05:38:11.340000+00:00,60817.234853472095
,2018 UL44,000000IPCUD2,22.496,,Lr,225.2070063,-38.4788499,2025-05-22 06:08:29.720000+00:00,60817.25589953689
,2018 UL44,000000IPCUD2,22.377,,Lr,225.2068505,-38.4788133,2025-05-22 06:09:12.460000+00:00,60817.256394213066
,2018 UL44,000000IPCUD2,22.37,,Lr,225.2067196,-38.4787389,2025-05-22 06:09:54.456000+00:00,60817.25688027777
,2018 UL44,000000IPCUD2,22.327,,Lr,225.2065269,-38.478772,2025-05-22 06:10:46.468000+00:00,60817.25748226838
,2018 UL44,000000IPCUD2,22.419,,Li,225.2037563,-38.478202,2025-05-22 06:24:27.631000+00:00,60817.26698646974
,2018 UL44,000000IPCUD2,22.418,,Li,225.2034227,-38.4781867,2025-05-22 06:25:56.764000+00:00,60817.26801810181
,2018 UL44,000000IPCUD2,22.306,,Li,225.203221,-38.4780744,2025-05-22 06:26:38.765000+00:00,60817.26850422472
,2018 UL44,000000IPCUD2,22.313,,Li,225.2031422,-38.478046,2025-05-22 06:27:25.956000+00:00,60817.26905041654
,2018 UL44,000000IPCUD2,22.128,,Li,225.2028569,-38.4780311,2025-05-22 06:28:50.397000+00:00,60817.27002774319
,2018 UL44,000000IPCUD2,22.126,,Li,225.2026727,-38.4780085,2025-05-22 06:29:32.371000+00:00,60817.27051355317
,2018 UL44,000000IPCUD2,22.293,,Li,225.2024815,-38.4779641,2025-05-22 06:30:25.357000+00:00,60817.27112681698
,2018 UL44,000000IPCUD2,22.137,,Li,225.2023975,-38.4779478,2025-05-22 06:31:07.411000+00:00,60817.27161355317
,2018 UL44,000000IPCUD2,22.217,,Li,225.2022033,-38.4779479,2025-05-22 06:31:54.697000+00:00,60817.27216084488
,2018 UL44,000000IPCUD2,22.204,,Li,225.2016983,-38.4778319,2025-05-22 06:34:11.948000+00:00,60817.27374939807
,2018 UL44,000000IPCUD2,22.197,,Li,225.2015974,-38.4778103,2025-05-22 06:34:55.098000+00:00,60817.27424881933
,2018 UL44,000000IPCUD2,22.073,,Li,225.201428,-38.4777524,2025-05-22 06:35:38.295000+00:00,60817.27474878449
,2018 UL44,000000IPCUD2,22.072,,Li,225.2012989,-38.4777116,2025-05-22 06:36:20.012000+00:00,60817.2752316203
,2018 UL44,000000IPCUD2,22.124,,Li,225.2009627,-38.4776827,2025-05-22 06:37:45.040000+00:00,60817.276215740945
,2018 UL44,000000IPCUD2,22.104,,Li,225.2006622,-38.4776458,2025-05-22 06:39:14.417000+00:00,60817.277250196785
,2018 UL44,000000IPCUD2,22.098,,Li,225.2005737,-38.4775828,2025-05-22 06:39:57.625000+00:00,60817.27775028953
,2018 UL44,000000IPCUD2,22.044,,Li,225.2003982,-38.4775338,2025-05-22 06:40:49.711000+00:00,60817.2783531365
,2018 UL44,000000IPCUD3,22.357,,Li,224.689003,-38.3764489,2025-05-24 01:57:06.636000+00:00,60819.08132680552
,2018 UL44,000000IPCUD3,22.278,,Li,224.6888753,-38.3764195,2025-05-24 01:57:48.911000+00:00,60819.081816099584
,2018 UL44,000000IPCUD3,22.217,,Li,224.6887321,-38.3763882,2025-05-24 01:58:31.366000+00:00,60819.082307477016
