permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2021 PO223,000000IPCdT1,23.575,,Lg,150.1599383,1.5615083,2025-05-20 23:55:18.762000+00:00,60815.996744930744
,2021 PO223,000000IPCdT1,23.392,,Lg,150.1602386,1.5614112,2025-05-20 23:57:56.988000+00:00,60815.99857624993
,2021 PO223,000000IPCdT1,23.375,,Lg,150.1603326,1.5613884,2025-05-20 23:58:43.039000+00:00,60815.9991092477
,2021 PO223,000000IPCdT1,23.444,,Lg,150.1604681,1.5614006,2025-05-20 23:59:49.097000+00:00,60815.999873807654
,2021 PO223,000000IPCdT1,23.504,,Lg,150.1605625,1.5613493,2025-05-21 00:00:35.154000+00:00,60816.00040687481
,2021 PO223,000000IPCdT1,23.518,,Lg,150.16069,1.5613283,2025-05-21 00:01:35.967000+00:00,60816.001110729296
,2021 PO223,000000IPCdT1,23.4,,Lg,150.1607826,1.561315,2025-05-21 00:02:22.012000+00:00,60816.00164365722
,2021 PO223,000000IPCdT1,23.471,,Lg,150.1611118,1.5612225,2025-05-21 00:04:50.561000+00:00,60816.00336297462
,2021 PO223,000000IPCdT1,23.362,,Lg,150.1611349,1.5612222,2025-05-21 00:05:32.042000+00:00,60816.003843078855
,2021 PO223,000000IPCdT1,23.409,,Lg,150.1612519,1.5612222,2025-05-21 00:06:13.197000+00:00,60816.00431940984
,2021 PO223,000000IPCdT1,23.582,,Lg,150.1613731,1.5612,2025-05-21 00:06:54.505000+00:00,60816.004797511734
,2021 PO223,000000IPCdT1,23.399,,Lg,150.1614992,1.5611502,2025-05-21 00:08:10.606000+00:00,60816.00567831006
,2021 PO223,000000IPCdT1,23.344,,Lg,150.1616618,1.5611435,2025-05-21 00:09:11.843000+00:00,60816.006387071684
,2021 PO223,000000IPCdT1,23.546,,Lg,150.1617485,1.5610895,2025-05-21 00:09:57.882000+00:00,60816.00691993069
,2021 PO223,000000IPCdT1,23.615,,Lg,150.161806,1.5610723,2025-05-21 00:10:53.968000+00:00,60816.007569074165
,2021 PO223,000000IPCdT1,23.757,,Lg,150.161927,1.5610467,2025-05-21 00:11:35.217000+00:00,60816.008046492934
,2021 PO223,000000IPCdT1,23.422,,Lg,150.1620564,1.5610261,2025-05-21 00:12:26.275000+00:00,60816.00863744225
,2021 PO223,000000IPCdT1,23.508,,Lg,150.1621026,1.561005,2025-05-21 00:13:07.337000+00:00,60816.00911269663
,2021 PO223,000000IPCdT1,23.805,,Lg,150.1622187,1.5609785,2025-05-21 00:13:58.390000+00:00,60816.00970358774
,2021 PO223,000000IPCdT1,23.63,,Lg,150.1622981,1.5609953,2025-05-21 00:14:49.442000+00:00,60816.01029446768
,2021 PO223,000000IPCdT1,23.607,,Lg,150.1623876,1.5609529,2025-05-21 00:15:35.565000+00:00,60816.01082829852
,2021 PO223,000000IPCdT1,23.472,,Lg,150.1624935,1.5609162,2025-05-21 00:16:16.404000+00:00,60816.0113009722
,2021 PO223,000000IPCdT1,23.552,,Lg,150.1625769,1.5608858,2025-05-21 00:16:57.245000+00:00,60816.01177366916
,2021 PO223,000000IPCdT1,23.546,,Lg,150.1627884,1.5608285,2025-05-21 00:18:38.907000+00:00,60816.012950312346
,2021 PO223,000000IPCdT1,23.5,,Lg,150.1629099,1.5608141,2025-05-21 00:19:19.777000+00:00,60816.01342334505
,2021 PO223,000000IPCdT1,23.674,,Lg,150.1630343,1.5607871,2025-05-21 00:20:14.133000+00:00,60816.01405246509
,2021 PO223,000000IPCdT1,23.489,,Lg,150.1630802,1.5608065,2025-05-21 00:20:55.345000+00:00,60816.01452945592
,2021 PO223,000000IPCdT1,22.921,,Lr,150.1717924,1.5588815,2025-05-21 01:30:43.647000+00:00,60816.06300517358
,2021 PO223,000000IPCdT1,22.896,,Lr,150.1718855,1.5588533,2025-05-21 01:31:24.889000+00:00,60816.06348251179
,2021 PO223,000000IPCdT1,22.915,,Lr,150.1727913,1.5586077,2025-05-21 01:38:40.774000+00:00,60816.06852747686
,2021 PO223,000000IPCdT1,22.654,,Lr,150.1728652,1.5587161,2025-05-21 01:39:24.550000+00:00,60816.06903414335
,2021 PO223,000000IPCdT1,22.866,,Lr,150.1729926,1.5585785,2025-05-21 01:40:09.105000+00:00,60816.06954982644
,2021 PO223,000000IPCdT1,22.92,,Lr,150.1730787,1.5586125,2025-05-21 01:40:53.270000+00:00,60816.07006099541
,2021 PO223,000000IPCdT1,23.032,,Lr,150.1731103,1.558578,2025-05-21 01:41:34.336000+00:00,60816.07053629635
,2021 PO223,000000IPCdT1,22.824,,Lr,150.173253,1.5585624,2025-05-21 01:42:18.409000+00:00,60816.07104640035
,2021 PO223,000000IPCdT2,23.422,,Lg,150.7337265,1.4348176,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2021 PO223,000000IPCdT2,23.401,,Lg,150.7338121,1.4348159,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2021 PO223,000000IPCdT2,23.444,,Lg,150.7339133,1.4347859,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2021 PO223,000000IPCdT2,23.409,,Lg,150.7340078,1.4347425,2025-05-24 00:41:18.062000+00:00,60819.02868127311
,2021 PO223,000000IPCdT2,23.344,,Lg,150.7341212,1.4347145,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2021 PO223,000000IPCdT2,23.542,,Lg,150.734318,1.4347036,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2021 PO223,000000IPCdT2,23.453,,Lg,150.7345134,1.4346465,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2021 PO223,000000IPCdT2,23.36,,Lg,150.7346122,1.4346379,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2021 PO223,000000IPCdT2,23.53,,Lg,150.7347112,1.4345949,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2021 PO223,000000IPCdT2,23.562,,Lg,150.7348036,1.4345838,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2021 PO223,000000IPCdT2,23.539,,Lg,150.7348889,1.4345305,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2021 PO223,000000IPCdT2,23.432,,Lg,150.7350062,1.4345294,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2021 PO223,000000IPCdT2,23.487,,Lg,150.7350946,1.4345085,2025-05-24 00:49:35.470000+00:00,60819.03443831019
