permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2022 SE98,000000IPCUE1,21.982,,Li,225.3284914,-39.3534385,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2022 SE98,000000IPCUE1,21.946,,Li,225.3283048,-39.3534566,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2022 SE98,000000IPCUE1,21.931,,Li,225.3280639,-39.3534625,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2022 SE98,000000IPCUE1,21.934,,Li,225.327875,-39.3534618,2025-05-21 06:36:12.031000+00:00,60816.27513924753
,2022 SE98,000000IPCUE1,21.899,,Li,225.3277484,-39.3534516,2025-05-21 06:36:54.211000+00:00,60816.27562744217
,2022 SE98,000000IPCUE1,21.874,,Li,225.3258797,-39.3535142,2025-05-21 06:45:02.476000+00:00,60816.28127865726
,2022 SE98,000000IPCUE1,22.08,,Li,225.3257271,-39.3535225,2025-05-21 06:45:46.050000+00:00,60816.28178298613
,2022 SE98,000000IPCUE1,21.795,,Li,225.3255543,-39.3535058,2025-05-21 06:46:33.193000+00:00,60816.28232862288
,2022 SE98,000000IPCUE1,21.967,,Li,225.3250538,-39.3535702,2025-05-21 06:48:43.405000+00:00,60816.283835705835
,2022 SE98,000000IPCUE1,21.971,,Li,225.3248815,-39.3535454,2025-05-21 06:49:25.563000+00:00,60816.284323645756
,2022 SE98,000000IPCUE1,21.894,,Li,225.3247103,-39.3535376,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2022 SE98,000000IPCUE1,21.775,,Li,225.3245662,-39.3535547,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2022 SE98,000000IPCUE1,21.923,,Li,225.3243784,-39.3535659,2025-05-21 06:51:34.477000+00:00,60816.28581570601
,2022 SE98,000000IPCUE1,22.174,,Lr,225.3209014,-39.3536332,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2022 SE98,000000IPCUE1,22.183,,Lr,225.3207469,-39.3536573,2025-05-21 07:07:37.797000+00:00,60816.29696524283
