permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 CQ8,000000IPCUA1,23.477,,Lg,148.736725,2.6019323,2025-05-21 00:04:50.561000+00:00,60816.00336297462
,2025 CQ8,000000IPCUA1,23.559,,Lg,148.7368154,2.6018367,2025-05-21 00:05:32.042000+00:00,60816.003843078855
,2025 CQ8,000000IPCUA1,23.522,,Lg,148.7371815,2.6017468,2025-05-21 00:06:54.505000+00:00,60816.004797511734
,2025 CQ8,000000IPCUA1,23.553,,Lg,148.7373859,2.6015447,2025-05-21 00:08:10.606000+00:00,60816.00567831006
,2025 CQ8,000000IPCUA1,23.499,,Lg,148.737641,2.6015161,2025-05-21 00:09:11.843000+00:00,60816.006387071684
,2025 CQ8,000000IPCUA1,23.951,,Lg,148.7377647,2.6014332,2025-05-21 00:09:57.882000+00:00,60816.00691993069
,2025 CQ8,000000IPCUA1,23.451,,Lg,148.7379615,2.6013848,2025-05-21 00:10:53.968000+00:00,60816.007569074165
,2025 CQ8,000000IPCUA1,23.492,,Lg,148.7381212,2.6012586,2025-05-21 00:11:35.217000+00:00,60816.008046492934
,2025 CQ8,000000IPCUA1,23.28,,Lg,148.7382664,2.6012295,2025-05-21 00:12:26.275000+00:00,60816.00863744225
,2025 CQ8,000000IPCUA1,23.51,,Lg,148.7388659,2.6008945,2025-05-21 00:15:35.565000+00:00,60816.01082829852
,2025 CQ8,000000IPCUA1,23.387,,Lg,148.7390161,2.6008566,2025-05-21 00:16:16.404000+00:00,60816.0113009722
,2025 CQ8,000000IPCUA1,23.597,,Lg,148.7398194,2.6004605,2025-05-21 00:20:14.133000+00:00,60816.01405246509
,2025 CQ8,000000IPCUA1,23.379,,Lg,148.7399344,2.6003659,2025-05-21 00:20:55.345000+00:00,60816.01452945592
,2025 CQ8,000000IPCUA1,22.602,,Lr,148.7539428,2.5936997,2025-05-21 01:30:43.647000+00:00,60816.06300517358
,2025 CQ8,000000IPCUA1,22.451,,Lr,148.7540782,2.5936507,2025-05-21 01:31:24.889000+00:00,60816.06348251179
,2025 CQ8,000000IPCUA1,22.432,,Lr,148.7542287,2.5935629,2025-05-21 01:32:05.928000+00:00,60816.063957499806
,2025 CQ8,000000IPCUA1,22.37,,Lr,148.7555024,2.5929298,2025-05-21 01:38:40.774000+00:00,60816.06852747686
,2025 CQ8,000000IPCUA1,22.345,,Lr,148.7556646,2.5928545,2025-05-21 01:39:24.550000+00:00,60816.06903414335
,2025 CQ8,000000IPCUA1,22.513,,Lr,148.7558393,2.5928054,2025-05-21 01:40:09.105000+00:00,60816.06954982644
,2025 CQ8,000000IPCUA1,22.465,,Lr,148.7559275,2.5927111,2025-05-21 01:40:53.270000+00:00,60816.07006099541
,2025 CQ8,000000IPCUA1,22.387,,Lr,148.7561162,2.5926535,2025-05-21 01:41:34.336000+00:00,60816.07053629635
,2025 CQ8,000000IPCUA1,22.483,,Lr,148.7562653,2.5925726,2025-05-21 01:42:18.409000+00:00,60816.07104640035
,2025 CQ8,000000IPCUA1,22.232,,Lr,148.7563423,2.5925317,2025-05-21 01:43:02.297000+00:00,60816.07155436324
,2025 CQ8,000000IPCUA1,22.364,,Lr,148.7576111,2.5919362,2025-05-21 01:49:05.647000+00:00,60816.07575980341
,2025 CQ8,000000IPCUA1,22.442,,Lr,148.7577416,2.5918942,2025-05-21 01:49:46.790000+00:00,60816.07623599516
,2025 CQ8,000000IPCUA1,22.458,,Lr,148.7580617,2.5917803,2025-05-21 01:51:11.767000+00:00,60816.07721952535
,2025 CQ8,000000IPCUA1,22.335,,Lr,148.7581617,2.5916707,2025-05-21 01:51:55.736000+00:00,60816.077728426084
,2025 CQ8,000000IPCUA1,22.435,,Lr,148.7583291,2.5916151,2025-05-21 01:52:36.673000+00:00,60816.07820223365
,2025 CQ8,000000IPCUA1,22.341,,Lr,148.7584568,2.5915456,2025-05-21 01:53:20.578000+00:00,60816.078710393514
,2025 CQ8,000000IPCUA2,23.695,,Lg,149.6471511,2.1793883,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2025 CQ8,000000IPCUA2,23.661,,Lg,149.6474859,2.1792424,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2025 CQ8,000000IPCUA2,23.751,,Lg,149.6476098,2.1791881,2025-05-24 00:41:18.062000+00:00,60819.02868127311
,2025 CQ8,000000IPCUA2,23.646,,Lg,149.6480729,2.1789478,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2025 CQ8,000000IPCUA2,23.566,,Lg,149.6484005,2.1787932,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2025 CQ8,000000IPCUA2,23.517,,Lg,149.6485762,2.1787171,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2025 CQ8,000000IPCUA2,23.602,,Lg,149.6489033,2.1785903,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2025 CQ8,000000IPCUA2,23.731,,Lg,149.6490534,2.1785116,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2025 CQ8,000000IPCUA2,23.59,,Lg,149.649209,2.1784519,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2025 CQ8,000000IPCUA2,23.75,,Lg,149.6493801,2.17835,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2025 CQ8,000000IPCUA2,23.508,,Lg,149.6495179,2.1782554,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2025 CQ8,000000IPCUA2,23.665,,Lg,149.6496745,2.1781948,2025-05-24 00:51:06.063000+00:00,60819.03548684018
,2025 CQ8,000000IPCUA2,23.8,,Lg,149.6498073,2.1782179,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2025 CQ8,000000IPCUA2,23.697,,Lg,149.6499993,2.1780745,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2025 CQ8,000000IPCUA2,23.581,,Lg,149.6501606,2.1779977,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2025 CQ8,000000IPCUA2,23.508,,Lg,149.6503187,2.1779155,2025-05-24 00:54:07.406000+00:00,60819.037585717626
,2025 CQ8,000000IPCUA2,23.451,,Lg,149.6504634,2.1778226,2025-05-24 00:54:52.798000+00:00,60819.038111087866
,2025 CQ8,000000IPCUA2,23.488,,Lg,149.6506293,2.1777841,2025-05-24 00:55:38.098000+00:00,60819.038635393605
,2025 CQ8,000000IPCUA2,23.551,,Lg,149.6509446,2.1776093,2025-05-24 00:57:08.616000+00:00,60819.0396830556
,2025 CQ8,000000IPCUA2,23.503,,Lg,149.6510936,2.1775432,2025-05-24 00:57:54.272000+00:00,60819.04021148151
,2025 CQ8,000000IPCUA2,23.345,,Lg,149.6512918,2.1774914,2025-05-24 00:58:39.483000+00:00,60819.04073475674
,2025 CQ8,000000IPCUA2,23.556,,Lg,149.651421,2.1774236,2025-05-24 00:59:24.965000+00:00,60819.04126116913
,2025 CQ8,000000IPCUA2,23.411,,Lg,149.6515796,2.1773286,2025-05-24 01:00:10.343000+00:00,60819.04178637732
,2025 CQ8,000000IPCUA2,23.437,,Lg,149.6519807,2.1771419,2025-05-24 01:02:01.624000+00:00,60819.043074351735
,2025 CQ8,000000IPCUA2,22.82,,Lr,149.6529892,2.1766457,2025-05-24 01:06:51.951000+00:00,60819.04643461807
,2025 CQ8,000000IPCUA2,22.781,,Lr,149.6531393,2.1765895,2025-05-24 01:07:37.062000+00:00,60819.04695673613
,2025 CQ8,000000IPCUA2,22.734,,Lr,149.6534609,2.1764483,2025-05-24 01:09:07.628000+00:00,60819.048004953656
,2025 CQ8,000000IPCUA2,22.824,,Lr,149.6537924,2.1762902,2025-05-24 01:10:38.393000+00:00,60819.049055474345
,2025 CQ8,000000IPCUA2,22.867,,Lr,149.6539364,2.1762008,2025-05-24 01:11:23.583000+00:00,60819.049578506965
,2025 CQ8,000000IPCUA2,22.753,,Lr,149.6542678,2.1760612,2025-05-24 01:12:54.554000+00:00,60819.05063141184
,2025 CQ8,000000IPCUA2,22.753,,Lr,149.6545672,2.1759067,2025-05-24 01:14:25.126000+00:00,60819.051679699216
,2025 CQ8,000000IPCUA2,22.858,,Lr,149.6547333,2.1758371,2025-05-24 01:15:10.426000+00:00,60819.05220400449
,2025 CQ8,000000IPCUA2,22.73,,Lr,149.655197,2.1756236,2025-05-24 01:17:26.428000+00:00,60819.05377810169
,2025 CQ8,000000IPCUA2,22.851,,Lr,149.6553782,2.1755407,2025-05-24 01:18:11.659000+00:00,60819.05430160882
,2025 CQ8,000000IPCUA2,22.817,,Lr,149.6555204,2.1754855,2025-05-24 01:18:56.955000+00:00,60819.05482586799
,2025 CQ8,000000IPCUA2,22.768,,Lr,149.6556776,2.1753981,2025-05-24 01:19:41.878000+00:00,60819.05534581002
,2025 CQ8,000000IPCUA2,22.71,,Lr,149.655851,2.1753237,2025-05-24 01:20:27.237000+00:00,60819.05587079842
