permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KB33,000000IPCal1,22.085,,Li,224.7964914,-38.7188039,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KB33,000000IPCal1,22.004,,Li,224.7963774,-38.7187406,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KB33,000000IPCal1,22.199,,Li,224.7959601,-38.7185755,2025-05-21 06:36:54.211000+00:00,60816.27562744217
,2025 KB33,000000IPCal1,22.029,,Li,224.795836,-38.7185237,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KB33,000000IPCal1,22.16,,Li,224.7957071,-38.7184724,2025-05-21 06:38:18.502000+00:00,60816.27660303237
,2025 KB33,000000IPCal1,22.024,,Li,224.7956223,-38.7184408,2025-05-21 06:39:01.549000+00:00,60816.27710126154
,2025 KB33,000000IPCal1,22.021,,Li,224.795497,-38.7183792,2025-05-21 06:39:44.659000+00:00,60816.27760021994
,2025 KB33,000000IPCal1,22.098,,Li,224.7953356,-38.7183194,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2025 KB33,000000IPCal1,22.025,,Li,224.7952481,-38.7182894,2025-05-21 06:41:19.820000+00:00,60816.27870162018
,2025 KB33,000000IPCal1,22.078,,Li,224.7949699,-38.7181647,2025-05-21 06:42:45.864000+00:00,60816.27969750017
,2025 KB33,000000IPCal1,21.987,,Li,224.7948539,-38.7181245,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KB33,000000IPCal1,21.975,,Li,224.7947212,-38.7180757,2025-05-21 06:44:14.732000+00:00,60816.28072606493
,2025 KB33,000000IPCal1,22.173,,Li,224.7945727,-38.7179808,2025-05-21 06:45:02.476000+00:00,60816.28127865726
,2025 KB33,000000IPCal1,21.996,,Li,224.7944658,-38.7179581,2025-05-21 06:45:46.050000+00:00,60816.28178298613
,2025 KB33,000000IPCal1,22.078,,Li,224.7941075,-38.7177711,2025-05-21 06:47:56.401000+00:00,60816.28329167841
,2025 KB33,000000IPCal1,21.848,,Li,224.7940025,-38.717747,2025-05-21 06:48:43.405000+00:00,60816.283835705835
,2025 KB33,000000IPCal1,22.126,,Li,224.7937552,-38.7176568,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2025 KB33,000000IPCal1,22.072,,Li,224.7936422,-38.7175966,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2025 KB33,000000IPCal1,22.28,,Lr,224.7920309,-38.7169345,2025-05-21 07:00:23.368000+00:00,60816.29193712957
,2025 KB33,000000IPCal1,22.125,,Lr,224.7919265,-38.7168978,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2025 KB33,000000IPCal1,22.222,,Lr,224.7917632,-38.7168496,2025-05-21 07:01:47.826000+00:00,60816.29291465273
,2025 KB33,000000IPCal1,22.194,,Lr,224.7915682,-38.7167406,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KB33,000000IPCal1,22.13,,Lr,224.791405,-38.7166691,2025-05-21 07:04:04.530000+00:00,60816.29449687479
