permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KF32,000000IPCUG1,23.598,,Lg,149.2957953,1.7415137,2025-05-20 23:57:15.858000+00:00,60815.99810020812
,2025 KF32,000000IPCUG1,23.441,,Lg,149.2959571,1.741572,2025-05-20 23:57:56.988000+00:00,60815.99857624993
,2025 KF32,000000IPCUG1,23.35,,Lg,149.2960731,1.7415747,2025-05-20 23:58:43.039000+00:00,60815.9991092477
,2025 KF32,000000IPCUG1,23.477,,Lg,149.2962349,1.7415752,2025-05-20 23:59:49.097000+00:00,60815.999873807654
,2025 KF32,000000IPCUG1,23.469,,Lg,149.2963425,1.7415805,2025-05-21 00:00:35.154000+00:00,60816.00040687481
,2025 KF32,000000IPCUG1,23.436,,Lg,149.2966019,1.7415671,2025-05-21 00:02:22.012000+00:00,60816.00164365722
,2025 KF32,000000IPCUG1,23.515,,Lg,149.2967152,1.7415876,2025-05-21 00:03:08.142000+00:00,60816.00217756955
,2025 KF32,000000IPCUG1,23.602,,Lg,149.2968006,1.741553,2025-05-21 00:04:04.332000+00:00,60816.00282791676
,2025 KF32,000000IPCUG1,23.546,,Lg,149.2969226,1.7415782,2025-05-21 00:04:50.561000+00:00,60816.00336297462
,2025 KF32,000000IPCUG1,23.402,,Lg,149.2970074,1.741593,2025-05-21 00:05:32.042000+00:00,60816.003843078855
,2025 KF32,000000IPCUG1,23.564,,Lg,149.2972043,1.741538,2025-05-21 00:06:54.505000+00:00,60816.004797511734
,2025 KF32,000000IPCUG1,23.366,,Lg,149.29739,1.7416094,2025-05-21 00:08:10.606000+00:00,60816.00567831006
,2025 KF32,000000IPCUG1,23.504,,Lg,149.2975536,1.7415756,2025-05-21 00:09:11.843000+00:00,60816.006387071684
,2025 KF32,000000IPCUG1,23.342,,Lg,149.29765,1.7416119,2025-05-21 00:09:57.882000+00:00,60816.00691993069
,2025 KF32,000000IPCUG1,23.414,,Lg,149.2977872,1.7416265,2025-05-21 00:10:53.968000+00:00,60816.007569074165
,2025 KF32,000000IPCUG1,23.428,,Lg,149.2978672,1.7416317,2025-05-21 00:11:35.217000+00:00,60816.008046492934
