permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KJ32,000000IPCUF1,22.828,,Lg,225.5640082,-39.9562221,2025-05-22 05:20:25.337000+00:00,60817.22251547454
,2025 KJ32,000000IPCUF1,22.84,,Lg,225.5637465,-39.9562153,2025-05-22 05:21:42.085000+00:00,60817.22340376163
,2025 KJ32,000000IPCUF1,22.759,,Lg,225.5633844,-39.956144,2025-05-22 05:23:35.722000+00:00,60817.224719004706
,2025 KJ32,000000IPCUF1,22.721,,Lg,225.5632721,-39.9561096,2025-05-22 05:24:17.666000+00:00,60817.22520446777
,2025 KJ32,000000IPCUF1,22.818,,Lg,225.5630806,-39.9561207,2025-05-22 05:24:59.750000+00:00,60817.22569155088
,2025 KJ32,000000IPCUF1,22.815,,Lg,225.5628562,-39.9560591,2025-05-22 05:26:11.343000+00:00,60817.22652017372
,2025 KJ32,000000IPCUF1,22.882,,Lg,225.5622894,-39.9559341,2025-05-22 05:28:56.420000+00:00,60817.2284307871
,2025 KJ32,000000IPCUF1,22.81,,Lg,225.5621128,-39.9558915,2025-05-22 05:29:43.402000+00:00,60817.228974560276
,2025 KJ32,000000IPCUF1,22.901,,Lg,225.561993,-39.9558999,2025-05-22 05:30:35.160000+00:00,60817.22957361117
,2025 KJ32,000000IPCUF1,22.812,,Lg,225.5618177,-39.9558622,2025-05-22 05:31:22.186000+00:00,60817.23011789331
,2025 KJ32,000000IPCUF1,22.944,,Lg,225.5616795,-39.9558414,2025-05-22 05:32:04.564000+00:00,60817.23060837947
,2025 KJ32,000000IPCUF1,22.837,,Lg,225.5615023,-39.9557931,2025-05-22 05:33:01.673000+00:00,60817.231269363314
,2025 KJ32,000000IPCUF1,22.871,,Lg,225.5610259,-39.9556988,2025-05-22 05:35:22.302000+00:00,60817.23289701389
,2025 KJ32,000000IPCUF1,22.7,,Lg,225.5601457,-39.9555742,2025-05-22 05:39:38.021000+00:00,60817.23585672444
,2025 KJ32,000000IPCUF1,22.364,,Lr,225.5567437,-39.9549918,2025-05-22 05:56:57.790000+00:00,60817.247891088016
,2025 KJ32,000000IPCUF1,22.206,,Lr,225.5565789,-39.9549215,2025-05-22 05:57:44.701000+00:00,60817.2484340393
,2025 KJ32,000000IPCUF1,22.166,,Lr,225.5564361,-39.9548981,2025-05-22 05:58:26.674000+00:00,60817.24891983811
,2025 KJ32,000000IPCUF1,22.135,,Lr,225.5562288,-39.9548687,2025-05-22 05:59:23.512000+00:00,60817.24957768526
,2025 KJ32,000000IPCUF1,22.203,,Lr,225.556091,-39.9548402,2025-05-22 06:00:15.327000+00:00,60817.250177395996
,2025 KJ32,000000IPCUF1,22.23,,Lr,225.5558922,-39.9548338,2025-05-22 06:00:57.744000+00:00,60817.25066833338
,2025 KJ32,000000IPCUF1,22.056,,Lr,225.5553306,-39.9547234,2025-05-22 06:03:53.987000+00:00,60817.25270818267
,2025 KJ32,000000IPCUF1,22.225,,Lr,225.5549688,-39.954627,2025-05-22 06:05:47.757000+00:00,60817.25402496522
,2025 KJ32,000000IPCUF1,22.128,,Lr,225.5548054,-39.9546278,2025-05-22 06:06:34.744000+00:00,60817.25456879614
,2025 KJ32,000000IPCUF1,22.093,,Lr,225.5545796,-39.9545771,2025-05-22 06:07:41.777000+00:00,60817.255344641395
,2025 KJ32,000000IPCUF1,22.144,,Lr,225.5544201,-39.9545429,2025-05-22 06:08:29.720000+00:00,60817.25589953689
,2025 KJ32,000000IPCUF1,22.239,,Lr,225.5542577,-39.9545334,2025-05-22 06:09:12.460000+00:00,60817.256394213066
,2025 KJ32,000000IPCUF1,22.167,,Lr,225.553778,-39.9544283,2025-05-22 06:11:32.749000+00:00,60817.25801792834
,2025 KJ32,000000IPCUF1,22.212,,Lr,225.5533671,-39.9543553,2025-05-22 06:13:48.161000+00:00,60817.25958519662
,2025 KJ32,000000IPCUF1,22.082,,Lr,225.553241,-39.9543227,2025-05-22 06:14:30.623000+00:00,60817.260076655075
,2025 KJ32,000000IPCUF1,22.141,,Lr,225.553084,-39.9542961,2025-05-22 06:15:13.363000+00:00,60817.260571330786
