permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KL32,000000IPCU71,22.291,,Li,225.390569,-39.2875595,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KL32,000000IPCU71,22.237,,Li,225.3904497,-39.287522,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KL32,000000IPCU71,22.232,,Li,225.3900131,-39.2874476,2025-05-21 06:36:54.211000+00:00,60816.27562744217
,2025 KL32,000000IPCU71,22.327,,Li,225.3898928,-39.2874316,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KL32,000000IPCU71,22.297,,Li,225.389764,-39.2873764,2025-05-21 06:38:18.502000+00:00,60816.27660303237
,2025 KL32,000000IPCU71,22.383,,Li,225.389694,-39.2873816,2025-05-21 06:39:01.549000+00:00,60816.27710126154
,2025 KL32,000000IPCU71,22.226,,Li,225.3895032,-39.2873479,2025-05-21 06:39:44.659000+00:00,60816.27760021994
,2025 KL32,000000IPCU71,22.488,,Li,225.3893614,-39.2873235,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2025 KL32,000000IPCU71,22.24,,Li,225.3892693,-39.2873165,2025-05-21 06:41:19.820000+00:00,60816.27870162018
,2025 KL32,000000IPCU71,22.203,,Li,225.3890291,-39.2872531,2025-05-21 06:42:45.864000+00:00,60816.27969750017
,2025 KL32,000000IPCU71,22.424,,Li,225.3889071,-39.2871987,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KL32,000000IPCU71,22.298,,Li,225.3885272,-39.2871293,2025-05-21 06:45:46.050000+00:00,60816.28178298613
,2025 KL32,000000IPCU71,22.051,,Li,225.3883457,-39.2871139,2025-05-21 06:46:33.193000+00:00,60816.28232862288
,2025 KL32,000000IPCU71,22.226,,Li,225.3881138,-39.2870731,2025-05-21 06:47:56.401000+00:00,60816.28329167841
,2025 KL32,000000IPCU71,22.388,,Li,225.3878996,-39.2870328,2025-05-21 06:49:25.563000+00:00,60816.284323645756
,2025 KL32,000000IPCU71,22.248,,Li,225.3877424,-39.2870065,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2025 KL32,000000IPCU71,22.256,,Li,225.3875746,-39.2869679,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2025 KL32,000000IPCU71,22.291,,Li,225.3875373,-39.2869472,2025-05-21 06:51:34.477000+00:00,60816.28581570601
,2025 KL32,000000IPCU71,22.261,,Lr,225.3863805,-39.2867258,2025-05-21 06:58:12.782000+00:00,60816.290425717365
,2025 KL32,000000IPCU71,22.354,,Lr,225.3862505,-39.2866838,2025-05-21 06:58:53.736000+00:00,60816.29089972237
,2025 KL32,000000IPCU71,22.43,,Lr,225.3860045,-39.2866436,2025-05-21 07:00:23.368000+00:00,60816.29193712957
,2025 KL32,000000IPCU71,22.366,,Lr,225.3858802,-39.2866092,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2025 KL32,000000IPCU71,22.515,,Lr,225.3857424,-39.2865745,2025-05-21 07:01:47.826000+00:00,60816.29291465273
,2025 KL32,000000IPCU71,22.512,,Lr,225.3856342,-39.2865695,2025-05-21 07:02:29.901000+00:00,60816.29340163199
,2025 KL32,000000IPCU71,22.381,,Lr,225.3852528,-39.2864871,2025-05-21 07:04:46.591000+00:00,60816.294983692
,2025 KL32,000000IPCU71,22.507,,Lr,225.3850359,-39.2864478,2025-05-21 07:06:11.674000+00:00,60816.29596844921
,2025 KL32,000000IPCU71,22.429,,Lr,225.3848926,-39.2864187,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2025 KL32,000000IPCU71,22.347,,Lr,225.3847571,-39.2863884,2025-05-21 07:07:37.797000+00:00,60816.29696524283
,2025 KL32,000000IPCU71,22.375,,Lr,225.3846423,-39.2863811,2025-05-21 07:08:21.047000+00:00,60816.29746582173
,2025 KL32,000000IPCU71,22.453,,Lr,225.3845433,-39.2863548,2025-05-21 07:09:02.155000+00:00,60816.29794160882
,2025 KL32,000000IPCU71,22.406,,Lr,225.3837044,-39.2862674,2025-05-21 07:14:00.332000+00:00,60816.30139273126
,2025 KL32,000000IPCU71,22.44,,Lr,225.3836186,-39.286175,2025-05-21 07:14:42.330000+00:00,60816.30187881924
,2025 KL32,000000IPCU71,22.292,,Lz,225.3800652,-39.2854327,2025-05-21 07:35:23.879000+00:00,60816.31624859944
,2025 KL32,000000IPCU71,22.209,,Lz,225.3789199,-39.2851877,2025-05-21 07:41:55.159000+00:00,60816.32077730307
,2025 KL32,000000IPCU71,22.321,,Lz,225.3788009,-39.2851647,2025-05-21 07:42:36.616000+00:00,60816.32125712978
,2025 KL32,000000IPCU71,22.249,,Lz,225.3786874,-39.2851593,2025-05-21 07:43:17.708000+00:00,60816.321732731536
,2025 KL32,000000IPCU71,22.233,,Lz,225.3786384,-39.2851358,2025-05-21 07:44:00.466000+00:00,60816.32222761586
,2025 KL32,000000IPCU72,23.185,,Lg,225.1710788,-39.2448935,2025-05-22 05:21:42.085000+00:00,60817.22340376163
,2025 KL32,000000IPCU72,23.01,,Lg,225.1709739,-39.2448397,2025-05-22 05:22:23.784000+00:00,60817.22388638882
,2025 KL32,000000IPCU72,23.347,,Lg,225.1707094,-39.2448424,2025-05-22 05:23:35.722000+00:00,60817.224719004706
,2025 KL32,000000IPCU72,23.211,,Lg,225.1706706,-39.2447848,2025-05-22 05:24:17.666000+00:00,60817.22520446777
,2025 KL32,000000IPCU72,23.134,,Lg,225.1703315,-39.2446935,2025-05-22 05:26:11.343000+00:00,60817.22652017372
,2025 KL32,000000IPCU72,23.118,,Lg,225.1701278,-39.2446434,2025-05-22 05:27:23.382000+00:00,60817.22735395841
,2025 KL32,000000IPCU72,23.051,,Lg,225.1698944,-39.2447019,2025-05-22 05:28:14.990000+00:00,60817.22795127332
,2025 KL32,000000IPCU72,23.082,,Lg,225.1695886,-39.2445671,2025-05-22 05:30:35.160000+00:00,60817.22957361117
,2025 KL32,000000IPCU72,23.036,,Lg,225.1692775,-39.2444632,2025-05-22 05:32:04.564000+00:00,60817.23060837947
,2025 KL32,000000IPCU72,23.126,,Lg,225.169001,-39.2444528,2025-05-22 05:33:54.608000+00:00,60817.23188203713
,2025 KL32,000000IPCU72,23.083,,Lg,225.1688686,-39.2443999,2025-05-22 05:34:35.647000+00:00,60817.23235702561
,2025 KL32,000000IPCU72,23.132,,Lg,225.1685641,-39.2443765,2025-05-22 05:36:18.448000+00:00,60817.23354685167
,2025 KL32,000000IPCU72,22.907,,Lg,225.168471,-39.2443195,2025-05-22 05:37:10.069000+00:00,60817.234144316986
,2025 KL32,000000IPCU72,22.98,,Lg,225.1682619,-39.2442853,2025-05-22 05:38:11.340000+00:00,60817.234853472095
,2025 KL32,000000IPCU72,22.968,,Lg,225.1680465,-39.2442387,2025-05-22 05:39:38.021000+00:00,60817.23585672444
,2025 KL32,000000IPCU72,22.506,,Lr,225.1650528,-39.2436154,2025-05-22 05:56:57.790000+00:00,60817.247891088016
,2025 KL32,000000IPCU72,22.624,,Lr,225.1646251,-39.2434965,2025-05-22 05:59:23.512000+00:00,60817.24957768526
,2025 KL32,000000IPCU72,22.664,,Lr,225.1640237,-39.2433988,2025-05-22 06:02:56.967000+00:00,60817.25204822933
,2025 KL32,000000IPCU72,22.535,,Lr,225.1638798,-39.2433414,2025-05-22 06:03:53.987000+00:00,60817.25270818267
,2025 KL32,000000IPCU72,22.503,,Lr,225.1637372,-39.2432824,2025-05-22 06:05:00.845000+00:00,60817.2534820023
,2025 KL32,000000IPCU72,22.56,,Lr,225.1635769,-39.2432822,2025-05-22 06:05:47.757000+00:00,60817.25402496522
,2025 KL32,000000IPCU72,22.573,,Lr,225.1634093,-39.2432557,2025-05-22 06:06:34.744000+00:00,60817.25456879614
,2025 KL32,000000IPCU72,22.593,,Lr,225.1632484,-39.2431833,2025-05-22 06:07:41.777000+00:00,60817.255344641395
,2025 KL32,000000IPCU72,22.64,,Lr,225.163144,-39.2432186,2025-05-22 06:08:29.720000+00:00,60817.25589953689
,2025 KL32,000000IPCU72,22.587,,Lr,225.1629956,-39.2431564,2025-05-22 06:09:12.460000+00:00,60817.256394213066
,2025 KL32,000000IPCU72,22.6,,Lr,225.1629242,-39.2431034,2025-05-22 06:09:54.456000+00:00,60817.25688027777
,2025 KL32,000000IPCU72,22.564,,Lr,225.1627565,-39.2431089,2025-05-22 06:10:46.468000+00:00,60817.25748226838
,2025 KL32,000000IPCU72,22.56,,Lr,225.1625442,-39.2430774,2025-05-22 06:11:32.749000+00:00,60817.25801792834
,2025 KL32,000000IPCU72,22.591,,Lr,225.1624597,-39.2430318,2025-05-22 06:12:14.634000+00:00,60817.25850270828
,2025 KL32,000000IPCU72,22.558,,Lr,225.1623198,-39.2430055,2025-05-22 06:13:06.847000+00:00,60817.25910702534
,2025 KL32,000000IPCU72,22.573,,Lr,225.1622197,-39.2429901,2025-05-22 06:13:48.161000+00:00,60817.25958519662
,2025 KL32,000000IPCU72,22.669,,Lr,225.1621177,-39.2429526,2025-05-22 06:14:30.623000+00:00,60817.260076655075
,2025 KL32,000000IPCU72,22.465,,Lr,225.1619586,-39.2429397,2025-05-22 06:15:13.363000+00:00,60817.260571330786
,2025 KL32,000000IPCU72,22.492,,Lr,225.1618553,-39.2428922,2025-05-22 06:15:55.500000+00:00,60817.26105902763
,2025 KL32,000000IPCU72,22.601,,Lr,225.1617106,-39.2428483,2025-05-22 06:16:37.597000+00:00,60817.26154626161
,2025 KL32,000000IPCU72,22.468,,Li,225.1604082,-39.2425695,2025-05-22 06:24:27.631000+00:00,60817.26698646974
,2025 KL32,000000IPCU72,22.626,,Li,225.1602635,-39.242577,2025-05-22 06:25:14.359000+00:00,60817.26752730319
,2025 KL32,000000IPCU72,22.491,,Li,225.1601724,-39.2425581,2025-05-22 06:25:56.764000+00:00,60817.26801810181
,2025 KL32,000000IPCU72,22.352,,Li,225.1600199,-39.2424997,2025-05-22 06:26:38.765000+00:00,60817.26850422472
,2025 KL32,000000IPCU72,22.39,,Li,225.1599316,-39.2424575,2025-05-22 06:27:25.956000+00:00,60817.26905041654
,2025 KL32,000000IPCU72,22.202,,Li,225.1597966,-39.2424377,2025-05-22 06:28:08.133000+00:00,60817.26953857625
,2025 KL32,000000IPCU72,22.26,,Li,225.1597149,-39.242453,2025-05-22 06:28:50.397000+00:00,60817.27002774319
,2025 KL32,000000IPCU72,22.459,,Li,225.1594575,-39.2423883,2025-05-22 06:30:25.357000+00:00,60817.27112681698
,2025 KL32,000000IPCU72,22.39,,Li,225.1593284,-39.2423583,2025-05-22 06:31:07.411000+00:00,60817.27161355317
,2025 KL32,000000IPCU72,22.363,,Li,225.1590735,-39.2422873,2025-05-22 06:32:36.890000+00:00,60817.27264918992
,2025 KL32,000000IPCU72,22.317,,Li,225.1588999,-39.2422603,2025-05-22 06:33:19.959000+00:00,60817.27314767381
,2025 KL32,000000IPCU72,22.495,,Li,225.1587672,-39.2422392,2025-05-22 06:34:11.948000+00:00,60817.27374939807
,2025 KL32,000000IPCU72,22.501,,Li,225.1585494,-39.2420915,2025-05-22 06:35:38.295000+00:00,60817.27474878449
,2025 KL32,000000IPCU72,22.208,,Li,225.1582502,-39.242126,2025-05-22 06:37:03.509000+00:00,60817.27573505789
,2025 KL32,000000IPCU72,22.215,,Li,225.1580693,-39.2420404,2025-05-22 06:38:27.141000+00:00,60817.27670302102
,2025 KL32,000000IPCU72,22.321,,Li,225.1579448,-39.2420585,2025-05-22 06:39:14.417000+00:00,60817.277250196785
,2025 KL32,000000IPCU72,22.332,,Li,225.1577845,-39.2420448,2025-05-22 06:39:57.625000+00:00,60817.27775028953
,2025 KL32,000000IPCU73,22.343,,Li,224.7558483,-39.1484619,2025-05-24 01:54:17.226000+00:00,60819.07936604181
,2025 KL32,000000IPCU73,22.343,,Li,224.7557238,-39.1484571,2025-05-24 01:54:59.144000+00:00,60819.0798512036
,2025 KL32,000000IPCU73,22.301,,Li,224.7554751,-39.148383,2025-05-24 01:56:24.185000+00:00,60819.080835474655
,2025 KL32,000000IPCU73,22.297,,Li,224.7553729,-39.1483738,2025-05-24 01:57:06.636000+00:00,60819.08132680552
,2025 KL32,000000IPCU73,22.402,,Li,224.7550136,-39.1482796,2025-05-24 01:59:13.726000+00:00,60819.082797754556
,2025 KL32,000000IPCU73,22.22,,Li,224.754886,-39.1482616,2025-05-24 01:59:56.085000+00:00,60819.08328802092
,2025 KL32,000000IPCU73,22.363,,Li,224.7547839,-39.1482341,2025-05-24 02:00:38.627000+00:00,60819.08378040511
,2025 KL32,000000IPCU73,22.31,,Li,224.754682,-39.1482129,2025-05-24 02:01:20.621000+00:00,60819.08426644653
,2025 KL32,000000IPCU73,22.421,,Li,224.7545647,-39.1481851,2025-05-24 02:02:02.873000+00:00,60819.0847554747
,2025 KL32,000000IPCU73,22.358,,Li,224.7544431,-39.1481506,2025-05-24 02:02:45.038000+00:00,60819.08524349518
,2025 KL32,000000IPCU73,22.383,,Li,224.7541966,-39.1480942,2025-05-24 02:04:10.821000+00:00,60819.08623635396
,2025 KL32,000000IPCU73,22.375,,Li,224.754081,-39.148069,2025-05-24 02:04:53.177000+00:00,60819.08672658587
,2025 KL32,000000IPCU73,22.296,,Li,224.7539835,-39.1480438,2025-05-24 02:05:35.423000+00:00,60819.08721554419
,2025 KL32,000000IPCU73,22.315,,Li,224.753857,-39.1480271,2025-05-24 02:06:17.710000+00:00,60819.08770497702
,2025 KL32,000000IPCU73,22.382,,Li,224.7537481,-39.148001,2025-05-24 02:06:59.621000+00:00,60819.08819005778
,2025 KL32,000000IPCU73,22.361,,Li,224.7536515,-39.1479655,2025-05-24 02:07:42.277000+00:00,60819.088683761656
