permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KM32,000000IPCU51,22.749,,Li,226.3813321,-38.5932788,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KM32,000000IPCU51,22.608,,Li,226.381036,-38.593267,2025-05-21 06:36:12.031000+00:00,60816.27513924753
,2025 KM32,000000IPCU51,22.372,,Li,226.3807177,-38.5932209,2025-05-21 06:38:18.502000+00:00,60816.27660303237
,2025 KM32,000000IPCU51,22.588,,Li,226.3803964,-38.5931843,2025-05-21 06:39:44.659000+00:00,60816.27760021994
,2025 KM32,000000IPCU51,22.596,,Li,226.3802295,-38.5931074,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2025 KM32,000000IPCU51,22.537,,Li,226.3797303,-38.5931196,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KM32,000000IPCU51,22.568,,Li,226.3794926,-38.5930484,2025-05-21 06:45:02.476000+00:00,60816.28127865726
,2025 KM32,000000IPCU51,22.502,,Li,226.3787083,-38.5929749,2025-05-21 06:49:25.563000+00:00,60816.284323645756
,2025 KM32,000000IPCU51,22.537,,Li,226.3785614,-38.5929814,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2025 KM32,000000IPCU51,22.729,,Lr,226.3765975,-38.5927468,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2025 KM32,000000IPCU51,22.911,,Lr,226.3762582,-38.5926651,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KM32,000000IPCU51,22.863,,Lr,226.3761462,-38.5926664,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2025 KM32,000000IPCU51,22.872,,Lr,226.3757082,-38.5926393,2025-05-21 07:06:11.674000+00:00,60816.29596844921
,2025 KM32,000000IPCU51,22.806,,Lr,226.3753816,-38.592567,2025-05-21 07:08:21.047000+00:00,60816.29746582173
,2025 KM32,000000IPCU51,22.732,,Lr,226.3752578,-38.5925573,2025-05-21 07:09:02.155000+00:00,60816.29794160882
,2025 KM32,000000IPCU51,22.792,,Lr,226.3742102,-38.5924427,2025-05-21 07:14:42.330000+00:00,60816.30187881924
,2025 KM32,000000IPCU51,22.459,,Lz,226.3706084,-38.5920269,2025-05-21 07:35:23.879000+00:00,60816.31624859944
,2025 KM32,000000IPCU51,22.281,,Lz,226.3694074,-38.5917869,2025-05-21 07:42:36.616000+00:00,60816.32125712978
,2025 KM32,000000IPCU52,23.165,,Lg,226.1467607,-38.5658651,2025-05-22 05:20:25.337000+00:00,60817.22251547454
,2025 KM32,000000IPCU52,23.366,,Lg,226.1464799,-38.5658361,2025-05-22 05:21:42.085000+00:00,60817.22340376163
,2025 KM32,000000IPCU52,23.368,,Lg,226.1464071,-38.5658028,2025-05-22 05:22:23.784000+00:00,60817.22388638882
,2025 KM32,000000IPCU52,23.252,,Lg,226.1462029,-38.565767,2025-05-22 05:23:35.722000+00:00,60817.224719004706
,2025 KM32,000000IPCU52,23.502,,Lg,226.1459201,-38.5657351,2025-05-22 05:24:59.750000+00:00,60817.22569155088
,2025 KM32,000000IPCU52,23.249,,Lg,226.1453248,-38.5656744,2025-05-22 05:28:14.990000+00:00,60817.22795127332
,2025 KM32,000000IPCU52,23.218,,Lg,226.1450578,-38.5656456,2025-05-22 05:29:43.402000+00:00,60817.228974560276
,2025 KM32,000000IPCU52,22.602,,Lr,226.1403215,-38.5650355,2025-05-22 05:56:57.790000+00:00,60817.247891088016
,2025 KM32,000000IPCU52,22.78,,Lr,226.1402055,-38.5650745,2025-05-22 05:57:44.701000+00:00,60817.2484340393
,2025 KM32,000000IPCU52,22.553,,Lr,226.1400781,-38.5649731,2025-05-22 05:58:26.674000+00:00,60817.24891983811
,2025 KM32,000000IPCU52,22.691,,Lr,226.1398586,-38.565015,2025-05-22 05:59:23.512000+00:00,60817.24957768526
,2025 KM32,000000IPCU52,22.583,,Lr,226.1397175,-38.5649685,2025-05-22 06:00:15.327000+00:00,60817.250177395996
,2025 KM32,000000IPCU52,22.655,,Lr,226.1395482,-38.5649292,2025-05-22 06:00:57.744000+00:00,60817.25066833338
,2025 KM32,000000IPCU52,22.931,,Lr,226.1392252,-38.5649107,2025-05-22 06:02:56.967000+00:00,60817.25204822933
,2025 KM32,000000IPCU52,22.747,,Lr,226.1390284,-38.5648631,2025-05-22 06:03:53.987000+00:00,60817.25270818267
,2025 KM32,000000IPCU52,22.835,,Lr,226.1388985,-38.5648822,2025-05-22 06:05:00.845000+00:00,60817.2534820023
,2025 KM32,000000IPCU52,22.703,,Lr,226.138034,-38.5647565,2025-05-22 06:09:54.456000+00:00,60817.25688027777
,2025 KM32,000000IPCU52,22.821,,Lr,226.1378944,-38.5647045,2025-05-22 06:10:46.468000+00:00,60817.25748226838
,2025 KM32,000000IPCU52,22.805,,Lr,226.1377314,-38.564715,2025-05-22 06:11:32.749000+00:00,60817.25801792834
