permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KP32,000000IPCU41,22.209,,Li,227.062283,-37.9429337,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KP32,000000IPCU41,22.355,,Li,227.0621333,-37.9429454,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KP32,000000IPCU41,22.148,,Li,227.0619791,-37.9429418,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2025 KP32,000000IPCU41,22.215,,Li,227.0615903,-37.9428921,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KP32,000000IPCU41,22.272,,Li,227.0605445,-37.9428059,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KP32,000000IPCU41,22.045,,Li,227.0604308,-37.9427823,2025-05-21 06:44:14.732000+00:00,60816.28072606493
,2025 KP32,000000IPCU41,22.064,,Li,227.0602917,-37.9427627,2025-05-21 06:45:02.476000+00:00,60816.28127865726
,2025 KP32,000000IPCU41,22.151,,Li,227.0601434,-37.9427727,2025-05-21 06:45:46.050000+00:00,60816.28178298613
,2025 KP32,000000IPCU41,22.313,,Li,227.0595456,-37.9426886,2025-05-21 06:48:43.405000+00:00,60816.283835705835
,2025 KP32,000000IPCU41,22.329,,Li,227.0593675,-37.9426914,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2025 KP32,000000IPCU41,22.384,,Li,227.0592677,-37.9426844,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2025 KP32,000000IPCU41,22.21,,Lr,227.0575622,-37.9425179,2025-05-21 07:00:23.368000+00:00,60816.29193712957
,2025 KP32,000000IPCU41,22.282,,Lr,227.0565487,-37.9423966,2025-05-21 07:06:11.674000+00:00,60816.29596844921
,2025 KP32,000000IPCU41,22.217,,Lr,227.0564441,-37.942394,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2025 KP32,000000IPCU41,22.241,,Lr,227.0563109,-37.9423728,2025-05-21 07:07:37.797000+00:00,60816.29696524283
,2025 KP32,000000IPCU41,22.366,,Lr,227.056196,-37.9423523,2025-05-21 07:08:21.047000+00:00,60816.29746582173
,2025 KP32,000000IPCU41,22.223,,Lr,227.0557157,-37.9423,2025-05-21 07:11:08.802000+00:00,60816.29940743046
,2025 KP32,000000IPCU41,22.121,,Lr,227.0554459,-37.9422863,2025-05-21 07:12:34.960000+00:00,60816.30040462967
,2025 KP32,000000IPCU41,22.082,,Lr,227.0550629,-37.9422155,2025-05-21 07:14:42.330000+00:00,60816.30187881924
,2025 KP32,000000IPCU41,22.012,,Lz,227.0524031,-37.9419241,2025-05-21 07:29:50.897000+00:00,60816.31239464134
,2025 KP32,000000IPCU41,22.008,,Lz,227.0510265,-37.9418165,2025-05-21 07:37:35.565000+00:00,60816.31777274283
,2025 KP32,000000IPCU41,22.252,,Lz,227.0499654,-37.9417635,2025-05-21 07:44:00.466000+00:00,60816.32222761586
,2025 KP32,000000IPCU42,22.639,,Lg,226.8316559,-37.9217486,2025-05-22 05:20:25.337000+00:00,60817.22251547454
,2025 KP32,000000IPCU42,22.73,,Lg,226.8314719,-37.92173,2025-05-22 05:21:42.085000+00:00,60817.22340376163
,2025 KP32,000000IPCU42,22.651,,Lg,226.8313582,-37.921714,2025-05-22 05:22:23.784000+00:00,60817.22388638882
,2025 KP32,000000IPCU42,22.608,,Lg,226.8308679,-37.9216512,2025-05-22 05:24:59.750000+00:00,60817.22569155088
,2025 KP32,000000IPCU42,22.573,,Lg,226.8296356,-37.9215235,2025-05-22 05:32:04.564000+00:00,60817.23060837947
,2025 KP32,000000IPCU42,22.585,,Lg,226.8294589,-37.921514,2025-05-22 05:33:01.673000+00:00,60817.231269363314
,2025 KP32,000000IPCU42,22.617,,Lg,226.8293279,-37.9214948,2025-05-22 05:33:54.608000+00:00,60817.23188203713
,2025 KP32,000000IPCU42,22.587,,Lg,226.8291457,-37.9214705,2025-05-22 05:34:35.647000+00:00,60817.23235702561
,2025 KP32,000000IPCU42,22.682,,Lg,226.828544,-37.9214536,2025-05-22 05:38:11.340000+00:00,60817.234853472095
,2025 KP32,000000IPCU42,22.147,,Lr,226.8252701,-37.9210719,2025-05-22 05:56:57.790000+00:00,60817.247891088016
,2025 KP32,000000IPCU42,22.208,,Lr,226.8249986,-37.9210392,2025-05-22 05:58:26.674000+00:00,60817.24891983811
,2025 KP32,000000IPCU42,22.181,,Lr,226.8245835,-37.9210223,2025-05-22 06:00:57.744000+00:00,60817.25066833338
,2025 KP32,000000IPCU42,22.107,,Lr,226.8232492,-37.9208622,2025-05-22 06:08:29.720000+00:00,60817.25589953689
,2025 KP32,000000IPCU42,22.354,,Lr,226.8231754,-37.92084,2025-05-22 06:09:12.460000+00:00,60817.256394213066
,2025 KP32,000000IPCU42,22.277,,Lr,226.8229878,-37.9208109,2025-05-22 06:09:54.456000+00:00,60817.25688027777
,2025 KP32,000000IPCU42,22.235,,Lr,226.8228589,-37.9208115,2025-05-22 06:10:46.468000+00:00,60817.25748226838
,2025 KP32,000000IPCU42,22.19,,Lr,226.8223136,-37.920733,2025-05-22 06:13:48.161000+00:00,60817.25958519662
,2025 KP32,000000IPCU42,22.189,,Lr,226.8219337,-37.9207004,2025-05-22 06:15:55.500000+00:00,60817.26105902763
,2025 KP32,000000IPCU42,22.168,,Lr,226.8216583,-37.9206907,2025-05-22 06:17:19.217000+00:00,60817.262027974706
,2025 KP32,000000IPCU42,22.115,,Li,226.8203121,-37.92054,2025-05-22 06:25:14.359000+00:00,60817.26752730319
,2025 KP32,000000IPCU42,22.071,,Li,226.8201378,-37.9205175,2025-05-22 06:25:56.764000+00:00,60817.26801810181
,2025 KP32,000000IPCU42,22.272,,Li,226.8198197,-37.9204804,2025-05-22 06:28:08.133000+00:00,60817.26953857625
,2025 KP32,000000IPCU42,22.153,,Li,226.8187343,-37.920353,2025-05-22 06:34:11.948000+00:00,60817.27374939807
,2025 KP32,000000IPCU42,22.19,,Li,226.8186357,-37.9203229,2025-05-22 06:34:55.098000+00:00,60817.27424881933
,2025 KP32,000000IPCU42,22.037,,Li,226.8185174,-37.9203026,2025-05-22 06:35:38.295000+00:00,60817.27474878449
