permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KR32,000000IPCUO1,20.885,,Li,226.0082723,-37.9435348,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KR32,000000IPCUO1,20.865,,Li,226.0081201,-37.9435084,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KR32,000000IPCUO1,20.861,,Li,226.007942,-37.9434735,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2025 KR32,000000IPCUO1,20.865,,Li,226.0075277,-37.9433947,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KR32,000000IPCUO1,20.832,,Li,226.0073959,-37.9433663,2025-05-21 06:38:18.502000+00:00,60816.27660303237
,2025 KR32,000000IPCUO1,20.883,,Li,226.007256,-37.9433395,2025-05-21 06:39:01.549000+00:00,60816.27710126154
,2025 KR32,000000IPCUO1,20.797,,Li,226.0069583,-37.9432894,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2025 KR32,000000IPCUO1,20.803,,Li,226.0068351,-37.9432657,2025-05-21 06:41:19.820000+00:00,60816.27870162018
,2025 KR32,000000IPCUO1,20.737,,Li,226.0062761,-37.9431626,2025-05-21 06:44:14.732000+00:00,60816.28072606493
,2025 KR32,000000IPCUO1,20.767,,Li,226.0061302,-37.9431329,2025-05-21 06:45:02.476000+00:00,60816.28127865726
,2025 KR32,000000IPCUO1,20.769,,Li,226.0059987,-37.9431115,2025-05-21 06:45:46.050000+00:00,60816.28178298613
,2025 KR32,000000IPCUO1,20.686,,Li,226.0054408,-37.9430099,2025-05-21 06:48:43.405000+00:00,60816.283835705835
,2025 KR32,000000IPCUO1,20.697,,Li,226.0050487,-37.9429314,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2025 KR32,000000IPCUO1,20.75,,Lr,226.003846,-37.9426904,2025-05-21 06:57:20.705000+00:00,60816.28982297471
,2025 KR32,000000IPCUO1,20.81,,Lr,226.0036705,-37.9426702,2025-05-21 06:58:12.782000+00:00,60816.290425717365
,2025 KR32,000000IPCUO1,20.824,,Lr,226.003261,-37.9425904,2025-05-21 07:00:23.368000+00:00,60816.29193712957
,2025 KR32,000000IPCUO1,20.793,,Lr,226.003132,-37.9425651,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2025 KR32,000000IPCUO1,20.805,,Lr,226.0027189,-37.9424887,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KR32,000000IPCUO1,20.786,,Lr,226.0025693,-37.9424629,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2025 KR32,000000IPCUO1,20.834,,Lr,226.0021757,-37.9423839,2025-05-21 07:06:11.674000+00:00,60816.29596844921
,2025 KR32,000000IPCUO1,20.82,,Lr,226.0020377,-37.9423609,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2025 KR32,000000IPCUO1,20.782,,Lr,226.0019028,-37.9423318,2025-05-21 07:07:37.797000+00:00,60816.29696524283
,2025 KR32,000000IPCUO1,20.848,,Lr,226.0017712,-37.9423069,2025-05-21 07:08:21.047000+00:00,60816.29746582173
,2025 KR32,000000IPCUO1,20.842,,Lr,226.0012492,-37.942218,2025-05-21 07:11:08.802000+00:00,60816.29940743046
,2025 KR32,000000IPCUO1,20.691,,Lz,225.997757,-37.9415438,2025-05-21 07:29:50.897000+00:00,60816.31239464134
,2025 KR32,000000IPCUO1,20.711,,Lz,225.9963294,-37.9412632,2025-05-21 07:37:35.565000+00:00,60816.31777274283
,2025 KR32,000000IPCUO1,20.668,,Lz,225.9960465,-37.9412121,2025-05-21 07:38:59.546000+00:00,60816.31874474557
,2025 KR32,000000IPCUO1,20.711,,Lz,225.9956438,-37.9411271,2025-05-21 07:41:12.433000+00:00,60816.32028278941
,2025 KR32,000000IPCUO1,20.716,,Lz,225.9953883,-37.9410706,2025-05-21 07:42:36.616000+00:00,60816.32125712978
,2025 KR32,000000IPCUO1,20.708,,Lz,225.9951185,-37.9410296,2025-05-21 07:44:00.466000+00:00,60816.32222761586
,2025 KR32,000000IPCUO2,22.049,,Lg,225.7611604,-37.8972797,2025-05-22 05:21:42.085000+00:00,60817.22340376163
,2025 KR32,000000IPCUO2,22.049,,Lg,225.7605479,-37.8971731,2025-05-22 05:24:59.750000+00:00,60817.22569155088
,2025 KR32,000000IPCUO2,22.077,,Lg,225.760336,-37.8970848,2025-05-22 05:26:11.343000+00:00,60817.22652017372
,2025 KR32,000000IPCUO2,22.073,,Lg,225.7601311,-37.8970594,2025-05-22 05:27:23.382000+00:00,60817.22735395841
,2025 KR32,000000IPCUO2,22.023,,Lg,225.7598194,-37.8969988,2025-05-22 05:28:56.420000+00:00,60817.2284307871
,2025 KR32,000000IPCUO2,21.942,,Lg,225.7592292,-37.8969106,2025-05-22 05:32:04.564000+00:00,60817.23060837947
,2025 KR32,000000IPCUO2,21.95,,Lg,225.7590524,-37.8968535,2025-05-22 05:33:01.673000+00:00,60817.231269363314
,2025 KR32,000000IPCUO2,21.909,,Lg,225.7589198,-37.8968215,2025-05-22 05:33:54.608000+00:00,60817.23188203713
,2025 KR32,000000IPCUO2,21.976,,Lg,225.7587718,-37.896793,2025-05-22 05:34:35.647000+00:00,60817.23235702561
,2025 KR32,000000IPCUO2,21.996,,Lg,225.7584548,-37.8967267,2025-05-22 05:36:18.448000+00:00,60817.23354685167
,2025 KR32,000000IPCUO2,21.943,,Lg,225.7581121,-37.896665,2025-05-22 05:38:11.340000+00:00,60817.234853472095
,2025 KR32,000000IPCUO2,21.068,,Lr,225.7546126,-37.8959771,2025-05-22 05:56:57.790000+00:00,60817.247891088016
,2025 KR32,000000IPCUO2,21.047,,Lr,225.754465,-37.8959468,2025-05-22 05:57:44.701000+00:00,60817.2484340393
,2025 KR32,000000IPCUO2,21.047,,Lr,225.7543307,-37.8959168,2025-05-22 05:58:26.674000+00:00,60817.24891983811
