permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KS32,000000IPCUX1,22.264,,Li,225.7780836,-40.0432702,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KS32,000000IPCUX1,22.276,,Li,225.7779024,-40.0432728,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KS32,000000IPCUX1,22.293,,Li,225.7776942,-40.0432838,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2025 KS32,000000IPCUX1,22.488,,Li,225.7773432,-40.0432443,2025-05-21 06:36:54.211000+00:00,60816.27562744217
,2025 KS32,000000IPCUX1,22.318,,Li,225.7771942,-40.0432292,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KS32,000000IPCUX1,22.485,,Li,225.7767152,-40.0432252,2025-05-21 06:39:44.659000+00:00,60816.27760021994
,2025 KS32,000000IPCUX1,22.437,,Li,225.7764996,-40.0431947,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2025 KS32,000000IPCUX1,22.492,,Li,225.7763705,-40.0432028,2025-05-21 06:41:19.820000+00:00,60816.27870162018
,2025 KS32,000000IPCUX1,22.324,,Li,225.7761885,-40.0431664,2025-05-21 06:42:02.933000+00:00,60816.2792006135
,2025 KS32,000000IPCUX1,22.46,,Li,225.7760473,-40.0431773,2025-05-21 06:42:45.864000+00:00,60816.27969750017
,2025 KS32,000000IPCUX1,22.425,,Li,225.7759009,-40.0431707,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KS32,000000IPCUX1,22.388,,Li,225.775424,-40.0431355,2025-05-21 06:45:46.050000+00:00,60816.28178298613
,2025 KS32,000000IPCUX1,22.44,,Li,225.7745544,-40.0431073,2025-05-21 06:49:25.563000+00:00,60816.284323645756
,2025 KS32,000000IPCUX1,22.211,,Li,225.7742409,-40.0430907,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2025 KS32,000000IPCUX1,22.68,,Lr,225.7715894,-40.0429525,2025-05-21 07:02:29.901000+00:00,60816.29340163199
,2025 KS32,000000IPCUX1,22.481,,Lr,225.771423,-40.0429547,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KS32,000000IPCUX1,22.442,,Lr,225.7712694,-40.0429154,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2025 KS32,000000IPCUX1,22.571,,Lr,225.7710979,-40.0429165,2025-05-21 07:04:46.591000+00:00,60816.294983692
,2025 KS32,000000IPCUX1,22.484,,Lr,225.770942,-40.0429184,2025-05-21 07:05:28.472000+00:00,60816.295468425844
,2025 KS32,000000IPCUX1,22.576,,Lr,225.7706173,-40.0428952,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2025 KS32,000000IPCUX1,22.544,,Lr,225.7702786,-40.0428873,2025-05-21 07:08:21.047000+00:00,60816.29746582173
,2025 KS32,000000IPCUX1,22.663,,Lr,225.7701232,-40.0428857,2025-05-21 07:09:02.155000+00:00,60816.29794160882
,2025 KS32,000000IPCUX1,22.235,,Lz,225.7632148,-40.0425038,2025-05-21 07:39:46.374000+00:00,60816.319286736194
,2025 KS32,000000IPCUX2,23.08,,Lg,225.4792846,-40.0296855,2025-05-22 05:21:42.085000+00:00,60817.22340376163
,2025 KS32,000000IPCUX2,23.024,,Lg,225.4788324,-40.0296489,2025-05-22 05:23:35.722000+00:00,60817.224719004706
,2025 KS32,000000IPCUX2,23.047,,Lg,225.4786947,-40.0296283,2025-05-22 05:24:17.666000+00:00,60817.22520446777
,2025 KS32,000000IPCUX2,23.139,,Lg,225.4782501,-40.0296288,2025-05-22 05:26:11.343000+00:00,60817.22652017372
,2025 KS32,000000IPCUX2,23.229,,Lg,225.4777684,-40.0295997,2025-05-22 05:28:14.990000+00:00,60817.22795127332
,2025 KS32,000000IPCUX2,23.01,,Lg,225.4773025,-40.0295629,2025-05-22 05:30:35.160000+00:00,60817.22957361117
,2025 KS32,000000IPCUX2,23.15,,Lg,225.4771105,-40.0295493,2025-05-22 05:31:22.186000+00:00,60817.23011789331
,2025 KS32,000000IPCUX2,23.214,,Lg,225.4769548,-40.0295665,2025-05-22 05:32:04.564000+00:00,60817.23060837947
,2025 KS32,000000IPCUX2,23.063,,Lg,225.4763237,-40.0295111,2025-05-22 05:34:35.647000+00:00,60817.23235702561
,2025 KS32,000000IPCUX2,23.262,,Lg,225.4761484,-40.0295209,2025-05-22 05:35:22.302000+00:00,60817.23289701389
,2025 KS32,000000IPCUX2,22.52,,Lr,225.4711095,-40.029258,2025-05-22 05:57:44.701000+00:00,60817.2484340393
,2025 KS32,000000IPCUX2,22.465,,Lr,225.4709995,-40.0291844,2025-05-22 05:58:26.674000+00:00,60817.24891983811
