permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KT32,000000IPCV71,21.635,,Li,226.385453,-39.169012,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KT32,000000IPCV71,21.637,,Li,226.3852988,-39.1689041,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KT32,000000IPCV71,21.815,,Li,226.3851439,-39.1687797,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2025 KT32,000000IPCV71,21.646,,Li,226.3850022,-39.168662,2025-05-21 06:36:12.031000+00:00,60816.27513924753
,2025 KT32,000000IPCV71,21.621,,Li,226.3848902,-39.168551,2025-05-21 06:36:54.211000+00:00,60816.27562744217
,2025 KT32,000000IPCV71,21.754,,Li,226.3847665,-39.1684622,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KT32,000000IPCV71,21.664,,Li,226.3844055,-39.1681755,2025-05-21 06:39:44.659000+00:00,60816.27760021994
,2025 KT32,000000IPCV71,21.58,,Li,226.3842576,-39.1680361,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2025 KT32,000000IPCV71,21.658,,Li,226.3841272,-39.1679269,2025-05-21 06:41:19.820000+00:00,60816.27870162018
,2025 KT32,000000IPCV71,21.604,,Li,226.3837487,-39.1676297,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KT32,000000IPCV71,21.592,,Li,226.3836083,-39.1675164,2025-05-21 06:44:14.732000+00:00,60816.28072606493
,2025 KT32,000000IPCV71,21.801,,Li,226.3834918,-39.1674111,2025-05-21 06:45:02.476000+00:00,60816.28127865726
,2025 KT32,000000IPCV71,21.591,,Li,226.3833609,-39.1673168,2025-05-21 06:45:46.050000+00:00,60816.28178298613
,2025 KT32,000000IPCV71,21.739,,Li,226.3828607,-39.1669065,2025-05-21 06:48:43.405000+00:00,60816.283835705835
,2025 KT32,000000IPCV71,21.582,,Li,226.3827327,-39.1668049,2025-05-21 06:49:25.563000+00:00,60816.284323645756
,2025 KT32,000000IPCV71,21.734,,Li,226.3826065,-39.1667126,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2025 KT32,000000IPCV71,21.789,,Li,226.382507,-39.1665826,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2025 KT32,000000IPCV71,21.629,,Li,226.3823664,-39.1665099,2025-05-21 06:51:34.477000+00:00,60816.28581570601
,2025 KT32,000000IPCV71,21.568,,Lr,226.3811931,-39.1655797,2025-05-21 06:58:12.782000+00:00,60816.290425717365
,2025 KT32,000000IPCV71,21.497,,Lr,226.380983,-39.1653756,2025-05-21 06:59:41.023000+00:00,60816.29144702526
,2025 KT32,000000IPCV71,21.961,,Lr,226.3808627,-39.1652673,2025-05-21 07:00:23.368000+00:00,60816.29193712957
,2025 KT32,000000IPCV71,21.732,,Lr,226.380739,-39.1651644,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2025 KT32,000000IPCV71,21.79,,Lr,226.3805026,-39.1649513,2025-05-21 07:02:29.901000+00:00,60816.29340163199
,2025 KT32,000000IPCV71,21.744,,Lr,226.3802374,-39.1647539,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2025 KT32,000000IPCV71,21.774,,Lr,226.3798636,-39.1644504,2025-05-21 07:06:11.674000+00:00,60816.29596844921
,2025 KT32,000000IPCV71,21.774,,Lr,226.3797479,-39.1643463,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2025 KT32,000000IPCV71,21.857,,Lr,226.3796213,-39.1642474,2025-05-21 07:07:37.797000+00:00,60816.29696524283
,2025 KT32,000000IPCV71,21.764,,Lr,226.379507,-39.1641452,2025-05-21 07:08:21.047000+00:00,60816.29746582173
,2025 KT32,000000IPCV71,21.743,,Lr,226.3793999,-39.1640531,2025-05-21 07:09:02.155000+00:00,60816.29794160882
,2025 KT32,000000IPCV71,21.813,,Lr,226.3790481,-39.1637576,2025-05-21 07:11:08.802000+00:00,60816.29940743046
,2025 KT32,000000IPCV71,21.915,,Lr,226.3788661,-39.1636728,2025-05-21 07:11:51.941000+00:00,60816.2999067246
,2025 KT32,000000IPCV71,21.821,,Lr,226.3787729,-39.1635719,2025-05-21 07:12:34.960000+00:00,60816.30040462967
,2025 KT32,000000IPCV71,21.746,,Lr,226.3786663,-39.1634278,2025-05-21 07:13:18.071000+00:00,60816.30090359971
,2025 KT32,000000IPCV71,21.709,,Lr,226.3785249,-39.1633439,2025-05-21 07:14:00.332000+00:00,60816.30139273126
,2025 KT32,000000IPCV71,21.79,,Lr,226.3784042,-39.1632454,2025-05-21 07:14:42.330000+00:00,60816.30187881924
,2025 KT32,000000IPCV71,21.334,,Lz,226.3767455,-39.1618414,2025-05-21 07:24:51.903000+00:00,60816.30893406272
,2025 KT32,000000IPCV71,21.545,,Lz,226.3763243,-39.1615396,2025-05-21 07:27:02.942000+00:00,60816.31045071781
,2025 KT32,000000IPCV71,21.635,,Lz,226.3748805,-39.1603474,2025-05-21 07:35:23.879000+00:00,60816.31624859944
,2025 KT32,000000IPCV71,21.551,,Lz,226.3744962,-39.1600374,2025-05-21 07:37:35.565000+00:00,60816.31777274283
,2025 KT32,000000IPCV71,21.548,,Lz,226.3743982,-39.1599204,2025-05-21 07:38:17.729000+00:00,60816.31826075213
,2025 KT32,000000IPCV71,21.486,,Lz,226.3740253,-39.1596405,2025-05-21 07:40:29.574000+00:00,60816.319786736276
,2025 KT32,000000IPCV71,21.584,,Lz,226.3738802,-39.1595312,2025-05-21 07:41:12.433000+00:00,60816.32028278941
,2025 KT32,000000IPCV71,21.574,,Lz,226.3737602,-39.1594228,2025-05-21 07:41:55.159000+00:00,60816.32077730307
,2025 KT32,000000IPCV71,21.684,,Lz,226.3736488,-39.1593365,2025-05-21 07:42:36.616000+00:00,60816.32125712978
,2025 KT32,000000IPCV71,21.612,,Lz,226.3735703,-39.159232,2025-05-21 07:43:17.708000+00:00,60816.321732731536
,2025 KT32,000000IPCV71,21.587,,Lz,226.3734323,-39.1591228,2025-05-21 07:44:00.466000+00:00,60816.32222761586
,2025 KT32,000000IPCV72,22.244,,Lg,226.1600111,-38.9790385,2025-05-22 05:21:42.085000+00:00,60817.22340376163
,2025 KT32,000000IPCV72,22.266,,Lg,226.1599118,-38.9789688,2025-05-22 05:22:23.784000+00:00,60817.22388638882
,2025 KT32,000000IPCV72,22.178,,Lg,226.158892,-38.9781134,2025-05-22 05:28:14.990000+00:00,60817.22795127332
,2025 KT32,000000IPCV72,22.209,,Lg,226.158819,-38.9780176,2025-05-22 05:28:56.420000+00:00,60817.2284307871
,2025 KT32,000000IPCV72,22.146,,Lg,226.1586556,-38.9779125,2025-05-22 05:29:43.402000+00:00,60817.228974560276
,2025 KT32,000000IPCV72,22.323,,Lg,226.1582612,-38.9776055,2025-05-22 05:32:04.564000+00:00,60817.23060837947
,2025 KT32,000000IPCV72,22.261,,Lg,226.1580901,-38.9774645,2025-05-22 05:33:01.673000+00:00,60817.231269363314
,2025 KT32,000000IPCV72,22.352,,Lg,226.1576886,-38.9771193,2025-05-22 05:35:22.302000+00:00,60817.23289701389
,2025 KT32,000000IPCV72,22.228,,Lg,226.1572115,-38.9767156,2025-05-22 05:38:11.340000+00:00,60817.234853472095
,2025 KT32,000000IPCV72,22.275,,Lg,226.1569825,-38.9765131,2025-05-22 05:39:38.021000+00:00,60817.23585672444
,2025 KT32,000000IPCV72,21.709,,Lr,226.1540238,-38.9740729,2025-05-22 05:56:57.790000+00:00,60817.247891088016
,2025 KT32,000000IPCV72,21.753,,Lr,226.1537574,-38.9738461,2025-05-22 05:58:26.674000+00:00,60817.24891983811
,2025 KT32,000000IPCV72,21.744,,Lr,226.1536172,-38.973706,2025-05-22 05:59:23.512000+00:00,60817.24957768526
,2025 KT32,000000IPCV72,21.78,,Lr,226.1533467,-38.9734871,2025-05-22 06:00:57.744000+00:00,60817.25066833338
,2025 KT32,000000IPCV72,21.843,,Lr,226.153242,-38.9733781,2025-05-22 06:01:39.830000+00:00,60817.251155439764
,2025 KT32,000000IPCV72,21.715,,Lr,226.1529516,-38.9732019,2025-05-22 06:02:56.967000+00:00,60817.25204822933
,2025 KT32,000000IPCV72,21.752,,Lr,226.1528454,-38.9730671,2025-05-22 06:03:53.987000+00:00,60817.25270818267
,2025 KT32,000000IPCV72,21.7,,Lr,226.1526527,-38.972918,2025-05-22 06:05:00.845000+00:00,60817.2534820023
,2025 KT32,000000IPCV72,21.69,,Lr,226.1525297,-38.9727941,2025-05-22 06:05:47.757000+00:00,60817.25402496522
,2025 KT32,000000IPCV72,21.78,,Lr,226.15207,-38.9724207,2025-05-22 06:08:29.720000+00:00,60817.25589953689
,2025 KT32,000000IPCV72,21.671,,Lr,226.1519269,-38.9722958,2025-05-22 06:09:12.460000+00:00,60817.256394213066
,2025 KT32,000000IPCV72,21.71,,Lr,226.1518214,-38.9722201,2025-05-22 06:09:54.456000+00:00,60817.25688027777
,2025 KT32,000000IPCV72,21.701,,Lr,226.1516607,-38.972084,2025-05-22 06:10:46.468000+00:00,60817.25748226838
,2025 KT32,000000IPCV72,21.734,,Lr,226.1515275,-38.9719804,2025-05-22 06:11:32.749000+00:00,60817.25801792834
,2025 KT32,000000IPCV72,21.757,,Lr,226.1511966,-38.9716839,2025-05-22 06:13:48.161000+00:00,60817.25958519662
,2025 KT32,000000IPCV72,21.735,,Lr,226.1510275,-38.9715718,2025-05-22 06:14:30.623000+00:00,60817.260076655075
,2025 KT32,000000IPCV72,21.758,,Lr,226.1509348,-38.9714615,2025-05-22 06:15:13.363000+00:00,60817.260571330786
,2025 KT32,000000IPCV72,21.729,,Lr,226.1507991,-38.9713709,2025-05-22 06:15:55.500000+00:00,60817.26105902763
,2025 KT32,000000IPCV72,21.774,,Lr,226.1506796,-38.971275,2025-05-22 06:16:37.597000+00:00,60817.26154626161
,2025 KT32,000000IPCV72,21.749,,Lr,226.1505555,-38.9711367,2025-05-22 06:17:19.217000+00:00,60817.262027974706
,2025 KT32,000000IPCV72,21.568,,Li,226.1493885,-38.9701552,2025-05-22 06:24:27.631000+00:00,60817.26698646974
,2025 KT32,000000IPCV72,21.561,,Li,226.1492942,-38.9699891,2025-05-22 06:25:14.359000+00:00,60817.26752730319
,2025 KT32,000000IPCV72,21.497,,Li,226.1491145,-38.9699449,2025-05-22 06:25:56.764000+00:00,60817.26801810181
