permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KY32,000000IPCaC1,21.692,,Li,225.7038805,-38.8131507,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KY32,000000IPCaC1,21.681,,Li,225.703676,-38.8132035,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KY32,000000IPCaC1,21.71,,Li,225.7034284,-38.8132777,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2025 KY32,000000IPCaC1,21.645,,Li,225.7028659,-38.8133946,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KY32,000000IPCaC1,21.618,,Li,225.7026853,-38.8134415,2025-05-21 06:38:18.502000+00:00,60816.27660303237
,2025 KY32,000000IPCaC1,21.627,,Li,225.7024697,-38.8134809,2025-05-21 06:39:01.549000+00:00,60816.27710126154
,2025 KY32,000000IPCaC1,21.634,,Li,225.7023107,-38.8135324,2025-05-21 06:39:44.659000+00:00,60816.27760021994
,2025 KY32,000000IPCaC1,21.641,,Li,225.7019017,-38.8136455,2025-05-21 06:41:19.820000+00:00,60816.27870162018
,2025 KY32,000000IPCaC1,21.592,,Li,225.7013204,-38.8137662,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KY32,000000IPCaC1,21.693,,Li,225.7007066,-38.8138931,2025-05-21 06:45:46.050000+00:00,60816.28178298613
,2025 KY32,000000IPCaC1,21.539,,Li,225.7005388,-38.813974,2025-05-21 06:46:33.193000+00:00,60816.28232862288
,2025 KY32,000000IPCaC1,21.595,,Li,225.7003803,-38.8139988,2025-05-21 06:47:15.376000+00:00,60816.28281685198
,2025 KY32,000000IPCaC1,21.765,,Li,225.6998076,-38.8141245,2025-05-21 06:49:25.563000+00:00,60816.284323645756
,2025 KY32,000000IPCaC1,21.662,,Li,225.6996146,-38.8141782,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2025 KY32,000000IPCaC1,21.611,,Li,225.6994272,-38.8142123,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2025 KY32,000000IPCaC1,21.564,,Li,225.6992462,-38.8142653,2025-05-21 06:51:34.477000+00:00,60816.28581570601
,2025 KY32,000000IPCaC1,21.807,,Lr,225.6969454,-38.8148093,2025-05-21 07:00:23.368000+00:00,60816.29193712957
,2025 KY32,000000IPCaC1,21.875,,Lr,225.6967758,-38.8148534,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2025 KY32,000000IPCaC1,21.796,,Lr,225.6965929,-38.8149014,2025-05-21 07:01:47.826000+00:00,60816.29291465273
,2025 KY32,000000IPCaC1,21.771,,Lr,225.6962181,-38.8149789,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KY32,000000IPCaC1,21.88,,Lr,225.6960007,-38.815058,2025-05-21 07:04:04.530000+00:00,60816.29449687479
