permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KZ32,000000IPCae1,21.569,,Li,224.8613751,-39.3580176,2025-05-21 06:39:44.659000+00:00,60816.27760021994
,2025 KZ32,000000IPCae1,21.486,,Li,224.8611617,-39.3580298,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2025 KZ32,000000IPCae1,21.476,,Li,224.8610155,-39.3580664,2025-05-21 06:41:19.820000+00:00,60816.27870162018
,2025 KZ32,000000IPCae1,21.433,,Li,224.8608516,-39.3580763,2025-05-21 06:42:02.933000+00:00,60816.2792006135
,2025 KZ32,000000IPCae1,21.582,,Li,224.8607063,-39.3581085,2025-05-21 06:42:45.864000+00:00,60816.27969750017
,2025 KZ32,000000IPCae1,21.489,,Li,224.8603669,-39.3581614,2025-05-21 06:44:14.732000+00:00,60816.28072606493
,2025 KZ32,000000IPCae1,21.499,,Li,224.8601873,-39.3581844,2025-05-21 06:45:02.476000+00:00,60816.28127865726
,2025 KZ32,000000IPCae1,21.523,,Li,224.8600506,-39.3581996,2025-05-21 06:45:46.050000+00:00,60816.28178298613
,2025 KZ32,000000IPCae1,21.508,,Li,224.8598687,-39.3582297,2025-05-21 06:46:33.193000+00:00,60816.28232862288
,2025 KZ32,000000IPCae1,21.606,,Li,224.8596992,-39.3582689,2025-05-21 06:47:15.376000+00:00,60816.28281685198
,2025 KZ32,000000IPCae1,21.486,,Li,224.8595797,-39.3582774,2025-05-21 06:47:56.401000+00:00,60816.28329167841
,2025 KZ32,000000IPCae1,21.508,,Li,224.8592531,-39.35832,2025-05-21 06:49:25.563000+00:00,60816.284323645756
,2025 KZ32,000000IPCae1,21.483,,Li,224.8591012,-39.3583541,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2025 KZ32,000000IPCae1,21.531,,Li,224.8589238,-39.3583775,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2025 KZ32,000000IPCae1,21.529,,Li,224.8587791,-39.3583829,2025-05-21 06:51:34.477000+00:00,60816.28581570601
,2025 KZ32,000000IPCae1,21.896,,Lr,224.857356,-39.3585917,2025-05-21 06:58:12.782000+00:00,60816.290425717365
,2025 KZ32,000000IPCae1,21.67,,Lr,224.8571542,-39.3586401,2025-05-21 06:58:53.736000+00:00,60816.29089972237
,2025 KZ32,000000IPCae1,21.794,,Lr,224.8569901,-39.3586588,2025-05-21 06:59:41.023000+00:00,60816.29144702526
,2025 KZ32,000000IPCae1,21.682,,Lr,224.8568447,-39.3586826,2025-05-21 07:00:23.368000+00:00,60816.29193712957
,2025 KZ32,000000IPCae1,21.612,,Lr,224.8566973,-39.3587066,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2025 KZ32,000000IPCae1,21.752,,Lr,224.8565408,-39.3587378,2025-05-21 07:01:47.826000+00:00,60816.29291465273
,2025 KZ32,000000IPCae1,21.668,,Lr,224.8563992,-39.3587449,2025-05-21 07:02:29.901000+00:00,60816.29340163199
,2025 KZ32,000000IPCae1,21.699,,Lr,224.8562325,-39.3587825,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KZ32,000000IPCae1,21.723,,Lr,224.8560575,-39.3588001,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2025 KZ32,000000IPCae1,21.697,,Lr,224.855905,-39.3588273,2025-05-21 07:04:46.591000+00:00,60816.294983692
,2025 KZ32,000000IPCae1,21.657,,Lr,224.8557548,-39.3588437,2025-05-21 07:05:28.472000+00:00,60816.295468425844
,2025 KZ32,000000IPCae1,21.7,,Lr,224.8556046,-39.3588627,2025-05-21 07:06:11.674000+00:00,60816.29596844921
,2025 KZ32,000000IPCae1,21.695,,Lr,224.8554492,-39.3588873,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2025 KZ32,000000IPCae1,21.681,,Lr,224.8552674,-39.3589163,2025-05-21 07:07:37.797000+00:00,60816.29696524283
,2025 KZ32,000000IPCae1,21.667,,Lr,224.8551217,-39.3589341,2025-05-21 07:08:21.047000+00:00,60816.29746582173
,2025 KZ32,000000IPCae1,21.68,,Lr,224.854969,-39.358961,2025-05-21 07:09:02.155000+00:00,60816.29794160882
,2025 KZ32,000000IPCae1,21.685,,Lr,224.8546671,-39.3590018,2025-05-21 07:10:25.781000+00:00,60816.298909502104
,2025 KZ32,000000IPCae1,21.798,,Lr,224.8545174,-39.3590508,2025-05-21 07:11:08.802000+00:00,60816.29940743046
,2025 KZ32,000000IPCae1,21.598,,Lr,224.8543643,-39.3590355,2025-05-21 07:11:51.941000+00:00,60816.2999067246
