permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 ND202,000000IPCY31,22.018,,Lg,224.7309969,-40.1181829,2025-07-01 05:13:15.417000+00:00,60857.21753954841
,2025 ND202,000000IPCY31,21.97,,Lg,224.7310061,-40.1180715,2025-07-01 05:13:52.926000+00:00,60857.2179736807
,2025 ND202,000000IPCY31,22.041,,Lg,224.7310524,-40.1179619,2025-07-01 05:14:30.437000+00:00,60857.21840783581
,2025 ND202,000000IPCY31,21.976,,Lg,224.7310822,-40.1178663,2025-07-01 05:15:08.044000+00:00,60857.21884310199
,2025 ND202,000000IPCY31,21.963,,Lg,224.7311072,-40.1177625,2025-07-01 05:15:47.298000+00:00,60857.21929743048
,2025 ND202,000000IPCY31,22.042,,Lg,224.7311641,-40.1176312,2025-07-01 05:16:24.900000+00:00,60857.219732638914
,2025 ND202,000000IPCY31,21.973,,Lg,224.7312536,-40.1173079,2025-07-01 05:18:19.386000+00:00,60857.221057708375
,2025 ND202,000000IPCY31,21.913,,Lg,224.731296,-40.1172119,2025-07-01 05:18:56.999000+00:00,60857.22149304394
,2025 ND202,000000IPCY31,21.902,,Lg,224.7313248,-40.1170973,2025-07-01 05:19:34.511000+00:00,60857.22192721069
,2025 ND202,000000IPCY31,21.966,,Lg,224.7313723,-40.1169988,2025-07-01 05:20:12.023000+00:00,60857.22236137744
,2025 ND202,000000IPCY31,21.903,,Lg,224.7314304,-40.1168773,2025-07-01 05:20:50.789000+00:00,60857.22281005792
,2025 ND202,000000IPCY31,21.886,,Lg,224.7315037,-40.1165636,2025-07-01 05:22:43.521000+00:00,60857.224114826415
,2025 ND202,000000IPCY31,21.97,,Lg,224.7315757,-40.1163351,2025-07-01 05:23:58.741000+00:00,60857.224985428154
,2025 ND202,000000IPCY31,21.872,,Lg,224.7316435,-40.1161275,2025-07-01 05:25:15.201000+00:00,60857.22587038204
,2025 ND202,000000IPCY31,21.826,,Lg,224.7316903,-40.1160137,2025-07-01 05:25:54.153000+00:00,60857.226321215276
,2025 ND202,000000IPCY31,21.961,,Lg,224.7317242,-40.1158873,2025-07-01 05:26:33.134000+00:00,60857.22677238425
,2025 ND202,000000IPCY31,21.876,,Lg,224.7318358,-40.1155699,2025-07-01 05:28:27.852000+00:00,60857.22810013872
,2025 ND202,000000IPCY31,21.901,,Lg,224.7318962,-40.1153408,2025-07-01 05:29:44.493000+00:00,60857.22898718761
,2025 ND202,000000IPCY31,21.957,,Lg,224.7319632,-40.1152661,2025-07-01 05:30:22.174000+00:00,60857.22942331014
,2025 ND202,000000IPCY31,21.839,,Lg,224.7319794,-40.1150205,2025-07-01 05:31:37.499000+00:00,60857.23029512726
,2025 ND202,000000IPCY31,21.416,,Lr,224.7321899,-40.1144721,2025-07-01 05:34:51.630000+00:00,60857.23254201375
,2025 ND202,000000IPCY31,21.403,,Lr,224.7322253,-40.1143677,2025-07-01 05:35:29.243000+00:00,60857.23297734931
,2025 ND202,000000IPCY31,21.486,,Lr,224.7323314,-40.114056,2025-07-01 05:37:22.076000+00:00,60857.23428328708
,2025 ND202,000000IPCY32,21.239,,Li,224.802897,-39.933576,2025-07-01 23:42:36.326000+00:00,60857.9879204398
,2025 ND202,000000IPCY32,21.292,,Li,224.8029428,-39.9334686,2025-07-01 23:43:14.592000+00:00,60857.98836333351
,2025 ND202,000000IPCY32,21.324,,Li,224.8030276,-39.9332569,2025-07-01 23:44:31.023000+00:00,60857.98924795119
,2025 ND202,000000IPCY32,21.295,,Li,224.803058,-39.9331576,2025-07-01 23:45:08.817000+00:00,60857.98968538176
,2025 ND202,000000IPCY32,21.275,,Li,224.8030928,-39.9330427,2025-07-01 23:45:48.060000+00:00,60857.990139583126
,2025 ND202,000000IPCY32,21.216,,Li,224.8031227,-39.9329515,2025-07-01 23:46:27.211000+00:00,60857.99059271999
,2025 ND202,000000IPCY32,21.316,,Li,224.8031584,-39.932843,2025-07-01 23:47:04.748000+00:00,60857.991027175914
,2025 ND202,000000IPCY32,21.322,,Li,224.8032001,-39.9327338,2025-07-01 23:47:42.827000+00:00,60857.99146790523
,2025 ND202,000000IPCY32,21.306,,Li,224.8032738,-39.9325148,2025-07-01 23:49:03.558000+00:00,60857.99240229186
,2025 ND202,000000IPCY32,21.287,,Li,224.8033776,-39.9321882,2025-07-01 23:51:00.502000+00:00,60857.99375580996
,2025 ND202,000000IPCY32,21.211,,Li,224.803458,-39.9319806,2025-07-01 23:52:18.880000+00:00,60857.994662962854
,2025 ND202,000000IPCY32,21.323,,Li,224.8034953,-39.9318672,2025-07-01 23:52:59.227000+00:00,60857.99512994196
,2025 ND202,000000IPCY32,21.258,,Li,224.8035284,-39.9317439,2025-07-01 23:53:39.112000+00:00,60857.99559157388
,2025 ND202,000000IPCY32,21.376,,Li,224.8035502,-39.9316506,2025-07-01 23:54:17.002000+00:00,60857.99603011552
,2025 ND202,000000IPCY32,21.512,,Li,224.8036917,-39.9312985,2025-07-01 23:56:17.307000+00:00,60857.99742253451
,2025 ND202,000000IPCY32,21.229,,Li,224.8037597,-39.9311038,2025-07-01 23:57:35.171000+00:00,60857.998323738575
,2025 ND202,000000IPCY32,21.337,,Li,224.8038391,-39.9308796,2025-07-01 23:58:53.515000+00:00,60857.99923049752
,2025 ND202,000000IPCY32,21.991,,Lg,224.8040434,-39.9302628,2025-07-02 00:02:44.557000+00:00,60858.00190459471
,2025 ND202,000000IPCY32,21.962,,Lg,224.8040827,-39.9301566,2025-07-02 00:03:24.153000+00:00,60858.00236288179
,2025 ND202,000000IPCY32,21.986,,Lg,224.8041134,-39.9300376,2025-07-02 00:04:03.556000+00:00,60858.002818935085
,2025 ND202,000000IPCY32,21.9,,Lg,224.8041439,-39.9299279,2025-07-02 00:04:44.285000+00:00,60858.00329033565
,2025 ND202,000000IPCY32,21.97,,Lg,224.8042515,-39.9296831,2025-07-02 00:06:08.112000+00:00,60858.004260555375
,2025 ND202,000000IPCY32,21.857,,Lg,224.8042756,-39.9295921,2025-07-02 00:06:47.803000+00:00,60858.00471994234
,2025 ND202,000000IPCY32,21.942,,Lg,224.8042969,-39.9294745,2025-07-02 00:07:25.312000+00:00,60858.00515407417
,2025 ND202,000000IPCY32,21.932,,Lg,224.8043221,-39.9293705,2025-07-02 00:08:02.931000+00:00,60858.005589479115
,2025 ND202,000000IPCY32,21.868,,Lg,224.8043699,-39.9292694,2025-07-02 00:08:45.269000+00:00,60858.006079502404
,2025 ND202,000000IPCY32,21.916,,Lg,224.8044104,-39.9291602,2025-07-02 00:09:23.251000+00:00,60858.00651910901
,2025 ND202,000000IPCY32,21.914,,Lg,224.8044869,-39.9289491,2025-07-02 00:10:39.983000+00:00,60858.00740721077
,2025 ND202,000000IPCY32,21.863,,Lg,224.8045053,-39.9288494,2025-07-02 00:11:17.603000+00:00,60858.007842627354
,2025 ND202,000000IPCY32,21.88,,Lg,224.8045476,-39.928729,2025-07-02 00:11:58.899000+00:00,60858.00832059048
,2025 ND202,000000IPCY32,21.947,,Lg,224.8045943,-39.9286231,2025-07-02 00:12:36.499000+00:00,60858.008755775634
,2025 ND202,000000IPCY32,21.905,,Lg,224.8046108,-39.9285323,2025-07-02 00:13:16.004000+00:00,60858.00921300938
,2025 ND202,000000IPCY33,21.403,,Li,224.8996643,-39.699244,2025-07-02 23:17:09.566000+00:00,60858.9702496063
,2025 ND202,000000IPCY33,21.399,,Li,224.8997221,-39.6991219,2025-07-02 23:17:47.172000+00:00,60858.9706848613
,2025 ND202,000000IPCY33,21.488,,Li,224.8997448,-39.6990201,2025-07-02 23:18:24.888000+00:00,60858.97112138895
,2025 ND202,000000IPCY33,21.458,,Li,224.8997862,-39.6989342,2025-07-02 23:19:02.590000+00:00,60858.97155775456
,2025 ND202,000000IPCY33,21.423,,Li,224.8998088,-39.6988135,2025-07-02 23:19:41.531000+00:00,60858.97200846067
,2025 ND202,000000IPCY33,21.442,,Li,224.899869,-39.6987162,2025-07-02 23:20:19.236000+00:00,60858.972444861196
,2025 ND202,000000IPCY33,21.368,,Li,224.8999284,-39.6986079,2025-07-02 23:20:56.895000+00:00,60858.97288072901
,2025 ND202,000000IPCY33,21.29,,Li,224.8999701,-39.6985044,2025-07-02 23:21:36.009000+00:00,60858.97333343746
,2025 ND202,000000IPCY33,21.43,,Li,224.8999832,-39.698403,2025-07-02 23:22:13.716000+00:00,60858.97376986127
,2025 ND202,000000IPCY33,21.371,,Li,224.9000224,-39.6982945,2025-07-02 23:22:52.800000+00:00,60858.97422222234
,2025 ND202,000000IPCY33,21.406,,Li,224.9001046,-39.6980893,2025-07-02 23:24:09.349000+00:00,60858.97510820581
,2025 ND202,000000IPCY33,21.478,,Li,224.9001526,-39.6979839,2025-07-02 23:24:48.510000+00:00,60858.97556145815
,2025 ND202,000000IPCY33,21.425,,Li,224.9002041,-39.6978769,2025-07-02 23:25:28.872000+00:00,60858.97602861095
,2025 ND202,000000IPCY33,21.322,,Li,224.9002484,-39.6977698,2025-07-02 23:26:07.830000+00:00,60858.976479514036
,2025 ND202,000000IPCY33,21.41,,Li,224.9002609,-39.697671,2025-07-02 23:26:45.542000+00:00,60858.97691599559
,2025 ND202,000000IPCY33,21.279,,Li,224.9020241,-39.6931615,2025-07-02 23:54:21.590000+00:00,60858.99608321767
,2025 ND202,000000IPCY33,21.292,,Li,224.9020608,-39.6930415,2025-07-02 23:55:02.976000+00:00,60858.99656222202
,2025 ND202,000000IPCY33,21.318,,Li,224.9021071,-39.6929365,2025-07-02 23:55:43.252000+00:00,60858.9970283797
,2025 ND202,000000IPCY33,21.253,,Li,224.9021391,-39.6928447,2025-07-02 23:56:21.516000+00:00,60858.99747125013
,2025 ND202,000000IPCY33,21.319,,Li,224.9022344,-39.6926139,2025-07-02 23:57:41.285000+00:00,60858.99839450233
,2025 ND202,000000IPCY33,21.279,,Li,224.9022821,-39.6925196,2025-07-02 23:58:20.316000+00:00,60858.99884625012
,2025 ND202,000000IPCY33,21.208,,Li,224.9023141,-39.6923852,2025-07-02 23:58:59.922000+00:00,60858.99930465268
,2025 ND202,000000IPCY33,21.293,,Li,224.9023594,-39.6922836,2025-07-02 23:59:38.652000+00:00,60858.99975291686
,2025 ND202,000000IPCY33,21.351,,Li,224.902395,-39.692183,2025-07-03 00:00:17.884000+00:00,60859.00020699063
,2025 ND202,000000IPCY33,21.246,,Li,224.9024344,-39.6920744,2025-07-03 00:00:57.789000+00:00,60859.00066885399
,2025 ND202,000000IPCY33,21.833,,Lg,224.9034151,-39.6894784,2025-07-03 00:16:50.650000+00:00,60859.01169733796
,2025 ND202,000000IPCY33,21.82,,Lg,224.9034692,-39.6893554,2025-07-03 00:17:28.156000+00:00,60859.01213143533
,2025 ND202,000000IPCY33,21.836,,Lg,224.9035228,-39.6892611,2025-07-03 00:18:09.728000+00:00,60859.01261259243
,2025 ND202,000000IPCY33,21.851,,Lg,224.9035592,-39.6891337,2025-07-03 00:18:48.663000+00:00,60859.013063229155
,2025 ND202,000000IPCY33,21.928,,Lg,224.9035953,-39.6890302,2025-07-03 00:19:30.247000+00:00,60859.013544525485
,2025 ND202,000000IPCY33,21.868,,Lg,224.9036409,-39.6889194,2025-07-03 00:20:13.624000+00:00,60859.01404657401
,2025 ND202,000000IPCY33,21.893,,Lg,224.9036943,-39.6888031,2025-07-03 00:20:56.014000+00:00,60859.014537198935
,2025 ND202,000000IPCY33,21.86,,Lg,224.9037367,-39.6886795,2025-07-03 00:21:37.414000+00:00,60859.015016365796
,2025 ND202,000000IPCY33,21.896,,Lg,224.9037923,-39.6885936,2025-07-03 00:22:16.266000+00:00,60859.01546604186
,2025 ND202,000000IPCY33,21.928,,Lg,224.9038164,-39.6884849,2025-07-03 00:22:53.871000+00:00,60859.01590128476
,2025 ND202,000000IPCY33,21.886,,Lg,224.9038676,-39.6883527,2025-07-03 00:23:37.052000+00:00,60859.01640106458
,2025 ND202,000000IPCY33,21.916,,Lg,224.9038763,-39.6882377,2025-07-03 00:24:17.708000+00:00,60859.016871620435
,2025 ND202,000000IPCY33,21.888,,Lg,224.9039309,-39.6881325,2025-07-03 00:24:58.342000+00:00,60859.017341921106
,2025 ND202,000000IPCY33,21.887,,Lg,224.9042552,-39.6873353,2025-07-03 00:29:54.305000+00:00,60859.02076741913
