permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 NJ202,000000IPCqH1,22.408,,Lg,222.0375173,-39.9816851,2025-07-01 05:15:47.298000+00:00,60857.21929743048
,2025 NJ202,000000IPCqH1,22.446,,Lg,222.0376802,-39.981492,2025-07-01 05:19:34.511000+00:00,60857.22192721069
,2025 NJ202,000000IPCqH1,22.516,,Lg,222.0377722,-39.9814004,2025-07-01 05:20:50.789000+00:00,60857.22281005792
,2025 NJ202,000000IPCqH1,22.653,,Lg,222.0380117,-39.9810978,2025-07-01 05:25:15.201000+00:00,60857.22587038204
,2025 NJ202,000000IPCqH1,21.797,,Lr,222.0384726,-39.9804941,2025-07-01 05:35:29.243000+00:00,60857.23297734931
,2025 NJ202,000000IPCqH2,21.764,,Li,222.0996411,-39.9199846,2025-07-01 23:42:36.326000+00:00,60857.9879204398
,2025 NJ202,000000IPCqH2,21.891,,Li,222.0998622,-39.9197744,2025-07-01 23:46:27.211000+00:00,60857.99059271999
,2025 NJ202,000000IPCqH2,21.725,,Li,222.1001245,-39.919437,2025-07-01 23:52:18.880000+00:00,60857.994662962854
,2025 NJ202,000000IPCqH2,22.482,,Lg,222.1006492,-39.9188568,2025-07-02 00:02:44.557000+00:00,60858.00190459471
,2025 NJ202,000000IPCqH2,22.432,,Lg,222.10105,-39.91843,2025-07-02 00:10:39.983000+00:00,60858.00740721077
,2025 NJ202,000000IPCqH3,21.68,,Li,222.1849212,-39.840876,2025-07-02 23:19:41.531000+00:00,60858.97200846067
,2025 NJ202,000000IPCqH3,21.739,,Li,222.1852109,-39.8405829,2025-07-02 23:24:48.510000+00:00,60858.97556145815
,2025 NJ202,000000IPCqH3,21.521,,Li,222.186851,-39.8389954,2025-07-02 23:54:21.590000+00:00,60858.99608321767
,2025 NJ202,000000IPCqH3,22.287,,Lg,222.1880894,-39.8377914,2025-07-03 00:16:50.650000+00:00,60859.01169733796
,2025 NJ202,000000IPCqH3,22.098,,Lg,222.1882464,-39.8376145,2025-07-03 00:19:30.247000+00:00,60859.013544525485
,2025 NJ202,000000IPCqH4,21.745,,Li,222.2822106,-39.7603756,2025-07-03 23:36:18.257000+00:00,60859.983544641174
,2025 NJ202,000000IPCqH4,21.61,,Li,222.2824365,-39.7601432,2025-07-03 23:40:15.421000+00:00,60859.98628959479
,2025 NJ202,000000IPCqH4,21.631,,Li,222.2825364,-39.7600828,2025-07-03 23:41:34.436000+00:00,60859.987204120494
,2025 NJ202,000000IPCqH4,21.549,,Li,222.2828121,-39.7598488,2025-07-03 23:46:14.869000+00:00,60859.9904498728
,2025 NJ202,000000IPCqH4,22.245,,Lg,222.2834566,-39.7592934,2025-07-03 23:56:33.404000+00:00,60859.997608842794
,2025 NJ202,000000IPCqH4,22.047,,Lg,222.283507,-39.7592454,2025-07-03 23:57:17.635000+00:00,60859.998120775446
,2025 NJ202,000000IPCqH4,22.092,,Lg,222.2839026,-39.7588669,2025-07-04 00:04:43.726000+00:00,60860.00328386575
,2025 NJ202,000000IPCqH4,22.141,,Lg,222.2839252,-39.7587585,2025-07-04 00:05:23.315000+00:00,60860.0037420718
,2025 NJ202,000000IPCej1,21.315,,Li,223.0591718,-39.3037637,2025-07-09 23:06:50.240000+00:00,60865.9630814814
,2025 NJ202,000000IPCej1,21.374,,Li,223.0592215,-39.3037107,2025-07-09 23:07:29.853000+00:00,60865.96353996545
,2025 NJ202,000000IPCej1,21.468,,Li,223.0593449,-39.3036613,2025-07-09 23:08:48.872000+00:00,60865.96445453726
,2025 NJ202,000000IPCej1,21.494,,Li,223.0594379,-39.3036291,2025-07-09 23:09:28.480000+00:00,60865.9649129631
,2025 NJ202,000000IPCej1,21.472,,Li,223.0595194,-39.3035965,2025-07-09 23:10:08.005000+00:00,60865.96537042828
,2025 NJ202,000000IPCej1,21.44,,Li,223.0595809,-39.3035496,2025-07-09 23:10:47.225000+00:00,60865.96582436329
,2025 NJ202,000000IPCej1,21.239,,Li,223.0599351,-39.3033714,2025-07-09 23:14:46.301000+00:00,60865.96859144699
,2025 NJ202,000000IPCej1,21.506,,Li,223.0600331,-39.3033032,2025-07-09 23:15:25.899000+00:00,60865.96904975688
,2025 NJ202,000000IPCej1,21.454,,Li,223.0605179,-39.303078,2025-07-09 23:20:06.722000+00:00,60865.972300023306
,2025 NJ202,000000IPCej1,21.606,,Li,223.0607117,-39.3030621,2025-07-09 23:21:25.645000+00:00,60865.97321348358
,2025 NJ202,000000IPCej1,21.519,,Lz,223.0634434,-39.3016746,2025-07-09 23:48:44.120000+00:00,60865.99217731459
,2025 NJ202,000000IPCej1,21.803,,Lz,223.0635495,-39.3015849,2025-07-09 23:49:25.418000+00:00,60865.992655301
,2025 NJ202,000000IPCej1,21.722,,Lz,223.0635737,-39.3015941,2025-07-09 23:50:04.725000+00:00,60865.99311024323
,2025 NJ202,000000IPCej1,21.486,,Lz,223.0637214,-39.3015265,2025-07-09 23:51:24.712000+00:00,60865.99403601838
,2025 NJ202,000000IPCej1,21.653,,Lz,223.063818,-39.3014974,2025-07-09 23:52:04.988000+00:00,60865.994502176065
,2025 NJ202,000000IPCej1,21.841,,Lz,223.063947,-39.3014444,2025-07-09 23:53:33.730000+00:00,60865.99552928237
,2025 NJ202,000000IPCej1,21.675,,Lz,223.0640421,-39.301359,2025-07-09 23:54:13.543000+00:00,60865.995990081225
,2025 NJ202,000000IPCej1,21.662,,Lz,223.064836,-39.3010183,2025-07-10 00:02:28.159000+00:00,60866.00171480328
,2025 NJ202,000000IPCej1,21.63,,Lz,223.0650975,-39.300835,2025-07-10 00:05:22.080000+00:00,60866.00372777786
,2025 NJ202,000000IPCej1,21.853,,Lz,223.0652989,-39.3007446,2025-07-10 00:07:14.626000+00:00,60866.0050303936
,2025 NJ202,000000IPCej1,21.8,,Lz,223.0655775,-39.3006039,2025-07-10 00:09:31.990000+00:00,60866.00662025483
,2025 NJ202,000000IPCej2,21.917,,Lr,224.1742225,-38.8825859,2025-07-16 00:07:06.821000+00:00,60872.00494005764
,2025 NJ202,000000IPCej2,21.872,,Lr,224.1743002,-38.8825421,2025-07-16 00:07:50.498000+00:00,60872.0054455786
,2025 NJ202,000000IPCej2,21.758,,Lr,224.1743894,-38.8824983,2025-07-16 00:08:29.913000+00:00,60872.005901770666
,2025 NJ202,000000IPCej2,21.806,,Lr,224.1750764,-38.8822825,2025-07-16 00:13:21.939000+00:00,60872.00928170141
,2025 NJ202,000000IPCej2,21.952,,Lr,224.1751603,-38.8822557,2025-07-16 00:14:01.557000+00:00,60872.0097402432
,2025 NJ202,000000IPCej2,21.907,,Lr,224.1752722,-38.8822068,2025-07-16 00:14:50.993000+00:00,60872.01031241892
,2025 NJ202,000000IPCej2,21.751,,Lr,224.1753624,-38.8821863,2025-07-16 00:15:28.786000+00:00,60872.01074983785
,2025 NJ202,000000IPCej3,21.794,,Lr,224.3825161,-38.8191944,2025-07-16 23:21:18.788000+00:00,60872.97313412046
,2025 NJ202,000000IPCej3,21.736,,Lr,224.3826173,-38.8191858,2025-07-16 23:21:58.401000+00:00,60872.973592604045
,2025 NJ202,000000IPCej3,21.775,,Lr,224.38271,-38.8191251,2025-07-16 23:22:38.032000+00:00,60872.974051296245
,2025 NJ202,000000IPCej3,21.718,,Lr,224.3828192,-38.8191,2025-07-16 23:23:17.646000+00:00,60872.97450979147
,2025 NJ202,000000IPCej3,21.729,,Lr,224.3829021,-38.8190741,2025-07-16 23:23:57.335000+00:00,60872.974969155155
,2025 NJ202,000000IPCej3,21.818,,Lr,224.3829978,-38.8190361,2025-07-16 23:24:37.310000+00:00,60872.97543182876
,2025 NJ202,000000IPCej3,21.764,,Lr,224.3831013,-38.8190142,2025-07-16 23:25:17.092000+00:00,60872.97589226859
,2025 NJ202,000000IPCej3,21.675,,Lr,224.3831915,-38.8189902,2025-07-16 23:25:56.841000+00:00,60872.97635232657
,2025 NJ202,000000IPCej3,21.766,,Lr,224.383389,-38.8189281,2025-07-16 23:27:19.857000+00:00,60872.9773131595
,2025 NJ202,000000IPCej3,21.781,,Lr,224.3834761,-38.8188954,2025-07-16 23:27:59.550000+00:00,60872.977772569284
,2025 NJ202,000000IPCej3,21.824,,Lr,224.3835864,-38.8188696,2025-07-16 23:28:38.984000+00:00,60872.97822898161
,2025 NJ202,000000IPCej3,21.791,,Lr,224.3836704,-38.8188365,2025-07-16 23:29:18.298000+00:00,60872.978684004396
,2025 NJ202,000000IPCej3,21.781,,Lr,224.3837698,-38.8188075,2025-07-16 23:30:02.255000+00:00,60872.97919276636
,2025 NJ202,000000IPCej3,21.792,,Lr,224.3838679,-38.8187638,2025-07-16 23:30:41.752000+00:00,60872.979649907444
,2025 NJ202,000000IPCej3,21.782,,Lr,224.3839743,-38.8187455,2025-07-16 23:31:21.269000+00:00,60872.98010727996
,2025 NJ202,000000IPCej3,21.738,,Lr,224.3840632,-38.8187179,2025-07-16 23:32:00.884000+00:00,60872.98056578683
,2025 NJ202,000000IPCej3,21.766,,Lr,224.3841494,-38.8186919,2025-07-16 23:32:41.235000+00:00,60872.9810328125
,2025 NJ202,000000IPCej3,21.72,,Lr,224.3842568,-38.8186666,2025-07-16 23:33:21.533000+00:00,60872.981499224436
,2025 NJ202,000000IPCej3,21.733,,Lr,224.3843598,-38.8186197,2025-07-16 23:34:00.593000+00:00,60872.98195130797
,2025 NJ202,000000IPCej3,21.744,,Lr,224.3847418,-38.8185076,2025-07-16 23:36:44.628000+00:00,60872.98384986119
,2025 NJ202,000000IPCej3,21.762,,Lr,224.3852691,-38.8183454,2025-07-16 23:40:15.612000+00:00,60872.98629180575
