permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 JK6,000000IPfMk1,21.703,,Lr,271.1146034,-24.0328457,2025-05-03 04:43:36.724000+00:00,60798.196952824015
,2025 JK6,000000IPfMk1,22.109,,Lr,271.1146233,-24.0327796,2025-05-03 04:44:19.613000+00:00,60798.197449224535
,2025 JK6,000000IPfMk1,21.887,,Lr,271.1146587,-24.0326364,2025-05-03 04:45:49.247000+00:00,60798.19848665502
,2025 JK6,000000IPfMk1,22.184,,Lr,271.1147167,-24.0320742,2025-05-03 04:50:54.379000+00:00,60798.20201827539
,2025 JK6,000000IPfMk1,21.97,,Lr,271.1147399,-24.0319995,2025-05-03 04:51:36.643000+00:00,60798.20250744233
,2025 JK6,000000IPfMk1,21.976,,Lr,271.1147901,-24.0316429,2025-05-03 04:55:13.986000+00:00,60798.20502298605
,2025 JK6,000000IPfMk1,21.898,,Lr,271.1148336,-24.0313161,2025-05-03 04:58:16.910000+00:00,60798.20714016212
,2025 JK6,000000IPfMk1,21.823,,Lr,271.1148458,-24.0312397,2025-05-03 04:58:59.402000+00:00,60798.207631967496
,2025 JK6,000000IPfMk1,22.174,,Lr,271.1148477,-24.0311648,2025-05-03 04:59:46.531000+00:00,60798.2081774422
,2025 JK6,000000IPfMk1,21.907,,Lr,271.1148853,-24.0309327,2025-05-03 05:01:55.544000+00:00,60798.20967064798
,2025 JK6,000000IPfMk1,22.066,,Lr,271.1148928,-24.0308669,2025-05-03 05:02:37.717000+00:00,60798.21015876159
,2025 JK6,000000IPfMk1,22.793,,Lr,271.1148915,-24.0306884,2025-05-03 05:04:14.520000+00:00,60798.21127916686
,2025 JK6,000000IPfMk1,21.877,,Lr,271.1149365,-24.0305438,2025-05-03 05:05:38.899000+00:00,60798.21225577546
,2025 JK6,000000IPfMk1,22.111,,Lr,271.1149389,-24.0304734,2025-05-03 05:06:23.892000+00:00,60798.21277652774
,2025 JK6,000000IPfMk1,21.794,,Lr,271.1149714,-24.0303,2025-05-03 05:07:49.472000+00:00,60798.21376703726
,2025 JK6,000000IPfMk1,22.04,,Lr,271.1149892,-24.030092,2025-05-03 05:10:01.788000+00:00,60798.21529847244
,2025 JK6,000000IPfMk1,22.306,,Lr,271.1150162,-24.029789,2025-05-03 05:12:52.407000+00:00,60798.21727322927
,2025 JK6,000000IPfMk1,22.04,,Lr,271.1150128,-24.0297181,2025-05-03 05:13:36.205000+00:00,60798.21778015047
,2025 JK6,000000IPfMk1,22.367,,Lr,271.1152848,-24.027817,2025-05-03 05:31:46.257000+00:00,60798.23039649287
,2025 JK6,000000IPfMk1,21.916,,Lr,271.1153087,-24.0275237,2025-05-03 05:34:38.141000+00:00,60798.232385891024
,2025 JK6,000000IPfMk1,21.892,,Lr,271.1153217,-24.0274512,2025-05-03 05:35:21.370000+00:00,60798.23288622685
,2025 JK6,000000IPfMk1,21.899,,Lr,271.1153332,-24.0273575,2025-05-03 05:36:05.150000+00:00,60798.2333929399
,2025 JK6,000000IPfMk1,21.781,,Lr,271.1153616,-24.027135,2025-05-03 05:38:18.360000+00:00,60798.23493472207
,2025 JK6,000000IPfMk1,21.726,,Lr,271.1153815,-24.027059,2025-05-03 05:39:02.282000+00:00,60798.23544307891
,2025 JK6,000000IPfMk1,21.769,,Lr,271.1154133,-24.0267367,2025-05-03 05:42:05.713000+00:00,60798.237566122785
,2025 JK6,000000IPfMk1,21.807,,Lr,271.1154163,-24.0266662,2025-05-03 05:42:50.083000+00:00,60798.2380796643
,2025 JK6,000000IPfMk1,21.862,,Lr,271.1154323,-24.0264937,2025-05-03 05:44:18.149000+00:00,60798.239098946564
,2025 JK6,000000IPfMk1,21.761,,Lr,271.1154497,-24.0263514,2025-05-03 05:45:46.055000+00:00,60798.24011637736
,2025 JK6,000000IPfMk1,21.664,,Li,271.1155625,-24.025466,2025-05-03 05:54:13.303000+00:00,60798.24598730309
