permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KO46,000000ISe6E1,23.866,,Lg,149.0468738,2.9896324,2025-05-20 23:57:56.988000+00:00,60815.99857624993
,2025 KO46,000000ISe6E1,23.868,,Lg,149.0472311,2.9896181,2025-05-21 00:01:35.967000+00:00,60816.001110729296
,2025 KO46,000000ISe6E1,23.781,,Lg,149.0476096,2.9896541,2025-05-21 00:04:04.332000+00:00,60816.00282791676
,2025 KO46,000000ISe6E1,23.721,,Lg,149.0476885,2.9896603,2025-05-21 00:04:50.561000+00:00,60816.00336297462
,2025 KO46,000000ISe6E1,23.903,,Lg,149.0478162,2.9896879,2025-05-21 00:05:32.042000+00:00,60816.003843078855
,2025 KO46,000000ISe6E1,23.551,,Lg,149.0479867,2.9897091,2025-05-21 00:06:54.505000+00:00,60816.004797511734
,2025 KO46,000000ISe6E1,23.735,,Lg,149.0481329,2.9896965,2025-05-21 00:08:10.606000+00:00,60816.00567831006
,2025 KO46,000000ISe6E1,23.789,,Lg,149.0483027,2.9897766,2025-05-21 00:09:11.843000+00:00,60816.006387071684
,2025 KO46,000000ISe6E1,23.839,,Lg,149.048347,2.9897082,2025-05-21 00:09:57.882000+00:00,60816.00691993069
,2025 KO46,000000ISe6E1,24.038,,Lg,149.0484943,2.9897552,2025-05-21 00:10:53.968000+00:00,60816.007569074165
,2025 KO46,000000ISe6E1,23.679,,Lg,149.0485654,2.9897505,2025-05-21 00:11:35.217000+00:00,60816.008046492934
,2025 KO46,000000ISe6E1,23.718,,Lg,149.0488224,2.989801,2025-05-21 00:13:07.337000+00:00,60816.00911269663
,2025 KO46,000000ISe6E1,23.705,,Lg,149.0488507,2.9897213,2025-05-21 00:13:58.390000+00:00,60816.00970358774
,2025 KO46,000000ISe6E1,23.67,,Lg,149.0491448,2.9897874,2025-05-21 00:15:35.565000+00:00,60816.01082829852
,2025 KO46,000000ISe6E1,23.696,,Lg,149.0492199,2.9898146,2025-05-21 00:16:16.404000+00:00,60816.0113009722
,2025 KO46,000000ISe6E1,23.558,,Lg,149.0492817,2.9898075,2025-05-21 00:16:57.245000+00:00,60816.01177366916
,2025 KO46,000000ISe6E1,23.674,,Lg,149.0494258,2.9897297,2025-05-21 00:18:38.907000+00:00,60816.012950312346
,2025 KO46,000000ISe6E1,23.548,,Lg,149.0495692,2.9898168,2025-05-21 00:19:19.777000+00:00,60816.01342334505
,2025 KO46,000000ISe6E1,23.812,,Lg,149.0497874,2.9898212,2025-05-21 00:20:55.345000+00:00,60816.01452945592
,2025 KO46,000000ISe6E1,23.153,,Lr,149.0587901,2.9904316,2025-05-21 01:30:43.647000+00:00,60816.06300517358
,2025 KO46,000000ISe6E1,23.344,,Lr,149.0589778,2.9903024,2025-05-21 01:31:24.889000+00:00,60816.06348251179
,2025 KO46,000000ISe6E1,22.998,,Lr,149.0598294,2.9905012,2025-05-21 01:38:40.774000+00:00,60816.06852747686
,2025 KO46,000000ISe6E1,23.223,,Lr,149.0600774,2.9905126,2025-05-21 01:40:09.105000+00:00,60816.06954982644
,2025 KO46,000000ISe6E1,23.253,,Lr,149.0602462,2.9905278,2025-05-21 01:41:34.336000+00:00,60816.07053629635
,2025 KO46,000000ISe6E1,22.931,,Lr,149.0603353,2.99055,2025-05-21 01:42:18.409000+00:00,60816.07104640035
,2025 KO46,000000ISe6E1,22.913,,Lr,149.0614024,2.9906188,2025-05-21 01:50:30.902000+00:00,60816.076746550854
,2025 KO46,000000ISe6E2,23.804,,Lg,149.6377968,3.0186952,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2025 KO46,000000ISe6E2,23.994,,Lg,149.6381198,3.018695,2025-05-24 00:41:18.062000+00:00,60819.02868127311
,2025 KO46,000000ISe6E2,23.993,,Lg,149.6382076,3.0186925,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2025 KO46,000000ISe6E2,24.093,,Lg,149.6383541,3.0187032,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2025 KO46,000000ISe6E2,23.813,,Lg,149.6384404,3.018718,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2025 KO46,000000ISe6E2,23.882,,Lg,149.6385116,3.018706,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2025 KO46,000000ISe6E2,23.808,,Lg,149.6386185,3.018703,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2025 KO46,000000ISe6E2,23.825,,Lg,149.6387265,3.018716,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2025 KO46,000000ISe6E2,23.834,,Lg,149.6388553,3.0187253,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2025 KO46,000000ISe6E2,23.788,,Lg,149.6389411,3.0187363,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2025 KO46,000000ISe6E2,23.835,,Lg,149.6391793,3.0187219,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2025 KO46,000000ISe6E2,23.871,,Lg,149.6392416,3.0187061,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2025 KO46,000000ISe6E2,23.792,,Lg,149.6393471,3.0187227,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2025 KO46,000000ISe6E2,23.785,,Lg,149.6394464,3.0187263,2025-05-24 00:51:06.063000+00:00,60819.03548684018
,2025 KO46,000000ISe6E2,24.057,,Lg,149.6397844,3.018816,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2025 KO46,000000ISe6E2,24.068,,Lg,149.6398458,3.0187809,2025-05-24 00:54:07.406000+00:00,60819.037585717626
