permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 NU360,000000ISe6h1,22.021,,Li,223.8077009,-40.9013541,2025-07-02 23:19:41.531000+00:00,60858.97200846067
,2025 NU360,000000ISe6h1,22.108,,Li,223.8078139,-40.900987,2025-07-02 23:24:48.510000+00:00,60858.97556145815
,2025 NU360,000000ISe6h1,22.135,,Li,223.8087121,-40.8985589,2025-07-02 23:57:41.285000+00:00,60858.99839450233
,2025 NU360,000000ISe6h1,22.166,,Li,223.8087674,-40.8985054,2025-07-02 23:58:59.922000+00:00,60858.99930465268
,2025 NU360,000000ISe6h1,22.11,,Li,223.8087473,-40.8983799,2025-07-03 00:00:17.884000+00:00,60859.00020699063
,2025 NU360,000000ISe6h1,22.678,,Lg,223.8092628,-40.8971163,2025-07-03 00:17:28.156000+00:00,60859.01213143533
,2025 NU360,000000ISe6h1,22.799,,Lg,223.809287,-40.8969732,2025-07-03 00:18:09.728000+00:00,60859.01261259243
,2025 NU360,000000ISe6h1,22.892,,Lg,223.8092852,-40.896926,2025-07-03 00:19:30.247000+00:00,60859.013544525485
,2025 NU360,000000ISe6h1,22.798,,Lg,223.8093087,-40.8968498,2025-07-03 00:20:56.014000+00:00,60859.014537198935
,2025 NU360,000000ISe6h1,22.903,,Lg,223.8094285,-40.8965833,2025-07-03 00:23:37.052000+00:00,60859.01640106458
,2025 NU360,000000ISe6h1,22.907,,Lg,223.8094575,-40.896544,2025-07-03 00:24:58.342000+00:00,60859.017341921106
,2025 NU360,000000ISe6h2,22.113,,Li,223.8614228,-40.7919397,2025-07-03 23:35:38.740000+00:00,60859.98308726866
,2025 NU360,000000ISe6h2,21.89,,Li,223.8614513,-40.7918483,2025-07-03 23:36:18.257000+00:00,60859.983544641174
,2025 NU360,000000ISe6h2,22.092,,Li,223.8614776,-40.7916769,2025-07-03 23:38:56.293000+00:00,60859.985373761505
,2025 NU360,000000ISe6h2,21.914,,Li,223.8615816,-40.7916477,2025-07-03 23:39:35.893000+00:00,60859.98583209468
,2025 NU360,000000ISe6h2,22.05,,Li,223.8615662,-40.7915183,2025-07-03 23:40:55.034000+00:00,60859.98674807884
,2025 NU360,000000ISe6h2,22.075,,Li,223.8616302,-40.7914683,2025-07-03 23:41:34.436000+00:00,60859.987204120494
,2025 NU360,000000ISe6h2,21.93,,Li,223.8617843,-40.7911326,2025-07-03 23:46:14.869000+00:00,60859.9904498728
,2025 NU360,000000ISe6h2,22.238,,Li,223.8618296,-40.7908952,2025-07-03 23:49:35.655000+00:00,60859.99277378479
,2025 NU360,000000ISe6h2,22.204,,Li,223.8618585,-40.7908299,2025-07-03 23:50:55.369000+00:00,60859.99369640043
,2025 NU360,000000ISe6h2,22.027,,Li,223.8619563,-40.7906867,2025-07-03 23:52:14.224000+00:00,60859.9946090742
,2025 NU360,000000ISe6h2,22.729,,Lg,223.8621396,-40.7903548,2025-07-03 23:56:33.404000+00:00,60859.997608842794
,2025 NU360,000000ISe6h2,22.89,,Lg,223.8621352,-40.790254,2025-07-03 23:57:17.635000+00:00,60859.998120775446
,2025 NU360,000000ISe6h2,23.043,,Lg,223.862148,-40.7902466,2025-07-03 23:57:57.061000+00:00,60859.9985770951
,2025 NU360,000000ISe6h2,22.821,,Lg,223.862331,-40.7898845,2025-07-04 00:03:23.565000+00:00,60860.00235607661
,2025 NU360,000000ISe6h2,22.836,,Lg,223.8623355,-40.7898569,2025-07-04 00:04:43.726000+00:00,60860.00328386575
,2025 NU360,000000ISe6h2,22.317,,Lr,223.8647869,-40.7842304,2025-07-04 01:18:50.780000+00:00,60860.0547543983
,2025 NU360,000000ISe6h2,22.231,,Lr,223.8648265,-40.7841787,2025-07-04 01:19:32.300000+00:00,60860.05523495376
,2025 NU360,000000ISe6h2,22.313,,Lr,223.8648491,-40.7841127,2025-07-04 01:20:14.256000+00:00,60860.055720555596
,2025 NU360,000000ISe6h2,22.347,,Lr,223.8648439,-40.7840702,2025-07-04 01:20:53.419000+00:00,60860.056173831224
