permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2002 TM61,000000IZ5rq1,23.611,0.2284,Lg,148.4561189,2.5059455,2025-05-20 23:57:15.858000+00:00,60815.99810020812
,2002 TM61,000000IZ5rq1,23.657,0.1551,Lg,148.4560583,2.5060015,2025-05-20 23:58:43.039000+00:00,60815.9991092477
,2002 TM61,000000IZ5rq1,23.668,0.17,Lg,148.4564331,2.5060249,2025-05-21 00:01:35.967000+00:00,60816.001110729296
,2002 TM61,000000IZ5rq1,23.888,0.1787,Lg,148.4566618,2.5060419,2025-05-21 00:03:08.142000+00:00,60816.00217756955
,2002 TM61,000000IZ5rq1,23.818,0.1458,Lg,148.4567457,2.5060577,2025-05-21 00:04:04.332000+00:00,60816.00282791676
,2002 TM61,000000IZ5rq1,23.668,0.1128,Lg,148.4567943,2.5060494,2025-05-21 00:04:50.561000+00:00,60816.00336297462
,2002 TM61,000000IZ5rq1,23.71,0.1536,Lg,148.4570889,2.5060601,2025-05-21 00:06:54.505000+00:00,60816.004797511734
,2002 TM61,000000IZ5rq1,23.882,0.169,Lg,148.4572079,2.505998,2025-05-21 00:08:10.606000+00:00,60816.00567831006
,2002 TM61,000000IZ5rq1,23.792,0.1543,Lg,148.4573472,2.5060792,2025-05-21 00:09:11.843000+00:00,60816.006387071684
,2002 TM61,000000IZ5rq1,23.644,0.1416,Lg,148.4575687,2.5061205,2025-05-21 00:10:53.968000+00:00,60816.007569074165
,2002 TM61,000000IZ5rq1,24.019,0.2158,Lg,148.4575298,2.5059926,2025-05-21 00:11:35.217000+00:00,60816.008046492934
,2002 TM61,000000IZ5rq1,23.832,0.1671,Lg,148.4583984,2.5061003,2025-05-21 00:18:38.907000+00:00,60816.012950312346
,2002 TM61,000000IZ5rq1,23.914,0.2039,Lg,148.4586383,2.5060412,2025-05-21 00:20:14.133000+00:00,60816.01405246509
,2002 TM61,000000IZ5rq1,23.119,0.1506,Lr,148.4680997,2.5062897,2025-05-21 01:40:09.105000+00:00,60816.06954982644
,2002 TM61,000000IZ5rq1,22.821,0.1388,Lr,148.4681461,2.5063079,2025-05-21 01:40:53.270000+00:00,60816.07006099541
,2002 TM61,000000IZ5rq1,23.002,0.143,Lr,148.4682328,2.5062623,2025-05-21 01:41:34.336000+00:00,60816.07053629635
,2002 TM61,000000IZ5rq1,22.879,0.1846,Lr,148.4691593,2.5063302,2025-05-21 01:49:46.790000+00:00,60816.07623599516
,2002 TM61,000000IZ5rq1,23.127,0.1947,Lr,148.4693966,2.5063477,2025-05-21 01:51:55.736000+00:00,60816.077728426084
,2002 TM61,000000IZ5rq2,23.841,0.1379,Lg,148.9975342,2.5081897,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2002 TM61,000000IZ5rq2,23.75,0.1251,Lg,148.9976327,2.5081912,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2002 TM61,000000IZ5rq2,23.88,0.1285,Lg,148.997706,2.5081733,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2002 TM61,000000IZ5rq2,23.814,0.1198,Lg,148.9978039,2.5081735,2025-05-24 00:41:18.062000+00:00,60819.02868127311
