permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2003 UD337,000000IZUsS1,21.799,0.0352,Lg,227.5418193,-39.64053,2025-06-20 04:26:48.509000+00:00,60846.185283668805
,2003 UD337,000000IZUsS1,21.825,0.0295,Lg,227.5410278,-39.6403528,2025-06-20 04:32:53.616000+00:00,60846.189509444404
,2003 UD337,000000IZUsS1,21.813,0.0393,Lg,227.5407054,-39.6402481,2025-06-20 04:35:35.153000+00:00,60846.19137908565
,2003 UD337,000000IZUsS2,21.449,0.0219,Lr,227.2439523,-39.5656545,2025-06-22 00:42:19.072000+00:00,60848.02938740747
,2003 UD337,000000IZUsS2,21.462,0.0203,Lr,227.2438745,-39.5656383,2025-06-22 00:42:56.698000+00:00,60848.02982289344
,2003 UD337,000000IZUsS2,21.473,0.0205,Lr,227.2437935,-39.5656253,2025-06-22 00:43:34.319000+00:00,60848.03025832167
,2003 UD337,000000IZUsS2,21.43,0.0244,Lr,227.2437322,-39.5656066,2025-06-22 00:44:13.099000+00:00,60848.0307071642
,2003 UD337,000000IZUsS2,21.447,0.0215,Lr,227.2435795,-39.5655641,2025-06-22 00:45:30.721000+00:00,60848.03160556732
,2003 UD337,000000IZUsS2,21.413,0.0249,Lr,227.243344,-39.5655198,2025-06-22 00:47:25.594000+00:00,60848.03293511551
,2003 UD337,000000IZUsS2,21.445,0.0223,Lr,227.2429697,-39.5654151,2025-06-22 00:50:46.108000+00:00,60848.03525587963
,2003 UD337,000000IZUsS2,21.459,0.0261,Lr,227.2428868,-39.5653989,2025-06-22 00:51:29.408000+00:00,60848.03575703688
,2003 UD337,000000IZUsS2,21.46,0.0356,Lr,227.2428135,-39.5653876,2025-06-22 00:52:09.300000+00:00,60848.036218749825
,2003 UD337,000000IZUsS2,21.197,0.0747,Lr,227.2427906,-39.5653882,2025-06-22 00:52:48.437000+00:00,60848.036671724636
,2003 UD337,000000IZUsS2,21.441,0.0294,Lr,227.2426597,-39.565345,2025-06-22 00:53:29.954000+00:00,60848.037152245175
,2003 UD337,000000IZUsS2,21.521,0.0347,Lr,227.2423619,-39.5652731,2025-06-22 00:56:08.191000+00:00,60848.03898369195
,2003 UD337,000000IZUsS2,21.588,0.0279,Lr,227.2422851,-39.5652538,2025-06-22 00:56:46.661000+00:00,60848.03942894656
,2003 UD337,000000IZUsS2,21.579,0.0236,Lr,227.242208,-39.5652347,2025-06-22 00:57:25.978000+00:00,60848.03988400474
,2003 UD337,000000IZUsS2,21.53,0.0226,Lr,227.2421265,-39.5652214,2025-06-22 00:58:05.213000+00:00,60848.04033811344
,2003 UD337,000000IZUsS2,22.701,0.0601,Lr,227.2420599,-39.5652154,2025-06-22 01:00:48.042000+00:00,60848.042222708464
,2003 UD337,000000IZUsS2,21.587,0.0969,Lr,227.2417435,-39.5651311,2025-06-22 01:01:27.934000+00:00,60848.04268442141
,2003 UD337,000000IZUsS2,21.911,0.0222,Lg,227.2412317,-39.5649966,2025-06-22 01:05:55.338000+00:00,60848.045779374894
,2003 UD337,000000IZUsS2,21.878,0.0242,Lg,227.2409868,-39.5649287,2025-06-22 01:08:02.087000+00:00,60848.04724637745
,2003 UD337,000000IZUsS2,21.884,0.0395,Lg,227.2408231,-39.5648896,2025-06-22 01:09:25.371000+00:00,60848.04821031261
,2003 UD337,000000IZUsS2,21.822,0.0416,Lg,227.2407522,-39.5648672,2025-06-22 01:10:04.892000+00:00,60848.048667731695
,2003 UD337,000000IZUsS2,21.913,0.0636,Lg,227.2406741,-39.564867,2025-06-22 01:10:44.129000+00:00,60848.04912186321
,2003 UD337,000000IZUsS2,21.776,0.0365,Lg,227.2404978,-39.5648138,2025-06-22 01:12:07.024000+00:00,60848.05008129636
,2003 UD337,000000IZUsS2,21.815,0.0407,Lg,227.2401257,-39.564721,2025-06-22 01:15:30.269000+00:00,60848.0524336691
,2003 UD337,000000IZUsS2,21.83,0.0414,Lg,227.2400368,-39.5646873,2025-06-22 01:16:10.949000+00:00,60848.05290450249
,2003 UD337,000000IZUsS2,21.836,0.0338,Lg,227.2399686,-39.5646821,2025-06-22 01:16:48.574000+00:00,60848.05333997682
,2003 UD337,000000IZUsS3,21.491,0.0254,Lr,226.9513032,-39.4774539,2025-06-24 01:45:00.622000+00:00,60850.072923865635
,2003 UD337,000000IZUsS3,21.436,0.0241,Lr,226.9512353,-39.477424,2025-06-24 01:45:38.947000+00:00,60850.073367442004
,2003 UD337,000000IZUsS3,21.489,0.0243,Lr,226.951171,-39.4774087,2025-06-24 01:46:17.702000+00:00,60850.07381599536
,2003 UD337,000000IZUsS3,21.454,0.0235,Lr,226.9511037,-39.4773877,2025-06-24 01:46:55.237000+00:00,60850.074250428006
,2003 UD337,000000IZUsS3,21.443,0.0224,Lr,226.950728,-39.4772738,2025-06-24 01:50:39.949000+00:00,60850.07685126178
,2003 UD337,000000IZUsS3,21.481,0.0254,Lr,226.9505404,-39.4772138,2025-06-24 01:52:35.665000+00:00,60850.07819056697
,2003 UD337,000000IZUsS3,21.452,0.0242,Lr,226.9504085,-39.4771714,2025-06-24 01:53:52.134000+00:00,60850.079075625166
,2003 UD337,000000IZUsS3,21.427,0.0251,Lr,226.9503406,-39.4771582,2025-06-24 01:54:30.982000+00:00,60850.07952525467
,2003 UD337,000000IZUsS3,21.408,0.0251,Lr,226.9502761,-39.4771364,2025-06-24 01:55:11.065000+00:00,60850.079989178106
,2003 UD337,000000IZUsS3,21.471,0.0239,Lr,226.9501395,-39.4770824,2025-06-24 01:56:31.902000+00:00,60850.08092479175
,2003 UD337,000000IZUsS3,21.447,0.0238,Lr,226.9498662,-39.4770107,2025-06-24 01:59:15.652000+00:00,60850.08282004623
,2003 UD337,000000IZUsS3,21.454,0.0235,Lr,226.9497965,-39.476992,2025-06-24 01:59:55.441000+00:00,60850.08328056708
,2003 UD337,000000IZUsS3,21.475,0.024,Lr,226.949736,-39.4769545,2025-06-24 02:00:34.478000+00:00,60850.08373238426
,2003 UD337,000000IZUsS3,21.431,0.0245,Lr,226.9496721,-39.4769454,2025-06-24 02:01:14.129000+00:00,60850.08419130789
,2003 UD337,000000IZUsS3,21.421,0.0245,Lr,226.9495966,-39.47692,2025-06-24 02:01:54.205000+00:00,60850.084655150305
,2003 UD337,000000IZUsS3,21.45,0.0237,Lr,226.9495268,-39.4769011,2025-06-24 02:02:36.559000+00:00,60850.08514535893
,2003 UD337,000000IZUsS3,21.45,0.0243,Lr,226.9494543,-39.4768804,2025-06-24 02:03:17.025000+00:00,60850.08561371546
,2003 UD337,000000IZUsS3,21.48,0.0243,Lr,226.9493975,-39.4768596,2025-06-24 02:03:56.349000+00:00,60850.0860688542
,2003 UD337,000000IZUsS3,21.463,0.0227,Lr,226.9493383,-39.4768338,2025-06-24 02:04:36.051000+00:00,60850.08652836783
,2003 UD337,000000IZUsS3,21.875,0.0282,Lg,226.949013,-39.4767297,2025-06-24 02:07:55.397000+00:00,60850.08883561334
,2003 UD337,000000IZUsS3,21.91,0.0238,Lg,226.948856,-39.4766913,2025-06-24 02:09:14.922000+00:00,60850.089756041765
,2003 UD337,000000IZUsS3,21.877,0.0255,Lg,226.9487271,-39.4766479,2025-06-24 02:10:40.018000+00:00,60850.090740948915
,2003 UD337,000000IZUsS3,21.897,0.0248,Lg,226.9486518,-39.4766193,2025-06-24 02:11:20.678000+00:00,60850.09121155087
,2003 UD337,000000IZUsS3,21.939,0.0249,Lg,226.9485811,-39.4766047,2025-06-24 02:12:03.123000+00:00,60850.09170281235
,2003 UD337,000000IZUsS3,21.919,0.023,Lg,226.9485117,-39.476586,2025-06-24 02:12:42.741000+00:00,60850.09216135414
,2003 UD337,000000IZUsS3,21.907,0.0234,Lg,226.9484466,-39.4765634,2025-06-24 02:13:22.454000+00:00,60850.09262099536
,2003 UD337,000000IZUsS3,21.902,0.025,Lg,226.9483851,-39.4765471,2025-06-24 02:14:02.160000+00:00,60850.093080555554
,2003 UD337,000000IZUsS3,21.938,0.0298,Lg,226.9483044,-39.4765154,2025-06-24 02:14:45.370000+00:00,60850.09358067112
,2003 UD337,000000IZUsS3,21.9,0.0227,Lg,226.9482441,-39.4765017,2025-06-24 02:15:24.984000+00:00,60850.09403916681
,2003 UD337,000000IZUsS4,22.024,0.0375,Lg,226.2742615,-39.1438067,2025-07-01 05:13:15.417000+00:00,60857.21753954841
,2003 UD337,000000IZUsS4,22.123,0.0406,Lg,226.2742233,-39.1437467,2025-07-01 05:13:52.926000+00:00,60857.2179736807
,2003 UD337,000000IZUsS4,22.006,0.0374,Lg,226.2742039,-39.1437603,2025-07-01 05:14:30.437000+00:00,60857.21840783581
,2003 UD337,000000IZUsS4,22.106,0.0396,Lg,226.2741951,-39.1437296,2025-07-01 05:15:08.044000+00:00,60857.21884310199
,2003 UD337,000000IZUsS4,22.043,0.0394,Lg,226.2741225,-39.1436715,2025-07-01 05:16:24.900000+00:00,60857.219732638914
,2003 UD337,000000IZUsS4,21.968,0.0352,Lg,226.2740664,-39.1436327,2025-07-01 05:18:19.386000+00:00,60857.221057708375
,2003 UD337,000000IZUsS4,22.035,0.0394,Lg,226.2740044,-39.1435794,2025-07-01 05:18:56.999000+00:00,60857.22149304394
,2003 UD337,000000IZUsS4,22.048,0.0396,Lg,226.2739548,-39.1435177,2025-07-01 05:20:12.023000+00:00,60857.22236137744
,2003 UD337,000000IZUsS4,22.071,0.0361,Lg,226.2739241,-39.1434847,2025-07-01 05:21:28.398000+00:00,60857.223245347384
