permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
380359,2002 TN30,000000IZ5sS1,22.055,0.0372,Lg,226.0181438,-39.8639174,2025-06-20 04:26:48.509000+00:00,60846.185283668805
380359,2002 TN30,000000IZ5sS1,22.007,0.0366,Lg,226.0180468,-39.8638646,2025-06-20 04:27:28.971000+00:00,60846.18575197924
380359,2002 TN30,000000IZ5sS1,22.024,0.0394,Lg,226.0179563,-39.8638169,2025-06-20 04:28:09.160000+00:00,60846.186217129696
380359,2002 TN30,000000IZ5sS1,22.01,0.0315,Lg,226.0178613,-39.8637856,2025-06-20 04:28:49.533000+00:00,60846.18668440962
380359,2002 TN30,000000IZ5sS1,22.009,0.0325,Lg,226.0177047,-39.8636911,2025-06-20 04:30:10.633000+00:00,60846.18762306729
380359,2002 TN30,000000IZ5sS1,22.005,0.0387,Lg,226.0176065,-39.8636258,2025-06-20 04:30:50.831000+00:00,60846.18808832159
380359,2002 TN30,000000IZ5sS1,22.024,0.0336,Lg,226.0175092,-39.8636236,2025-06-20 04:31:31.847000+00:00,60846.18856304418
380359,2002 TN30,000000IZ5sS1,21.993,0.0302,Lg,226.0170482,-39.8634105,2025-06-20 04:34:54.792000+00:00,60846.19091194449
380359,2002 TN30,000000IZ5sS1,22.08,0.0321,Lg,226.0169609,-39.8633693,2025-06-20 04:35:35.153000+00:00,60846.19137908565
380359,2002 TN30,000000IZ5sS1,22.04,0.0311,Lg,226.0168788,-39.8633326,2025-06-20 04:36:16.556000+00:00,60846.19185828697
380359,2002 TN30,000000IZ5sS1,22.035,0.0354,Lg,226.0167816,-39.8633011,2025-06-20 04:36:56.631000+00:00,60846.19232211821
380359,2002 TN30,000000IZ5sS1,22.035,0.0339,Lg,226.0166785,-39.8632492,2025-06-20 04:37:37.008000+00:00,60846.192789444234
380359,2002 TN30,000000IZ5sS1,21.994,0.0335,Lg,226.0166134,-39.8632027,2025-06-20 04:38:17.183000+00:00,60846.19325443264
380359,2002 TN30,000000IZ5sS1,22.027,0.0389,Lg,226.0165004,-39.863177,2025-06-20 04:38:59.085000+00:00,60846.19373940956
380359,2002 TN30,000000IZ5sS2,21.622,0.0227,Lr,225.6924895,-39.7077363,2025-06-22 00:42:19.072000+00:00,60848.02938740747
380359,2002 TN30,000000IZ5sS2,21.635,0.0223,Lr,225.6924065,-39.7076935,2025-06-22 00:42:56.698000+00:00,60848.02982289344
380359,2002 TN30,000000IZ5sS2,21.652,0.0225,Lr,225.6923232,-39.7076554,2025-06-22 00:43:34.319000+00:00,60848.03025832167
380359,2002 TN30,000000IZ5sS2,21.702,0.0297,Lr,225.692244,-39.7076187,2025-06-22 00:44:13.099000+00:00,60848.0307071642
380359,2002 TN30,000000IZ5sS2,21.654,0.0286,Lr,225.6921682,-39.7075827,2025-06-22 00:44:50.635000+00:00,60848.03114160895
380359,2002 TN30,000000IZ5sS2,21.62,0.0301,Lr,225.6920819,-39.7075446,2025-06-22 00:45:30.721000+00:00,60848.03160556732
380359,2002 TN30,000000IZ5sS2,21.595,0.0306,Lr,225.6918534,-39.7074316,2025-06-22 00:47:25.594000+00:00,60848.03293511551
380359,2002 TN30,000000IZ5sS2,22.718,0.0707,Lr,225.6920027,-39.7075269,2025-06-22 00:48:04.637000+00:00,60848.033387002535
380359,2002 TN30,000000IZ5sS2,21.567,0.0283,Lr,225.6916212,-39.7073207,2025-06-22 00:49:19.703000+00:00,60848.03425582172
380359,2002 TN30,000000IZ5sS2,22.958,0.0725,Lr,225.6917831,-39.7074115,2025-06-22 00:50:04.140000+00:00,60848.03477013903
380359,2002 TN30,000000IZ5sS2,21.596,0.0317,Lr,225.6913458,-39.7071805,2025-06-22 00:51:29.408000+00:00,60848.03575703688
380359,2002 TN30,000000IZ5sS2,21.523,0.0378,Lr,225.6912617,-39.7071644,2025-06-22 00:52:09.300000+00:00,60848.036218749825
380359,2002 TN30,000000IZ5sS2,21.518,0.0566,Lr,225.6911881,-39.7071031,2025-06-22 00:52:48.437000+00:00,60848.036671724636
380359,2002 TN30,000000IZ5sS2,21.524,0.0308,Lr,225.6911024,-39.7070715,2025-06-22 00:53:29.954000+00:00,60848.037152245175
380359,2002 TN30,000000IZ5sS2,21.473,0.0475,Lr,225.6908623,-39.7069685,2025-06-22 00:55:30.534000+00:00,60848.03854784742
380359,2002 TN30,000000IZ5sS2,21.557,0.0328,Lr,225.690769,-39.7069289,2025-06-22 00:56:08.191000+00:00,60848.03898369195
380359,2002 TN30,000000IZ5sS2,21.519,0.0262,Lr,225.690688,-39.7068798,2025-06-22 00:56:46.661000+00:00,60848.03942894656
380359,2002 TN30,000000IZ5sS2,21.518,0.0221,Lr,225.6906161,-39.7068521,2025-06-22 00:57:25.978000+00:00,60848.03988400474
380359,2002 TN30,000000IZ5sS2,21.549,0.0246,Lr,225.6904417,-39.7067687,2025-06-22 00:58:46.983000+00:00,60848.04082156252
380359,2002 TN30,000000IZ5sS2,21.542,0.0212,Lr,225.6903573,-39.7067272,2025-06-22 00:59:31.039000+00:00,60848.04133147001
380359,2002 TN30,000000IZ5sS2,21.526,0.0209,Lr,225.6902831,-39.7066887,2025-06-22 01:00:09.890000+00:00,60848.04178113444
380359,2002 TN30,000000IZ5sS2,21.509,0.0236,Lr,225.6901963,-39.706649,2025-06-22 01:00:48.042000+00:00,60848.042222708464
380359,2002 TN30,000000IZ5sS2,21.529,0.1024,Lr,225.6901222,-39.706603,2025-06-22 01:01:27.934000+00:00,60848.04268442141
380359,2002 TN30,000000IZ5sS2,22.098,0.0242,Lg,225.6897419,-39.7064319,2025-06-22 01:04:35.836000+00:00,60848.04485921282
380359,2002 TN30,000000IZ5sS2,22.106,0.025,Lg,225.6895643,-39.7063407,2025-06-22 01:05:55.338000+00:00,60848.045779374894
380359,2002 TN30,000000IZ5sS2,22.095,0.0264,Lg,225.6894038,-39.7062703,2025-06-22 01:07:18.894000+00:00,60848.04674645839
380359,2002 TN30,000000IZ5sS2,22.062,0.0268,Lg,225.6893061,-39.706237,2025-06-22 01:08:02.087000+00:00,60848.04724637745
380359,2002 TN30,000000IZ5sS2,22.088,0.0265,Lg,225.6892214,-39.7061871,2025-06-22 01:08:45.280000+00:00,60848.04774629651
380359,2002 TN30,000000IZ5sS2,22.139,0.0468,Lg,225.6891449,-39.7061525,2025-06-22 01:09:25.371000+00:00,60848.04821031261
380359,2002 TN30,000000IZ5sS2,22.153,0.0516,Lg,225.6890566,-39.7061196,2025-06-22 01:10:04.892000+00:00,60848.048667731695
380359,2002 TN30,000000IZ5sS2,22.16,0.0819,Lg,225.6889817,-39.7060477,2025-06-22 01:10:44.129000+00:00,60848.04912186321
380359,2002 TN30,000000IZ5sS2,21.902,0.0897,Lg,225.688896,-39.7060279,2025-06-22 01:11:28.740000+00:00,60848.0496381945
380359,2002 TN30,000000IZ5sS2,22.068,0.0437,Lg,225.6888011,-39.7059752,2025-06-22 01:12:07.024000+00:00,60848.05008129636
380359,2002 TN30,000000IZ5sS2,22.213,0.1157,Lg,225.6886978,-39.7059688,2025-06-22 01:12:46.350000+00:00,60848.05053645838
380359,2002 TN30,000000IZ5sS2,22.227,0.1171,Lg,225.6885533,-39.7058752,2025-06-22 01:14:08.228000+00:00,60848.051484120544
380359,2002 TN30,000000IZ5sS2,22.093,0.0491,Lg,225.6883062,-39.7057605,2025-06-22 01:16:10.949000+00:00,60848.05290450249
380359,2002 TN30,000000IZ5sS2,22.12,0.0412,Lg,225.6882233,-39.7057159,2025-06-22 01:16:48.574000+00:00,60848.05333997682
