permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2013 WF45,000000IPCUC1,19.546,,Li,227.0416238,-40.2719143,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2013 WF45,000000IPCUC1,19.553,,Li,227.0414317,-40.271669,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2013 WF45,000000IPCUC1,19.518,,Li,227.0412706,-40.2714686,2025-05-21 06:36:12.031000+00:00,60816.27513924753
,2013 WF45,000000IPCUC1,19.514,,Li,227.0409812,-40.2711058,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2013 WF45,000000IPCUC1,19.528,,Li,227.0405371,-40.2705452,2025-05-21 06:39:44.659000+00:00,60816.27760021994
,2013 WF45,000000IPCUC1,19.582,,Li,227.0397622,-40.2695632,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2013 WF45,000000IPCUC1,19.725,,Lr,227.0369398,-40.2659807,2025-05-21 06:57:20.705000+00:00,60816.28982297471
,2013 WF45,000000IPCUC1,19.697,,Lr,227.0339769,-40.2622071,2025-05-21 07:11:51.941000+00:00,60816.2999067246
,2013 WF45,000000IPCUC1,19.569,,Lz,227.0309008,-40.2582498,2025-05-21 07:27:02.942000+00:00,60816.31045071781
,2013 WF45,000000IPCUC1,19.541,,Lz,227.030321,-40.2575232,2025-05-21 07:29:50.897000+00:00,60816.31239464134
,2013 WF45,000000IPCUC1,19.534,,Lz,227.0292038,-40.2560771,2025-05-21 07:35:23.879000+00:00,60816.31624859944
,2013 WF45,000000IPCUC1,19.469,,Lz,227.0286157,-40.2553227,2025-05-21 07:38:17.729000+00:00,60816.31826075213
,2013 WF45,000000IPCUC1,19.434,,Lz,227.0281678,-40.2547526,2025-05-21 07:40:29.574000+00:00,60816.319786736276
,2013 WF45,000000IPCUC1,19.439,,Lz,227.027459,-40.2538279,2025-05-21 07:44:00.466000+00:00,60816.32222761586
,2013 WF45,000000IPCUC2,21.424,,Lu,226.8038338,-39.9504566,2025-05-22 03:29:55.039000+00:00,60817.14577591419
,2013 WF45,000000IPCUC2,21.592,,Lu,226.8035381,-39.9500866,2025-05-22 03:31:21.384000+00:00,60817.1467752778
,2013 WF45,000000IPCUC2,21.354,,Lu,226.8030933,-39.9495401,2025-05-22 03:33:29.962000+00:00,60817.14826344885
,2013 WF45,000000IPCUC2,21.516,,Lu,226.8028545,-39.9492326,2025-05-22 03:34:38.868000+00:00,60817.149060972035
,2013 WF45,000000IPCUC2,21.388,,Lu,226.7904162,-39.9335114,2025-05-22 04:35:18.688000+00:00,60817.19118851842
,2013 WF45,000000IPCUC2,21.432,,Lu,226.7901876,-39.9331921,2025-05-22 04:36:32.133000+00:00,60817.192038576584
,2013 WF45,000000IPCUC2,21.464,,Lu,226.7874824,-39.9297741,2025-05-22 04:49:40.698000+00:00,60817.20116548613
,2013 WF45,000000IPCUC2,21.554,,Lu,226.7861292,-39.9280714,2025-05-22 04:56:13.420000+00:00,60817.20571087953
,2013 WF45,000000IPCUC2,21.389,,Lu,226.7859452,-39.9277962,2025-05-22 04:57:16.633000+00:00,60817.20644251164
,2013 WF45,000000IPCUC2,21.512,,Lu,226.7857224,-39.9275265,2025-05-22 04:58:27.989000+00:00,60817.20726839127
,2013 WF45,000000IPCUC2,21.489,,Lu,226.7853688,-39.9271031,2025-05-22 05:00:02.282000+00:00,60817.20835974533
,2013 WF45,000000IPCUC2,21.433,,Lu,226.7850787,-39.926707,2025-05-22 05:01:26.207000+00:00,60817.20933109941
,2013 WF45,000000IPCUC2,21.586,,Lu,226.7847526,-39.9262929,2025-05-22 05:02:55.132000+00:00,60817.21036032401
,2013 WF45,000000IPCUC2,21.387,,Lu,226.7843183,-39.9256917,2025-05-22 05:05:19.381000+00:00,60817.21202987246
,2013 WF45,000000IPCUC2,21.423,,Lu,226.7832298,-39.9243091,2025-05-22 05:10:36.688000+00:00,60817.21570240753
,2013 WF45,000000IPCUC2,21.438,,Lu,226.7830306,-39.9240647,2025-05-22 05:11:31.762000+00:00,60817.21633983776
,2013 WF45,000000IPCUC2,21.507,,Lu,226.7828106,-39.9238043,2025-05-22 05:12:31.570000+00:00,60817.21703206003
,2013 WF45,000000IPCUC2,21.438,,Lu,226.7823513,-39.9231873,2025-05-22 05:14:51.810000+00:00,60817.218655208126
