permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KG32,000000IPCU61,23.025,,Lg,148.7607992,2.0518261,2025-05-20 23:56:09.639000+00:00,60815.99733378459
,2025 KG32,000000IPCU61,23.009,,Lg,148.7609166,2.0518998,2025-05-20 23:57:15.858000+00:00,60815.99810020812
,2025 KG32,000000IPCU61,23.016,,Lg,148.7610044,2.0518764,2025-05-20 23:57:56.988000+00:00,60815.99857624993
,2025 KG32,000000IPCU61,23.245,,Lg,148.7610593,2.0519053,2025-05-20 23:58:43.039000+00:00,60815.9991092477
,2025 KG32,000000IPCU61,23.089,,Lg,148.7611472,2.0519029,2025-05-20 23:59:49.097000+00:00,60815.999873807654
,2025 KG32,000000IPCU61,23.165,,Lg,148.7613492,2.0519511,2025-05-21 00:02:22.012000+00:00,60816.00164365722
,2025 KG32,000000IPCU61,23.14,,Lg,148.761332,2.051881,2025-05-21 00:03:08.142000+00:00,60816.00217756955
,2025 KG32,000000IPCU61,23.248,,Lg,148.7614387,2.0518793,2025-05-21 00:04:04.332000+00:00,60816.00282791676
,2025 KG32,000000IPCU61,23.131,,Lg,148.7614965,2.0518787,2025-05-21 00:04:50.561000+00:00,60816.00336297462
,2025 KG32,000000IPCU61,23.291,,Lg,148.7615502,2.0518898,2025-05-21 00:05:32.042000+00:00,60816.003843078855
,2025 KG32,000000IPCU61,23.204,,Lg,148.761599,2.0518903,2025-05-21 00:06:13.197000+00:00,60816.00431940984
,2025 KG32,000000IPCU61,23.2,,Lg,148.7616839,2.0519077,2025-05-21 00:06:54.505000+00:00,60816.004797511734
,2025 KG32,000000IPCU61,23.2,,Lg,148.7617291,2.0518504,2025-05-21 00:08:10.606000+00:00,60816.00567831006
,2025 KG32,000000IPCU61,23.258,,Lg,148.7618012,2.0518431,2025-05-21 00:09:11.843000+00:00,60816.006387071684
,2025 KG32,000000IPCU61,23.22,,Lg,148.761871,2.0518784,2025-05-21 00:09:57.882000+00:00,60816.00691993069
,2025 KG32,000000IPCU61,23.133,,Lg,148.7619623,2.0518675,2025-05-21 00:10:53.968000+00:00,60816.007569074165
,2025 KG32,000000IPCU61,23.219,,Lg,148.7620724,2.0518727,2025-05-21 00:12:26.275000+00:00,60816.00863744225
,2025 KG32,000000IPCU61,23.276,,Lg,148.76212,2.0518296,2025-05-21 00:13:07.337000+00:00,60816.00911269663
,2025 KG32,000000IPCU61,23.317,,Lg,148.762171,2.0518513,2025-05-21 00:13:58.390000+00:00,60816.00970358774
,2025 KG32,000000IPCU61,23.115,,Lg,148.7622413,2.0518803,2025-05-21 00:14:49.442000+00:00,60816.01029446768
,2025 KG32,000000IPCU61,23.063,,Lg,148.7622888,2.0518831,2025-05-21 00:15:35.565000+00:00,60816.01082829852
,2025 KG32,000000IPCU61,23.3,,Lg,148.7623484,2.0518578,2025-05-21 00:16:16.404000+00:00,60816.0113009722
,2025 KG32,000000IPCU61,23.058,,Lg,148.762404,2.0519051,2025-05-21 00:16:57.245000+00:00,60816.01177366916
,2025 KG32,000000IPCU61,23.119,,Lg,148.7624616,2.0518545,2025-05-21 00:17:47.841000+00:00,60816.012359270826
,2025 KG32,000000IPCU61,23.207,,Lg,148.7626015,2.0518743,2025-05-21 00:19:19.777000+00:00,60816.01342334505
,2025 KG32,000000IPCU61,23.188,,Lg,148.7626588,2.0519026,2025-05-21 00:20:14.133000+00:00,60816.01405246509
,2025 KG32,000000IPCU61,23.253,,Lg,148.7626611,2.0518918,2025-05-21 00:20:55.345000+00:00,60816.01452945592
,2025 KG32,000000IPCU61,22.594,,Lr,148.7678981,2.0518113,2025-05-21 01:30:43.647000+00:00,60816.06300517358
,2025 KG32,000000IPCU61,22.692,,Lr,148.7685889,2.0518388,2025-05-21 01:40:09.105000+00:00,60816.06954982644
,2025 KG32,000000IPCU61,22.53,,Lr,148.7686841,2.0518407,2025-05-21 01:40:53.270000+00:00,60816.07006099541
,2025 KG32,000000IPCU61,22.521,,Lr,148.7687161,2.0518288,2025-05-21 01:41:34.336000+00:00,60816.07053629635
,2025 KG32,000000IPCU61,22.629,,Lr,148.7687556,2.0518072,2025-05-21 01:42:18.409000+00:00,60816.07104640035
,2025 KG32,000000IPCU61,22.7,,Lr,148.7693236,2.0518051,2025-05-21 01:49:46.790000+00:00,60816.07623599516
,2025 KG32,000000IPCU62,23.309,,Lg,149.1061306,2.0434696,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2025 KG32,000000IPCU62,23.399,,Lg,149.1061922,2.0434617,2025-05-24 00:41:18.062000+00:00,60819.02868127311
,2025 KG32,000000IPCU62,23.533,,Lg,149.1063342,2.0434504,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2025 KG32,000000IPCU62,23.551,,Lg,149.1063882,2.0434632,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2025 KG32,000000IPCU62,23.47,,Lg,149.1065065,2.0434462,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2025 KG32,000000IPCU62,23.596,,Lg,149.1065692,2.0434514,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2025 KG32,000000IPCU62,23.707,,Lg,149.106656,2.0434326,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2025 KG32,000000IPCU62,23.567,,Lg,149.1067088,2.0434482,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2025 KG32,000000IPCU62,23.652,,Lg,149.1067832,2.0434411,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2025 KG32,000000IPCU62,23.622,,Lg,149.106964,2.0434337,2025-05-24 00:50:20.770000+00:00,60819.03496261593
