permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KX32,000000IPCa81,23.585,,Lg,149.6881856,3.8623996,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2025 KX32,000000IPCa81,23.761,,Lg,149.688336,3.8624312,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2025 KX32,000000IPCa81,23.856,,Lg,149.6883994,3.862332,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2025 KX32,000000IPCa81,23.832,,Lg,149.6884634,3.8623301,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2025 KX32,000000IPCa81,23.467,,Lg,149.688481,3.8623011,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2025 KX32,000000IPCa81,23.159,,Lg,149.6891526,3.8620707,2025-05-24 01:02:01.624000+00:00,60819.043074351735
,2025 KX32,000000IPCa81,22.755,,Lr,149.6893835,3.8619872,2025-05-24 01:06:51.951000+00:00,60819.04643461807
,2025 KX32,000000IPCa81,22.575,,Lr,149.6894475,3.861978,2025-05-24 01:07:37.062000+00:00,60819.04695673613
,2025 KX32,000000IPCa81,22.637,,Lr,149.6895612,3.8619344,2025-05-24 01:09:52.932000+00:00,60819.048529305495
,2025 KX32,000000IPCa81,22.583,,Lr,149.68961,3.86191,2025-05-24 01:11:23.583000+00:00,60819.049578506965
,2025 KX32,000000IPCa81,22.69,,Lr,149.6896764,3.8618906,2025-05-24 01:12:09.154000+00:00,60819.05010594893
,2025 KX32,000000IPCa81,22.566,,Lr,149.6897457,3.8618707,2025-05-24 01:13:39.837000+00:00,60819.0511555206
,2025 KX32,000000IPCa81,22.633,,Lr,149.6898235,3.8618489,2025-05-24 01:15:10.426000+00:00,60819.05220400449
,2025 KX32,000000IPCa81,22.534,,Lr,149.6899422,3.8617972,2025-05-24 01:16:41.037000+00:00,60819.05325274309
,2025 KX32,000000IPCa81,22.679,,Lr,149.6899422,3.8618001,2025-05-24 01:17:26.428000+00:00,60819.05377810169
,2025 KX32,000000IPCa81,22.598,,Lr,149.6899947,3.8617742,2025-05-24 01:18:11.659000+00:00,60819.05430160882
,2025 KX32,000000IPCa81,22.603,,Lr,149.6900372,3.8617611,2025-05-24 01:18:56.955000+00:00,60819.05482586799
,2025 KX32,000000IPCa81,22.348,,Li,149.6904191,3.8616057,2025-05-24 01:26:15.976000+00:00,60819.0599071295
,2025 KX32,000000IPCa81,22.328,,Li,149.6904766,3.8616196,2025-05-24 01:27:01.178000+00:00,60819.06043030089
,2025 KX32,000000IPCa81,22.451,,Li,149.6904864,3.8615885,2025-05-24 01:27:46.641000+00:00,60819.06095649302
,2025 KX32,000000IPCa81,22.379,,Li,149.6905764,3.8615698,2025-05-24 01:29:17.234000+00:00,60819.062005023006
,2025 KX32,000000IPCa81,22.303,,Li,149.6906504,3.8615498,2025-05-24 01:30:48.409000+00:00,60819.06306028925
,2025 KX32,000000IPCa81,22.268,,Li,149.6907788,3.8614976,2025-05-24 01:33:04.925000+00:00,60819.06464033574
,2025 KX32,000000IPCa81,22.367,,Li,149.6908242,3.861468,2025-05-24 01:33:50.420000+00:00,60819.06516689807
,2025 KX32,000000IPCa81,22.326,,Li,149.6909492,3.8614264,2025-05-24 01:36:06.140000+00:00,60819.06673773145
,2025 KX32,000000IPCa81,22.442,,Li,149.6909953,3.8614117,2025-05-24 01:36:51.342000+00:00,60819.06726090284
,2025 KX32,000000IPCa81,22.38,,Li,149.6910202,3.861405,2025-05-24 01:37:36.549000+00:00,60819.06778413197
,2025 KX32,000000IPCa81,22.358,,Li,149.6910499,3.861401,2025-05-24 01:38:21.962000+00:00,60819.068309745286
,2025 KX32,000000IPCa82,22.538,,Li,149.7635608,3.8358636,2025-05-24 23:30:57.576000+00:00,60819.97983305575
,2025 KX32,000000IPCa82,22.542,,Li,149.7636257,3.8358398,2025-05-24 23:31:42.675000+00:00,60819.98035503458
,2025 KX32,000000IPCa82,22.498,,Li,149.7636577,3.835842,2025-05-24 23:32:27.875000+00:00,60819.98087818269
,2025 KX32,000000IPCa82,22.647,,Li,149.7637535,3.8358018,2025-05-24 23:33:58.307000+00:00,60819.98192484956
,2025 KX32,000000IPCa82,22.54,,Li,149.7637935,3.8357716,2025-05-24 23:34:43.503000+00:00,60819.98244795157
,2025 KX32,000000IPCa82,22.614,,Li,149.7638467,3.835783,2025-05-24 23:35:28.921000+00:00,60819.982973622624
,2025 KX32,000000IPCa82,22.474,,Li,149.7638888,3.8357502,2025-05-24 23:36:13.938000+00:00,60819.9834946529
,2025 KX32,000000IPCa82,22.305,,Li,149.7642714,3.8356155,2025-05-24 23:43:42.395000+00:00,60819.98868512735
,2025 KX32,000000IPCa82,22.408,,Li,149.7643236,3.8356043,2025-05-24 23:44:27.891000+00:00,60819.98921170132
,2025 KX32,000000IPCa82,22.306,,Li,149.7644412,3.8355297,2025-05-24 23:46:43.396000+00:00,60819.99078004621
,2025 KX32,000000IPCa82,22.287,,Li,149.7645105,3.8355388,2025-05-24 23:48:13.863000+00:00,60819.99182711821
,2025 KX32,000000IPCa82,22.395,,Li,149.7645621,3.8355097,2025-05-24 23:48:59.153000+00:00,60819.992351308
,2025 KX32,000000IPCa82,22.387,,Li,149.764664,3.8354846,2025-05-24 23:50:29.209000+00:00,60819.993393622804
