permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 EV21,000000IPCU21,22.164,,Li,149.586044,2.4677875,2025-05-16 00:59:59.101000+00:00,60811.041656261776
,2026 EV21,000000IPCU21,22.232,,Li,149.5860376,2.4677855,2025-05-16 01:00:39.868000+00:00,60811.04212810192
,2026 EV21,000000IPCU21,22.298,,Li,149.5860731,2.4678132,2025-05-16 01:01:20.880000+00:00,60811.04260277795
,2026 EV21,000000IPCU21,22.274,,Li,149.5861445,2.4678115,2025-05-16 01:02:43.314000+00:00,60811.04355687508
,2026 EV21,000000IPCU21,22.136,,Li,149.5861807,2.4678412,2025-05-16 01:03:24.232000+00:00,60811.04403046286
,2026 EV21,000000IPCU21,22.419,,Li,149.5862324,2.4678338,2025-05-16 01:04:05.626000+00:00,60811.044509560335
,2026 EV21,000000IPCU21,22.137,,Li,149.5862253,2.4678123,2025-05-16 01:04:46.756000+00:00,60811.04498560168
,2026 EV21,000000IPCU21,22.067,,Li,149.5862935,2.4678235,2025-05-16 01:05:27.952000+00:00,60811.04546240717
,2026 EV21,000000IPCU21,22.257,,Li,149.5863058,2.4678406,2025-05-16 01:06:08.764000+00:00,60811.04593476839
,2026 EV21,000000IPCU21,22.057,,Li,149.5863733,2.4678562,2025-05-16 01:06:49.982000+00:00,60811.0464118286
,2026 EV21,000000IPCU21,22.246,,Li,149.5863928,2.4678519,2025-05-16 01:07:31.307000+00:00,60811.04689012747
,2026 EV21,000000IPCU21,22.194,,Li,149.5864005,2.4678515,2025-05-16 01:08:12.159000+00:00,60811.04736295156
,2026 EV21,000000IPCU21,22.253,,Li,149.5864632,2.4678719,2025-05-16 01:08:55.092000+00:00,60811.04785986105
,2026 EV21,000000IPCU21,22.192,,Li,149.5864704,2.4679024,2025-05-16 01:09:36.127000+00:00,60811.04833480343
,2026 EV21,000000IPCU21,22.182,,Li,149.5865128,2.4678881,2025-05-16 01:10:17.099000+00:00,60811.04880901612
,2026 EV21,000000IPCU21,22.394,,Li,149.5865773,2.4678268,2025-05-16 01:10:58.272000+00:00,60811.049285555724
,2026 EV21,000000IPCU21,22.223,,Li,149.5866087,2.4678962,2025-05-16 01:11:39.209000+00:00,60811.04975936329
,2026 EV21,000000IPCU21,22.367,,Li,149.5865997,2.467907,2025-05-16 01:12:20.148000+00:00,60811.050233194605
,2026 EV21,000000IPCU21,22.342,,Li,149.5865918,2.4679128,2025-05-16 01:13:01.202000+00:00,60811.05070835631
,2026 EV21,000000IPCU21,22.075,,Li,149.5867298,2.4679046,2025-05-16 01:14:23.642000+00:00,60811.0516625233
,2026 EV21,000000IPCU21,22.152,,Li,149.5867928,2.4679639,2025-05-16 01:15:46.120000+00:00,60811.052617129404
,2026 EV21,000000IPCU21,22.257,,Li,149.5868157,2.4679547,2025-05-16 01:16:27.599000+00:00,60811.053097210824
,2026 EV21,000000IPCU21,22.032,,Li,149.5868458,2.4679015,2025-05-16 01:17:11.382000+00:00,60811.05360395834
,2026 EV21,000000IPCU21,22.213,,Lz,149.5875171,2.4680448,2025-05-16 01:30:21.069000+00:00,60811.06274385424
,2026 EV21,000000IPCU21,21.911,,Lz,149.5875119,2.4680476,2025-05-16 01:31:02.343000+00:00,60811.063221562654
,2026 EV21,000000IPCU21,22.427,,Lz,149.5878109,2.4680563,2025-05-16 01:35:51.459000+00:00,60811.06656781258
,2026 EV21,000000IPCU21,22.114,,Lz,149.5879846,2.4681308,2025-05-16 01:39:16.621000+00:00,60811.06894237269
,2026 EV21,000000IPCU21,22.019,,Lz,149.587967,2.4680616,2025-05-16 01:39:58.121000+00:00,60811.06942269672
,2026 EV21,000000IPCU21,22.048,,Lz,149.5880245,2.4682004,2025-05-16 01:41:23.274000+00:00,60811.07040826371
