permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KB47,000000ISe7B1,23.555,,Lg,150.0852743,2.9139876,2025-05-20 23:56:09.639000+00:00,60815.99733378459
,2025 KB47,000000ISe7B1,23.591,,Lg,150.0854417,2.9137126,2025-05-20 23:57:56.988000+00:00,60815.99857624993
,2025 KB47,000000ISe7B1,23.677,,Lg,150.0856084,2.9136333,2025-05-20 23:58:43.039000+00:00,60815.9991092477
,2025 KB47,000000ISe7B1,23.505,,Lg,150.0858261,2.9135183,2025-05-20 23:59:49.097000+00:00,60815.999873807654
,2025 KB47,000000ISe7B1,23.646,,Lg,150.0858824,2.9133649,2025-05-21 00:00:35.154000+00:00,60816.00040687481
,2025 KB47,000000ISe7B1,23.748,,Lg,150.0861018,2.9132751,2025-05-21 00:01:35.967000+00:00,60816.001110729296
,2025 KB47,000000ISe7B1,23.773,,Lg,150.0862073,2.913158,2025-05-21 00:02:22.012000+00:00,60816.00164365722
,2025 KB47,000000ISe7B1,23.453,,Lg,150.0863641,2.9130807,2025-05-21 00:03:08.142000+00:00,60816.00217756955
,2025 KB47,000000ISe7B1,23.53,,Lg,150.0864723,2.9129503,2025-05-21 00:04:04.332000+00:00,60816.00282791676
,2025 KB47,000000ISe7B1,23.493,,Lg,150.0866458,2.9128638,2025-05-21 00:04:50.561000+00:00,60816.00336297462
,2025 KB47,000000ISe7B1,23.503,,Lg,150.0867434,2.9128034,2025-05-21 00:05:32.042000+00:00,60816.003843078855
,2025 KB47,000000ISe7B1,23.769,,Lg,150.0869647,2.9126376,2025-05-21 00:06:54.505000+00:00,60816.004797511734
,2025 KB47,000000ISe7B1,23.668,,Lg,150.0872081,2.9124698,2025-05-21 00:08:10.606000+00:00,60816.00567831006
,2025 KB47,000000ISe7B1,23.749,,Lg,150.0875318,2.9122336,2025-05-21 00:09:57.882000+00:00,60816.00691993069
,2025 KB47,000000ISe7B1,23.55,,Lg,150.0876517,2.9121529,2025-05-21 00:10:53.968000+00:00,60816.007569074165
,2025 KB47,000000ISe7B1,23.489,,Lg,150.0877818,2.9120424,2025-05-21 00:11:35.217000+00:00,60816.008046492934
,2025 KB47,000000ISe7B1,23.488,,Lg,150.0880119,2.911815,2025-05-21 00:13:07.337000+00:00,60816.00911269663
,2025 KB47,000000ISe7B1,23.676,,Lg,150.0881742,2.9117713,2025-05-21 00:13:58.390000+00:00,60816.00970358774
,2025 KB47,000000ISe7B1,23.629,,Lg,150.0882972,2.9116625,2025-05-21 00:14:49.442000+00:00,60816.01029446768
,2025 KB47,000000ISe7B1,23.775,,Lg,150.0885803,2.9114441,2025-05-21 00:16:16.404000+00:00,60816.0113009722
,2025 KB47,000000ISe7B1,23.925,,Lg,150.0886812,2.9113565,2025-05-21 00:16:57.245000+00:00,60816.01177366916
,2025 KB47,000000ISe7B1,23.594,,Lg,150.088816,2.9112382,2025-05-21 00:17:47.841000+00:00,60816.012359270826
,2025 KB47,000000ISe7B1,23.691,,Lg,150.0889817,2.9111482,2025-05-21 00:18:38.907000+00:00,60816.012950312346
,2025 KB47,000000ISe7B1,23.545,,Lg,150.0891194,2.9110738,2025-05-21 00:19:19.777000+00:00,60816.01342334505
,2025 KB47,000000ISe7B1,23.527,,Lg,150.0892212,2.9109563,2025-05-21 00:20:14.133000+00:00,60816.01405246509
,2025 KB47,000000ISe7B1,23.815,,Lg,150.0893802,2.9108935,2025-05-21 00:20:55.345000+00:00,60816.01452945592
,2025 KB47,000000ISe7B1,22.896,,Lr,150.1012365,2.90205,2025-05-21 01:31:24.889000+00:00,60816.06348251179
,2025 KB47,000000ISe7B1,23.26,,Lr,150.1013489,2.9019469,2025-05-21 01:32:05.928000+00:00,60816.063957499806
,2025 KB47,000000ISe7B1,22.996,,Lr,150.102509,2.9011591,2025-05-21 01:38:40.774000+00:00,60816.06852747686
,2025 KB47,000000ISe7B1,23.171,,Lr,150.1027147,2.9010017,2025-05-21 01:40:09.105000+00:00,60816.06954982644
,2025 KB47,000000ISe7B1,23.366,,Lr,150.1028672,2.9008362,2025-05-21 01:40:53.270000+00:00,60816.07006099541
,2025 KB47,000000ISe7B1,22.822,,Lr,150.1028947,2.9007035,2025-05-21 01:41:34.336000+00:00,60816.07053629635
,2025 KB47,000000ISe7B1,23.246,,Lr,150.1030913,2.9006857,2025-05-21 01:42:18.409000+00:00,60816.07104640035
,2025 KB47,000000ISe7B2,23.546,,Lg,150.8631854,2.3647881,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2025 KB47,000000ISe7B2,23.725,,Lg,150.8633269,2.3647129,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2025 KB47,000000ISe7B2,23.558,,Lg,150.8634415,2.3646162,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2025 KB47,000000ISe7B2,23.839,,Lg,150.8635768,2.364501,2025-05-24 00:41:18.062000+00:00,60819.02868127311
,2025 KB47,000000ISe7B2,23.731,,Lg,150.8637101,2.3644278,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2025 KB47,000000ISe7B2,23.667,,Lg,150.8640051,2.3642317,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2025 KB47,000000ISe7B2,23.613,,Lg,150.8641462,2.3641049,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2025 KB47,000000ISe7B2,23.77,,Lg,150.8642501,2.3640366,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2025 KB47,000000ISe7B2,23.6,,Lg,150.864419,2.3639311,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2025 KB47,000000ISe7B2,23.709,,Lg,150.8646591,2.3637562,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2025 KB47,000000ISe7B2,23.543,,Lg,150.8647976,2.3636755,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2025 KB47,000000ISe7B2,23.598,,Lg,150.8651895,2.36338,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2025 KB47,000000ISe7B2,23.875,,Lg,150.8654351,2.3631701,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2025 KB47,000000ISe7B2,23.871,,Lg,150.8656298,2.3630769,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2025 KB47,000000ISe7B2,23.796,,Lg,150.865738,2.3629804,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2025 KB47,000000ISe7B2,23.686,,Lg,150.8658899,2.3629129,2025-05-24 00:54:07.406000+00:00,60819.037585717626
