permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KT46,000000ISe6A1,24.08,,Lg,149.1772165,3.446164,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2025 KT46,000000ISe6A1,24.236,,Lg,149.1774263,3.4460628,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2025 KT46,000000ISe6A1,24.467,,Lg,149.1774751,3.4461691,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2025 KT46,000000ISe6A1,24.203,,Lg,149.1778539,3.4459549,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2025 KT46,000000ISe6A1,24.11,,Lg,149.1778796,3.4459988,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2025 KT46,000000ISe6A1,24.01,,Lg,149.1780305,3.4459712,2025-05-24 00:54:52.798000+00:00,60819.038111087866
,2025 KT46,000000ISe6A1,23.936,,Lg,149.1780352,3.4459395,2025-05-24 00:55:38.098000+00:00,60819.038635393605
,2025 KT46,000000ISe6A1,24.262,,Lg,149.178162,3.4459584,2025-05-24 00:57:08.616000+00:00,60819.0396830556
,2025 KT46,000000ISe6A1,23.976,,Lg,149.1781558,3.4459423,2025-05-24 00:57:54.272000+00:00,60819.04021148151
,2025 KT46,000000ISe6A1,23.949,,Lg,149.1782367,3.4459138,2025-05-24 00:59:24.965000+00:00,60819.04126116913
,2025 KT46,000000ISe6A1,23.661,,Lg,149.1783721,3.4458829,2025-05-24 01:02:01.624000+00:00,60819.043074351735
,2025 KT46,000000ISe6A1,23.609,,Lr,149.1786464,3.4458578,2025-05-24 01:06:51.951000+00:00,60819.04643461807
,2025 KT46,000000ISe6A1,23.701,,Lr,149.1786251,3.4458361,2025-05-24 01:07:37.062000+00:00,60819.04695673613
,2025 KT46,000000ISe6A1,23.663,,Lr,149.1787067,3.445833,2025-05-24 01:08:22.324000+00:00,60819.04748060182
,2025 KT46,000000ISe6A1,23.604,,Lr,149.1787839,3.4458256,2025-05-24 01:09:07.628000+00:00,60819.048004953656
,2025 KT46,000000ISe6A1,23.798,,Lr,149.1788143,3.445809,2025-05-24 01:09:52.932000+00:00,60819.048529305495
,2025 KT46,000000ISe6A1,23.915,,Lr,149.1788404,3.4457891,2025-05-24 01:10:38.393000+00:00,60819.049055474345
,2025 KT46,000000ISe6A1,23.565,,Lr,149.1789367,3.4457851,2025-05-24 01:11:23.583000+00:00,60819.049578506965
,2025 KT46,000000ISe6A1,23.476,,Lr,149.1789522,3.4458111,2025-05-24 01:12:09.154000+00:00,60819.05010594893
,2025 KT46,000000ISe6A1,23.565,,Lr,149.1789914,3.445791,2025-05-24 01:12:54.554000+00:00,60819.05063141184
,2025 KT46,000000ISe6A1,23.689,,Lr,149.1790429,3.4457804,2025-05-24 01:13:39.837000+00:00,60819.0511555206
,2025 KT46,000000ISe6A1,23.659,,Lr,149.1791264,3.4457306,2025-05-24 01:14:25.126000+00:00,60819.051679699216
,2025 KT46,000000ISe6A1,23.333,,Lr,149.1791045,3.4457485,2025-05-24 01:15:10.426000+00:00,60819.05220400449
,2025 KT46,000000ISe6A1,23.472,,Lr,149.1792159,3.4456955,2025-05-24 01:15:55.757000+00:00,60819.05272866879
,2025 KT46,000000ISe6A1,23.389,,Lr,149.1792133,3.4457312,2025-05-24 01:16:41.037000+00:00,60819.05325274309
,2025 KT46,000000ISe6A1,23.249,,Lr,149.1792591,3.4457197,2025-05-24 01:17:26.428000+00:00,60819.05377810169
,2025 KT46,000000ISe6A1,23.339,,Lr,149.1793529,3.4457132,2025-05-24 01:18:56.955000+00:00,60819.05482586799
,2025 KT46,000000ISe6A1,23.231,,Lr,149.1793885,3.445693,2025-05-24 01:19:41.878000+00:00,60819.05534581002
,2025 KT46,000000ISe6A1,23.507,,Lr,149.1794887,3.44569,2025-05-24 01:21:12.636000+00:00,60819.05639625015
,2025 KT46,000000ISe6A1,23.218,,Lr,149.1795085,3.4456729,2025-05-24 01:21:57.639000+00:00,60819.05691711791
,2025 KT46,000000ISe6A1,23.121,,Li,149.1797283,3.4456193,2025-05-24 01:26:15.976000+00:00,60819.0599071295
,2025 KT46,000000ISe6A1,23.237,,Li,149.1797836,3.4456046,2025-05-24 01:27:01.178000+00:00,60819.06043030089
,2025 KT46,000000ISe6A1,23.206,,Li,149.1798827,3.445579,2025-05-24 01:28:31.923000+00:00,60819.06148059014
,2025 KT46,000000ISe6A1,22.875,,Li,149.1799094,3.4456106,2025-05-24 01:29:17.234000+00:00,60819.062005023006
,2025 KT46,000000ISe6A1,23.129,,Li,149.1799796,3.4455945,2025-05-24 01:30:02.811000+00:00,60819.06253253482
,2025 KT46,000000ISe6A1,23.067,,Li,149.1800758,3.445586,2025-05-24 01:31:33.981000+00:00,60819.06358774286
,2025 KT46,000000ISe6A1,23.115,,Li,149.1800699,3.4455651,2025-05-24 01:32:19.553000+00:00,60819.06411519693
,2025 KT46,000000ISe6A1,23.169,,Li,149.1801302,3.4455238,2025-05-24 01:33:04.925000+00:00,60819.06464033574
,2025 KT46,000000ISe6A1,23.197,,Li,149.1802203,3.4455338,2025-05-24 01:33:50.420000+00:00,60819.06516689807
,2025 KT46,000000ISe6A1,23.029,,Li,149.1802353,3.4454996,2025-05-24 01:34:35.717000+00:00,60819.065691168886
,2025 KT46,000000ISe6A1,23.065,,Li,149.1802841,3.4455106,2025-05-24 01:35:21.112000+00:00,60819.06621657405
,2025 KT46,000000ISe6A1,22.905,,Li,149.1803302,3.4455217,2025-05-24 01:36:06.140000+00:00,60819.06673773145
,2025 KT46,000000ISe6A1,23.09,,Li,149.1803462,3.4454969,2025-05-24 01:36:51.342000+00:00,60819.06726090284
,2025 KT46,000000ISe6A1,23.109,,Li,149.1804047,3.4454978,2025-05-24 01:37:36.549000+00:00,60819.06778413197
,2025 KT46,000000ISe6A1,23.05,,Li,149.1804521,3.4455038,2025-05-24 01:38:21.962000+00:00,60819.068309745286
,2025 KT46,000000ISe6A2,22.996,,Li,149.2581831,3.4304494,2025-05-24 23:30:57.576000+00:00,60819.97983305575
,2025 KT46,000000ISe6A2,23.2,,Li,149.2582602,3.4304407,2025-05-24 23:31:42.675000+00:00,60819.98035503458
,2025 KT46,000000ISe6A2,22.979,,Li,149.2582525,3.430434,2025-05-24 23:32:27.875000+00:00,60819.98087818269
,2025 KT46,000000ISe6A2,22.893,,Li,149.2583517,3.4304103,2025-05-24 23:33:58.307000+00:00,60819.98192484956
,2025 KT46,000000ISe6A2,22.967,,Li,149.2584423,3.4304088,2025-05-24 23:35:28.921000+00:00,60819.982973622624
,2025 KT46,000000ISe6A2,23.001,,Li,149.2584805,3.4303887,2025-05-24 23:36:13.938000+00:00,60819.9834946529
,2025 KT46,000000ISe6A2,23.105,,Li,149.2588788,3.4303312,2025-05-24 23:42:57.101000+00:00,60819.98816089099
,2025 KT46,000000ISe6A2,23.248,,Li,149.2589184,3.4302881,2025-05-24 23:43:42.395000+00:00,60819.98868512735
,2025 KT46,000000ISe6A2,23.242,,Li,149.2589546,3.4302767,2025-05-24 23:44:27.891000+00:00,60819.98921170132
,2025 KT46,000000ISe6A2,23.251,,Li,149.2590157,3.4302776,2025-05-24 23:45:12.995000+00:00,60819.98973373836
,2025 KT46,000000ISe6A2,23.202,,Li,149.2590627,3.4302526,2025-05-24 23:45:58.219000+00:00,60819.99025716446
,2025 KT46,000000ISe6A2,23.272,,Li,149.2590696,3.4302665,2025-05-24 23:46:43.396000+00:00,60819.99078004621
,2025 KT46,000000ISe6A2,23.452,,Li,149.2591256,3.430232,2025-05-24 23:47:28.478000+00:00,60819.99130182853
,2025 KT46,000000ISe6A2,23.404,,Li,149.2592444,3.4302516,2025-05-24 23:48:59.153000+00:00,60819.992351308
,2025 KT46,000000ISe6A2,23.104,,Li,149.2592885,3.4302227,2025-05-24 23:49:43.966000+00:00,60819.99286997691
,2025 KT46,000000ISe6A2,23.169,,Li,149.2593131,3.4302343,2025-05-24 23:50:29.209000+00:00,60819.993393622804
,2025 KT46,000000ISe6A2,23.176,,Li,149.2593792,3.4301964,2025-05-24 23:51:14.231000+00:00,60819.99391471082
,2025 KT46,000000ISe6A2,23.03,,Li,149.259372,3.4301898,2025-05-24 23:51:59.054000+00:00,60819.994433495216
,2025 KT46,000000ISe6A2,23.13,,Li,149.259459,3.4301865,2025-05-24 23:52:44.145000+00:00,60819.994955381844
,2025 KT46,000000ISe6A2,23.312,,Li,149.2595149,3.4301775,2025-05-24 23:53:29.260000+00:00,60819.99547754647
,2025 KT46,000000ISe6A2,23.285,,Li,149.2595637,3.4301866,2025-05-24 23:54:14.383000+00:00,60819.9959998033
,2025 KT46,000000ISe6A2,23.034,,Li,149.2596183,3.4301699,2025-05-24 23:54:59.207000+00:00,60819.996518599335
,2025 KT46,000000ISe6A2,23.08,,Li,149.2596168,3.4301612,2025-05-24 23:55:44.399000+00:00,60819.99704165524
,2025 KT46,000000ISe6A2,23.18,,Li,149.259685,3.4301284,2025-05-24 23:56:29.207000+00:00,60819.997560266405
,2025 KT46,000000ISe6A2,22.633,,Lz,149.2601523,3.4300418,2025-05-25 00:04:13.806000+00:00,60820.00293756928
,2025 KT46,000000ISe6A2,22.491,,Lz,149.2602732,3.4300677,2025-05-25 00:07:14.448000+00:00,60820.005028333515
,2025 KT46,000000ISe6A2,23.432,,Lr,149.261811,3.4297312,2025-05-25 00:32:55.133000+00:00,60820.02286033565
,2025 KT46,000000ISe6A2,23.033,,Lr,149.2618219,3.4296976,2025-05-25 00:33:40.437000+00:00,60820.02338468749
,2025 KT46,000000ISe6A2,22.978,,Lr,149.2619289,3.4297237,2025-05-25 00:35:10.534000+00:00,60820.024427476805
