permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2015 BO641,000000IU0HF1,24.527,0.181,Lg,150.8725622,2.8977858,2026-01-17 07:17:47.816000+00:00,61057.30402564816
,2015 BO641,000000IU0HF2,23.196,0.167,Lz,150.8569213,2.9032586,2026-01-18 07:26:21.464000+00:00,61058.30997064803
,2015 BO641,000000IU0HF3,24.351,0.197,Lg,150.8415036,2.9087007,2026-01-19 07:01:28.533000+00:00,61059.292691354174
,2015 BO641,000000IU0HF3,24.276,0.183,Lg,150.8414735,2.9087383,2026-01-19 07:03:07.755000+00:00,61059.293839756865
,2015 BO641,000000IU0HF3,24.177,0.185,Lg,150.8414568,2.9086959,2026-01-19 07:03:42.142000+00:00,61059.29423775477
,2015 BO641,000000IU0HF3,23.333,0.191,Li,150.8414351,2.90876,2026-01-19 07:08:35.876000+00:00,61059.29763745377
,2015 BO641,000000IU0HF4,23.826,0.132,Lr,150.8255925,2.9144357,2026-01-20 06:59:42.667000+00:00,61060.29146605311
,2015 BO641,000000IU0HF4,23.716,0.115,Lr,150.8255292,2.9144429,2026-01-20 07:02:02.315000+00:00,61060.29308234947
,2015 BO641,000000IU0HF4,24.018,0.151,Lr,150.8255525,2.9144782,2026-01-20 07:03:50.704000+00:00,61060.294336851686
,2015 BO641,000000IU0HF4,23.349,0.199,Lz,150.8254334,2.9144338,2026-01-20 07:11:22.758000+00:00,61060.299568958115
,2015 BO641,000000IU0HF5,23.233,0.196,Lz,150.3263648,3.1184911,2026-02-17 05:08:35.594000+00:00,61088.21430085646
,2015 BO641,000000IU0HF5,23.139,0.195,Lz,150.326265,3.1185823,2026-02-17 05:12:25.824000+00:00,61088.21696555568
,2015 BO641,000000IU0HF6,23.356,0.167,Li,150.289305,3.135491,2026-02-19 04:19:26.649000+00:00,61090.18016954884
,2015 BO641,000000IU0HF6,23.644,0.201,Li,150.2893369,3.1354997,2026-02-19 04:20:07.067000+00:00,61090.180637349375
,2015 BO641,000000IU0HF6,23.554,0.191,Li,150.2892964,3.1355199,2026-02-19 04:20:47.243000+00:00,61090.18110234942
,2015 BO641,000000IU0HF6,23.505,0.166,Li,150.2892679,3.1355401,2026-02-19 04:24:48.939000+00:00,61090.18389975699
,2015 BO641,000000IU0HF6,24.284,0.21,Lg,150.2891719,3.1355664,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2015 BO641,000000IU0HF6,24.021,0.166,Lg,150.2890489,3.1356178,2026-02-19 04:37:05.533000+00:00,61090.192425150424
,2015 BO641,000000IU0HF6,23.536,0.151,Lr,150.2888651,3.1357349,2026-02-19 04:59:38.825000+00:00,61090.20808825223
,2015 BO641,000000IU0HF6,23.407,0.121,Lr,150.2887965,3.1357142,2026-02-19 05:01:39.327000+00:00,61090.209482951555
,2015 BO641,000000IU0HF6,23.672,0.139,Lr,150.2887601,3.1357411,2026-02-19 05:02:19.719000+00:00,61090.20995045127
,2015 BO641,000000IU0HF6,23.611,0.123,Lr,150.2887674,3.1357799,2026-02-19 05:03:40.028000+00:00,61090.21087995358
,2015 BO641,000000IU0HF6,23.53,0.192,Li,150.288629,3.1358217,2026-02-19 05:11:53.096000+00:00,61090.216586759314
,2015 BO641,000000IU0HF6,23.26,0.159,Li,150.2886457,3.1358806,2026-02-19 05:13:53.580000+00:00,61090.217981250025
,2015 BO641,000000IU0HF6,23.978,0.2,Lg,150.2885346,3.135911,2026-02-19 05:21:55.908000+00:00,61090.22356374981
,2015 BO641,000000IU0HF6,23.9,0.167,Lg,150.2884924,3.1358162,2026-02-19 05:22:36.568000+00:00,61090.22403435176
,2015 BO641,000000IU0HF6,22.942,0.189,Lz,150.2882443,3.1359857,2026-02-19 05:39:20.778000+00:00,61090.23565715272
,2015 BO641,000000IU0HF6,23.612,0.153,Lr,150.2882151,3.1359528,2026-02-19 05:44:01.310000+00:00,61090.23890405102
