permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2016 AG401,000000IU0H51,23.312,0.075,Lr,151.3570275,3.2619503,2025-12-19 07:56:52.877000+00:00,61028.33116755774
,2016 AG401,000000IU0H51,23.448,0.089,Lr,151.3570478,3.2619694,2025-12-19 07:57:35.774000+00:00,61028.33166405093
,2016 AG401,000000IU0H52,23.151,0.164,Li,151.3489702,3.263185,2025-12-20 07:59:35.136000+00:00,61029.333045555744
,2016 AG401,000000IU0H53,23.717,0.183,Lg,151.3229223,3.2681117,2025-12-23 07:53:07.960000+00:00,61032.32856435189
,2016 AG401,000000IU0H54,22.633,0.131,Li,151.1157716,3.3239543,2026-01-09 07:38:56.825000+00:00,61049.31871325243
,2016 AG401,000000IU0H55,23.327,0.186,Lr,151.1030115,3.3280255,2026-01-10 04:04:37.196000+00:00,61050.16987495357
,2016 AG401,000000IU0H55,23.592,0.194,Lr,151.1030016,3.3279537,2026-01-10 04:05:46.204000+00:00,61050.17067365721
,2016 AG401,000000IU0H56,23.776,0.154,Lg,151.0874777,3.3329438,2026-01-11 04:30:36.638000+00:00,61051.187924050726
,2016 AG401,000000IU0H56,23.845,0.167,Lg,151.0874356,3.3329847,2026-01-11 04:31:10.827000+00:00,61051.188319757115
,2016 AG401,000000IU0H56,23.856,0.163,Lg,151.087436,3.332937,2026-01-11 04:33:00.909000+00:00,61051.18959385436
,2016 AG401,000000IU0H56,23.153,0.147,Li,151.0874631,3.3329778,2026-01-11 04:35:43.557000+00:00,61051.191476354375
,2016 AG401,000000IU0H56,23.265,0.163,Li,151.0874108,3.3329658,2026-01-11 04:37:26.969000+00:00,61051.19267325243
,2016 AG401,000000IU0H57,23.806,0.177,Lg,151.0551751,3.343496,2026-01-13 05:58:43.938000+00:00,61053.2491196529
,2016 AG401,000000IU0H57,22.871,0.128,Li,151.0551245,3.3434954,2026-01-13 06:02:46.022000+00:00,61053.25192155084
,2016 AG401,000000IU0H57,23.171,0.168,Li,151.0551097,3.3434783,2026-01-13 06:03:20.418000+00:00,61053.25231965259
,2016 AG401,000000IU0H57,23.106,0.155,Li,151.0550787,3.3434063,2026-01-13 06:05:43.920000+00:00,61053.25398055557
,2016 AG401,000000IU0H58,23.95,0.131,Lg,150.9883443,3.3659436,2026-01-17 07:14:55.068000+00:00,61057.302026249934
,2016 AG401,000000IU0H58,24.044,0.142,Lg,150.9883687,3.3659585,2026-01-17 07:15:29.957000+00:00,61057.3024300579
,2016 AG401,000000IU0H58,22.981,0.109,Li,150.9882296,3.3659889,2026-01-17 07:22:51.003000+00:00,61057.30753475707
,2016 AG401,000000IU0H58,23.07,0.12,Li,150.9882384,3.3659845,2026-01-17 07:23:25.537000+00:00,61057.30793445604
,2016 AG401,000000IU0H59,23.08,0.193,Lz,150.9710946,3.3720711,2026-01-18 07:24:06.153000+00:00,61058.30840454856
