permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 YC23,000000IU0O21,22.859,0.117,Li,150.4306505,2.1440339,2025-12-17 05:07:03.077000+00:00,61026.213230058085
,2025 YC23,000000IU0O22,23.097,0.062,Lr,150.415111,2.1442125,2025-12-19 07:47:27.717000+00:00,61028.324626354035
,2025 YC23,000000IU0O23,22.899,0.11,Li,150.4070813,2.1445847,2025-12-20 07:59:35.136000+00:00,61029.333045555744
,2025 YC23,000000IU0O24,23.407,0.082,Lg,150.3811306,2.1466057,2025-12-23 07:52:25.080000+00:00,61032.32806805568
,2025 YC23,000000IU0O25,23.393,0.111,Lg,150.372287,2.1476204,2025-12-24 06:39:31.296000+00:00,61033.277445555665
,2025 YC23,000000IU0O26,23.361,0.192,Lg,150.1766614,2.1869002,2026-01-09 07:36:03.109000+00:00,61049.316702650394
,2025 YC23,000000IU0O26,22.532,0.108,Li,150.1765682,2.1868919,2026-01-09 07:40:05.453000+00:00,61049.3195075579
,2025 YC23,000000IU0O26,22.444,0.109,Li,150.1765837,2.1869312,2026-01-09 07:40:39.684000+00:00,61049.31990374997
,2025 YC23,000000IU0O27,22.979,0.117,Lr,150.1641044,2.1901831,2026-01-10 04:03:28.819000+00:00,61050.16908355337
,2025 YC23,000000IU0O27,22.882,0.1,Lr,150.1640867,2.1901424,2026-01-10 04:04:02.956000+00:00,61050.16947865719
,2025 YC23,000000IU0O27,22.899,0.098,Lr,150.1640422,2.1901118,2026-01-10 04:06:26.743000+00:00,61050.17114285892
,2025 YC23,000000IU0O27,22.392,0.186,Lz,150.1639207,2.1901728,2026-01-10 04:10:21.673000+00:00,61050.173861956224
,2025 YC23,000000IU0O28,23.575,0.111,Lg,150.116995,2.2028774,2026-01-13 05:59:58.683000+00:00,61053.24998475704
,2025 YC23,000000IU0O28,23.023,0.142,Li,150.1169477,2.2028835,2026-01-13 06:02:46.022000+00:00,61053.25192155084
,2025 YC23,000000IU0O28,23.013,0.144,Li,150.1169622,2.202885,2026-01-13 06:03:20.418000+00:00,61053.25231965259
,2025 YC23,000000IU0O29,23.338,0.064,Lg,150.0514415,2.2218764,2026-01-17 07:14:55.068000+00:00,61057.302026249934
,2025 YC23,000000IU0O29,23.352,0.06,Lg,150.0514202,2.2218792,2026-01-17 07:17:47.816000+00:00,61057.30402564816
,2025 YC23,000000IU0O29,22.662,0.074,Li,150.0513533,2.2219139,2026-01-17 07:22:51.003000+00:00,61057.30753475707
,2025 YC23,000000IU0O29,22.601,0.073,Li,150.0513194,2.2219258,2026-01-17 07:25:42.861000+00:00,61057.30952385394
,2025 YC23,000000IU0O2A,22.509,0.091,Lz,150.0345774,2.2269533,2026-01-18 07:24:40.463000+00:00,61058.30880165519
,2025 YC23,000000IU0O2A,22.523,0.098,Lz,150.0345561,2.2269857,2026-01-18 07:26:55.852000+00:00,61058.31036865758
,2025 YC23,000000IU0O2B,23.376,0.087,Lg,150.017822,2.2321162,2026-01-19 07:03:42.142000+00:00,61059.29423775477
,2025 YC23,000000IU0O2B,23.038,0.148,Li,150.0177594,2.232108,2026-01-19 07:08:35.876000+00:00,61059.29763745377
,2025 YC23,000000IU0O2C,23.043,0.066,Lr,150.0006586,2.2374475,2026-01-20 06:59:42.667000+00:00,61060.29146605311
,2025 YC23,000000IU0O2C,22.81,0.119,Lz,150.0005295,2.2374963,2026-01-20 07:11:22.758000+00:00,61060.299568958115
,2025 YC23,000000IU0O2D,22.875,0.058,Lr,149.4640165,2.4367918,2026-02-17 05:04:38.020000+00:00,61088.21155115729
,2025 YC23,000000IU0O2D,22.565,0.113,Lz,149.463932,2.4367897,2026-02-17 05:08:01.224000+00:00,61088.213903055526
,2025 YC23,000000IU0O2E,22.567,0.076,Li,149.4243252,2.4537604,2026-02-19 04:20:07.067000+00:00,61090.180637349375
,2025 YC23,000000IU0O2E,22.664,0.087,Li,149.4243139,2.4537456,2026-02-19 04:20:47.243000+00:00,61090.18110234942
,2025 YC23,000000IU0O2E,22.437,0.063,Li,149.4243181,2.4537574,2026-02-19 04:21:27.532000+00:00,61090.181568657514
,2025 YC23,000000IU0O2E,22.432,0.065,Li,149.4242936,2.4537901,2026-02-19 04:23:28.336000+00:00,61090.18296685163
,2025 YC23,000000IU0O2E,22.555,0.069,Li,149.4242373,2.4537752,2026-02-19 04:25:29.141000+00:00,61090.18436505785
,2025 YC23,000000IU0O2E,22.45,0.061,Li,149.4242375,2.4538024,2026-02-19 04:26:49.864000+00:00,61090.18529935181
,2025 YC23,000000IU0O2E,23.284,0.073,Lg,149.4241768,2.4538168,2026-02-19 04:30:50.428000+00:00,61090.18808365753
