permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 BV14,000000IU0HA1,23.653,0.187,Lr,151.4509491,0.8069851,2026-01-28 06:45:35.714000+00:00,61068.28166335635
,2026 BV14,000000IU0HA1,23.729,0.186,Lr,151.4509618,0.806993,2026-01-28 06:47:40.648000+00:00,61068.28310935199
,2026 BV14,000000IU0HA1,23.287,0.144,Li,151.4504395,0.807051,2026-01-28 07:28:45.752000+00:00,61068.31164064817
,2026 BV14,000000IU0HA2,23.361,0.191,Li,151.0321158,0.9242049,2026-02-19 02:34:34.639000+00:00,61090.107345358934
,2026 BV14,000000IU0HA2,23.975,0.193,Lr,151.0300908,0.9249124,2026-02-19 05:03:00.016000+00:00,61090.21041685203
,2026 BV14,000000IU0HA2,23.536,0.203,Li,151.030007,0.9248708,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2026 BV14,000000IU0HA2,23.306,0.194,Li,151.0299462,0.924936,2026-02-19 05:15:14.192000+00:00,61090.218914259225
,2026 BV14,000000IU0HA3,22.971,0.088,Li,151.0113204,0.9310698,2026-02-20 03:53:33.169000+00:00,61091.16218945617
,2026 BV14,000000IU0HA3,23.09,0.105,Li,151.0113004,0.9310974,2026-02-20 03:55:33.844000+00:00,61091.163586157374
,2026 BV14,000000IU0HA3,22.883,0.082,Li,151.0112743,0.9310884,2026-02-20 03:59:00.219000+00:00,61091.16597475717
,2026 BV14,000000IU0HA3,22.948,0.09,Li,151.0112648,0.9311018,2026-02-20 04:00:20.778000+00:00,61091.16690715263
,2026 BV14,000000IU0HA3,24.379,0.206,Lg,151.0111661,0.9310771,2026-02-20 04:07:12.206000+00:00,61091.17166905105
,2026 BV14,000000IU0HA3,24.175,0.158,Lg,151.0111059,0.9311618,2026-02-20 04:13:20.927000+00:00,61091.17593665514
,2026 BV14,000000IU0HA3,24.123,0.151,Lg,151.0110121,0.9311347,2026-02-20 04:14:41.296000+00:00,61091.17686685175
,2026 BV14,000000IU0HA3,23.141,0.188,Lz,151.0109424,0.9311966,2026-02-20 04:20:49.663000+00:00,61091.18113035895
,2026 BV14,000000IU0HA3,22.562,0.113,Lz,151.0109369,0.9312248,2026-02-20 04:21:26.979000+00:00,61091.181562257
,2026 BV14,000000IU0HA3,22.964,0.183,Lz,151.0109689,0.9312078,2026-02-20 04:22:07.008000+00:00,61091.18202555552
,2026 BV14,000000IU0HA3,22.738,0.13,Lz,151.0108768,0.931186,2026-02-20 04:23:28.207000+00:00,61091.18296535872
,2026 BV14,000000IU0HA3,23.681,0.111,Lr,151.0107602,0.9312589,2026-02-20 04:35:06.664000+00:00,61091.19104935182
,2026 BV14,000000IU0HA3,23.388,0.083,Lr,151.010746,0.931262,2026-02-20 04:35:46.909000+00:00,61091.19151515048
,2026 BV14,000000IU0HA3,23.309,0.095,Lr,151.0107382,0.9312744,2026-02-20 04:36:27.206000+00:00,61091.19198155077
,2026 BV14,000000IU0HA3,23.539,0.098,Lr,151.0106987,0.9312597,2026-02-20 04:38:27.890000+00:00,61091.193378356285
,2026 BV14,000000IU0HA3,22.992,0.1,Li,151.0105745,0.931334,2026-02-20 04:48:30.253000+00:00,61091.200350150466
,2026 BV14,000000IU0HA3,23.977,0.17,Lg,151.0104993,0.9313863,2026-02-20 04:55:10.138000+00:00,61091.20497844927
,2026 BV14,000000IU0HA3,22.544,0.138,Lz,151.01024,0.9314448,2026-02-20 05:14:49.498000+00:00,61091.2186284489
,2026 BV14,000000IU0HA3,23.252,0.12,Lr,151.0101428,0.9315019,2026-02-20 05:20:11.287000+00:00,61091.22235285863
,2026 BV14,000000IU0HA3,23.239,0.14,Lr,151.0100916,0.9315098,2026-02-20 05:23:42.828000+00:00,61091.2248012498
,2026 BV14,000000IU0HA4,23.001,0.107,Li,150.9531427,0.9507271,2026-02-23 02:53:29.036000+00:00,61094.12047495367
,2026 BV14,000000IU0HA4,22.893,0.102,Li,150.9531768,0.9506983,2026-02-23 02:54:09.100000+00:00,61094.12093865732
,2026 BV14,000000IU0HA4,22.818,0.096,Li,150.9531526,0.9507179,2026-02-23 02:54:49.353000+00:00,61094.12140454864
,2026 BV14,000000IU0HA4,23.044,0.11,Li,150.9530302,0.9507209,2026-02-23 03:00:11.660000+00:00,61094.12513495376
,2026 BV14,000000IU0HA4,23.064,0.109,Li,150.9530133,0.9507662,2026-02-23 03:02:12.793000+00:00,61094.12653695606
,2026 BV14,000000IU0HA4,24.37,0.205,Lg,150.9528182,0.9507787,2026-02-23 03:19:00.148000+00:00,61094.13819615729
,2026 BV14,000000IU0HA4,24.387,0.175,Lg,150.9527631,0.9507865,2026-02-23 03:20:26.729000+00:00,61094.139198252466
,2026 BV14,000000IU0HA4,24.132,0.134,Lg,150.9527348,0.9508541,2026-02-23 03:21:47.824000+00:00,61094.14013685193
,2026 BV14,000000IU0HA4,24.272,0.186,Lg,150.9521863,0.9510222,2026-02-23 04:01:13.059000+00:00,61094.16751225712
,2026 BV14,000000IU0HA4,24.003,0.171,Lg,150.9522349,0.9510376,2026-02-23 04:01:53.122000+00:00,61094.16797594912
,2026 BV14,000000IU0HA4,24.355,0.184,Lg,150.9521061,0.9510714,2026-02-23 04:06:41.215000+00:00,61094.17131035868
,2026 BV14,000000IU0HA4,24.309,0.165,Lg,150.9521015,0.9510458,2026-02-23 04:08:04.521000+00:00,61094.17227454856
,2026 BV14,000000IU0HA4,24.294,0.173,Lg,150.9520766,0.9510725,2026-02-23 04:10:32.110000+00:00,61094.173982754815
,2026 BV14,000000IU0HA4,22.613,0.118,Lz,150.9519751,0.9511201,2026-02-23 04:19:31.064000+00:00,61094.18022064818
,2026 BV14,000000IU0HA4,22.79,0.138,Lz,150.951917,0.9511116,2026-02-23 04:20:54.924000+00:00,61094.181191250216
,2026 BV14,000000IU0HA4,22.732,0.125,Lz,150.9519015,0.9511388,2026-02-23 04:23:07.134000+00:00,61094.182721458375
,2026 BV14,000000IU0HA4,23.228,0.084,Lr,150.9518614,0.9511654,2026-02-23 04:26:28.601000+00:00,61094.18505325215
,2026 BV14,000000IU0HA4,23.334,0.096,Lr,150.9518301,0.95117,2026-02-23 04:29:11.474000+00:00,61094.18693835661
,2026 BV14,000000IU0HA4,23.485,0.1,Lr,150.9517728,0.9511814,2026-02-23 04:31:13.462000+00:00,61094.18835025467
,2026 BV14,000000IU0HA4,23.382,0.104,Lr,150.9517351,0.9511511,2026-02-23 04:36:12.501000+00:00,61094.191811354365
,2026 BV14,000000IU0HA5,23.499,0.197,Li,150.9339312,0.9573228,2026-02-24 02:21:09.866000+00:00,61095.098030856345
,2026 BV14,000000IU0HA5,23.469,0.173,Li,150.9338687,0.9573567,2026-02-24 02:25:53.068000+00:00,61095.10130865732
,2026 BV14,000000IU0HA5,24.233,0.194,Lr,150.9334899,0.9574453,2026-02-24 02:59:04.631000+00:00,61095.124359155074
,2026 BV14,000000IU0HA5,24.157,0.193,Lr,150.9333825,0.9575656,2026-02-24 03:06:03.343000+00:00,61095.12920535868
,2026 BV14,000000IU0HA5,23.439,0.143,Li,150.9333073,0.9575409,2026-02-24 03:10:00.018000+00:00,61095.13194465265
,2026 BV14,000000IU0HA5,23.648,0.169,Li,150.9332768,0.9576012,2026-02-24 03:10:40.462000+00:00,61095.132412754465
