permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DR64,000000IU0O71,22.496,0.103,Lz,150.5063568,3.8032274,2026-02-17 05:08:35.594000+00:00,61088.21430085646
,2026 DR64,000000IU0O72,22.633,0.074,Li,150.457788,3.816414,2026-02-19 04:25:29.141000+00:00,61090.18436505785
,2026 DR64,000000IU0O72,22.603,0.076,Li,150.457774,3.8164416,2026-02-19 04:26:49.864000+00:00,61090.18529935181
,2026 DR64,000000IU0O72,23.671,0.141,Lg,150.4577226,3.8164191,2026-02-19 04:30:50.428000+00:00,61090.18808365753
,2026 DR64,000000IU0O72,23.409,0.1,Lg,150.4576942,3.8163861,2026-02-19 04:31:44.402000+00:00,61090.18870835658
,2026 DR64,000000IU0O72,23.389,0.103,Lg,150.4576431,3.8164637,2026-02-19 04:32:24.802000+00:00,61090.189175948966
,2026 DR64,000000IU0O72,23.459,0.099,Lg,150.4576371,3.8164307,2026-02-19 04:33:04.728000+00:00,61090.189638055395
,2026 DR64,000000IU0O72,23.628,0.126,Lg,150.4575981,3.8164676,2026-02-19 04:36:25.228000+00:00,61090.191958657466
,2026 DR64,000000IU0O72,23.266,0.085,Lg,150.4576166,3.8164746,2026-02-19 04:37:05.533000+00:00,61090.192425150424
,2026 DR64,000000IU0O72,23.266,0.089,Lg,150.4575886,3.8164755,2026-02-19 04:38:26.231000+00:00,61090.19335915521
,2026 DR64,000000IU0O72,23.645,0.108,Lg,150.4575389,3.8164965,2026-02-19 04:40:27.053000+00:00,61090.19475755794
,2026 DR64,000000IU0O72,22.309,0.141,Lz,150.4572945,3.8165906,2026-02-19 04:50:48.364000+00:00,61090.20194865763
,2026 DR64,000000IU0O72,23.066,0.114,Lr,150.4572491,3.8165242,2026-02-19 04:56:17.729000+00:00,61090.20576075232
,2026 DR64,000000IU0O72,22.789,0.092,Lr,150.4572576,3.8165519,2026-02-19 04:57:38.176000+00:00,61090.20669185184
,2026 DR64,000000IU0O72,22.896,0.095,Lr,150.4571821,3.8165877,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DR64,000000IU0O72,23.088,0.096,Lr,150.4571269,3.8165728,2026-02-19 05:01:39.327000+00:00,61090.209482951555
,2026 DR64,000000IU0O72,22.905,0.071,Lr,150.4571399,3.8166124,2026-02-19 05:02:19.719000+00:00,61090.20995045127
,2026 DR64,000000IU0O72,22.738,0.103,Li,150.4569858,3.8166248,2026-02-19 05:11:12.790000+00:00,61090.216120254714
,2026 DR64,000000IU0O72,22.722,0.106,Li,150.4569181,3.8166656,2026-02-19 05:13:53.580000+00:00,61090.217981250025
,2026 DR64,000000IU0O72,22.73,0.105,Li,150.456921,3.8166557,2026-02-19 05:14:33.998000+00:00,61090.218449051026
,2026 DR64,000000IU0O72,22.684,0.118,Li,150.4569057,3.8166989,2026-02-19 05:15:14.192000+00:00,61090.218914259225
,2026 DR64,000000IU0O72,22.782,0.131,Li,150.4568796,3.8166587,2026-02-19 05:17:15.177000+00:00,61090.22031454882
,2026 DR64,000000IU0O72,23.508,0.117,Lg,150.4567843,3.8166563,2026-02-19 05:23:16.822000+00:00,61090.22450025473
,2026 DR64,000000IU0O72,23.654,0.146,Lg,150.4567584,3.8166564,2026-02-19 05:23:57.223000+00:00,61090.224967858754
,2026 DR64,000000IU0O72,23.556,0.127,Lg,150.4567455,3.8167121,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DR64,000000IU0O72,23.431,0.109,Lg,150.4566959,3.816664,2026-02-19 05:27:18.474000+00:00,61090.22729715286
,2026 DR64,000000IU0O72,22.344,0.185,Lz,150.4566117,3.8167801,2026-02-19 05:33:17.881000+00:00,61090.231456955895
