permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DZ64,000000IU0O31,23.202,0.18,Li,151.8752283,2.0512201,2026-01-11 04:35:43.557000+00:00,61051.191476354375
,2026 DZ64,000000IU0O31,23.061,0.167,Li,151.8751665,2.0512184,2026-01-11 04:36:17.953000+00:00,61051.191874456126
,2026 DZ64,000000IU0O31,22.951,0.146,Li,151.8752074,2.0512007,2026-01-11 04:36:52.400000+00:00,61051.192273148336
,2026 DZ64,000000IU0O31,22.968,0.147,Li,151.8752055,2.0512131,2026-01-11 04:37:26.969000+00:00,61051.19267325243
,2026 DZ64,000000IU0O31,22.874,0.141,Li,151.8751751,2.0511846,2026-01-11 04:38:01.417000+00:00,61051.193071955815
,2026 DZ64,000000IU0O32,23.702,0.174,Lg,151.8400875,2.0555619,2026-01-13 05:58:43.938000+00:00,61053.2491196529
,2026 DZ64,000000IU0O32,23.694,0.138,Lg,151.8401074,2.0555448,2026-01-13 05:59:18.135000+00:00,61053.24951545149
,2026 DZ64,000000IU0O32,24.049,0.186,Lg,151.8400182,2.0555657,2026-01-13 05:59:58.683000+00:00,61053.24998475704
,2026 DZ64,000000IU0O32,23.055,0.154,Li,151.8399544,2.0556075,2026-01-13 06:02:46.022000+00:00,61053.25192155084
,2026 DZ64,000000IU0O32,23.227,0.186,Li,151.8399955,2.0555938,2026-01-13 06:03:20.418000+00:00,61053.25231965259
,2026 DZ64,000000IU0O32,23.042,0.137,Li,151.8400423,2.0556002,2026-01-13 06:04:28.795000+00:00,61053.25311105326
,2026 DZ64,000000IU0O32,23.065,0.153,Li,151.8400163,2.0556073,2026-01-13 06:05:03.346000+00:00,61053.2535109492
,2026 DZ64,000000IU0O32,23.096,0.159,Li,151.8399829,2.0556021,2026-01-13 06:05:43.920000+00:00,61053.25398055557
,2026 DZ64,000000IU0O33,23.734,0.108,Lg,151.7670847,2.0665162,2026-01-17 07:14:55.068000+00:00,61057.302026249934
,2026 DZ64,000000IU0O33,23.688,0.104,Lg,151.7670409,2.0665801,2026-01-17 07:15:29.957000+00:00,61057.3024300579
,2026 DZ64,000000IU0O33,23.671,0.099,Lg,151.7669941,2.0665585,2026-01-17 07:17:13.231000+00:00,61057.303625358734
,2026 DZ64,000000IU0O33,24.125,0.135,Lg,151.7669763,2.0665594,2026-01-17 07:19:31.445000+00:00,61057.30522505799
,2026 DZ64,000000IU0O33,23.706,0.099,Lg,151.7669643,2.0665391,2026-01-17 07:20:11.724000+00:00,61057.305691250134
,2026 DZ64,000000IU0O33,22.841,0.11,Li,151.7668712,2.0665342,2026-01-17 07:27:55.831000+00:00,61057.311062858906
,2026 DZ64,000000IU0O34,23.319,0.082,Lr,151.7482943,2.0696706,2026-01-18 07:12:20.576000+00:00,61058.30023814831
,2026 DZ64,000000IU0O35,23.411,0.097,Lr,151.7101191,2.076487,2026-01-20 06:59:42.667000+00:00,61060.29146605311
,2026 DZ64,000000IU0O35,23.066,0.14,Lz,151.7100134,2.0765374,2026-01-20 07:07:07.713000+00:00,61060.29661704879
,2026 DZ64,000000IU0O35,22.834,0.127,Lz,151.710006,2.0764854,2026-01-20 07:09:12.674000+00:00,61060.29806335643
,2026 DZ64,000000IU0O35,23.163,0.172,Lz,151.7099983,2.0764744,2026-01-20 07:09:47.130000+00:00,61060.29846215295
,2026 DZ64,000000IU0O36,22.626,0.11,Lz,151.0970567,2.2345318,2026-02-17 05:08:35.594000+00:00,61088.21430085646
,2026 DZ64,000000IU0O37,22.851,0.111,Li,151.0529537,2.2486404,2026-02-19 02:34:34.639000+00:00,61090.107345358934
