permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
133027,2002 XJ4,000000IZ5tR1,18.419,0.0117,Li,222.6604991,-37.1335485,2025-07-09 23:06:50.240000+00:00,60865.9630814814
133027,2002 XJ4,000000IZ5tR1,18.428,0.0122,Li,222.6605253,-37.1336168,2025-07-09 23:07:29.853000+00:00,60865.96353996545
133027,2002 XJ4,000000IZ5tR1,18.666,0.0226,Ly,222.6616297,-37.1366079,2025-07-09 23:35:54.660000+00:00,60865.98327152757
133027,2002 XJ4,000000IZ5tR1,18.623,0.0218,Ly,222.6618888,-37.1372977,2025-07-09 23:42:30.749000+00:00,60865.98785589123
133027,2002 XJ4,000000IZ5tR1,18.558,0.0128,Lz,222.6621059,-37.1378965,2025-07-09 23:48:04.809000+00:00,60865.99172232626
133027,2002 XJ4,000000IZ5tR1,18.572,0.0123,Lz,222.662128,-37.1379619,2025-07-09 23:48:44.120000+00:00,60865.99217731459
133027,2002 XJ4,000000IZ5tR2,18.816,0.0578,Lr,223.4392595,-38.0206432,2025-07-16 00:03:33.147000+00:00,60872.00246697897
133027,2002 XJ4,000000IZ5tR2,18.786,0.0301,Lr,223.4394369,-38.0208099,2025-07-16 00:05:07.146000+00:00,60872.003554930445
133027,2002 XJ4,000000IZ5tR2,18.819,0.0197,Lr,223.4395143,-38.02088,2025-07-16 00:05:46.661000+00:00,60872.004012280144
133027,2002 XJ4,000000IZ5tR2,18.818,0.0112,Lr,223.4397261,-38.0210857,2025-07-16 00:07:50.498000+00:00,60872.0054455786
133027,2002 XJ4,000000IZ5tR2,18.814,0.0118,Lr,223.4397992,-38.02115,2025-07-16 00:08:29.913000+00:00,60872.005901770666
133027,2002 XJ4,000000IZ5tR2,18.846,0.0393,Lr,223.4400019,-38.0213585,2025-07-16 00:10:35.572000+00:00,60872.00735615753
133027,2002 XJ4,000000IZ5tR2,18.838,0.0331,Lr,223.4400906,-38.0214343,2025-07-16 00:11:15.270000+00:00,60872.00781562505
133027,2002 XJ4,000000IZ5tR2,18.859,0.0119,Lr,223.4403195,-38.0216452,2025-07-16 00:13:21.939000+00:00,60872.00928170141
133027,2002 XJ4,000000IZ5tR2,18.835,0.0116,Lr,223.440391,-38.0217079,2025-07-16 00:14:01.557000+00:00,60872.0097402432
133027,2002 XJ4,000000IZ5tR3,18.813,0.0107,Lr,223.6202194,-38.1615311,2025-07-16 23:23:57.335000+00:00,60872.974969155155
133027,2002 XJ4,000000IZ5tR3,18.818,0.0106,Lr,223.6203722,-38.1616633,2025-07-16 23:25:17.092000+00:00,60872.97589226859
133027,2002 XJ4,000000IZ5tR3,18.792,0.0106,Lr,223.6204555,-38.1617332,2025-07-16 23:25:56.841000+00:00,60872.97635232657
133027,2002 XJ4,000000IZ5tR3,18.802,0.0106,Lr,223.6206891,-38.1619387,2025-07-16 23:27:59.550000+00:00,60872.977772569284
133027,2002 XJ4,000000IZ5tR3,18.825,0.0036,Lr,223.621028,-38.1622122,2025-07-16 23:30:41.752000+00:00,60872.979649907444
133027,2002 XJ4,000000IZ5tR3,18.806,0.0107,Lr,223.6213233,-38.1624867,2025-07-16 23:33:21.533000+00:00,60872.981499224436
133027,2002 XJ4,000000IZ5tR3,18.812,0.0106,Lr,223.6214106,-38.1625532,2025-07-16 23:34:00.593000+00:00,60872.98195130797
133027,2002 XJ4,000000IZ5tR3,18.82,0.0106,Lr,223.6220585,-38.1631149,2025-07-16 23:39:36.185000+00:00,60872.98583547445
133027,2002 XJ4,000000IZ5tR3,18.827,0.0109,Lr,223.6222157,-38.1632519,2025-07-16 23:40:57.472000+00:00,60872.986776296515
133027,2002 XJ4,000000IZ5tR3,19.522,0.0109,Lg,223.6225532,-38.1635375,2025-07-16 23:43:45.845000+00:00,60872.9887250578
133027,2002 XJ4,000000IZ5tR3,19.527,0.0109,Lg,223.6226254,-38.1636026,2025-07-16 23:44:25.064000+00:00,60872.98917898163
133027,2002 XJ4,000000IZ5tR3,19.539,0.0109,Lg,223.6228693,-38.1638091,2025-07-16 23:46:28.518000+00:00,60872.990607846994
133027,2002 XJ4,000000IZ5tR3,19.516,0.0113,Lg,223.6230562,-38.1639667,2025-07-16 23:48:02.091000+00:00,60872.991690868046
133027,2002 XJ4,000000IZ5tR3,19.527,0.011,Lg,223.6233734,-38.1642425,2025-07-16 23:50:44.806000+00:00,60872.99357414339
133027,2002 XJ4,000000IZ5tR3,19.538,0.011,Lg,223.6236123,-38.1644481,2025-07-16 23:52:46.790000+00:00,60872.99498599535
133027,2002 XJ4,000000IZ5tR3,19.54,0.0109,Lg,223.6236921,-38.1645145,2025-07-16 23:53:28.093000+00:00,60872.9954640395
