permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2005 LB54,000000IZXzv1,21.452,0.0327,Li,271.4743162,-23.1211076,2025-04-26 06:40:40.996000+00:00,60791.278252268676
,2005 LB54,000000IZXzv1,21.317,0.0327,Li,271.4743076,-23.1211106,2025-04-26 06:41:27.333000+00:00,60791.27878857637
,2005 LB54,000000IZXzv1,21.406,0.0392,Li,271.4742834,-23.1210993,2025-04-26 06:42:58.974000+00:00,60791.2798492359
,2005 LB54,000000IZXzv1,21.44,0.036,Li,271.4742626,-23.1211002,2025-04-26 06:45:17.173000+00:00,60791.28144876147
,2005 LB54,000000IZXzv1,21.35,0.0343,Li,271.4742748,-23.1211105,2025-04-26 06:46:47.725000+00:00,60791.282496816944
,2005 LB54,000000IZXzv1,21.344,0.0413,Li,271.4742569,-23.1211106,2025-04-26 06:48:19.910000+00:00,60791.28356377315
,2005 LB54,000000IZXzv1,21.41,0.0362,Li,271.4742544,-23.121108,2025-04-26 06:49:05.681000+00:00,60791.28409352992
,2005 LB54,000000IZXzv2,23.147,0.2066,Lu,271.4067516,-23.1223216,2025-05-02 05:30:05.461000+00:00,60797.22922987258
,2005 LB54,000000IZXzv2,23.367,0.199,Lu,271.406655,-23.1223946,2025-05-02 05:38:38.461000+00:00,60797.235167372506
,2005 LB54,000000IZXzv2,22.745,0.0629,Lg,271.4060785,-23.1223396,2025-05-02 06:45:03.400000+00:00,60797.28128935164
,2005 LB54,000000IZXzv2,22.84,0.0655,Lg,271.406076,-23.1223135,2025-05-02 06:45:45.280000+00:00,60797.28177407384
,2005 LB54,000000IZXzv2,22.947,0.071,Lg,271.4060732,-23.1223229,2025-05-02 06:47:11.588000+00:00,60797.282773009036
,2005 LB54,000000IZXzv2,22.8,0.0611,Lg,271.406032,-23.1223003,2025-05-02 06:48:36.116000+00:00,60797.283751342446
,2005 LB54,000000IZXzv2,22.835,0.0596,Lg,271.4060498,-23.1223197,2025-05-02 06:49:20.370000+00:00,60797.284263541456
,2005 LB54,000000IZXzv2,22.759,0.059,Lg,271.4060401,-23.1223324,2025-05-02 06:50:47.777000+00:00,60797.28527519666
,2005 LB54,000000IZXzv2,22.963,0.0646,Lg,271.4060281,-23.122311,2025-05-02 06:52:15.040000+00:00,60797.286285185255
,2005 LB54,000000IZXzv2,22.744,0.0522,Lg,271.406028,-23.1223072,2025-05-02 06:52:56.476000+00:00,60797.28676476842
,2005 LB54,000000IZXzv2,22.851,0.0604,Lg,271.4059912,-23.122309,2025-05-02 06:54:23.667000+00:00,60797.28777392348
,2005 LB54,000000IZXzv2,22.885,0.0706,Lg,271.4059766,-23.1223266,2025-05-02 06:56:32.799000+00:00,60797.28926850716
,2005 LB54,000000IZXzv2,22.935,0.0736,Lg,271.4059695,-23.1223114,2025-05-02 06:58:02.322000+00:00,60797.29030465288
,2005 LB54,000000IZXzv2,22.873,0.0698,Lg,271.4059776,-23.1223094,2025-05-02 06:58:46.405000+00:00,60797.29081487283
