permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2014 HV327,000000IOw4S1,23.139,,Lr,151.38668,1.8883923,2026-02-17 05:05:18.134000+00:00,61088.212015439756
,2014 HV327,000000IOw4S1,23.025,,Lz,151.3854877,1.8890335,2026-02-17 05:13:06.058000+00:00,61088.217431226745
,2014 HV327,000000IOw4S2,22.616,,Li,150.9608688,2.1101841,2026-02-19 04:20:47.241000+00:00,61090.181102326605
,2014 HV327,000000IOw4S2,22.423,,Li,150.9602434,2.1105258,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2014 HV327,000000IOw4S2,22.511,,Li,150.960144,2.1105778,2026-02-19 04:25:29.139000+00:00,61090.18436503457
,2014 HV327,000000IOw4S2,22.518,,Li,150.9600338,2.1106478,2026-02-19 04:26:09.935000+00:00,61090.18483721046
,2014 HV327,000000IOw4S2,22.504,,Li,150.9598153,2.1107203,2026-02-19 04:27:30.290000+00:00,61090.18576724548
,2014 HV327,000000IOw4S2,23.171,,Lg,150.959155,2.1110777,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2014 HV327,000000IOw4S2,23.139,,Lg,150.9588314,2.1112455,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2014 HV327,000000IOw4S2,23.235,,Lg,150.9583426,2.1115275,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2014 HV327,000000IOw4S2,23.14,,Lg,150.9582187,2.111566,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2014 HV327,000000IOw4S2,23.1,,Lg,150.9581112,2.1116125,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2014 HV327,000000IOw4S2,23.16,,Lg,150.9580047,2.1116671,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2014 HV327,000000IOw4S2,23.282,,Lg,150.957916,2.1117455,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2014 HV327,000000IOw4S2,23.098,,Lg,150.9578035,2.1117729,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2014 HV327,000000IOw4S2,22.684,,Lz,150.957382,2.1119808,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2014 HV327,000000IOw4S2,22.599,,Lz,150.9570215,2.112247,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2014 HV327,000000IOw4S2,22.567,,Lz,150.9566317,2.1123077,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2014 HV327,000000IOw4S2,22.535,,Lz,150.9563465,2.1124519,2026-02-19 04:49:27.964000+00:00,61090.201018102
