permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2019 JK130,000000IOw4V1,22.252,,Li,151.9173526,2.3133674,2026-02-19 04:20:07.066000+00:00,61090.18063733773
,2019 JK130,000000IOw4V1,22.205,,Li,151.9172336,2.3133977,2026-02-19 04:20:47.241000+00:00,61090.181102326605
,2019 JK130,000000IOw4V1,22.068,,Li,151.9164772,2.313594,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2019 JK130,000000IOw4V1,22.015,,Li,151.9162173,2.3136375,2026-02-19 04:26:09.935000+00:00,61090.18483721046
,2019 JK130,000000IOw4V1,22.816,,Lg,151.9147094,2.3139905,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2019 JK130,000000IOw4V1,22.868,,Lg,151.9142315,2.3140921,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2019 JK130,000000IOw4V1,23.003,,Lg,151.914107,2.3141447,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2019 JK130,000000IOw4V1,22.871,,Lg,151.9139929,2.3142019,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2019 JK130,000000IOw4V1,21.991,,Lz,151.9127211,2.3144767,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2019 JK130,000000IOw4V1,21.99,,Lz,151.9124698,2.3145391,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2019 JK130,000000IOw4V1,22.18,,Lz,151.912364,2.314602,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2019 JK130,000000IOw4V1,22.053,,Lz,151.9118498,2.3146506,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2019 JK130,000000IOw4V1,22.225,,Lz,151.9117366,2.3147138,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2019 JK130,000000IOw4V1,22.418,,Lz,151.9113366,2.3147819,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2019 JK130,000000IOw4V1,22.485,,Lr,151.9105996,2.3149547,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2019 JK130,000000IOw4V1,22.411,,Lr,151.9100865,2.3150811,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2019 JK130,000000IOw4V1,22.376,,Lr,151.9099768,2.3150944,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2019 JK130,000000IOw4V1,22.503,,Lr,151.909747,2.3151538,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2019 JK130,000000IOw4V1,22.143,,Li,151.9083479,2.3154908,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2019 JK130,000000IOw4V1,22.39,,Li,151.9078487,2.3156035,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2019 JK130,000000IOw4V1,22.152,,Li,151.9073652,2.3157258,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2019 JK130,000000IOw4V1,22.269,,Li,151.9072289,2.3157595,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2019 JK130,000000IOw4V1,22.945,,Lg,151.9063729,2.3159482,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2019 JK130,000000IOw4V1,22.921,,Lg,151.9056672,2.3161094,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2019 JK130,000000IOw4V1,22.82,,Lg,151.9055337,2.3161414,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2019 JK130,000000IOw4V1,23.103,,Lg,151.9052816,2.3162063,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2019 JK130,000000IOw4V1,23.237,,Lg,151.9051447,2.3162334,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2019 JK130,000000IOw4V1,23.022,,Lg,151.9050176,2.316262,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2019 JK130,000000IOw4V1,22.103,,Lz,151.9035334,2.316672,2026-02-19 05:35:18.735000+00:00,61090.23285572929
,2019 JK130,000000IOw4V1,22.343,,Lz,151.9034468,2.3166043,2026-02-19 05:35:59.080000+00:00,61090.23332268512
,2019 JK130,000000IOw4V1,22.32,,Lz,151.903097,2.3166756,2026-02-19 05:37:59.889000+00:00,61090.23472093744
,2019 JK130,000000IOw4V1,22.381,,Lz,151.902824,2.3167574,2026-02-19 05:39:20.779000+00:00,61090.23565716436
,2019 JK130,000000IOw4V1,22.258,,Lr,151.9011991,2.3171759,2026-02-19 05:48:06.925000+00:00,61090.24174681725
,2019 JK130,000000IOw4V1,22.241,,Lr,151.9011104,2.3171752,2026-02-19 05:48:47.249000+00:00,61090.24221353
,2019 JK130,000000IOw4V1,22.394,,Lr,151.9008671,2.3172551,2026-02-19 05:50:07.849000+00:00,61090.24314640043
,2019 JK130,000000IOw4V2,21.982,,Li,151.6674989,2.3751839,2026-02-20 03:53:33.166000+00:00,61091.162189421244
,2019 JK130,000000IOw4V2,21.954,,Li,151.6673246,2.3752439,2026-02-20 03:54:13.158000+00:00,61091.16265229182
,2019 JK130,000000IOw4V2,21.931,,Li,151.6672527,2.3752376,2026-02-20 03:54:53.611000+00:00,61091.163120497484
,2019 JK130,000000IOw4V2,21.965,,Li,151.6671257,2.3752738,2026-02-20 03:55:33.842000+00:00,61091.16358613409
,2019 JK130,000000IOw4V2,22.765,,Lg,151.6650957,2.3757747,2026-02-20 04:06:31.940000+00:00,61091.17120300932
,2019 JK130,000000IOw4V2,22.61,,Lg,151.6649773,2.3757893,2026-02-20 04:07:12.208000+00:00,61091.17166907387
,2019 JK130,000000IOw4V2,22.675,,Lg,151.6648716,2.3758254,2026-02-20 04:07:52.288000+00:00,61091.17213296285
,2019 JK130,000000IOw4V2,22.608,,Lg,151.6642361,2.3759893,2026-02-20 04:11:19.885000+00:00,61091.17453570617
,2019 JK130,000000IOw4V2,22.694,,Lg,151.6639772,2.3760471,2026-02-20 04:12:40.669000+00:00,61091.175470706075
,2019 JK130,000000IOw4V2,22.673,,Lg,151.6638733,2.3760774,2026-02-20 04:13:20.930000+00:00,61091.1759366896
,2019 JK130,000000IOw4V2,22.806,,Lg,151.6637305,2.3761011,2026-02-20 04:14:01.007000+00:00,61091.17640054412
,2019 JK130,000000IOw4V2,22.671,,Lg,151.6636087,2.3761279,2026-02-20 04:14:41.293000+00:00,61091.17686681729
,2019 JK130,000000IOw4V2,22.063,,Lz,151.6625913,2.3763802,2026-02-20 04:20:09.359000+00:00,61091.18066387717
,2019 JK130,000000IOw4V2,22.186,,Lz,151.6618619,2.3765505,2026-02-20 04:24:08.656000+00:00,61091.183433518745
,2019 JK130,000000IOw4V2,22.224,,Lz,151.6617569,2.376594,2026-02-20 04:24:49.014000+00:00,61091.18390062498
,2019 JK130,000000IOw4V2,22.172,,Lr,151.6603806,2.3769059,2026-02-20 04:32:16.938000+00:00,61091.189084930345
,2019 JK130,000000IOw4V2,22.156,,Lr,151.6598519,2.377041,2026-02-20 04:35:06.661000+00:00,61091.1910493169
,2019 JK130,000000IOw4V2,22.106,,Lr,151.6592317,2.3771859,2026-02-20 04:38:27.887000+00:00,61091.19337832183
,2019 JK130,000000IOw4V2,22.079,,Li,151.6582527,2.3774282,2026-02-20 04:43:46.151000+00:00,61091.197061932646
,2019 JK130,000000IOw4V2,22.025,,Li,151.6580147,2.3774881,2026-02-20 04:45:06.740000+00:00,61091.19799467595
,2019 JK130,000000IOw4V2,22.015,,Li,151.6577641,2.3775493,2026-02-20 04:46:29.548000+00:00,61091.19895310188
,2019 JK130,000000IOw4V2,22.0,,Li,151.6569002,2.3777536,2026-02-20 04:51:11.348000+00:00,61091.202214675955
,2019 JK130,000000IOw4V2,22.898,,Lg,151.6558198,2.3780167,2026-02-20 04:57:10.377000+00:00,61091.206370104104
,2019 JK130,000000IOw4V2,22.709,,Lg,151.6555959,2.378095,2026-02-20 04:58:01.865000+00:00,61091.206966029946
,2019 JK130,000000IOw4V2,23.104,,Lg,151.6550004,2.3782327,2026-02-20 05:01:23.467000+00:00,61091.20929938648
,2019 JK130,000000IOw4V2,22.623,,Lg,151.6549352,2.3782357,2026-02-20 05:02:03.689000+00:00,61091.20976491878
,2019 JK130,000000IOw4V2,22.56,,Lg,151.6547552,2.3782834,2026-02-20 05:02:43.919000+00:00,61091.21023054421
,2019 JK130,000000IOw4V2,22.697,,Lg,151.6546352,2.3782667,2026-02-20 05:03:24.299000+00:00,61091.21069790516
,2019 JK130,000000IOw4V2,22.325,,Lz,151.6527709,2.3787042,2026-02-20 05:13:29.043000+00:00,61091.217697257176
,2019 JK130,000000IOw4V2,22.398,,Lz,151.6525425,2.3788153,2026-02-20 05:14:49.499000+00:00,61091.21862846054
,2019 JK130,000000IOw4V2,22.363,,Lz,151.6524127,2.3787749,2026-02-20 05:15:30.227000+00:00,61091.21909984946
,2019 JK130,000000IOw4V2,22.221,,Lr,151.6516884,2.3790205,2026-02-20 05:19:30.932000+00:00,61091.22188578686
,2019 JK130,000000IOw4V2,22.285,,Lr,151.6515628,2.3790467,2026-02-20 05:20:11.281000+00:00,61091.22235278925
,2019 JK130,000000IOw4V2,22.58,,Lr,151.6511681,2.3791474,2026-02-20 05:22:22.511000+00:00,61091.2238716553
,2019 JK130,000000IOw4V2,22.125,,Lr,151.6507823,2.379231,2026-02-20 05:24:23.068000+00:00,61091.22526699072
,2019 JK130,000000IOw4V2,22.216,,Lr,151.6506532,2.3792584,2026-02-20 05:25:03.343000+00:00,61091.22573313676
,2019 JK130,000000IOw4V2,22.389,,Lr,151.6504261,2.3793281,2026-02-20 05:26:24.081000+00:00,61091.22666760394
,2019 JK130,000000IOw4V2,22.274,,Lr,151.6503111,2.379349,2026-02-20 05:27:04.137000+00:00,61091.22713121539
,2019 JK130,000000IOw4V2,22.159,,Lr,151.6501761,2.379415,2026-02-20 05:27:44.383000+00:00,61091.22759702569
,2019 JK130,000000IOw4V2,22.16,,Li,151.6351058,2.3830496,2026-02-20 06:49:51.129000+00:00,61091.284619548824
,2019 JK130,000000IOw4V3,21.902,,Li,150.9110326,2.5727643,2026-02-23 02:58:10.721000+00:00,61094.12373519689
,2019 JK130,000000IOw4V3,21.841,,Li,150.9109094,2.5727964,2026-02-23 02:58:51.102000+00:00,61094.12420256948
,2019 JK130,000000IOw4V3,21.909,,Li,150.9105359,2.5728949,2026-02-23 03:00:52.154000+00:00,61094.1256036344
,2019 JK130,000000IOw4V3,22.556,,Lg,150.9095074,2.5731618,2026-02-23 03:06:28.947000+00:00,61094.12950170133
,2019 JK130,000000IOw4V3,22.601,,Lg,150.9093925,2.5731996,2026-02-23 03:07:09.243000+00:00,61094.12996809045
,2019 JK130,000000IOw4V3,22.609,,Lg,150.9092576,2.5732405,2026-02-23 03:07:49.285000+00:00,61094.13043153938
,2019 JK130,000000IOw4V3,22.481,,Lg,150.9078967,2.5735728,2026-02-23 03:15:21.897000+00:00,61094.135670104064
,2019 JK130,000000IOw4V3,22.652,,Lg,150.9074524,2.5737106,2026-02-23 03:17:38.272000+00:00,61094.13724851841
,2019 JK130,000000IOw4V3,22.643,,Lg,150.9072112,2.5737735,2026-02-23 03:19:00.144000+00:00,61094.13819611119
,2019 JK130,000000IOw4V3,22.564,,Lg,150.9067005,2.5739008,2026-02-23 03:21:47.823000+00:00,61094.14013684029
,2019 JK130,000000IOw4V3,21.964,,Lz,150.9058504,2.5741271,2026-02-23 03:26:27.333000+00:00,61094.14337190986
,2019 JK130,000000IOw4V3,22.116,,Lz,150.9057275,2.5741746,2026-02-23 03:27:09.806000+00:00,61094.14386349544
,2019 JK130,000000IOw4V3,22.52,,Lg,150.8993223,2.5758344,2026-02-23 04:01:53.124000+00:00,61094.16797597241
,2019 JK130,000000IOw4V3,22.491,,Lg,150.8990676,2.5759077,2026-02-23 04:03:13.586000+00:00,61094.168907245155
,2019 JK130,000000IOw4V3,22.535,,Lg,150.8986951,2.5759945,2026-02-23 04:05:17.256000+00:00,61094.17033861112
,2019 JK130,000000IOw4V3,22.501,,Lg,150.8977214,2.5762551,2026-02-23 04:10:32.107000+00:00,61094.17398271989
,2019 JK130,000000IOw4V3,21.945,,Lz,150.8963351,2.5766236,2026-02-23 04:18:08.473000+00:00,61094.17926473357
,2019 JK130,000000IOw4V3,21.83,,Lz,150.8958309,2.5767526,2026-02-23 04:20:54.925000+00:00,61094.18119126139
