permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2019 SY289,000000IOw511,22.012,,Li,151.1546712,0.9415644,2026-02-19 04:25:29.139000+00:00,61090.18436503457
,2019 SY289,000000IOw511,22.014,,Li,151.1545585,0.9416137,2026-02-19 04:26:09.935000+00:00,61090.18483721046
,2019 SY289,000000IOw511,22.08,,Li,151.1544882,0.9416815,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2019 SY289,000000IOw511,22.009,,Li,151.1543821,0.9417357,2026-02-19 04:27:30.290000+00:00,61090.18576724548
,2019 SY289,000000IOw511,22.735,,Lg,151.1536815,0.9421362,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2019 SY289,000000IOw511,22.744,,Lg,151.1535845,0.9421803,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2019 SY289,000000IOw511,22.788,,Lg,151.1532091,0.9424161,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2019 SY289,000000IOw511,22.857,,Lg,151.1531242,0.9424468,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2019 SY289,000000IOw511,22.007,,Lz,151.151538,0.9433432,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2019 SY289,000000IOw511,21.975,,Lz,151.1511688,0.9435924,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2019 SY289,000000IOw511,22.104,,Lz,151.1508558,0.9437989,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2019 SY289,000000IOw511,22.194,,Lr,151.1501663,0.9441367,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2019 SY289,000000IOw511,22.226,,Lr,151.1500836,0.9441866,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2019 SY289,000000IOw511,22.191,,Lr,151.1498092,0.9443565,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2019 SY289,000000IOw511,22.245,,Lr,151.1494959,0.944522,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2019 SY289,000000IOw511,22.057,,Li,151.1481401,0.9453218,2026-02-19 05:11:12.786000+00:00,61090.21612020815
,2019 SY289,000000IOw511,22.019,,Li,151.1480645,0.9453619,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2019 SY289,000000IOw511,22.088,,Li,151.147595,0.9456484,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2019 SY289,000000IOw511,22.708,,Lg,151.1466326,0.9462169,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2019 SY289,000000IOw511,22.695,,Lg,151.1464616,0.946323,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2019 SY289,000000IOw511,22.784,,Lg,151.1462527,0.9464257,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2019 SY289,000000IOw511,22.896,,Lg,151.1461576,0.9464569,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2019 SY289,000000IOw511,22.86,,Lg,151.1457698,0.9467068,2026-02-19 05:27:58.637000+00:00,61090.2277620025
,2019 SY289,000000IOw511,22.779,,Lg,151.1456944,0.9467253,2026-02-19 05:28:38.854000+00:00,61090.228227477055
,2019 SY289,000000IOw511,21.987,,Lz,151.1452198,0.9470438,2026-02-19 05:31:59.965000+00:00,61090.23055515066
,2019 SY289,000000IOw511,21.934,,Lz,151.1450061,0.9471018,2026-02-19 05:33:17.878000+00:00,61090.231456921436
,2019 SY289,000000IOw511,22.047,,Lz,151.1447188,0.9471923,2026-02-19 05:35:18.735000+00:00,61090.23285572929
,2019 SY289,000000IOw511,22.016,,Lz,151.1445138,0.947377,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2019 SY289,000000IOw511,21.837,,Lz,151.1443164,0.9475082,2026-02-19 05:37:59.889000+00:00,61090.23472093744
