permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2021 GQ242,000000IOw4q1,21.895,,Li,150.4972523,0.7075908,2026-02-20 03:53:33.166000+00:00,61091.162189421244
,2021 GQ242,000000IOw4q1,22.031,,Li,150.4968766,0.707696,2026-02-20 03:56:13.964000+00:00,61091.16405050922
,2021 GQ242,000000IOw4q1,21.839,,Li,150.4967816,0.7077046,2026-02-20 03:56:59.657000+00:00,61091.16457936354
,2021 GQ242,000000IOw4q1,21.862,,Li,150.4966741,0.7077408,2026-02-20 03:57:39.671000+00:00,61091.16504248837
,2021 GQ242,000000IOw4q1,21.874,,Li,150.4965783,0.7077539,2026-02-20 03:58:19.854000+00:00,61091.16550756944
,2021 GQ242,000000IOw4q1,21.885,,Li,150.4964847,0.7077841,2026-02-20 03:59:00.216000+00:00,61091.165974722244
,2021 GQ242,000000IOw4q1,21.832,,Li,150.4962899,0.7078405,2026-02-20 04:00:20.777000+00:00,61091.166907140985
,2021 GQ242,000000IOw4q1,21.844,,Li,150.4961998,0.7078621,2026-02-20 04:01:00.920000+00:00,61091.16737175919
,2021 GQ242,000000IOw4q1,22.515,,Lg,150.4953145,0.7080902,2026-02-20 04:07:12.208000+00:00,61091.17166907387
,2021 GQ242,000000IOw4q1,22.535,,Lg,150.4952375,0.7080969,2026-02-20 04:07:52.288000+00:00,61091.17213296285
,2021 GQ242,000000IOw4q1,22.573,,Lg,150.4950295,0.7081482,2026-02-20 04:09:19.249000+00:00,61091.173139456194
,2021 GQ242,000000IOw4q1,22.514,,Lg,150.4945443,0.708254,2026-02-20 04:12:40.669000+00:00,61091.175470706075
,2021 GQ242,000000IOw4q1,22.519,,Lg,150.4944583,0.7083061,2026-02-20 04:13:20.930000+00:00,61091.1759366896
,2021 GQ242,000000IOw4q1,22.525,,Lg,150.4943625,0.708304,2026-02-20 04:14:01.007000+00:00,61091.17640054412
,2021 GQ242,000000IOw4q1,21.833,,Lz,150.4937773,0.7084711,2026-02-20 04:18:08.118000+00:00,61091.17926062504
,2021 GQ242,000000IOw4q1,21.921,,Lz,150.4933993,0.7085588,2026-02-20 04:20:49.658000+00:00,61091.18113030074
