permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2022 EE36,000000IOw6S1,21.429,,Li,150.069211,0.8209845,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2022 EE36,000000IOw6S1,21.491,,Li,150.0691149,0.8210635,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2022 EE36,000000IOw6S1,21.477,,Li,150.0687152,0.82137,2026-02-19 04:25:29.139000+00:00,61090.18436503457
,2022 EE36,000000IOw6S1,21.455,,Li,150.0684182,0.8216216,2026-02-19 04:27:30.290000+00:00,61090.18576724548
,2022 EE36,000000IOw6S1,21.424,,Li,150.0683087,0.8216958,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2022 EE36,000000IOw6S1,22.172,,Lg,150.0679317,0.8220165,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2022 EE36,000000IOw6S1,22.147,,Lg,150.0674895,0.8223525,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2022 EE36,000000IOw6S1,22.187,,Lg,150.0669981,0.8227565,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2022 EE36,000000IOw6S1,22.124,,Lg,150.066803,0.8229176,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2022 EE36,000000IOw6S1,22.209,,Lg,150.0666079,0.8230871,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2022 EE36,000000IOw6S1,21.456,,Lz,150.0661152,0.8234877,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2022 EE36,000000IOw6S1,21.457,,Lz,150.0659589,0.8236013,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2022 EE36,000000IOw6S1,21.425,,Lz,150.0657449,0.8237373,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2022 EE36,000000IOw6S1,21.507,,Lz,150.0655769,0.8239233,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2022 EE36,000000IOw6S1,21.62,,Lz,150.0653824,0.8240509,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2022 EE36,000000IOw6S1,21.567,,Lz,150.0650719,0.8243192,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2022 EE36,000000IOw6S1,21.54,,Lz,150.0649728,0.8243851,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2022 EE36,000000IOw6S1,21.379,,Lz,150.0647698,0.8245851,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2022 EE36,000000IOw6S1,21.506,,Lz,150.0646546,0.824657,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2022 EE36,000000IOw6S1,21.548,,Lr,150.0641648,0.8250561,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2022 EE36,000000IOw6S1,21.602,,Lr,150.0640692,0.8251362,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2022 EE36,000000IOw6S1,21.529,,Lr,150.0638661,0.8252927,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2022 EE36,000000IOw6S1,21.544,,Lr,150.0637741,0.825365,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2022 EE36,000000IOw6S1,21.535,,Lr,150.0633737,0.8256889,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2022 EE36,000000IOw6S1,21.404,,Li,150.0623682,0.8264996,2026-02-19 05:08:32.093000+00:00,61090.214260335546
,2022 EE36,000000IOw6S1,21.412,,Li,150.0620704,0.8267497,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2022 EE36,000000IOw6S1,21.404,,Li,150.0617612,0.8269991,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2022 EE36,000000IOw6S1,21.371,,Li,150.0616612,0.8270668,2026-02-19 05:13:13.238000+00:00,61090.21751432866
,2022 EE36,000000IOw6S1,21.331,,Li,150.0615652,0.8271556,2026-02-19 05:13:53.580000+00:00,61090.217981250025
,2022 EE36,000000IOw6S1,21.381,,Li,150.0614746,0.8272319,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2022 EE36,000000IOw6S1,21.401,,Li,150.0613501,0.8273114,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2022 EE36,000000IOw6S1,22.131,,Lg,150.0606832,0.8278811,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2022 EE36,000000IOw6S1,22.142,,Lg,150.060482,0.8280249,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2022 EE36,000000IOw6S1,22.135,,Lg,150.0603858,0.8281116,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2022 EE36,000000IOw6S1,22.107,,Lg,150.0602879,0.8281887,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2022 EE36,000000IOw6S1,22.054,,Lg,150.0600707,0.8283549,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2022 EE36,000000IOw6S1,22.107,,Lg,150.0599868,0.8284277,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2022 EE36,000000IOw6S1,22.013,,Lg,150.059882,0.8285178,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2022 EE36,000000IOw6S1,22.043,,Lg,150.0597821,0.8285859,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2022 EE36,000000IOw6S1,22.062,,Lg,150.0596725,0.8286633,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2022 EE36,000000IOw6S1,22.094,,Lg,150.0595805,0.8287426,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2022 EE36,000000IOw6S1,22.075,,Lg,150.059384,0.8289086,2026-02-19 05:28:38.854000+00:00,61090.228227477055
,2022 EE36,000000IOw6S1,21.433,,Lz,150.0588913,0.8293127,2026-02-19 05:31:59.965000+00:00,61090.23055515066
,2022 EE36,000000IOw6S1,21.521,,Lz,150.0587992,0.8293906,2026-02-19 05:32:37.606000+00:00,61090.23099081032
,2022 EE36,000000IOw6S1,21.334,,Lz,150.0585128,0.8296317,2026-02-19 05:34:38.382000+00:00,61090.232388680335
,2022 EE36,000000IOw6S1,21.456,,Lz,150.0583023,0.8297921,2026-02-19 05:35:59.080000+00:00,61090.23332268512
,2022 EE36,000000IOw6S1,21.371,,Lz,150.0581922,0.8298656,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2022 EE36,000000IOw6S1,21.414,,Lz,150.0580228,0.830026,2026-02-19 05:37:59.889000+00:00,61090.23472093744
,2022 EE36,000000IOw6S1,21.406,,Lz,150.0578171,0.8301933,2026-02-19 05:39:20.779000+00:00,61090.23565716436
,2022 EE36,000000IOw6S1,21.399,,Lz,150.0577174,0.830258,2026-02-19 05:40:00.612000+00:00,61090.23611819465
,2022 EE36,000000IOw6S1,21.531,,Lr,150.0571268,0.8307508,2026-02-19 05:44:01.312000+00:00,61090.2389040743
,2022 EE36,000000IOw6S1,21.458,,Lr,150.0570175,0.8308355,2026-02-19 05:44:45.221000+00:00,61090.239412280265
,2022 EE36,000000IOw6S1,21.487,,Lr,150.0569137,0.8309129,2026-02-19 05:45:25.639000+00:00,61090.2398800808
,2022 EE36,000000IOw6S1,21.526,,Lr,150.0568215,0.8309952,2026-02-19 05:46:05.912000+00:00,61090.24034620356
,2022 EE36,000000IOw6S1,21.459,,Lr,150.0567253,0.8310792,2026-02-19 05:46:46.204000+00:00,61090.24081254611
,2022 EE36,000000IOw6S1,21.524,,Lr,150.0566233,0.8311554,2026-02-19 05:47:26.636000+00:00,61090.24128050916
,2022 EE36,000000IOw6S1,21.482,,Lr,150.0563292,0.8313994,2026-02-19 05:49:27.424000+00:00,61090.24267851841
,2022 EE36,000000IOw6S1,21.494,,Lr,150.0562316,0.8314706,2026-02-19 05:50:07.849000+00:00,61090.24314640043
,2022 EE36,000000IOw6S1,21.464,,Lr,150.0558235,0.8317877,2026-02-19 05:52:48.729000+00:00,61090.24500843743
,2022 EE36,000000IOw6S1,21.429,,Lr,150.0359333,0.8480032,2026-02-19 08:08:35.288000+00:00,61090.33929731464
,2022 EE36,000000IOw6S1,21.444,,Lr,150.0358488,0.8480872,2026-02-19 08:09:15.886000+00:00,61090.33976719901
,2022 EE36,000000IOw6S1,21.449,,Lz,150.0354562,0.8484399,2026-02-19 08:12:01.968000+00:00,61090.34168944461
,2022 EE36,000000IOw6S1,21.368,,Lz,150.035371,0.8484892,2026-02-19 08:12:42.458000+00:00,61090.34215807868
,2022 EE36,000000IOw6S2,21.707,,Li,149.8699193,0.9906087,2026-02-20 03:54:53.611000+00:00,61091.163120497484
,2022 EE36,000000IOw6S2,21.677,,Li,149.8697169,0.9907792,2026-02-20 03:56:13.964000+00:00,61091.16405050922
,2022 EE36,000000IOw6S2,21.801,,Li,149.8690168,0.991357,2026-02-20 04:01:00.920000+00:00,61091.16737175919
,2022 EE36,000000IOw6S2,21.693,,Li,149.8687137,0.9915992,2026-02-20 04:03:01.275000+00:00,61091.16876475699
,2022 EE36,000000IOw6S2,22.441,,Lg,149.8669052,0.9930952,2026-02-20 04:15:21.395000+00:00,61091.17733096052
