permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2023 QK122,000000IOwCj1,23.078,,Li,150.5502148,0.8659084,2026-02-23 02:54:49.350000+00:00,61094.12140451372
,2023 QK122,000000IOwCj1,22.768,,Li,150.5501464,0.8658809,2026-02-23 02:55:29.705000+00:00,61094.12187158549
,2023 QK122,000000IOwCj1,22.882,,Li,150.549726,0.8659743,2026-02-23 02:58:51.102000+00:00,61094.12420256948
,2023 QK122,000000IOwCj1,22.959,,Li,150.5495831,0.8659703,2026-02-23 02:59:31.220000+00:00,61094.124666898046
,2023 QK122,000000IOwCj1,23.796,,Lg,150.5484839,0.8661466,2026-02-23 03:07:09.243000+00:00,61094.12996809045
,2023 QK122,000000IOwCj1,23.595,,Lg,150.5469323,0.8663942,2026-02-23 03:17:38.272000+00:00,61094.13724851841
,2023 QK122,000000IOwCj1,23.623,,Lg,150.5468243,0.8663984,2026-02-23 03:18:19.868000+00:00,61094.13772995351
,2023 QK122,000000IOwCj1,23.741,,Lg,150.5464702,0.866465,2026-02-23 03:21:06.775000+00:00,61094.1396617475
,2023 QK122,000000IOwCj1,23.695,,Lg,150.5463623,0.8664743,2026-02-23 03:21:47.823000+00:00,61094.14013684029
,2023 QK122,000000IOwCj1,22.816,,Lz,150.5459905,0.8665294,2026-02-23 03:24:26.073000+00:00,61094.14196843747
,2023 QK122,000000IOwCj1,22.877,,Lz,150.5458681,0.866572,2026-02-23 03:25:06.069000+00:00,61094.14243135415
,2023 QK122,000000IOwCj1,22.841,,Lz,150.5455734,0.8666181,2026-02-23 03:27:09.806000+00:00,61094.14386349544
,2023 QK122,000000IOwCj1,23.726,,Lg,150.5406436,0.8673078,2026-02-23 04:01:13.058000+00:00,61094.167512245476
,2023 QK122,000000IOwCj1,23.724,,Lg,150.54009,0.867443,2026-02-23 04:04:36.388000+00:00,61094.169865601696
,2023 QK122,000000IOwCj1,23.676,,Lg,150.54004,0.8674015,2026-02-23 04:05:17.256000+00:00,61094.17033861112
,2023 QK122,000000IOwCj1,22.656,,Lz,150.5387802,0.8676424,2026-02-23 04:14:01.702000+00:00,61094.176408587955
