permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2024 WO102,000000IOw4P1,22.374,,Lz,150.5395986,1.0292547,2026-02-17 05:08:35.589000+00:00,61088.21430079872
,2024 WO102,000000IOw4P1,22.455,,Lz,150.5393587,1.0293157,2026-02-17 05:10:16.373000+00:00,61088.21546728024
,2024 WO102,000000IOw4P1,22.36,,Lz,150.5392635,1.0293378,2026-02-17 05:10:50.763000+00:00,61088.21586531261
,2024 WO102,000000IOw4P2,22.486,,Li,150.1476279,1.1376917,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2024 WO102,000000IOw4P2,22.411,,Li,150.1475193,1.1377334,2026-02-19 04:20:07.066000+00:00,61090.18063733773
,2024 WO102,000000IOw4P2,22.494,,Li,150.1473781,1.1377709,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2024 WO102,000000IOw4P2,22.521,,Li,150.147263,1.1378147,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2024 WO102,000000IOw4P2,22.548,,Li,150.1471625,1.1378335,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2024 WO102,000000IOw4P2,22.512,,Li,150.1470624,1.1378461,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2024 WO102,000000IOw4P2,22.476,,Li,150.1468643,1.1379072,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2024 WO102,000000IOw4P2,22.357,,Li,150.1465837,1.1380062,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2024 WO102,000000IOw4P2,23.112,,Lg,150.145908,1.1381793,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2024 WO102,000000IOw4P2,23.208,,Lg,150.1456793,1.138238,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2024 WO102,000000IOw4P2,23.169,,Lg,150.1454151,1.1383054,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2024 WO102,000000IOw4P2,23.246,,Lg,150.1452122,1.1383824,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2024 WO102,000000IOw4P2,23.174,,Lg,150.1448398,1.1384811,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2024 WO102,000000IOw4P2,23.186,,Lg,150.1447095,1.1384993,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2024 WO102,000000IOw4P2,23.083,,Lg,150.1446404,1.1385272,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2024 WO102,000000IOw4P2,22.226,,Lz,150.1434352,1.1388498,2026-02-19 04:48:47.587000+00:00,61090.20055077551
,2024 WO102,000000IOw4P2,22.367,,Lz,150.143366,1.1389198,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2024 WO102,000000IOw4P2,22.609,,Lz,150.1432365,1.1389169,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2024 WO102,000000IOw4P2,22.091,,Lz,150.1431809,1.1389098,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2024 WO102,000000IOw4P2,22.202,,Lz,150.1428422,1.1390127,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2024 WO102,000000IOw4P2,22.64,,Lr,150.1425156,1.139114,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2024 WO102,000000IOw4P2,22.698,,Lr,150.1423814,1.1391206,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2024 WO102,000000IOw4P2,22.536,,Lr,150.1422904,1.1391708,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2024 WO102,000000IOw4P2,22.685,,Lr,150.1420974,1.1392332,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2024 WO102,000000IOw4P2,22.527,,Lr,150.1419089,1.1392822,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2024 WO102,000000IOw4P2,22.633,,Lr,150.141415,1.1394036,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2024 WO102,000000IOw4P2,22.571,,Lr,150.1413317,1.139441,2026-02-19 05:03:40.023000+00:00,61090.210879895836
,2024 WO102,000000IOw4P2,22.616,,Lr,150.1412271,1.1394581,2026-02-19 05:04:20.278000+00:00,61090.21134580998
,2024 WO102,000000IOw4P2,22.65,,Lr,150.1411309,1.1394859,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2024 WO102,000000IOw4P2,22.365,,Li,150.1407444,1.1395817,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2024 WO102,000000IOw4P2,22.393,,Li,150.1402711,1.1397181,2026-02-19 05:11:12.786000+00:00,61090.21612020815
,2024 WO102,000000IOw4P2,22.514,,Li,150.140161,1.1397532,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2024 WO102,000000IOw4P2,22.397,,Li,150.1400643,1.1397857,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2024 WO102,000000IOw4P2,22.433,,Li,150.1397562,1.1398627,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2024 WO102,000000IOw4P2,22.431,,Li,150.1393862,1.1399323,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2024 WO102,000000IOw4P2,22.966,,Lg,150.1387078,1.1401573,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2024 WO102,000000IOw4P2,23.085,,Lg,150.1386289,1.1401807,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2024 WO102,000000IOw4P2,22.971,,Lg,150.1383243,1.1402482,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2024 WO102,000000IOw4P2,22.984,,Lg,150.1382055,1.1402651,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2024 WO102,000000IOw4P2,22.97,,Lg,150.1381582,1.1403194,2026-02-19 05:25:57.880000+00:00,61090.22636435181
