permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2024 XV50,000000IOw6f1,21.931,,Li,151.5066163,2.8670408,2026-02-19 04:20:07.066000+00:00,61090.18063733773
,2024 XV50,000000IOw6f1,22.05,,Li,151.5061581,2.8672469,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2024 XV50,000000IOw6f1,22.679,,Lg,151.5051843,2.8677117,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2024 XV50,000000IOw6f1,22.581,,Lg,151.5049608,2.8678345,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2024 XV50,000000IOw6f1,22.633,,Lg,151.5048885,2.8678658,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2024 XV50,000000IOw6f1,22.601,,Lg,151.5047901,2.8679301,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2024 XV50,000000IOw6f1,22.02,,Lz,151.5033961,2.8686202,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2024 XV50,000000IOw6f1,21.905,,Lz,151.5032552,2.8686847,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2024 XV50,000000IOw6f1,21.979,,Lz,151.5031593,2.8687293,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2024 XV50,000000IOw6f1,21.974,,Lz,151.5027818,2.8688685,2026-02-19 04:48:47.587000+00:00,61090.20055077551
,2024 XV50,000000IOw6f1,21.736,,Lz,151.5024791,2.8690535,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2024 XV50,000000IOw6f1,22.16,,Lr,151.501924,2.8693146,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2024 XV50,000000IOw6f1,22.071,,Lr,151.5017861,2.8693802,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2024 XV50,000000IOw6f1,22.134,,Lr,151.5015454,2.8694985,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2024 XV50,000000IOw6f1,22.135,,Lr,151.5013459,2.8696046,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2024 XV50,000000IOw6f1,21.909,,Li,151.4993845,2.8705662,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2024 XV50,000000IOw6f1,22.098,,Li,151.4992746,2.8706039,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2024 XV50,000000IOw6f1,22.053,,Li,151.4990225,2.8707484,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2024 XV50,000000IOw6f1,22.639,,Lg,151.4985533,2.8709315,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2024 XV50,000000IOw6f1,22.619,,Lg,151.4984681,2.8710164,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2024 XV50,000000IOw6f1,22.636,,Lg,151.4983978,2.8710167,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2024 XV50,000000IOw6f1,22.643,,Lg,151.4983102,2.8710889,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2024 XV50,000000IOw6f1,22.633,,Lg,151.4982112,2.8711298,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2024 XV50,000000IOw6f1,22.564,,Lg,151.4981523,2.871201,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2024 XV50,000000IOw6f1,22.606,,Lg,151.4980595,2.8711988,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2024 XV50,000000IOw6f1,22.634,,Lg,151.4977651,2.8713385,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2024 XV50,000000IOw6f1,22.578,,Lg,151.4976651,2.8713908,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2024 XV50,000000IOw6f1,22.599,,Lg,151.4974156,2.8715327,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2024 XV50,000000IOw6f1,22.138,,Lz,151.4969769,2.8717299,2026-02-19 05:32:37.606000+00:00,61090.23099081032
,2024 XV50,000000IOw6f1,21.924,,Lz,151.4968929,2.8717941,2026-02-19 05:33:17.878000+00:00,61090.231456921436
,2024 XV50,000000IOw6f1,22.0,,Lz,151.4962452,2.8721236,2026-02-19 05:37:59.889000+00:00,61090.23472093744
,2024 XV50,000000IOw6f1,21.981,,Lz,151.4960962,2.8722008,2026-02-19 05:39:20.779000+00:00,61090.23565716436
,2024 XV50,000000IOw6f1,22.114,,Lr,151.495471,2.8724897,2026-02-19 05:44:01.312000+00:00,61090.2389040743
,2024 XV50,000000IOw6f1,22.091,,Lr,151.4953797,2.8725309,2026-02-19 05:44:45.221000+00:00,61090.239412280265
,2024 XV50,000000IOw6f1,22.201,,Lr,151.4951044,2.8726723,2026-02-19 05:46:46.204000+00:00,61090.24081254611
,2024 XV50,000000IOw6f1,22.223,,Lr,151.4948313,2.8727993,2026-02-19 05:48:47.249000+00:00,61090.24221353
,2024 XV50,000000IOw6f1,22.157,,Lr,151.4945682,2.8729387,2026-02-19 05:50:48.141000+00:00,61090.24361274298
,2024 XV50,000000IOw6f1,22.122,,Lr,151.4944734,2.8729796,2026-02-19 05:51:28.309000+00:00,61090.244077650364
,2024 XV50,000000IOw6f2,21.979,,Li,151.3253559,2.9594817,2026-02-20 03:53:33.166000+00:00,61091.162189421244
,2024 XV50,000000IOw6f2,22.011,,Li,151.3250045,2.9596547,2026-02-20 03:56:13.964000+00:00,61091.16405050922
,2024 XV50,000000IOw6f2,22.028,,Li,151.3249105,2.9597021,2026-02-20 03:56:59.657000+00:00,61091.16457936354
,2024 XV50,000000IOw6f2,21.891,,Li,151.3248049,2.959761,2026-02-20 03:57:39.671000+00:00,61091.16504248837
,2024 XV50,000000IOw6f2,22.694,,Lg,151.3232693,2.9605184,2026-02-20 04:09:19.249000+00:00,61091.173139456194
,2024 XV50,000000IOw6f2,22.642,,Lg,151.3231056,2.9605941,2026-02-20 04:10:39.462000+00:00,61091.17406784743
,2024 XV50,000000IOw6f2,22.577,,Lg,151.3230023,2.9606453,2026-02-20 04:11:19.885000+00:00,61091.17453570617
,2024 XV50,000000IOw6f2,22.617,,Lg,151.3229205,2.9606981,2026-02-20 04:12:00.057000+00:00,61091.175000659656
,2024 XV50,000000IOw6f2,22.669,,Lg,151.3224645,2.960921,2026-02-20 04:15:21.395000+00:00,61091.17733096052
,2024 XV50,000000IOw6f2,21.973,,Lz,151.3218335,2.9612127,2026-02-20 04:20:09.359000+00:00,61091.18066387717
,2024 XV50,000000IOw6f2,21.955,,Lz,151.3217332,2.9612667,2026-02-20 04:20:49.658000+00:00,61091.18113030074
,2024 XV50,000000IOw6f2,22.001,,Lz,151.3216744,2.9613045,2026-02-20 04:21:26.973000+00:00,61091.181562187616
,2024 XV50,000000IOw6f2,21.968,,Lz,151.3215624,2.9613716,2026-02-20 04:22:07.010000+00:00,61091.182025578804
,2024 XV50,000000IOw6f2,21.927,,Lz,151.3214949,2.9614007,2026-02-20 04:22:47.711000+00:00,61091.18249665527
,2024 XV50,000000IOw6f2,22.016,,Lz,151.3212236,2.9615527,2026-02-20 04:24:49.014000+00:00,61091.18390062498
,2024 XV50,000000IOw6f2,21.963,,Lz,151.3210296,2.9616352,2026-02-20 04:26:09.659000+00:00,61091.18483401602
,2024 XV50,000000IOw6f2,21.988,,Lz,151.3208711,2.9617067,2026-02-20 04:27:30.206000+00:00,61091.18576627318
,2024 XV50,000000IOw6f2,22.207,,Lr,151.3203061,2.9619848,2026-02-20 04:31:36.791000+00:00,61091.18862026604
,2024 XV50,000000IOw6f2,22.169,,Lr,151.3202289,2.9620286,2026-02-20 04:32:16.938000+00:00,61091.189084930345
,2024 XV50,000000IOw6f2,22.226,,Lr,151.3201325,2.9620772,2026-02-20 04:32:57.181000+00:00,61091.189550706185
,2024 XV50,000000IOw6f2,22.153,,Lr,151.3200226,2.9621311,2026-02-20 04:33:46.526000+00:00,61091.19012182858
,2024 XV50,000000IOw6f2,22.17,,Lr,151.3196672,2.9623071,2026-02-20 04:36:27.207000+00:00,61091.19198156241
,2024 XV50,000000IOw6f2,22.143,,Lr,151.3195745,2.9623445,2026-02-20 04:37:07.847000+00:00,61091.19245193293
,2024 XV50,000000IOw6f2,22.158,,Lr,151.3193083,2.9624779,2026-02-20 04:39:08.153000+00:00,61091.19384436356
,2024 XV50,000000IOw6f2,22.179,,Lr,151.3192246,2.9625255,2026-02-20 04:39:48.135000+00:00,61091.19430711819
,2024 XV50,000000IOw6f2,21.976,,Li,151.3184293,2.9629268,2026-02-20 04:45:49.602000+00:00,61091.198490764014
,2024 XV50,000000IOw6f2,22.007,,Li,151.3180653,2.9630961,2026-02-20 04:48:30.255000+00:00,61091.20035017375
